ticker,analysis_date,current_price,score,max_score,quality,market_context.spy_price,market_context.spy_50w_sma,market_context.spy_above_50w,market_context.market_state,market_context.warning,fundamentals.eps_growth_yoy,fundamentals.rev_growth_yoy,fundamentals.net_margin_pct,fundamentals.gross_margin_pct,fundamentals.eps_5yr_cagr,fundamentals.margin_pass,fundamentals.eps_pass,fundamentals.rev_pass,fundamentals.data_quality,fundamentals.industry,fundamentals.sector,fundamentals.margin_note,fundamentals.distortion_note,fundamentals.error_detail,relative_strength.rs_4w,relative_strength.rs_13w,relative_strength.rs_26w,relative_strength.rs_52w,relative_strength.rs_line_current,relative_strength.rs_52w_high,relative_strength.rs_at_52w_high,relative_strength.leading_rs,stage2.confirmed,stage2.sma30w,stage2.current_price,stage2.sma30w_rising,stage2.pct_above_30w_sma,stage2.pct_from_52w_high,stage2.pct_above_52w_low,stage2.prior_uptrend,stage2.high_52w,stage2.low_52w,base.pattern,base.length_weeks,base.depth_pct,base.base_high,base.base_high_date,base.base_low,base.base_low_date,base.pass_depth,base.vcp_swings,base.vcp_contracting,volume.avg_vol_up_weeks,volume.avg_vol_down_weeks,volume.accumulation_ratio,volume.accumulation_pass,volume.vol_dry_pct,volume.vol_dry_pass,tightness.tight_area_count,tightness.last_tight_date,tightness.first_30d_avg_range_pct,tightness.last_30d_avg_range_pct,tightness.volatility_contraction_pct,tightness.volatility_contracting,tightness.tight_area_pass,priming.inside_bars,priming.upside_reversals,priming.tight_setup_days,priming.best_signal,support.primary_support,entry.pivot_price,entry.already_broken_out,entry.entry1.trigger,entry.entry1.stop,entry.entry1.risk_pct,entry.entry1.signal_type,entry.entry1.signal_date,entry.entry1.status,entry.entry1.sizing_per_500_risk.shares,entry.entry1.sizing_per_500_risk.position_value,entry.entry2.trigger,entry.entry2.stop,entry.entry2.risk_pct,entry.entry2.vol_required,entry.entry2.status,entry.entry2.breakout_date,entry.entry2.breakout_vol_ratio,entry.entry2.sizing_per_500_risk.shares,entry.entry2.sizing_per_500_risk.position_value,entry.stop_levels.ema10,entry.stop_levels.ema21,entry.stop_levels.sma50,entry.stop_levels.primary_support,entry.stop_levels.ema10_dist_pct,entry.stop_levels.ema21_dist_pct,entry.stop_levels.sma50_dist_pct,entry.stop_levels.support_dist_pct,entry.stop_levels.ema10_state,entry.stop_levels.ema21_state,entry.stop_levels.sma50_state,entry.stop_levels.recommendation_if_in_entry1,entry.stop_levels.recommendation_if_in_entry2,entry.stop_levels.recommendation_reason,entry.stop_levels.hard_stop_from_e1,entry.stop_levels.hard_stop_from_e2,climax.climax_warning,climax.gain_5w_pct,climax.vol_surge_ratio,climax.close_position_pct,error
AAUC,2026-04-06,31.2,5,11.0,NOT_READY,658.9,646.8,True,UPTREND,,,126.5,-3.9,,,False,False,True,OK,Gold,Basic Materials,,,,0.1,18.2,72.1,110.6,0.0473,0.049,False,False,False,,,False,,,,False,,,Unclear,7.0,-3.3,31.64,2026-02-23,30.6,"['2026-03-16', '2026-04-06']",True,"[0.9, 1.5, 0.5]",False,,,,False,,False,5.0,2026-04-06,2.25,1.07,-52.4,True,True,"[{'date': '2026-03-23', 'vol_ratio': 0.35}, {'date': '2026-03-24', 'vol_ratio': 0.32}, {'date': '2026-03-31', 'vol_ratio': 0.31}]",[],"[{'date': '2026-03-24', 'dist_from_pivot_pct': -1.6, 'vol_ratio': 0.32}, {'date': '2026-03-27', 'dist_from_pivot_pct': -1.9, 'vol_ratio': 0.22}, {'date': '2026-03-31', 'dist_from_pivot_pct': -1.9, 'vol_ratio': 0.31}, {'date': '2026-04-06', 'dist_from_pivot_pct': -1.4, 'vol_ratio': 0.21}]",TIGHT_SETUP_DAY,31.12,31.64,False,31.28,31.12,0.5,TIGHT_SETUP_DAY,2026-04-06,WATCHING,3125.0,97750.0,31.8,30.69,3.5,≥1.5x 50-day average,WATCHING,,,450.5,14326.0,31.12,31.12,31.31,31.12,0.3,0.3,-0.4,0.3,ABOVE,ABOVE,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,28.93,29.42,False,,,,
ABX,2026-04-06,8.01,4,11.0,AVOID,658.9,646.8,True,UPTREND,,,116.5,15.5,,,True,False,True,OK,Insurance - Life,Financial Services,,,,0.1,18.2,72.1,110.6,0.0473,0.049,False,False,False,,,False,,,,False,,,Unclear,7.0,-3.3,31.64,2026-02-23,30.6,"['2026-03-16', '2026-04-06']",True,"[0.9, 1.5, 0.5]",False,,,,False,,False,0.0,,5.5,5.21,-5.3,False,False,[],"[{'date': '2026-04-02', 'close_position_pct': 93.4}]",[],UPSIDE_REVERSAL,7.93,31.64,False,8.13,7.93,2.5,UPSIDE_REVERSAL,2026-04-02,WATCHING,2500.0,20325.0,31.8,30.69,3.5,≥1.5x 50-day average,WATCHING,,,450.5,14326.0,8.35,8.69,8.7,7.93,-4.1,-7.8,-7.9,1.0,2_CLOSES_BELOW,BELOW,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,7.52,29.42,False,,,,
ACP,2026-04-06,5.14,4,11.0,AVOID,658.9,646.8,True,UPTREND,,,,42.9,,45.9,True,False,False,OK,Asset Management,Financial Services,,,,-12.4,-2.2,51.0,-20.0,0.0122,0.0154,False,False,True,7.44,8.01,True,7.6,43.1,92.3,True,5.6,4.17,VCP,6.0,-18.5,9.83,2026-03-02,8.01,2026-04-06,True,"[0.3, 7.1, 1.0]",False,,3245050.0,,False,-46.1,True,0.0,2026-02-06,0.91,1.47,61.5,False,False,[],"[{'date': '2026-04-02', 'close_position_pct': 75.0}]",[],UPSIDE_REVERSAL,5.13,9.83,False,,,,,,NOT_AVAILABLE,,,9.88,9.54,3.4,≥1.5x 50-day average,WATCHING,,,1470.6,14530.0,5.12,5.18,5.35,5.13,0.4,-0.8,-3.9,0.2,ABOVE,BELOW,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,,9.14,False,,,,
ACRE,2026-04-06,4.78,4,11.0,AVOID,658.9,646.8,True,UPTREND,,-65.0,-3359.6,-1.2,,,False,False,False,OK,REIT - Mortgage,Real Estate,,,,-12.4,-2.2,51.0,-20.0,0.0122,0.0154,False,False,True,7.44,8.01,True,7.6,40.3,171.0,True,5.71,2.96,VCP,6.0,-18.5,9.83,2026-03-02,8.01,2026-04-06,True,"[0.3, 7.1, 1.0]",False,,3245050.0,,False,-46.1,True,0.0,,3.61,2.99,-17.2,False,False,[],"[{'date': '2026-03-25', 'close_position_pct': 70.0}]",[],UPSIDE_REVERSAL,4.74,9.83,False,,,,,,NOT_AVAILABLE,,,9.88,9.54,3.4,≥1.5x 50-day average,WATCHING,,,1470.6,14530.0,4.73,4.76,4.89,4.74,1.1,0.4,-2.2,0.8,ABOVE,ABOVE,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,,9.14,False,,,,
ADCT,2026-04-06,3.67,5,11.0,NOT_READY,658.9,646.8,True,UPTREND,,-86.2,36.4,-175.3,,,False,False,True,OK,Biotechnology,Healthcare,,,,-12.4,-2.2,51.0,-20.0,0.0122,0.0154,False,False,True,7.44,8.01,True,7.6,60.8,662.9,True,4.98,1.05,VCP,6.0,-18.5,9.83,2026-03-02,8.01,2026-04-06,True,"[0.3, 7.1, 1.0]",False,,3245050.0,,False,-46.1,True,0.0,,6.3,6.4,1.6,False,False,"[{'date': '2026-04-06', 'vol_ratio': 0.74}]","[{'date': '2026-04-01', 'close_position_pct': 76.9}]",[],INSIDE_BAR,3.66,9.83,False,3.83,3.66,4.4,INSIDE_BAR,2026-04-06,WATCHING,2941.2,11265.0,9.88,9.54,3.4,≥1.5x 50-day average,WATCHING,,,1470.6,14530.0,3.82,3.94,4.02,3.66,-3.9,-6.9,-8.7,0.3,2_CLOSES_BELOW,BELOW,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,3.54,9.14,False,,,,
AEM,2026-04-06,208.5,8,11.0,DEVELOPING,658.9,646.8,True,UPTREND,,201.0,60.3,37.5,,200.2,True,True,True,OK,Gold,Basic Materials,,,,14.3,10.7,20.3,36.9,0.3164,0.3671,False,False,True,185.93,208.5,True,12.1,-18.3,122.3,True,255.24,93.8,Cup with Handle,7.0,-28.7,251.15,2026-02-23,179.13,2026-03-16,True,"[12.2, 13.7, 7.3]",False,14200600.0,11987177.0,1.18,True,2.8,False,0.0,,4.05,4.24,4.7,False,False,"[{'date': '2026-04-06', 'vol_ratio': 0.45}]","[{'date': '2026-03-25', 'close_position_pct': 70.4}, {'date': '2026-04-02', 'close_position_pct': 77.5}]",[],INSIDE_BAR,207.95,251.15,False,210.85,207.95,1.4,INSIDE_BAR,2026-04-06,WATCHING,172.4,36351.0,252.41,243.62,3.5,≥1.5x 50-day average,WATCHING,,,56.9,14362.0,201.62,203.96,212.25,207.95,3.4,2.2,-1.8,0.3,ABOVE,ABOVE,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,195.04,233.48,False,,,,
AG,2026-04-06,21.4,7,11.0,DEVELOPING,658.9,646.8,True,UPTREND,,,169.8,13.1,,,True,False,True,OK,Silver,Basic Materials,,,,14.3,10.7,20.3,36.9,0.3164,0.3671,False,False,True,185.93,208.5,True,12.1,550.7,3921.9,True,32.04,5.18,Cup with Handle,7.0,-28.7,251.15,2026-02-23,179.13,2026-03-16,True,"[12.2, 13.7, 7.3]",False,14200600.0,11987177.0,1.18,True,2.8,False,0.0,,7.4,6.49,-12.3,False,False,"[{'date': '2026-04-06', 'vol_ratio': 0.49}]",[],[],INSIDE_BAR,21.2,251.15,False,22.02,21.2,3.7,INSIDE_BAR,2026-04-06,WATCHING,609.8,13428.0,252.41,243.62,3.5,≥1.5x 50-day average,WATCHING,,,56.9,14362.0,21.21,21.97,23.87,21.2,0.9,-2.6,-10.3,0.9,ABOVE,BELOW,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,20.37,233.48,False,,,,
AGI,2026-04-06,46.31,7,11.0,DEVELOPING,658.9,646.8,True,UPTREND,,390.5,53.1,49.0,,396.3,True,True,True,OK,Gold,Basic Materials,,,,14.3,10.7,20.3,36.9,0.3164,0.3671,False,False,True,185.93,208.5,True,12.1,276.6,789.1,True,55.37,23.45,Cup with Handle,7.0,-28.7,251.15,2026-02-23,179.13,2026-03-16,True,"[12.2, 13.7, 7.3]",False,14200600.0,11987177.0,1.18,True,2.8,False,0.0,,5.09,4.88,-4.1,False,False,[],"[{'date': '2026-03-24', 'close_position_pct': 90.3}]",[],UPSIDE_REVERSAL,45.7,251.15,False,,,,,,NOT_AVAILABLE,,,252.41,243.62,3.5,≥1.5x 50-day average,WATCHING,,,56.9,14362.0,44.2,44.49,45.03,45.7,4.8,4.1,2.8,1.3,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,,233.48,False,,,,
AIR,2026-04-06,114.0,6,11.0,NOT_READY,658.9,646.8,True,UPTREND,,-784.0,24.6,5.5,,,False,False,True,OK,Aerospace & Defense,Industrials,,,,14.3,10.7,20.3,36.9,0.3164,0.3671,False,False,True,185.93,208.5,True,12.1,69.6,348.3,True,122.97,46.51,Cup with Handle,7.0,-28.7,251.15,2026-02-23,179.13,2026-03-16,True,"[12.2, 13.7, 7.3]",False,14200600.0,11987177.0,1.18,True,2.8,False,0.0,,3.38,4.31,27.5,False,False,[],"[{'date': '2026-03-31', 'close_position_pct': 97.1}]",[],UPSIDE_REVERSAL,113.86,251.15,False,,,,,,NOT_AVAILABLE,,,252.41,243.62,3.5,≥1.5x 50-day average,WATCHING,,,56.9,14362.0,109.84,109.53,110.53,113.86,3.8,4.1,3.1,0.1,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,,233.48,False,,,,
AJG,2026-04-06,219.27,7,11.0,DEVELOPING,658.9,646.8,True,UPTREND,,-48.2,33.6,11.5,,-48.3,True,False,True,OK,Insurance Brokers,Financial Services,,,,14.3,10.7,20.3,36.9,0.3164,0.3671,False,False,True,185.93,208.5,True,12.1,-40.0,7.2,False,347.79,194.41,Cup with Handle,7.0,-28.7,251.15,2026-02-23,179.13,2026-03-16,True,"[12.2, 13.7, 7.3]",False,14200600.0,11987177.0,1.18,True,2.8,False,0.0,,3.49,2.94,-15.8,False,False,"[{'date': '2026-04-06', 'vol_ratio': 0.42}]",[],[],INSIDE_BAR,218.02,251.15,False,221.1,218.02,1.4,INSIDE_BAR,2026-04-06,WATCHING,162.3,35885.0,252.41,243.62,3.5,≥1.5x 50-day average,WATCHING,,,56.9,14362.0,215.49,215.81,222.07,218.02,1.8,1.6,-1.3,0.6,ABOVE,ABOVE,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,204.52,233.48,False,,,,
