,stock,range_length_days,price_mode,expansion_move_pct,expansion_closing_range,buy_date,sell_type,sell_date,stage,return_pct,days_held,buy_price,sell_price,peak_return_pct,days_to_peak,stock_stage_weeks_elapsed,stage_iteration,sector_etf,sector_stage_segment,sector_stage_weeks_elapsed,industry_etf,industry_stage_segment,industry_stage_weeks_elapsed
0,META,3,high_low,1.42,91.7,2013-03-08,stop_loss,2013-03-13,0,-4.01,3,28.43,27.29,0.0,0,42,0,XLC,,,FDN,2,11
1,META,3,high_low,3.76,95.2,2013-05-03,stop_loss,2013-05-06,1,-3.99,1,29.04,27.88,0.0,0,5,1,XLC,,,FDN,2,19
2,META,4,high_low,29.51,75.6,2013-07-26,weakness,2013-10-10,2,41.75,53,33.77,47.87,16.05,6,0,1,XLC,,,FDN,2,31
3,META,3,high_low,4.38,95.3,2013-08-26,weakness,2013-10-10,2,17.04,32,40.9,47.87,1.08,0,3,1,XLC,,,FDN,2,35
4,META,3,high_low,2.27,94.0,2013-12-05,weakness,2014-01-28,2,12.19,35,48.15,54.02,20.37,13,18,1,XLC,,,FDN,2,50
5,META,4,high_low,3.36,80.8,2013-12-24,stop_loss,2013-12-27,2,-4.0,2,58.27,55.94,0.0,0,21,1,XLC,,,FDN,2,53
6,META,3,high_low,2.79,98.1,2014-01-07,stop_loss,2014-01-13,2,-4.0,4,57.7,55.39,1.4,9,23,1,XLC,,,FDN,2,55
7,META,3,high_low,3.49,100.0,2014-02-14,weakness,2014-03-21,2,0.04,24,67.5,67.53,4.86,5,28,1,XLC,,,FDN,2,60
8,META,4,high_low,4.37,85.3,2015-07-20,stop_loss,2015-07-30,2,-4.0,8,95.85,92.02,2.65,1,3,2,XLC,,,FDN,1,39
9,META,4,high_low,1.45,92.3,2017-10-30,weakness,2017-12-04,2,-1.66,24,179.26,176.29,2.1,19,65,3,XLC,,,FDN,2,19
10,META,3,high_low,2.15,89.5,2018-04-11,stop_loss,2018-04-24,3,-4.0,9,165.36,158.75,2.0,4,9,3,XLC,,,FDN,2,43
11,META,5,high_low,7.96,68.2,2020-08-03,stop_loss,2020-08-03,2,-0.77,0,252.65,250.7,6.25,4,4,4,XLC,2,26,FDN,1,60
