,stock,range_length_days,price_mode,expansion_move_pct,expansion_closing_range,buy_date,sell_type,sell_date,stage,return_pct,days_held,buy_price,sell_price,peak_return_pct,days_to_peak,stock_stage_weeks_elapsed,stage_iteration,sector_etf,sector_stage_segment,sector_stage_weeks_elapsed,industry_etf,industry_stage_segment,industry_stage_weeks_elapsed
0,SCCO,12,high_low,2.4,83.3,1996-04-17,weakness,1996-05-17,1,8.53,22,2.57,2.79,17.05,3,0,1,XLB,,,COPX,,
1,SCCO,3,high_low,2.44,100.0,1996-11-22,stop_loss,1996-12-06,4,-3.89,9,2.51,2.41,3.17,4,19,1,XLB,,,COPX,,
2,SCCO,7,high_low,3.4,100.0,1997-05-13,stop_loss,1997-05-14,2,-5.26,1,3.02,2.87,0.0,0,5,1,XLB,,,COPX,,
3,SCCO,4,high_low,3.77,100.0,1997-06-03,stop_loss,1997-06-27,2,-4.1,18,3.26,3.13,3.05,12,8,1,XLB,,,COPX,,
4,SCCO,7,high_low,1.83,100.0,1997-06-13,stop_loss,1997-06-26,2,-4.04,9,3.3,3.17,1.81,4,9,1,XLB,,,COPX,,
5,SCCO,4,high_low,2.08,100.0,1998-12-02,stop_loss,1998-12-03,1,-3.67,1,1.92,1.85,0.0,0,13,3,XLB,,,COPX,,
6,SCCO,6,high_low,4.24,100.0,1999-04-13,weakness,1999-05-25,4,19.19,30,1.71,2.04,29.07,3,11,3,XLB,,,COPX,,
7,SCCO,4,high_low,8.37,100.0,1999-06-28,weakness,1999-07-28,1,0.9,21,2.21,2.23,8.11,3,4,4,XLB,,,COPX,,
8,SCCO,5,high_low,12.05,96.7,1999-08-23,weakness,1999-10-19,2,6.02,40,2.48,2.63,16.06,33,0,2,XLB,,,COPX,,
9,SCCO,4,high_low,6.25,81.8,1999-10-11,stop_loss,1999-10-13,2,-4.18,2,2.86,2.74,0.0,0,7,2,XLB,,,COPX,,
10,SCCO,4,high_low,2.04,100.0,2000-04-26,weakness,2000-05-16,4,0.0,14,1.99,1.99,4.0,4,6,4,XLB,,,COPX,,
11,SCCO,3,high_low,4.96,100.0,2000-09-14,stop_loss,2000-09-15,1,-3.9,1,2.5,2.4,0.0,0,6,5,XLB,,,COPX,,
12,SCCO,4,high_low,3.77,87.5,2000-10-02,stop_loss,2000-10-03,1,-3.98,1,2.46,2.36,0.0,0,8,5,XLB,,,COPX,,
13,SCCO,3,high_low,0.86,100.0,2000-10-16,stop_loss,2000-10-16,1,-3.85,0,2.3,2.21,0.0,0,10,5,XLB,,,COPX,,
14,SCCO,3,high_low,2.27,100.0,2001-11-13,weakness,2002-01-25,4,17.44,49,1.55,1.82,13.85,4,8,5,XLB,,,COPX,,
15,SCCO,4,high_low,1.61,100.0,2001-12-17,stop_loss,2001-12-17,4,-3.97,0,1.79,1.72,8.89,14,12,5,XLB,,,COPX,,
16,SCCO,3,high_low,3.45,93.9,2002-03-27,weakness,2002-06-18,1,9.28,57,2.09,2.29,15.13,19,5,6,XLB,,,COPX,,
17,SCCO,6,high_low,3.7,87.0,2002-04-11,weakness,2002-06-18,1,2.64,47,2.23,2.29,8.14,9,7,6,XLB,,,COPX,,
18,SCCO,3,high_low,4.87,94.8,2003-10-16,stop_loss,2003-10-22,2,-3.89,4,4.23,4.07,3.38,3,4,3,XLB,,,COPX,,
19,SCCO,3,high_low,3.69,87.9,2005-09-27,stop_loss,2005-10-13,3,-3.98,12,8.48,8.14,10.65,5,20,4,XLB,,,COPX,,
20,SCCO,5,high_low,1.18,82.4,2005-11-03,stop_loss,2005-11-08,3,-5.47,3,9.23,8.72,0.29,0,25,4,XLB,,,COPX,,
21,SCCO,3,high_low,1.46,73.9,2006-10-20,stop_loss,2006-10-30,3,-4.02,6,16.88,16.2,0.0,0,22,5,XLB,0,17,COPX,0,17
22,SCCO,3,high_low,1.19,99.8,2008-05-16,stop_loss,2008-05-20,3,-3.99,2,36.51,35.05,1.48,0,19,6,XLB,1,8,COPX,1,8
23,SCCO,3,high_low,4.11,95.2,2009-09-23,stop_loss,2009-09-24,1,-4.0,1,29.92,28.72,0.0,0,30,7,XLB,1,29,COPX,1,29
24,SCCO,3,high_low,2.38,94.8,2010-01-05,weakness,2010-01-19,1,-2.94,9,32.79,31.83,5.74,4,44,7,XLB,1,43,COPX,1,43
25,SCCO,3,high_low,3.61,97.0,2012-04-13,stop_loss,2012-04-23,1,-4.01,6,30.25,29.04,5.08,13,163,7,XLB,1,162,COPX,1,162
26,SCCO,9,high_low,3.94,89.7,2012-09-10,weakness,2012-11-08,1,3.38,41,32.77,33.88,7.61,4,184,7,XLB,1,183,COPX,1,183
27,SCCO,3,high_low,2.79,78.7,2013-05-06,stop_loss,2013-05-07,1,-2.44,1,32.53,31.74,0.26,2,218,7,XLB,2,15,COPX,2,15
