,stock,range_length_days,price_mode,expansion_move_pct,expansion_closing_range,buy_date,sell_type,sell_date,stage,return_pct,days_held,buy_price,sell_price,peak_return_pct,days_to_peak,stock_stage_weeks_elapsed,stage_iteration,sector_etf,sector_stage_segment,sector_stage_weeks_elapsed,industry_etf,industry_stage_segment,industry_stage_weeks_elapsed
0,FCX,7,open_close,4.22,84.6,1996-02-02,weakness,1996-03-12,1,-1.21,26,15.5,15.31,8.47,19,13,1,XLB,,,COPX,,
1,FCX,8,open_close,5.18,100.0,1996-03-27,stop_loss,1996-03-29,1,-4.0,2,16.5,15.84,0.0,0,21,1,XLB,,,COPX,,
2,FCX,3,open_close,3.52,90.0,1996-04-04,stop_loss,1996-04-18,1,-4.0,9,16.69,16.02,3.0,4,22,1,XLB,,,COPX,,
3,FCX,5,open_close,1.49,100.0,1996-05-07,weakness,1996-05-29,1,-1.1,15,17.06,16.88,5.49,6,27,1,XLB,,,COPX,,
4,FCX,6,open_close,1.32,100.0,1997-02-13,weakness,1997-03-17,1,9.48,21,14.5,15.88,17.67,2,67,1,XLB,,,COPX,,
5,FCX,3,open_close,0.39,75.0,1997-03-25,stop_loss,1997-03-26,1,-4.0,1,16.06,15.42,0.0,0,73,1,XLB,,,COPX,,
6,FCX,4,open_close,2.93,93.3,1997-05-06,stop_loss,1997-05-29,1,-4.0,16,15.38,14.76,1.63,4,79,1,XLB,,,COPX,,
7,FCX,15,open_close,5.06,100.0,1997-07-01,stop_loss,1997-07-01,1,-4.0,0,15.38,14.76,0.0,0,87,1,XLB,,,COPX,,
8,FCX,4,open_close,1.67,90.9,1998-02-05,stop_loss,1998-02-05,4,-4.0,0,7.69,7.38,3.66,3,11,1,XLB,,,COPX,,
9,FCX,3,open_close,3.45,83.3,1998-11-13,stop_loss,1998-11-13,4,-4.0,0,7.5,7.2,0.0,0,51,1,XLB,,,COPX,,
10,FCX,4,open_close,8.07,62.5,1999-02-05,stop_loss,1999-02-10,4,-4.0,3,5.44,5.22,5.17,1,63,1,XLB,,,COPX,,
11,FCX,7,open_close,5.23,83.3,1999-03-10,stop_loss,1999-03-12,1,-4.0,2,5.0,4.8,0.0,0,1,2,XLB,,,COPX,,
12,FCX,4,open_close,10.65,92.3,1999-04-29,weakness,1999-05-26,1,-2.87,19,7.62,7.41,7.38,0,8,2,XLB,,,COPX,,
13,FCX,3,open_close,1.48,100.0,1999-10-26,stop_loss,1999-10-26,1,-4.0,0,8.56,8.22,0.0,0,34,2,XLB,,,COPX,,
14,FCX,5,open_close,3.6,93.8,1999-11-11,stop_loss,1999-11-17,1,-4.0,4,8.97,8.61,1.39,1,36,2,XLB,,,COPX,,
15,FCX,5,open_close,6.07,75.0,2000-02-07,stop_loss,2000-02-08,1,-4.0,1,9.44,9.06,0.0,0,48,2,XLB,,,COPX,,
16,FCX,4,open_close,2.74,83.3,2000-06-15,stop_loss,2000-06-21,4,-4.0,4,4.69,4.5,3.33,1,1,2,XLB,,,COPX,,
17,FCX,6,open_close,3.68,75.0,2000-07-31,weakness,2000-08-10,1,-2.82,8,4.44,4.31,2.11,2,0,3,XLB,,,COPX,,
