,stock,range_length_days,price_mode,expansion_move_pct,expansion_closing_range,buy_date,sell_type,sell_date,stage,return_pct,days_held,buy_price,sell_price
0,META,3,open_close,6.08,94.9,2012-06-18,weakness,2012-07-03,0,3.17,11,29.96,30.91
1,META,4,open_close,7.72,73.9,2012-09-13,stop_loss,2012-09-25,0,-2.96,8,20.96,20.34
2,META,4,open_close,1.71,91.7,2013-03-08,stop_loss,2013-03-13,0,-4.01,3,28.43,27.29
3,META,3,open_close,4.02,95.2,2013-05-03,stop_loss,2013-05-06,1,-3.99,1,29.04,27.88
4,META,10,open_close,28.45,75.6,2013-07-26,weakness,2013-10-10,2,41.75,53,33.77,47.87
5,META,4,open_close,5.19,95.3,2013-08-26,weakness,2013-10-10,2,17.04,32,40.9,47.87
6,META,3,open_close,1.88,98.9,2013-11-14,stop_loss,2013-11-18,2,-4.0,2,48.7,46.75
7,META,4,open_close,3.31,94.0,2013-12-05,weakness,2014-01-28,2,12.19,35,48.15,54.02
8,META,4,open_close,3.96,80.8,2013-12-24,stop_loss,2013-12-27,2,-4.0,2,58.27,55.94
9,META,4,open_close,3.96,98.1,2014-01-07,stop_loss,2014-01-13,2,-4.0,4,57.7,55.39
10,META,3,open_close,3.71,100.0,2014-02-14,weakness,2014-03-21,2,0.04,24,67.5,67.53
11,META,4,open_close,3.02,83.0,2014-03-06,stop_loss,2014-03-12,2,-4.01,4,71.88,69.0
12,META,3,open_close,1.8,96.4,2014-05-13,weakness,2014-05-16,2,-2.26,3,59.66,58.31
13,META,10,open_close,2.85,97.8,2014-06-11,stop_loss,2014-07-08,2,-4.0,18,65.32,62.71
14,META,4,open_close,4.53,85.3,2015-07-20,stop_loss,2015-07-30,2,-4.0,8,95.85,92.02
15,META,4,open_close,1.46,95.0,2016-01-25,stop_loss,2016-01-27,3,-4.0,2,98.72,94.77
16,META,4,open_close,2.85,95.7,2016-11-22,weakness,2016-11-25,2,-1.14,2,122.4,121.01
17,META,15,open_close,0.7,92.3,2017-10-30,weakness,2017-12-04,2,-1.66,24,179.26,176.29
18,META,3,open_close,2.15,89.5,2018-04-11,stop_loss,2018-04-24,3,-4.0,9,165.36,158.75
19,META,6,open_close,0.82,89.9,2019-01-31,weakness,2019-03-19,4,-2.49,32,165.6,161.48
20,META,5,open_close,4.24,90.4,2019-06-18,stop_loss,2019-06-19,1,-4.0,1,194.0,186.24
21,META,5,open_close,8.11,68.2,2020-08-03,stop_loss,2020-08-03,2,-0.77,0,252.65,250.7
22,META,4,open_close,3.7,92.6,2020-08-07,weakness,2020-09-11,2,2.26,24,264.08,270.06
23,META,10,open_close,3.42,64.0,2020-10-13,stop_loss,2020-10-15,2,-4.0,2,277.58,266.48
24,META,3,open_close,2.15,76.8,2021-03-22,stop_loss,2021-03-25,2,-4.0,3,290.45,278.83
25,META,11,open_close,6.92,77.5,2021-04-30,stop_loss,2021-05-03,2,-0.8,1,326.14,323.52
26,META,5,open_close,3.63,84.7,2021-06-29,stop_loss,2021-07-15,2,-4.0,11,356.27,342.02
