ticker,longName,ROCE (3yr avg),NFAT (3yr avg),SSGR,Av NPM (over 3 years),Av NFA/T (over 3 years),Av Dep%NFA (over 3 years),Av Retention ratio (over 3 years),Interest coverage,tax %,cCFO/cPAT,p/a,p/e,EY,Earnings Growth 5yr cagr,Sales Growth 5yr cagr,PEG,p/s,d/e,d/e_market,FCF%,FCF/CFO,3-5yr Average ROA (%),3-5yr Average ROE (%),moving_averages.current_price,moving_averages.SMA_20,moving_averages.SMA_50,moving_averages.SMA_200,moving_averages.above_50,moving_averages.above_200,moving_averages.golden_cross,moving_averages.dist_from_20,moving_averages.dist_from_50,moving_averages.dist_from_200,moving_averages.score,moving_averages.max_score,moving_averages.signal,macd.MACD,macd.MACD_signal,macd.MACD_hist,macd.bullish_crossover,macd.above_zero,macd.histogram_positive,macd.histogram_growing,macd.recent_crossover,macd.crossover_days_ago,macd.score,macd.max_score,macd.signal,rsi.RSI,rsi.not_overbought,rsi.above_50,rsi.in_sweet_spot,rsi.zone,rsi.score,rsi.max_score,rsi.signal,vwma.current_price,vwma.VWMA,vwma.above_vwma,vwma.vwma_rising,vwma.volume_pattern_bullish,vwma.current_volume,vwma.avg_volume,vwma.volume_ratio,vwma.avg_volume_up_days,vwma.avg_volume_down_days,vwma.score,vwma.max_score,vwma.signal,profitability_pct,growth_pct,valuation_pct,financial_health_pct,cashflow_quality_pct,ma_pct,ma_distance_bonus,macd_pct,macd_crossover_bonus,rsi_pct,vwma_pct,vwma_volume_bonus,fundamental_total_score,technical_total_score,combined_score
AACB,,,,,,,,,,,,,,,,,,,,,,,,,10.29,10.306,10.277,,True,False,False,-0.155,0.124,,1.0,3.0,AVOID,0.004,0.008,-0.004,False,True,False,False,False,,1.0,3.0,AVOID - Bearish momentum,48.588,True,False,True,Bearish,2.0,3.0,STRONG BUY - Ideal zone,10.29,10.302,False,False,True,1095.0,48099.75,0.023,77400.0,19997.5,1.0,3.0,"AVOID - Below VWMA, weak support",0.0,0.0,0.0,0.0,0.0,33.3,5.0,33.3,0.0,66.7,33.3,5.0,0.0,45.0,13.5
AACBR,,,,,,,,,,,,,,,,,,,,,,,,,0.328,,,,False,False,False,,,,0.0,3.0,AVOID,,,,,,,,,,0.0,,N/A,,,,,,0.0,,N/A,,,,,,,,,,,0.0,,N/A,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.5
AACBU,,,,,,,,,,,,,,,,,,,,,,,,,10.6,10.582,10.588,10.366,True,True,True,0.17,0.11,2.259,3.0,3.0,BUY - Ideal pullback entry,0.01,0.009,0.001,True,True,True,False,False,,3.0,3.0,HOLD - Bullish but watch for weakening,54.448,True,True,True,Bullish,3.0,3.0,STRONG BUY - Ideal zone,10.6,10.6,False,True,False,0.0,55.0,0.0,0.0,0.0,1.0,3.0,"AVOID - Below VWMA, weak support",0.0,0.0,0.0,0.0,0.0,100.0,5.0,100.0,0.0,100.0,33.3,0.0,0.0,80.0,24.0
AACG,ATA Creativity Global,-34.657,3.509,-95.709,-17.27,3.509,35.114,100.0,inf,15.063,0.271,-8.041,inf,-141.999,0.0,9.853,inf,0.09082181,0.311,1.385,64.741,14.514,-7.913,-27.652,0.8,0.882,1.093,1.212,False,False,False,-9.286,-26.771,-33.991,0.0,3.0,AVOID,-0.097,-0.101,0.005,True,False,True,True,True,2.0,2.0,3.0,STRONG BUY - Fresh crossover (2 days ago),36.62,True,False,False,Bearish,1.0,3.0,"CAUTION - Oversold, wait for bounce confirmation",0.8,0.859,False,False,True,21570.0,17853.5,1.208,21817.5,21775.0,1.0,3.0,"AVOID - Below VWMA, weak support",8.0,0.0,20.0,65.0,46.7,0.0,0.0,66.7,5.0,33.3,33.3,5.0,26.0,35.0,28.7
AADR,,,,,,,,,,,,,,,,,,,,,,,,,87.665,85.892,84.781,80.339,True,True,True,2.064,3.402,9.119,3.0,3.0,BUY - Ideal pullback entry,0.673,0.57,0.103,True,True,True,True,True,8.0,3.0,3.0,BUY - Momentum building,61.738,True,True,True,Bullish,3.0,3.0,BUY - Acceptable zone,87.665,85.732,True,True,False,766.0,1608.3,0.476,1077.667,1100.0,2.0,3.0,HOLD - Above VWMA but watch volume,0.0,0.0,0.0,0.0,0.0,100.0,5.0,100.0,0.0,100.0,66.7,0.0,0.0,85.0,25.5
AAEQ,,,,,,,,,,,,,,,,,,,,,,,,,49.289,,,,False,False,False,,,,0.0,3.0,AVOID,0.037,0.043,-0.006,False,True,False,False,True,8.0,1.0,3.0,AVOID - Bearish momentum,44.143,True,False,True,Bearish,2.0,3.0,BUY - Acceptable zone,,,,,,,,,,,0.0,,N/A,0.0,0.0,0.0,0.0,0.0,0.0,5.0,33.3,0.0,66.7,0.0,0.0,0.0,25.0,7.5
AAL,American Airlines Group Inc.,7.058,1.357,-4.349,1.126,1.357,5.892,-1.0,1.667,26.69,-53.854,1.342,17.793,8.279,0.0,21.962,inf,0.18820015,-7.217,3.674,153.664,0.434,-0.041,-2.04,15.48,15.329,14.029,12.161,True,True,True,0.985,10.341,27.291,3.0,3.0,BUY - Ideal pullback entry,0.438,0.546,-0.108,False,True,False,True,False,,1.0,3.0,AVOID - Bearish momentum,58.414,True,True,True,Bullish,3.0,3.0,STRONG BUY - Ideal zone,15.48,15.358,True,True,False,41175521.0,52122421.05,0.79,42853924.2,50272200.0,2.0,3.0,HOLD - Above VWMA but watch volume,0.0,35.0,55.0,25.0,33.3,100.0,5.0,33.3,0.0,100.0,66.7,0.0,28.0,71.667,41.1
AALG,,,,,,,,,,,,,,,,,,,,,,,,,18.064,17.83,15.243,,True,False,False,1.311,18.504,,1.0,3.0,AVOID,0.849,1.081,-0.232,False,True,False,True,False,,1.0,3.0,AVOID - Bearish momentum,56.932,True,True,True,Bullish,3.0,3.0,STRONG BUY - Ideal zone,18.064,17.8,True,True,False,5721.0,7886.05,0.725,4970.167,6800.0,2.0,3.0,HOLD - Above VWMA but watch volume,0.0,0.0,0.0,0.0,0.0,33.3,5.0,33.3,0.0,100.0,66.7,0.0,0.0,51.667,15.5
AAME,Atlantic American Corporation,0.447,0.0,-0.0,-0.516,0.0,0.0,245.973,0.0,18.921,10.946,-1.119,12.522,-7.265,0.0,-1.929,inf,0.28212747,0.352,0.643,-107.193,0.924,0.078,-0.002,2.88,2.612,2.699,2.365,True,True,True,10.281,6.714,21.754,3.0,3.0,WAIT - Extended above MA,0.045,0.009,0.036,True,True,True,True,False,,3.0,3.0,BUY - Momentum building,56.581,True,True,True,Bullish,3.0,3.0,STRONG BUY - Ideal zone,2.88,2.799,True,True,True,37224.0,29106.2,1.279,52006.0,42440.0,3.0,3.0,STRONG BUY - Institutional accumulation,0.0,15.0,50.0,50.0,66.7,100.0,0.0,100.0,0.0,100.0,100.0,5.0,33.0,90.0,50.1
AAOI,"Applied Optoelectronics, Inc.",-28.586,1.046,-55.475,-43.478,1.046,9.988,100.0,-10.33,-0.001,0.284,-47.98,inf,-6.906,0.0,5.632,inf,6.4116826,0.888,0.071,60.749,1.326,-20.315,-40.921,39.6,33.306,29.762,23.827,True,True,True,18.898,33.054,66.197,3.0,3.0,WAIT - Extended above MA,2.783,2.384,0.399,True,True,True,True,False,,3.0,3.0,BUY - Momentum building,62.941,True,True,True,Bullish,3.0,3.0,BUY - Acceptable zone,39.6,34.186,True,True,True,4768851.0,5198422.55,0.917,6275830.2,3156450.0,3.0,3.0,STRONG BUY - Institutional accumulation,0.0,0.0,0.0,55.0,46.7,100.0,0.0,100.0,0.0,100.0,100.0,5.0,18.0,90.0,39.6
