ticker,longName,ROCE (3yr avg),NFAT (3yr avg),SSGR,Av NPM (over 3 years),Av NFA/T (over 3 years),Av Dep%NFA (over 3 years),Av Retention ratio (over 3 years),Interest coverage,tax %,cCFO/cPAT,p/a,p/e,EY,Earnings Growth 5yr cagr,Sales Growth 5yr cagr,PEG,p/s,d/e,d/e_market,FCF%,FCF/CFO,3-5yr Average ROA (%),3-5yr Average ROE (%),moving_averages.current_price,moving_averages.SMA_20,moving_averages.SMA_50,moving_averages.SMA_200,moving_averages.above_50,moving_averages.above_200,moving_averages.golden_cross,moving_averages.dist_from_20,moving_averages.dist_from_50,moving_averages.dist_from_200,moving_averages.score,moving_averages.max_score,moving_averages.signal,macd.MACD,macd.MACD_signal,macd.MACD_hist,macd.bullish_crossover,macd.above_zero,macd.histogram_positive,macd.histogram_growing,macd.recent_crossover,macd.crossover_days_ago,macd.score,macd.max_score,macd.signal,rsi.RSI,rsi.not_overbought,rsi.above_50,rsi.in_sweet_spot,rsi.zone,rsi.score,rsi.max_score,rsi.signal,vwma.current_price,vwma.VWMA,vwma.above_vwma,vwma.vwma_rising,vwma.volume_pattern_bullish,vwma.current_volume,vwma.avg_volume,vwma.volume_ratio,vwma.avg_volume_up_days,vwma.avg_volume_down_days,vwma.score,vwma.max_score,vwma.signal,profitability_pct,growth_pct,valuation_pct,financial_health_pct,cashflow_quality_pct,ma_pct,ma_distance_bonus,macd_pct,macd_crossover_bonus,rsi_pct,vwma_pct,vwma_volume_bonus,fundamental_total_score,technical_total_score,combined_score
AACG,ATA Creativity Global,-34.657,3.509,-95.702,-17.27,3.509,34.502,-1.0,inf,15.063,0.271,-8.041,inf,-131.057,0.0,9.853,inf,0.098,0.311,1.278,64.741,14.514,-8.524,-27.616,0.87,1.027,1.156,1.218,False,False,False,-15.246,-24.74,-28.583,0.0,3.0,AVOID,-0.104,-0.094,-0.01,False,False,False,True,False,,0.0,3.0,AVOID - Bearish momentum,36.364,True,False,False,Bearish,1.0,3.0,"CAUTION - Oversold, wait for bounce confirmation",0.87,1.033,False,False,False,8300.0,17410.0,0.477,7733.333,18600.0,0.0,3.0,"AVOID - Below VWMA, weak support",8.0,0.0,20.0,50.0,46.7,0.0,0.0,0.0,0.0,33.3,0.0,0.0,23.0,6.667,18.1
AAL,American Airlines Group Inc.,7.058,1.402,-4.298,1.126,1.402,5.892,-1.0,1.667,26.69,-53.854,1.342,18.138,8.122,0.0,21.962,inf,0.192,-7.217,3.604,153.664,0.434,-0.041,-2.04,15.78,14.625,13.468,11.999,True,True,True,7.901,17.163,31.51,3.0,3.0,WAIT - Extended above MA,0.688,0.614,0.074,True,True,True,False,False,,3.0,3.0,HOLD - Bullish but watch for weakening,68.685,True,True,True,Bullish,3.0,3.0,BUY - Acceptable zone,15.78,14.638,True,True,True,42622900.0,58894385.0,0.724,64896266.667,51670950.0,3.0,3.0,STRONG BUY - Institutional accumulation,0.0,35.0,55.0,25.0,33.3,100.0,0.0,100.0,0.0,100.0,100.0,5.0,28.0,90.0,46.6
AAME,Atlantic American Corporation,0.887,0.0,-0.0,-0.516,0.0,0.0,245.973,0.0,18.921,10.946,-1.119,14.0,-6.498,0.0,-1.929,inf,0.315,0.352,0.575,-107.193,0.924,0.175,0.545,3.22,2.498,2.736,2.313,True,True,True,28.903,17.673,39.229,3.0,3.0,WAIT - Extended above MA,-0.012,-0.076,0.064,True,False,True,True,False,,2.0,3.0,BUY - Momentum building,67.944,True,True,True,Bullish,3.0,3.0,BUY - Acceptable zone,3.22,2.635,True,False,True,132700.0,27895.0,4.757,36900.0,18050.0,2.0,3.0,BUY - Good volume support,0.0,15.0,50.0,50.0,66.7,100.0,0.0,66.7,0.0,100.0,66.7,5.0,33.0,78.333,46.6
AAOI,"Applied Optoelectronics, Inc.",-28.586,1.059,-56.043,-43.478,1.059,9.988,100.0,-10.33,-0.001,0.284,-47.98,inf,-8.732,0.0,5.632,inf,5.071,0.888,0.089,60.749,1.326,-20.315,-40.921,31.32,27.865,28.625,23.009,True,True,True,12.397,9.414,36.121,3.0,3.0,WAIT - Extended above MA,1.028,0.77,0.258,True,True,True,True,False,,3.0,3.0,BUY - Momentum building,56.529,True,True,True,Bullish,3.0,3.0,STRONG BUY - Ideal zone,31.32,29.039,True,True,True,5120000.0,4945220.0,1.035,7453160.0,4331850.0,3.0,3.0,STRONG BUY - Institutional accumulation,0.0,0.0,0.0,55.0,46.7,100.0,0.0,100.0,0.0,100.0,100.0,5.0,18.0,90.0,39.6
AAON,"AAON, Inc.",22.652,3.015,33.428,13.511,3.015,0.082,82.269,71.978,18.409,0.592,17.904,62.264,2.741,40.48,30.963,1.538,4.675,0.233,0.028,-49.451,-0.111,16.975,23.481,75.34,84.945,93.433,86.969,False,False,True,-11.307,-19.364,-13.371,1.0,3.0,AVOID,-5.29,-4.358,-0.932,False,False,False,True,False,,0.0,3.0,AVOID - Bearish momentum,31.478,True,False,False,Bearish,1.0,3.0,"CAUTION - Oversold, wait for bounce confirmation",75.34,83.496,False,False,False,1729700.0,992425.0,1.743,1080780.0,1260275.0,0.0,3.0,"AVOID - Below VWMA, weak support",72.0,100.0,10.0,100.0,0.0,33.3,0.0,0.0,0.0,33.3,0.0,0.0,60.0,16.667,47.0
AAPL,Apple Inc.,63.067,8.798,163.901,25.398,8.798,25.647,84.83,,15.61,1.149,30.689,36.636,2.77,6.791,1.813,5.395,9.759,1.732,0.024,88.177,0.858,26.815,164.681,273.67,277.514,269.411,229.541,True,True,True,-1.385,1.581,19.225,3.0,3.0,BUY - Ideal pullback entry,1.025,2.439,-1.414,False,True,False,True,False,,1.0,3.0,AVOID - Bearish momentum,49.017,True,False,True,Bearish,2.0,3.0,STRONG BUY - Ideal zone,273.67,276.952,False,True,True,144599200.0,48539960.0,2.979,61289940.0,41497275.0,2.0,3.0,"AVOID - Below VWMA, weak support",100.0,30.0,0.0,65.0,86.7,100.0,5.0,33.3,0.0,66.7,66.7,5.0,57.0,70.0,60.9
AARD,"Aardvark Therapeutics, Inc.",-57.064,0.0,-15.749,-1.0,0.0,15.749,100.0,inf,-0.0,0.833,-195.406,inf,-6.867,0.0,0.0,inf,0.0,-0.022,0.003,88.382,1.033,-60.178,39.198,13.77,12.258,11.756,11.117,True,True,True,12.335,17.13,23.861,3.0,3.0,WAIT - Extended above MA,0.848,0.728,0.119,True,True,True,False,False,,3.0,3.0,HOLD - Bullish but watch for weakening,58.488,True,True,True,Bullish,3.0,3.0,STRONG BUY - Ideal zone,13.77,12.786,True,True,True,1186200.0,279340.0,4.246,446020.0,213775.0,3.0,3.0,STRONG BUY - Institutional accumulation,28.0,0.0,0.0,85.0,73.3,100.0,0.0,100.0,0.0,100.0,100.0,5.0,35.0,90.0,51.5
ABAT,American Battery Technology Company,-62.279,0.029,-242.17,-8187.177,0.029,4.662,-1.0,-2161.138,-0.0,0.446,-60.203,inf,-9.063,0.0,0.0,inf,102.665,0.131,0.016,67.297,1.158,-51.867,-62.998,3.97,3.854,4.703,2.693,False,True,True,3.01,-15.58,47.428,2.0,3.0,WAIT - Partial trend,-0.09,-0.12,0.03,True,False,True,True,False,,2.0,3.0,BUY - Momentum building,49.062,True,False,True,Bearish,2.0,3.0,STRONG BUY - Ideal zone,3.97,3.869,True,False,True,16995300.0,5813520.0,2.923,7362420.0,5405050.0,2.0,3.0,BUY - Good volume support,0.0,0.0,0.0,40.0,46.7,66.7,5.0,66.7,0.0,66.7,66.7,5.0,15.0,66.667,30.5
ABCL,AbCellera Biologics Inc.,-7.928,1.065,-346.629,-305.726,1.065,21.084,100.0,,18.732,135.451,-10.944,inf,-15.113,0.0,-57.485,inf,30.505,0.057,0.061,114.795,2.379,0.71,0.88,3.6,3.577,4.382,3.688,False,False,True,0.629,-17.838,-2.383,1.0,3.0,AVOID,-0.189,-0.236,0.048,True,False,True,True,False,,2.0,3.0,BUY - Momentum building,43.859,True,False,True,Bearish,2.0,3.0,BUY - Acceptable zone,3.6,3.579,True,False,True,3777100.0,3699615.0,1.021,3366825.0,2931180.0,2.0,3.0,BUY - Good volume support,0.0,0.0,0.0,65.0,100.0,33.3,5.0,66.7,0.0,66.7,66.7,5.0,28.0,56.667,36.6
ABEO,Abeona Therapeutics Inc.,-79.934,0.151,-361.789,-2177.792,0.151,32.62,100.0,-15.259,-0.0,0.834,-99.581,4.223,-23.015,0.0,0.0,inf,692.295,1.555,0.083,91.727,1.063,-69.868,-187.723,5.11,4.983,4.939,5.656,True,False,False,2.559,3.462,-9.654,1.0,3.0,AVOID,0.066,0.063,0.003,True,True,True,True,False,,3.0,3.0,BUY - Momentum building,53.323,True,True,True,Bullish,3.0,3.0,STRONG BUY - Ideal zone,5.11,5.002,True,True,True,1542500.0,1376965.0,1.12,1499820.0,1182275.0,3.0,3.0,STRONG BUY - Institutional accumulation,0.0,0.0,30.0,50.0,73.3,33.3,5.0,100.0,0.0,100.0,100.0,5.0,27.0,75.0,41.4
