,ticker,longName,ROCE (3yr avg),NFAT (3yr avg),SSGR,Av NPM (over 3 years),Av NFA/T (over 3 years),Av Dep%NFA (over 3 years),Av Retention ratio (over 3 years),Interest coverage,tax %,cCFO/cPAT,p/a,p/e,EY,Earnings Growth 5yr cagr,Sales Growth 5yr cagr,PEG,p/s,d/e,d/e_market,FCF%,FCF/CFO,3-5yr Average ROA (%),3-5yr Average ROE (%),moving_averages.current_price,moving_averages.SMA_20,moving_averages.SMA_50,moving_averages.SMA_200,moving_averages.above_50,moving_averages.above_200,moving_averages.golden_cross,moving_averages.dist_from_20,moving_averages.dist_from_50,moving_averages.dist_from_200,moving_averages.score,moving_averages.max_score,moving_averages.signal,macd.MACD,macd.MACD_signal,macd.MACD_hist,macd.bullish_crossover,macd.above_zero,macd.histogram_positive,macd.histogram_growing,macd.recent_crossover,macd.crossover_days_ago,macd.score,macd.max_score,macd.signal,rsi.RSI,rsi.not_overbought,rsi.above_50,rsi.in_sweet_spot,rsi.zone,rsi.score,rsi.max_score,rsi.signal,vwma.current_price,vwma.VWMA,vwma.above_vwma,vwma.vwma_rising,vwma.volume_pattern_bullish,vwma.current_volume,vwma.avg_volume,vwma.volume_ratio,vwma.avg_volume_up_days,vwma.avg_volume_down_days,vwma.score,vwma.max_score,vwma.signal,profitability_pct,growth_pct,valuation_pct,financial_health_pct,cashflow_quality_pct,ma_pct,ma_distance_bonus,macd_pct,macd_crossover_bonus,rsi_pct,vwma_pct,vwma_volume_bonus,fundamental_total_score,technical_total_score,combined_score
269,DECK,Deckers Outdoor Corporation,39.225,9.793,156.335,17.113,9.793,11.252,100,335.255,22.296,1.035,30.811,13.08,7.53,32.431,16.534,0.403,2.49,0.131,0.022,99.199,0.87,24.007,35.422,88.03,82.817,93.113,109.071,FALSE,FALSE,FALSE,6.295,-5.459,-19.291,0,3,AVOID,-1.85,-3.283,1.433,TRUE,FALSE,TRUE,TRUE,FALSE,,2,3,BUY - Momentum building,52.185,TRUE,TRUE,TRUE,Bullish,3,3,STRONG BUY - Ideal zone,88.03,82.622,TRUE,FALSE,TRUE,1892400,3651575,0.518,3359980,3185600,2,3,BUY - Good volume support,100,90,85,100,86.7,0,0,66.7,0,100,66.7,5,93,48.333,79.6
224,LULU,lululemon athletica inc.,41.948,4.519,51.665,14.598,4.519,14.306,100,inf,29.559,1.333,25.587,12.581,8.683,24.95,19.168,0.504,2.024,0.372,0.075,87.263,0.652,21.263,37.262,184.18,169.285,172.165,240.204,TRUE,FALSE,FALSE,8.799,6.979,-23.324,1,3,AVOID,1.352,-0.758,2.11,TRUE,TRUE,TRUE,TRUE,TRUE,5,3,3,STRONG BUY - Fresh crossover (5 days ago),64.871,TRUE,TRUE,TRUE,Bullish,3,3,BUY - Acceptable zone,184.18,169.226,TRUE,FALSE,TRUE,3021000,3263585,0.926,3513350,2981266.667,2,3,BUY - Good volume support,88,90,85,100,86.7,33.3,0,100,5,100,66.7,5,90,70,84
130,NVO,Novo Nordisk A/S,60.751,3.746,63.558,34.061,3.746,9.909,57.587,78.255,20.601,1.263,32.112,13.633,60.748,29.66,27.292,0.46,0.695,0.965,0.618,68.978,0.01,26.509,77.087,49.35,48.028,53.056,63.557,FALSE,FALSE,FALSE,2.751,-6.985,-22.354,0,3,AVOID,-1.314,-1.683,0.369,TRUE,FALSE,TRUE,TRUE,FALSE,,2,3,BUY - Momentum building,49.228,TRUE,FALSE,TRUE,Bearish,2,3,STRONG BUY - Ideal zone,49.35,47.627,TRUE,FALSE,FALSE,15484200,23927030,0.647,18811400,35325233.33,1,3,HOLD - Above VWMA but watch volume,96,100,100,75,60,0,5,66.7,0,66.7,33.3,0,88,36.667,72.6
110,CALM,"Cal-Maine Foods, Inc.",44.193,3.951,48.596,21.555,3.951,10.053,68.863,2510.516,24.01,1.116,55.844,3.203,30.192,109.326,33.852,0.029,0.919,,,87.167,0.763,29.127,36.06,83.32,87.632,90.058,93.601,FALSE,FALSE,FALSE,-4.92,-7.482,-10.984,0,3,AVOID,-1.931,-1.539,-0.391,FALSE,FALSE,FALSE,FALSE,FALSE,,0,3,AVOID - Bearish momentum,31.526,TRUE,FALSE,FALSE,Bearish,1,3,"CAUTION - Oversold, wait for bounce confirmation",83.32,87.549,FALSE,FALSE,FALSE,460800,760490,0.606,628500,828514.286,0,3,"AVOID - Below VWMA, weak support",96,100,100,65,73.3,0,5,0,0,33.3,0,0,88,11.667,65.1
156,GRBK,"Green Brick Partners, Inc.",22.952,192.095,3188.587,16.932,192.095,34.447,99.091,inf,18.505,0.207,20.053,8.908,12.904,31.411,14.374,0.284,1.399,0.265,0.117,5.647,0.832,17.483,27.121,67.88,63.983,67.164,63.66,TRUE,TRUE,TRUE,6.091,1.066,6.63,3,3,WAIT - Extended above MA,0.004,-0.828,0.832,TRUE,TRUE,TRUE,TRUE,TRUE,5,3,3,STRONG BUY - Fresh crossover (5 days ago),59.28,TRUE,TRUE,TRUE,Bullish,3,3,STRONG BUY - Ideal zone,67.88,64.073,TRUE,FALSE,TRUE,97600,222105,0.439,252140,198300,2,3,BUY - Good volume support,92,80,100,95,33.3,100,0,100,5,100,66.7,5,83,90,85.1
265,POWL,"Powell Industries, Inc.",28.719,9.033,94.994,12.989,9.033,7.348,87.227,,22.609,1.142,19.473,21.736,4.634,134.613,27.517,0.161,3.532,0.003,0,85.638,0.916,13.295,26.585,323.22,339.821,331.002,236.473,FALSE,TRUE,TRUE,-4.885,-2.351,36.684,2,3,WAIT - Partial trend,-9.724,-6.199,-3.525,FALSE,FALSE,FALSE,TRUE,FALSE,,0,3,AVOID - Bearish momentum,47.962,TRUE,FALSE,TRUE,Bearish,2,3,STRONG BUY - Ideal zone,323.22,326.402,FALSE,FALSE,FALSE,65300,265635,0.246,253633.333,505600,0,3,"AVOID - Below VWMA, weak support",84,100,60,70,86.7,66.7,5,0,0,66.7,0,0,80,38.333,67.5
76,NVDA,NVIDIA Corporation,54.92,20.122,749.668,40.297,20.122,29.883,96.139,329.769,13.265,0.916,110.881,43.812,1.691,96.574,69.255,0.454,23.066,0.239,0.002,83.498,0.922,42.543,66.304,177,188.709,186.83,153.658,FALSE,TRUE,TRUE,-6.205,-5.261,15.191,2,3,WAIT - Partial trend,-2.854,-1.168,-1.685,FALSE,FALSE,FALSE,TRUE,FALSE,,0,3,AVOID - Bearish momentum,41.483,TRUE,FALSE,TRUE,Bearish,2,3,BUY - Acceptable zone,177,187.622,FALSE,FALSE,FALSE,121332800,216997525,0.559,229238900,253265316.7,0,3,"AVOID - Below VWMA, weak support",100,100,30,85,73.3,66.7,0,0,0,66.7,0,0,79,33.333,65.3
37,BLBD,Blue Bird Corporation,38.797,13.225,66.34,6.189,13.225,15.504,100,23.211,25.905,1.812,24.333,13.459,7.712,0,22.73,inf,1.119,0.566,0.055,120.061,0.841,14.234,110.434,52.22,51.443,54.007,45.169,FALSE,TRUE,TRUE,1.511,-3.308,15.61,2,3,WAIT - Partial trend,-0.286,-0.639,0.354,TRUE,FALSE,TRUE,FALSE,FALSE,,2,3,HOLD - Bullish but watch for weakening,49.166,TRUE,FALSE,TRUE,Bearish,2,3,STRONG BUY - Ideal zone,52.22,51.768,TRUE,FALSE,FALSE,189800,424415,0.447,449166.667,561033.333,1,3,HOLD - Above VWMA but watch volume,76,50,65,100,100,66.7,5,66.7,0,66.7,33.3,0,77,56.667,70.9
15,ANF,Abercrombie & Fitch Co.,22.313,3.41,10.745,6.394,3.41,11.278,-1,61.341,25.324,1.413,19.038,9.42,12.617,36.191,10.051,0.26,0.866,0.919,0.212,93.156,0.559,5.819,19.152,97.87,73.632,75.999,83.167,TRUE,TRUE,FALSE,32.918,28.779,17.679,2,3,WAIT - Partial trend,3.289,-0.128,3.418,TRUE,TRUE,TRUE,TRUE,FALSE,,3,3,BUY - Momentum building,76.151,FALSE,TRUE,FALSE,Overbought,1,3,"WAIT - Overbought, pullback likely",97.87,79.108,TRUE,FALSE,TRUE,1961600,2299925,0.853,4482740,2155225,2,3,BUY - Good volume support,40,80,100,85,86.7,66.7,0,100,0,33.3,66.7,5,76,61.667,71.7
216,IT,"Gartner, Inc.",31.984,9.054,120.07,16.565,9.054,29.913,100,8.831,9.634,1.352,16,20.327,7.474,19.994,9.805,1.017,2.729,4.261,0.173,110.327,0.951,11.32,232.032,232.74,231.705,243.481,348.606,FALSE,FALSE,FALSE,0.447,-4.411,-33.237,0,3,AVOID,-3.504,-4.577,1.072,TRUE,FALSE,TRUE,TRUE,TRUE,5,2,3,STRONG BUY - Fresh crossover (5 days ago),47.38,TRUE,FALSE,TRUE,Bearish,2,3,STRONG BUY - Ideal zone,232.74,231.8,TRUE,FALSE,FALSE,421000,1000620,0.421,878700,986383.333,1,3,HOLD - Above VWMA but watch volume,92,50,65,75,100,0,5,66.7,5,66.7,33.3,0,76,41.667,65.7
