ticker,longName,ROCE (3yr avg),NFAT (3yr avg),SSGR,Av NPM (over 3 years),Av NFA/T (over 3 years),Av Dep%NFA (over 3 years),Av Retention ratio (over 3 years),Interest coverage,tax %,cCFO/cPAT,p/a,p/e,EY,Earnings Growth 5yr cagr,Sales Growth 5yr cagr,PEG,p/s,d/e,d/e_market,FCF%,FCF/CFO,3-5yr Average ROA (%),3-5yr Average ROE (%),moving_averages.current_price,moving_averages.SMA_20,moving_averages.SMA_50,moving_averages.SMA_200,moving_averages.above_50,moving_averages.above_200,moving_averages.golden_cross,moving_averages.dist_from_20,moving_averages.dist_from_50,moving_averages.dist_from_200,moving_averages.score,moving_averages.max_score,moving_averages.signal,macd.MACD,macd.MACD_signal,macd.MACD_hist,macd.bullish_crossover,macd.above_zero,macd.histogram_positive,macd.histogram_growing,macd.recent_crossover,macd.crossover_days_ago,macd.score,macd.max_score,macd.signal,rsi.RSI,rsi.not_overbought,rsi.above_50,rsi.in_sweet_spot,rsi.zone,rsi.score,rsi.max_score,rsi.signal,vwma.current_price,vwma.VWMA,vwma.above_vwma,vwma.vwma_rising,vwma.volume_pattern_bullish,vwma.current_volume,vwma.avg_volume,vwma.volume_ratio,vwma.avg_volume_up_days,vwma.avg_volume_down_days,vwma.score,vwma.max_score,vwma.signal,profitability_pct,growth_pct,valuation_pct,financial_health_pct,cashflow_quality_pct,ma_pct,ma_distance_bonus,macd_pct,macd_crossover_bonus,rsi_pct,vwma_pct,vwma_volume_bonus,fundamental_total_score,technical_total_score,combined_score
AMD,"Advanced Micro Devices, Inc.",3.556,13.489,1.819,7.548,13.489,100.0,100.0,28.198,-2.488,1.961,6.262,78.179,1.298,46.453,13.644,1.683,9.641,0.067,0.012,155.363,0.52,1.827,2.218,204.83,202.65,216.922,189.987,False,True,True,1.075,-5.574,7.813,2,3,WAIT - Partial trend,-4.856,-5.89,1.034,True,False,True,True,True,3.0,2,3,STRONG BUY - Fresh crossover (3 days ago),48.384,True,False,True,Bearish,2,3,STRONG BUY - Ideal zone,204.83,203.365,True,False,False,22637223.0,35854396.15,0.631,32891555.75,34626560.0,1,3,HOLD - Above VWMA but watch volume,12.0,70.0,10.0,75.0,86.7,66.7,5,66.7,5,66.7,33.3,0,47,61.667,51.4
NVDA,NVIDIA Corporation,77.689,17.293,885.766,53.433,17.293,28.154,98.906,503.425,15.117,0.883,107.586,37.734,2.656,201.433,100.045,0.187,20.939,0.139,0.002,80.518,0.92,68.935,105.318,186.03,185.635,185.708,176.897,True,True,True,0.213,0.173,5.163,3,3,BUY - Ideal pullback entry,-0.754,-0.581,-0.173,False,False,False,True,False,,0,3,AVOID - Bearish momentum,51.37,True,True,True,Bullish,3,3,STRONG BUY - Ideal zone,186.03,185.356,True,False,False,138663908.0,192276470.4,0.721,180100368.0,226252600.0,1,3,HOLD - Above VWMA but watch volume,100.0,100.0,30.0,95.0,73.3,100.0,5,0.0,0,100.0,33.3,0,81,60.0,74.7
GOOG,Alphabet Inc.,30.827,2.046,46.241,28.473,2.046,9.112,95.014,175.325,16.783,1.32,29.354,28.584,7.88,33.456,12.512,0.854,9.262,0.182,0.035,55.433,,21.355,30.132,308.42,306.821,319.485,255.477,False,True,True,0.521,-3.463,20.723,2,3,WAIT - Partial trend,-4.231,-4.662,0.431,True,False,True,True,True,2.0,2,3,STRONG BUY - Fresh crossover (2 days ago),46.993,True,False,True,Bearish,2,3,STRONG BUY - Ideal zone,308.42,307.263,True,False,False,13279728.0,20879016.4,0.636,20172007.0,20494600.0,1,3,HOLD - Above VWMA but watch volume,88.0,80.0,55.0,100.0,60.0,66.7,5,66.7,5,66.7,33.3,0,78,61.667,73.1
ANET,"Arista Networks, Inc.",27.173,63.059,2363.712,38.445,63.059,60.601,100.0,inf,17.373,1.082,25.003,50.265,2.022,36.273,27.147,1.386,19.329,,,121.103,0.937,24.358,33.812,138.23,134.919,134.687,128.65,True,True,True,2.454,2.631,7.447,3,3,BUY - Ideal pullback entry,0.275,-0.403,0.679,True,True,True,True,True,3.0,3,3,STRONG BUY - Fresh crossover (3 days ago),52.999,True,True,True,Bullish,3,3,STRONG BUY - Ideal zone,138.23,135.465,True,False,True,4142126.0,8451576.3,0.49,7295320.0,5854706.5,2,3,BUY - Good volume support,100.0,100.0,20.0,60.0,86.7,100.0,5,100.0,5,100.0,66.7,5,74,95.0,80.3
TPR,"Tapestry, Inc.",11.937,3.628,-4.199,9.632,3.628,12.001,22.324,14.869,15.224,1.541,1.368,56.584,0.622,-36.236,1.601,-1.562,3.96,1.346,0.132,597.107,0.823,8.648,29.947,145.42,152.69,140.601,112.913,True,True,True,-4.761,3.427,28.789,3,3,STRONG BUY - At MA support,1.966,4.034,-2.068,False,True,False,False,False,,1,3,AVOID - Bearish momentum,47.268,True,False,True,Bearish,2,3,STRONG BUY - Ideal zone,145.42,152.853,False,False,False,2541338.0,2313516.9,1.098,2192325.0,2422567.6,0,3,"AVOID - Below VWMA, weak support",36.0,0.0,10.0,85.0,100.0,100.0,5,33.3,0,66.7,0.0,0,43,55.0,46.6
DECK,Deckers Outdoor Corporation,39.225,9.793,156.335,17.113,9.793,11.252,100.0,335.255,22.296,1.035,30.811,14.952,6.626,32.431,16.534,0.461,2.785,0.131,0.019,99.199,0.87,24.007,35.422,102.72,113.628,108.969,103.682,False,False,True,-9.6,-5.735,-0.928,1,3,AVOID,-1.513,0.536,-2.049,False,False,False,False,False,,0,3,AVOID - Bearish momentum,33.998,True,False,False,Bearish,1,3,"CAUTION - Oversold, wait for bounce confirmation",102.72,113.767,False,False,True,1466748.0,2180292.4,0.673,2196950.0,2158821.143,1,3,"AVOID - Below VWMA, weak support",100.0,90.0,75.0,100.0,86.7,33.3,0,0.0,0,33.3,33.3,5,91,26.667,71.7
MU,"Micron Technology, Inc.",2.779,0.629,-21.475,-3.864,0.629,19.558,78.863,20.564,11.643,3.514,12.301,38.306,1.812,-0.688,6.713,-55.71,11.137,0.339,0.032,19.534,0.01,-3.886,-5.332,418.69,408.486,382.982,219.677,True,True,True,2.498,9.324,90.593,3,3,BUY - Ideal pullback entry,4.232,7.407,-3.175,False,True,False,True,False,,1,3,AVOID - Bearish momentum,55.96,True,True,True,Bullish,3,3,STRONG BUY - Ideal zone,418.69,407.68,True,False,False,29707921.0,32782396.05,0.906,32338924.2,33020925.0,1,3,HOLD - Above VWMA but watch volume,0.0,0.0,0.0,90.0,46.7,100.0,5,33.3,0,100.0,33.3,0,25,66.667,37.5
WMT,Walmart Inc.,17.198,5.17,-0.767,2.624,5.17,9.516,64.496,,,2.076,,45.907,,24.205,,1.897,1.381,0.717,0.061,,0.332,6.051,18.145,123.49,126.66,122.028,106.96,True,True,True,-2.502,1.198,15.455,3,3,STRONG BUY - At MA support,0.403,1.128,-0.725,False,True,False,False,False,,1,3,AVOID - Bearish momentum,46.957,True,False,True,Bearish,2,3,STRONG BUY - Ideal zone,123.49,126.745,False,False,True,18109952.0,24841402.6,0.729,21081680.0,20060113.0,1,3,"AVOID - Below VWMA, weak support",36.0,50.0,30.0,50.0,40.0,100.0,5,33.3,0,66.7,33.3,5,41,65.0,48.2
TJX,"The TJX Companies, Inc.",33.749,3.461,14.026,8.441,3.461,6.357,69.781,,,1.198,,32.486,,17.789,,1.826,2.91,1.75,0.073,,0.653,13.768,59.679,157.88,157.831,155.276,141.369,True,True,True,0.031,1.677,11.68,3,3,BUY - Ideal pullback entry,1.411,1.571,-0.16,False,True,False,False,False,,1,3,AVOID - Bearish momentum,51.656,True,True,True,Bullish,3,3,STRONG BUY - Ideal zone,157.88,157.904,False,True,True,2406857.0,5277877.85,0.456,5881900.0,4911242.833,2,3,"AVOID - Below VWMA, weak support",72.0,50.0,30.0,50.0,40.0,100.0,5,33.3,0,100.0,66.7,5,50,76.667,58.0
EWBC,"East West Bancorp, Inc.",0.0,14.734,404.242,45.494,14.734,97.776,74.894,0.0,23.198,1.34,1.744,11.316,9.111,6.281,7.695,1.802,5.393,0.411,0.218,,0.829,1.669,16.92,105.69,113.927,115.035,106.005,False,False,True,-7.23,-8.123,-0.297,1,3,AVOID,-2.589,-1.506,-1.084,False,False,False,True,False,,0,3,AVOID - Bearish momentum,34.315,True,False,False,Bearish,1,3,"CAUTION - Oversold, wait for bounce confirmation",105.69,113.618,False,False,True,926906.0,1014460.3,0.914,1167625.0,1071841.2,1,3,"AVOID - Below VWMA, weak support",40.0,30.0,55.0,60.0,66.7,33.3,0,0.0,0,33.3,33.3,5,49,26.667,42.3
FER,Ferrovial SE,10.164,10.066,80.923,16.212,10.066,48.837,79.512,2.208,-5.607,1.178,3.062,47.252,1.881,,8.433,,4.913,1.767,0.227,195.833,0.591,6.503,37.241,65.68,70.949,69.055,60.295,False,True,True,-7.426,-4.887,8.931,2,3,WAIT - Partial trend,-0.956,0.03,-0.986,False,False,False,True,True,9.0,0,3,AVOID - Bearish momentum,34.209,True,False,False,Bearish,1,3,"CAUTION - Oversold, wait for bounce confirmation",65.68,70.716,False,False,False,1230838.0,1261581.9,0.976,1265833.333,1383439.667,0,3,"AVOID - Below VWMA, weak support",56.0,15.0,0.0,45.0,73.3,66.7,0,0.0,0,33.3,0.0,0,37,26.667,33.9
ANF,Abercrombie & Fitch Co.,33.657,3.41,21.625,9.554,3.41,11.278,-1.0,,,1.413,,8.297,,463.049,,0.018,0.78,0.919,0.238,,0.559,9.659,29.477,87.28,93.3,101.831,91.248,False,False,True,-6.452,-14.289,-4.348,1,3,AVOID,-3.265,-2.579,-0.687,False,False,False,True,False,,0,3,AVOID - Bearish momentum,37.124,True,False,False,Bearish,1,3,"CAUTION - Oversold, wait for bounce confirmation",87.28,93.571,False,False,False,1001289.0,1568454.45,0.638,1636537.8,2383925.0,0,3,"AVOID - Below VWMA, weak support",64.0,65.0,80.0,40.0,53.3,33.3,0,0.0,0,33.3,0.0,0,61,16.667,47.7
