Unnamed: 0,ticker,error,longName,ROCE,ROCE (3yr avg),NFAT,NFAT (3yr avg),NPM,DPR,Retention Ratio,Dep,SSGR,Av NPM (over 3 years),Av NFA/T (over 3 years),Av Dep%NFA (over 3 years),Av Retention ratio (over 3 years),d/e,Interest coverage,tax %,cPAT,CFO,cCFO,cCFO/cPAT,p/a,p/e,EY,Earnings Growth 5yr cagr,Sales Growth 5yr cagr,PEG,no. shares (cr),Current Price,market cap,d/e_market,p/s,NFA + CWIP,Capex,Capex_from_cashflow_statement,FCF,FCF%_from_balance_sheet,FCF_capex_from_cashflow,FCF%,DV,Mcap (cr),d/e decreasing trend 5 yrs,Sales cagr >15%,npm >8%,Tax payout >25%,Interest coverage >3,d/e <0.5,CFO >0,cCFO > PAT,p/e <10,peg <1,EY >7%,p/b <3,DV >3%,EY >7,sgr > Sales growth (very linear),FCF/CFO,Market Cap,Net Income,Total Revenue,Total Assets,Total Liabilities,Total Stockholders Equity,Total Debt,Cash and Cash Equivalents,Current Assets,Current Liabilities,Working Capital,Operating Cash Flow,Capital Expenditure,Dividends Paid,Depreciation & Amortization,Interest Expense,Income Tax Expense,Shares Outstanding,Net Fixed Assets,Construction in Progress,Net Debt,3-5yr Average ROA (%),3-5yr Average ROE (%),ROE,ROA,insidersPercentHeld,institutionsPercentHeld,institutionsFloatPercentHeld,institutionsCount,current,Normalized EBIT,Normalized Net Income,Research Asset,R&D Amortization,Adjusted EBIT (R&D),Adjusted Book Equity (R&D),Adjusted D/E (R&D),Adjusted Invested Capital (R&D),Adjusted ROC (R&D),Adjusted ROE (R&D),analysis_date,current_price,total_score,max_score,score_percentage,overall_technical_signal,action,profitability_score,growth_score,valuation_score,financial_health_score,cashflow_quality_score,fundamental_total_score,profitability_pct,growth_pct,valuation_pct,financial_health_pct,cashflow_quality_pct,fundamental_total_pct,ma_score,ma_distance_bonus,macd_score,macd_crossover_bonus,rsi_score,vwma_score,vwma_volume_bonus,technical_total_score,ma_pct,macd_pct,rsi_pct,vwma_pct,technical_total_pct,combined_score,moving_averages.current_price,moving_averages.SMA_20,moving_averages.SMA_50,moving_averages.SMA_200,moving_averages.above_50,moving_averages.above_200,moving_averages.golden_cross,moving_averages.dist_from_20,moving_averages.dist_from_50,moving_averages.dist_from_200,moving_averages.score,moving_averages.max_score,moving_averages.signal,macd.MACD,macd.MACD_signal,macd.MACD_hist,macd.bullish_crossover,macd.above_zero,macd.histogram_positive,macd.histogram_growing,macd.recent_crossover,macd.crossover_days_ago,macd.score,macd.max_score,macd.signal,rsi.RSI,rsi.not_overbought,rsi.above_50,rsi.in_sweet_spot,rsi.zone,rsi.score,rsi.max_score,rsi.signal,vwma.current_price,vwma.VWMA,vwma.above_vwma,vwma.vwma_rising,vwma.volume_pattern_bullish,vwma.current_volume,vwma.avg_volume,vwma.volume_ratio,vwma.avg_volume_up_days,vwma.avg_volume_down_days,vwma.score,vwma.max_score,vwma.signal,support_resistance.current_price,support_resistance.nearest_resistance,support_resistance.nearest_support,support_resistance.dist_to_resistance_%,support_resistance.dist_to_support_%,support_resistance.at_support,support_resistance.near_resistance,support_resistance.resistance_levels,support_resistance.support_levels,support_resistance.score,support_resistance.max_score,support_resistance.signal,market_context.SPY_price,market_context.SPY_50MA,market_context.SPY_200MA,market_context.above_50,market_context.above_200,market_context.golden_cross,market_context.VIX,market_context.low_vix,market_context.score,market_context.total_checks,market_context.market_state,market_context.recommendation,relative_strength.stock_return_%,relative_strength.benchmark_return_%,relative_strength.outperformance_%,relative_strength.outperforming,relative_strength.signal,high,low,mean,median,market_context,relative_strength
3.0,AACG,,ATA Creativity Global,-42.022,-34.657,4.181,3.509,-17.27,-1.0,101.0,34.502,-95.702,-17.27,3.509,34.502,-1.0,0.311,inf,15.063,-151300524.0,-3345170.0,-41041269.0,0.271,-8.041,inf,-131.057,0.0,9.853,inf,3.177,0.867,27543546.441,1.278,0.098,74605847.0,45205087.0,20024903.0,-48550257.0,134.497,-23370073.0,64.741,,2.754,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,14.514,27543546.0,-36097777.0,268060162.0,456927265.0,377281073.0,113037868.0,35206485.0,2198052.0,66639674.0,354495409.0,-287855735.0,-3345170.0,20024903.0,,24226472.0,0.0,-6401691.0,31772461.0,74605847.0,0.0,33008433.0,-8.524,-27.616,-26.283,-7.29,0.055,0.12,0.127,13.0,0.867,-47042208.0,-39216977.0,16202174.6,5385078.8,-44726056.8,129240042.6,0.272,162248475.6,-23.414,-27.931,2025-12-21,0.87,2.0,15.0,13.333,🔴 AVOID,Poor setup,2.0,0.0,4.0,10.0,7.0,23.0,8.0,0.0,20.0,50.0,46.7,23.0,0.0,0.0,0.0,0.0,6.667,0.0,0.0,6.667,0.0,0.0,33.3,0.0,6.7,18.1,0.87,1.027,1.156,1.218,False,False,False,-15.246,-24.74,-28.583,0.0,3.0,AVOID,-0.104,-0.094,-0.01,False,False,False,True,False,,0.0,3.0,AVOID - Bearish momentum,36.364,True,False,False,Bearish,1.0,3.0,"CAUTION - Oversold, wait for bounce confirmation",0.87,1.033,False,False,False,8300.0,17410.0,0.477,7733.333,18600.0,0.0,3.0,"AVOID - Below VWMA, weak support",0.87,1.41,0.82,62.069,5.747,False,False,"[np.float64(2.130000114440918), np.float64(2.299999952316284), np.float64(2.5799999237060547)]","[np.float64(1.2699999809265137), np.float64(1.559999942779541), np.float64(2.0)]",1.0,3.0,BUY - Good risk/reward setup,680.59,673.14,,True,False,False,14.91,True,2.0,4.0,NEUTRAL,Selective - Take 3-5 positions,3.571,15.18,-11.609,False,AVOID - Significant underperformance,,,,,,
6.0,AAL,,American Airlines Group Inc.,8.237,7.058,1.408,1.402,1.126,-1.0,101.0,5.892,-4.298,1.126,1.402,5.892,-1.0,-7.217,1.667,26.69,-198000000.0,3983000000.0,10663000000.0,-53.854,1.342,18.138,8.122,0.0,21.962,inf,66.009,15.78,10416164891.1,3.604,0.192,39472000000.0,2254000000.0,2683000000.0,1729000000.0,204.374,1300000000.0,153.664,,1041.616,True,True,False,True,False,True,True,False,False,False,True,True,False,True,False,0.434,10416163840.0,846000000.0,54211000000.0,61783000000.0,65760000000.0,-5202000000.0,37544000000.0,794000000.0,13154000000.0,24295000000.0,-11141000000.0,3983000000.0,2683000000.0,,2245000000.0,1934000000.0,308000000.0,660086495.0,38460000000.0,1012000000.0,36750000000.0,-0.041,-2.04,-18.433,1.355,0.015,0.705,0.715,711.0,15.78,2834000000.0,598333333.333,,,,,,,,,2025-12-21,15.78,13.0,15.0,86.667,🟢 STRONG BUY,Enter position,0.0,7.0,11.0,5.0,5.0,28.0,0.0,35.0,55.0,25.0,33.3,28.0,30.0,0.0,20.0,0.0,20.0,15.0,5.0,90.0,100.0,100.0,100.0,100.0,90.0,46.6,15.78,14.625,13.468,11.999,True,True,True,7.901,17.163,31.51,3.0,3.0,WAIT - Extended above MA,0.688,0.614,0.074,True,True,True,False,False,,3.0,3.0,HOLD - Bullish but watch for weakening,68.685,True,True,True,Bullish,3.0,3.0,BUY - Acceptable zone,15.78,14.638,True,True,True,42622900.0,58894385.0,0.724,64896266.667,51670950.0,3.0,3.0,STRONG BUY - Institutional accumulation,15.78,17.4,12.48,10.266,20.913,False,False,"[np.float64(14.050000190734863), np.float64(17.399999618530273), np.float64(19.100000381469727)]","[np.float64(12.479999542236328), np.float64(16.219999313354492), np.float64(16.549999237060547)]",1.0,3.0,NEUTRAL - No clear level nearby,680.59,673.14,,True,False,False,14.91,True,2.0,4.0,NEUTRAL,Selective - Take 3-5 positions,-6.517,15.18,-21.697,False,AVOID - Significant underperformance,20.0,10.0,15.874,16.0,,
8.0,AAME,,Atlantic American Corporation,,0.887,0.0,0.0,-0.516,-145.973,245.973,0.0,-0.0,-0.516,0.0,0.0,245.973,0.352,0.0,18.921,1367000.0,4800000.0,14963000.0,10.946,-1.119,14.0,-6.498,0.0,-1.929,inf,2.04,3.22,65679074.16,0.575,0.315,0.0,366000.0,225000.0,4434000.0,-103.889,4575000.0,-107.193,1.229,6.568,False,False,False,False,False,True,True,True,False,False,False,True,False,False,True,0.924,65679076.0,-4268000.0,188227000.0,393428000.0,293815000.0,107275000.0,37761000.0,0.0,0.0,0.0,0.0,4800000.0,225000.0,807000.0,366000.0,3419000.0,-996000.0,20397228.0,0.0,0.0,0.0,0.175,0.545,-0.163,-0.046,0.801,0.051,0.258,24.0,3.22,1635666.667,-971333.333,,,,,,,,,2025-12-21,3.22,10.0,15.0,66.667,🟡 WAIT,Need more confirmation,0.0,3.0,10.0,10.0,10.0,33.0,0.0,15.0,50.0,50.0,66.7,33.0,30.0,0.0,13.333,0.0,20.0,10.0,5.0,78.333,100.0,66.7,100.0,66.7,78.3,46.6,3.22,2.498,2.736,2.313,True,True,True,28.903,17.673,39.229,3.0,3.0,WAIT - Extended above MA,-0.012,-0.076,0.064,True,False,True,True,False,,2.0,3.0,BUY - Momentum building,67.944,True,True,True,Bullish,3.0,3.0,BUY - Acceptable zone,3.22,2.635,True,False,True,132700.0,27895.0,4.757,36900.0,18050.0,2.0,3.0,BUY - Good volume support,3.22,3.24,3.05,0.621,5.28,False,True,"[np.float64(3.4600000381469727), np.float64(3.6600000858306885), np.float64(3.7100000381469727)]","[np.float64(2.5999999046325684), np.float64(2.740000009536743), np.float64(3.049999952316284)]",0.0,3.0,"WAIT - Near resistance, likely pullback",680.59,673.14,,True,False,False,14.91,True,2.0,4.0,NEUTRAL,Selective - Take 3-5 positions,120.941,15.18,105.76,True,STRONG - Significant outperformance,,,,,,
9.0,AAOI,,"Applied Optoelectronics, Inc.",-47.725,-28.586,1.184,1.059,-43.478,0.0,100.0,9.988,-56.043,-43.478,1.059,9.988,100.0,0.888,-10.33,-0.001,-363340000.0,-69526000.0,-103121000.0,0.284,-47.98,inf,-8.732,0.0,5.632,inf,6.828,31.32,2138526092.16,0.089,5.071,237278000.0,22645000.0,43912000.0,-92171000.0,49.36,-113438000.0,60.749,0.0,213.853,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.326,2138526080.0,-186733000.0,249365000.0,547032000.0,317920000.0,214869000.0,190860000.0,17195000.0,301268000.0,170069000.0,131199000.0,-69526000.0,43912000.0,0.0,20649000.0,6826000.0,2000.0,68279888.0,228881000.0,8397000.0,173665000.0,-20.315,-40.921,-84.118,-39.891,0.044,0.629,0.658,255.0,31.32,-95531000.0,-103059333.333,121969400.0,33678800.0,-158628800.0,336838400.0,0.567,510503400.0,-31.073,-55.437,2025-12-21,31.32,12.0,15.0,80.0,🟢 STRONG BUY,Enter position,0.0,0.0,0.0,11.0,7.0,18.0,0.0,0.0,0.0,55.0,46.7,18.0,30.0,0.0,20.0,0.0,20.0,15.0,5.0,90.0,100.0,100.0,100.0,100.0,90.0,39.6,31.32,27.865,28.625,23.009,True,True,True,12.397,9.414,36.121,3.0,3.0,WAIT - Extended above MA,1.028,0.77,0.258,True,True,True,True,False,,3.0,3.0,BUY - Momentum building,56.529,True,True,True,Bullish,3.0,3.0,STRONG BUY - Ideal zone,31.32,29.039,True,True,True,5120000.0,4945220.0,1.035,7453160.0,4331850.0,3.0,3.0,STRONG BUY - Institutional accumulation,31.32,31.58,28.85,0.83,7.886,False,True,"[np.float64(35.20000076293945), np.float64(37.04999923706055), np.float64(38.9900016784668)]","[np.float64(26.66200065612793), np.float64(27.0), np.float64(28.850000381469727)]",0.0,3.0,"WAIT - Near resistance, likely pullback",680.59,673.14,,True,False,False,14.91,True,2.0,4.0,NEUTRAL,Selective - Take 3-5 positions,-17.187,15.18,-32.367,False,AVOID - Significant underperformance,50.0,15.0,36.6,43.0,,
10.0,AAON,,"AAON, Inc.",20.943,22.652,2.646,3.015,13.511,17.731,82.269,0.082,33.428,13.511,3.015,0.082,82.269,0.233,71.978,18.409,505316000.0,129797000.0,299276000.0,0.592,17.904,62.264,2.741,40.48,30.963,1.538,8.163,75.34,6150309929.72,0.028,4.675,525792000.0,144260000.0,213151000.0,-14463000.0,-8.58,-83354000.0,-49.451,0.424,615.031,False,True,True,False,True,True,True,False,False,False,False,False,False,False,True,-0.111,6150309376.0,168559000.0,1200635000.0,1175234000.0,350652000.0,735224000.0,170964000.0,7308000.0,488212000.0,174905000.0,313307000.0,129797000.0,213151000.0,26084000.0,189000.0,2905000.0,38032000.0,81634058.0,525792000.0,0.0,163656000.0,16.975,23.481,27.412,20.238,0.173,0.923,1.116,553.0,75.34,188217666.667,148852666.667,,,,,,,,,2025-12-21,75.34,4.0,15.0,26.667,🔴 AVOID,Poor setup,18.0,20.0,2.0,20.0,0.0,60.0,72.0,100.0,10.0,100.0,0.0,60.0,10.0,0.0,0.0,0.0,6.667,0.0,0.0,16.667,33.3,0.0,33.3,0.0,16.7,47.0,75.34,84.945,93.433,86.969,False,False,True,-11.307,-19.364,-13.371,1.0,3.0,AVOID,-5.29,-4.358,-0.932,False,False,False,True,False,,0.0,3.0,AVOID - Bearish momentum,31.478,True,False,False,Bearish,1.0,3.0,"CAUTION - Oversold, wait for bounce confirmation",75.34,83.496,False,False,False,1729700.0,992425.0,1.743,1080780.0,1260275.0,0.0,3.0,"AVOID - Below VWMA, weak support",75.34,95.139,73.19,26.279,2.854,False,False,"[np.float64(106.46678195957689), np.float64(114.97499172806381), np.float64(137.27317818678344)]","[np.float64(95.38856245003394), np.float64(108.12627781564541), np.float64(115.90077686538865)]",2.0,3.0,NEUTRAL - No clear level nearby,680.59,673.14,,True,False,False,14.91,True,2.0,4.0,NEUTRAL,Selective - Take 3-5 positions,-39.028,15.18,-54.209,False,AVOID - Significant underperformance,125.0,100.0,115.25,118.0,,
14.0,AAPL,,Apple Inc.,68.721,63.067,8.714,8.798,25.398,15.17,84.83,25.647,163.901,25.398,8.798,25.647,84.83,1.732,,15.61,402544000000.0,111482000000.0,462430000000.0,1.149,30.689,36.636,2.77,6.791,1.813,5.395,1477.635,273.67,4043844525510.0,0.024,9.759,49834000000.0,15852000000.0,12715000000.0,95630000000.0,85.376,98767000000.0,88.177,0.381,406136.973,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,0.858,4061369729024.0,112010000000.0,416161000000.0,359241000000.0,285508000000.0,56950000000.0,98657000000.0,14585000000.0,147957000000.0,165631000000.0,-17674000000.0,111482000000.0,12715000000.0,15421000000.0,11698000000.0,,20719000000.0,14776353000.0,49834000000.0,0.0,84072000000.0,26.815,164.681,157.413,26.126,0.017,0.644,0.655,7073.0,273.67,123522333333.333,100913666666.667,88095400000.0,24417200000.0,143182800000.0,145045400000.0,0.68,229117400000.0,52.738,77.224,2025-12-21,273.67,9.0,15.0,60.0,🟡 WAIT,Need more confirmation,25.0,6.0,0.0,13.0,13.0,57.0,100.0,30.0,0.0,65.0,86.7,57.0,30.0,5.0,6.667,0.0,13.333,10.0,5.0,70.0,100.0,33.3,66.7,66.7,70.0,60.9,273.67,277.514,269.411,229.541,True,True,True,-1.385,1.581,19.225,3.0,3.0,BUY - Ideal pullback entry,1.025,2.439,-1.414,False,True,False,True,False,,1.0,3.0,AVOID - Bearish momentum,49.017,True,False,True,Bearish,2.0,3.0,STRONG BUY - Ideal zone,273.67,276.952,False,True,True,144599200.0,48539960.0,2.979,61289940.0,41497275.0,2.0,3.0,"AVOID - Below VWMA, weak support",273.67,276.7,265.32,1.107,3.051,False,True,"[np.float64(258.9889308017334), np.float64(276.70001220703125), np.float64(288.6199951171875)]","[np.float64(223.56327948127884), np.float64(243.76369637579657), np.float64(265.32000732421875)]",1.0,3.0,"WAIT - Near resistance, likely pullback",680.59,673.14,,True,False,False,14.91,True,2.0,4.0,NEUTRAL,Selective - Take 3-5 positions,8.023,15.18,-7.157,False,WEAK - Slight underperformance,350.0,215.0,287.707,300.0,,
16.0,AARD,,"Aardvark Therapeutics, Inc.",-31.232,-57.064,0.0,0.0,-1.0,0.0,100.0,15.749,-15.749,-1.0,0.0,15.749,100.0,-0.022,inf,-0.0,-41360000.0,-18087000.0,-34454000.0,0.833,-195.406,inf,-6.867,0.0,0.0,inf,2.177,13.77,299817955.44,0.003,0.0,735000.0,596000.0,109000.0,-18683000.0,90.747,-18196000.0,88.382,0.0,29.982,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,1.033,299817952.0,-20588000.0,0.0,77507000.0,132150000.0,-34802000.0,779000.0,160000.0,74137000.0,4927000.0,69210000.0,-18087000.0,109000.0,0.0,16000.0,0.0,0.0,21773272.0,735000.0,0.0,619000.0,-60.178,39.198,46.035,-46.768,0.146,0.532,0.622,74.0,13.77,-13398333.333,-13786666.667,25250200.0,5803000.0,-11108000.0,-9551800.0,-0.082,-8932800.0,93.263,215.541,2025-12-21,13.77,13.0,15.0,86.667,🟢 STRONG BUY,Enter position,7.0,0.0,0.0,17.0,11.0,35.0,28.0,0.0,0.0,85.0,73.3,35.0,30.0,0.0,20.0,0.0,20.0,15.0,5.0,90.0,100.0,100.0,100.0,100.0,90.0,51.5,13.77,12.258,11.756,11.117,True,True,True,12.335,17.13,23.861,3.0,3.0,WAIT - Extended above MA,0.848,0.728,0.119,True,True,True,False,False,,3.0,3.0,HOLD - Bullish but watch for weakening,58.488,True,True,True,Bullish,3.0,3.0,STRONG BUY - Ideal zone,13.77,12.786,True,True,True,1186200.0,279340.0,4.246,446020.0,213775.0,3.0,3.0,STRONG BUY - Institutional accumulation,13.77,14.54,11.5,5.592,16.485,False,False,"[np.float64(16.0), np.float64(16.31999969482422), np.float64(17.940000534057617)]","[np.float64(10.289999961853027), np.float64(11.09000015258789), np.float64(11.5)]",1.0,3.0,NEUTRAL - No clear level nearby,680.59,673.14,,True,False,False,14.91,True,2.0,4.0,NEUTRAL,Selective - Take 3-5 positions,-3.774,15.18,-18.954,False,AVOID - Significant underperformance,50.0,18.0,32.444,29.0,,
20.0,ABAT,,American Battery Technology Company,-66.032,-62.279,0.079,0.029,-8187.177,-1.0,101.0,4.662,-242.17,-8187.177,0.029,4.662,-1.0,0.131,-2161.138,-0.0,-154995551.0,-28921158.0,-69203363.0,0.446,-60.203,inf,-9.063,0.0,0.0,inf,12.997,3.97,515980733.26,0.016,102.665,54158987.0,4567467.0,2548476.0,-33488625.0,71.614,-31469634.0,67.297,,51.598,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.158,515980736.0,-46762625.0,4290224.0,84457791.0,13858768.0,61467640.0,8035781.0,0.0,29532110.0,13668605.0,15863505.0,-28921158.0,2548476.0,,5158526.0,19445.0,0.0,129969958.0,54158987.0,0.0,0.0,-51.867,-62.998,-85.831,-68.93,0.042,0.195,0.204,177.0,3.97,-40383168.667,-40485196.333,24855502.8,6264993.4,-44538012.4,86323142.8,0.093,94358923.8,-35.4,-54.172,2025-12-21,3.97,9.0,15.0,60.0,🟡 WAIT,Need more confirmation,0.0,0.0,0.0,8.0,7.0,15.0,0.0,0.0,0.0,40.0,46.7,15.0,20.0,5.0,13.333,0.0,13.333,10.0,5.0,66.667,66.7,66.7,66.7,66.7,66.7,30.5,3.97,3.854,4.703,2.693,False,True,True,3.01,-15.58,47.428,2.0,3.0,WAIT - Partial trend,-0.09,-0.12,0.03,True,False,True,True,False,,2.0,3.0,BUY - Momentum building,49.062,True,False,True,Bearish,2.0,3.0,STRONG BUY - Ideal zone,3.97,3.869,True,False,True,16995300.0,5813520.0,2.923,7362420.0,5405050.0,2.0,3.0,BUY - Good volume support,3.97,4.41,3.23,11.083,18.64,False,False,"[np.float64(3.890000104904175), np.float64(4.409999847412109), np.float64(11.489999771118164)]","[np.float64(2.2200000286102295), np.float64(3.2300000190734863), np.float64(4.760000228881836)]",1.0,3.0,NEUTRAL - No clear level nearby,680.59,673.14,,True,False,False,14.91,True,2.0,4.0,NEUTRAL,Selective - Take 3-5 positions,257.658,15.18,242.477,True,STRONG - Significant outperformance,6.0,6.0,6.0,6.0,,
21.0,ABCL,,AbCellera Biologics Inc.,-23.455,-7.928,0.092,1.065,-305.726,0.0,100.0,21.084,-346.629,-305.726,1.065,21.084,100.0,0.057,,18.732,2728000.0,-108556000.0,369511000.0,135.451,-10.944,inf,-15.113,0.0,-57.485,inf,29.934,3.6,1077606172.8,0.061,30.505,340429000.0,149731000.0,78396000.0,-258287000.0,158.597,-186952000.0,114.795,0.0,107.761,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,2.379,1077606144.0,-162857000.0,28833000.0,1360553000.0,304469000.0,1152318000.0,65364000.0,8626000.0,751370000.0,76612000.0,674758000.0,-108556000.0,78396000.0,0.0,96998000.0,,-37538000.0,299335048.0,340429000.0,0.0,56738000.0,0.71,0.88,-12.273,-9.666,0.229,0.377,0.489,188.0,3.6,-99044333.333,-50245333.333,397337600.0,102571600.0,-236458600.0,1549655600.0,0.042,1606393600.0,-11.963,-10.509,2025-12-21,3.6,8.0,15.0,53.333,🟡 WAIT,Need more confirmation,0.0,0.0,0.0,13.0,15.0,28.0,0.0,0.0,0.0,65.0,100.0,28.0,10.0,5.0,13.333,0.0,13.333,10.0,5.0,56.667,33.3,66.7,66.7,66.7,56.7,36.6,3.6,3.577,4.382,3.688,False,False,True,0.629,-17.838,-2.383,1.0,3.0,AVOID,-0.189,-0.236,0.048,True,False,True,True,False,,2.0,3.0,BUY - Momentum building,43.859,True,False,True,Bearish,2.0,3.0,BUY - Acceptable zone,3.6,3.579,True,False,True,3777100.0,3699615.0,1.021,3366825.0,2931180.0,2.0,3.0,BUY - Good volume support,3.6,4.085,3.32,13.472,7.778,False,False,"[np.float64(5.010000228881836), np.float64(5.820000171661377), np.float64(6.514999866485596)]","[np.float64(3.930000066757202), np.float64(4.010000228881836), np.float64(5.329999923706055)]",1.0,3.0,BUY - Good risk/reward setup,680.59,673.14,,True,False,False,14.91,True,2.0,4.0,NEUTRAL,Selective - Take 3-5 positions,26.316,15.18,11.135,True,STRONG - Significant outperformance,16.0,7.0,9.833,9.5,,
23.0,ABEO,,Abeona Therapeutics Inc.,-64.461,-79.934,0.0,0.151,-2177.792,0.0,100.0,32.62,-361.789,-2177.792,0.151,32.62,100.0,1.555,-15.259,-0.0,-242554000.0,-56015000.0,-202172000.0,0.834,-99.581,4.223,-23.015,0.0,0.0,inf,5.419,5.11,276917854.71,0.083,692.295,8606000.0,3525000.0,2446000.0,-59540000.0,93.42,-58461000.0,91.727,0.0,27.692,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1.063,276917856.0,-63734000.0,0.0,108931000.0,64900000.0,14826000.0,23048000.0,1143000.0,100853000.0,16587000.0,84266000.0,-56015000.0,2446000.0,0.0,2907000.0,4208000.0,0.0,54191361.0,7982000.0,624000.0,21905000.0,-69.868,-187.723,-260.601,-84.526,0.103,0.668,0.745,139.0,5.11,-50752000.0,-52539333.333,92102200.0,26628400.0,-51794400.0,106928200.0,0.216,128833200.0,-30.152,-59.604,2025-12-21,5.11,11.0,15.0,73.333,🟢 STRONG BUY,Enter position,0.0,0.0,6.0,10.0,11.0,27.0,0.0,0.0,30.0,50.0,73.3,27.0,10.0,5.0,20.0,0.0,20.0,15.0,5.0,75.0,33.3,100.0,100.0,100.0,75.0,41.4,5.11,4.983,4.939,5.656,True,False,False,2.559,3.462,-9.654,1.0,3.0,AVOID,0.066,0.063,0.003,True,True,True,True,False,,3.0,3.0,BUY - Momentum building,53.323,True,True,True,Bullish,3.0,3.0,STRONG BUY - Ideal zone,5.11,5.002,True,True,True,1542500.0,1376965.0,1.12,1499820.0,1182275.0,3.0,3.0,STRONG BUY - Institutional accumulation,5.11,6.84,4.0,33.855,21.722,False,False,"[np.float64(7.119999885559082), np.float64(7.320000171661377), np.float64(7.539999961853027)]","[np.float64(5.659999847412109), np.float64(5.929999828338623), np.float64(6.110000133514404)]",1.0,3.0,NEUTRAL - No clear level nearby,680.59,673.14,,True,False,False,14.91,True,2.0,4.0,NEUTRAL,Selective - Take 3-5 positions,-10.351,15.18,-25.531,False,AVOID - Significant underperformance,28.0,14.0,20.643,19.0,,
