warning,analysis_date,current_price,total_score,max_score,score_percentage,overall_technical_signal,action,ticker,profitability_score,growth_score,valuation_score,financial_health_score,cashflow_quality_score,fundamental_total_score,profitability_pct,growth_pct,valuation_pct,financial_health_pct,cashflow_quality_pct,fundamental_total_pct,ma_score,ma_distance_bonus,macd_score,macd_crossover_bonus,rsi_score,vwma_score,vwma_volume_bonus,technical_total_score,ma_pct,macd_pct,rsi_pct,vwma_pct,technical_total_pct,combined_score,moving_averages.current_price,moving_averages.SMA_20,moving_averages.SMA_50,moving_averages.SMA_200,moving_averages.above_50,moving_averages.above_200,moving_averages.golden_cross,moving_averages.dist_from_20,moving_averages.dist_from_50,moving_averages.dist_from_200,moving_averages.score,moving_averages.max_score,moving_averages.signal,macd.MACD,macd.MACD_signal,macd.MACD_hist,macd.bullish_crossover,macd.above_zero,macd.histogram_positive,macd.histogram_growing,macd.recent_crossover,macd.crossover_days_ago,macd.score,macd.max_score,macd.signal,rsi.RSI,rsi.not_overbought,rsi.above_50,rsi.in_sweet_spot,rsi.zone,rsi.score,rsi.max_score,rsi.signal,vwma.current_price,vwma.VWMA,vwma.above_vwma,vwma.vwma_rising,vwma.volume_pattern_bullish,vwma.current_volume,vwma.avg_volume,vwma.volume_ratio,vwma.avg_volume_up_days,vwma.avg_volume_down_days,vwma.score,vwma.max_score,vwma.signal,support_resistance.current_price,support_resistance.nearest_resistance,support_resistance.nearest_support,support_resistance.dist_to_resistance_%,support_resistance.dist_to_support_%,support_resistance.at_support,support_resistance.near_resistance,support_resistance.resistance_levels,support_resistance.support_levels,support_resistance.score,support_resistance.max_score,support_resistance.signal,market_context.SPY_price,market_context.SPY_50MA,market_context.SPY_200MA,market_context.above_50,market_context.above_200,market_context.golden_cross,market_context.VIX,market_context.low_vix,market_context.score,market_context.total_checks,market_context.market_state,market_context.recommendation,relative_strength.stock_return_%,relative_strength.benchmark_return_%,relative_strength.outperformance_%,relative_strength.outperforming,relative_strength.signal,longName,ROCE,ROCE (3yr avg),NFAT,NFAT (3yr avg),NPM,DPR,Retention Ratio,Dep,SSGR,Av NPM (over 3 years),Av NFA/T (over 3 years),Av Dep%NFA (over 3 years),Av Retention ratio (over 3 years),d/e,Interest coverage,tax %,cPAT,CFO,cCFO,cCFO/cPAT,p/a,p/e,EY,Earnings Growth 5yr cagr,Sales Growth 5yr cagr,PEG,no. shares (cr),Current Price,market cap,d/e_market,p/s,NFA + CWIP,Capex,Capex_from_cashflow_statement,FCF,FCF%_from_balance_sheet,FCF_capex_from_cashflow,FCF%,DV,Mcap (cr),d/e decreasing trend 5 yrs,Sales cagr >15%,npm >8%,Tax payout >25%,Interest coverage >3,d/e <0.5,CFO >0,cCFO > PAT,p/e <10,peg <1,EY >7%,p/b <3,DV >3%,EY >7,sgr > Sales growth (very linear),FCF/CFO,Market Cap,Net Income,Total Revenue,Total Assets,Total Liabilities,Total Stockholders Equity,Total Debt,Cash and Cash Equivalents,Current Assets,Current Liabilities,Working Capital,Operating Cash Flow,Capital Expenditure,Dividends Paid,Depreciation & Amortization,Interest Expense,Income Tax Expense,Shares Outstanding,Net Fixed Assets,Construction in Progress,Net Debt,3-5yr Average ROA (%),3-5yr Average ROE (%),ROE,ROA,warning_major_holders,current,Normalized EBIT,Normalized Net Income,Research Asset,R&D Amortization,Adjusted EBIT (R&D),Adjusted Book Equity (R&D),Adjusted D/E (R&D),Adjusted Invested Capital (R&D),Adjusted ROC (R&D),Adjusted ROE (R&D),high,low,mean,median,error_fundamental
Missing financial statements for AACB,2026-01-01,10.3,7,15,46.667,🔴 AVOID,Poor setup,AACB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,10.0,5,6.667,0,20.0,0.0,0,41.667,33.3,33.3,100.0,0.0,41.7,12.5,10.3,10.306,10.276,,True,False,False,-0.056,0.235,,1,3,AVOID,0.006,0.009,-0.004,False,True,False,True,False,,1,3.0,AVOID - Bearish momentum,55.156,True,True,True,Bullish,3,3.0,STRONG BUY - Ideal zone,10.3,10.302,False,False,False,4400.0,48045.0,0.092,77400.0,249150.0,0,3.0,"AVOID - Below VWMA, weak support",10.3,10.34,10.23,0.388,0.68,True,True,"[np.float64(10.119999885559082), np.float64(10.229999542236328), np.float64(10.34000015258789)]","[np.float64(9.949999809265137), np.float64(10.09000015258789), np.float64(10.229999542236328)]",2,3,BUY - At support but near resistance,681.92,676.823,,True,False,False,14.95,True,2,4,NEUTRAL,Selective - Take 3-5 positions,4.251,11.039,-6.788,False,WEAK - Slight underperformance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missing financial statements for AACBR,2026-01-01,0.33,0,15,0.0,🔴 AVOID,Poor setup,AACBR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,5,0.0,0,0.0,0.0,0,5.0,0.0,0.0,0.0,0.0,5.0,1.5,0.33,,,,False,False,False,,,,0,3,AVOID,,,,,,,,,,0,,N/A,,,,,,0,,N/A,,,,,,,,,,,0,,N/A,0.33,,,,,False,False,[],[],0,3,NEUTRAL - No clear level nearby,681.92,676.823,,True,False,False,14.95,True,2,4,NEUTRAL,Selective - Take 3-5 positions,0.0,11.039,-11.039,False,AVOID - Significant underperformance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missing financial statements for AACBU,2026-01-01,10.6,12,15,80.0,🟢 STRONG BUY,Enter position,AACBU,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,30.0,5,20.0,0,20.0,5.0,0,80.0,100.0,100.0,100.0,33.3,80.0,24.0,10.6,10.582,10.588,10.366,True,True,True,0.17,0.11,2.259,3,3,BUY - Ideal pullback entry,0.01,0.009,0.001,True,True,True,False,False,,3,3.0,HOLD - Bullish but watch for weakening,54.448,True,True,True,Bullish,3,3.0,STRONG BUY - Ideal zone,10.6,10.6,False,True,False,0.0,55.0,0.0,0.0,0.0,1,3.0,"AVOID - Below VWMA, weak support",10.6,10.7,10.54,0.943,0.566,True,True,"[np.float64(11.170000076293945), np.float64(11.350000381469727), np.float64(12.149999618530273)]","[np.float64(10.270000457763672), np.float64(10.40999984741211), np.float64(10.539999961853027)]",2,3,BUY - At support but near resistance,681.92,676.823,,True,False,False,14.95,True,2,4,NEUTRAL,Selective - Take 3-5 positions,6.0,11.039,-5.039,False,WEAK - Slight underperformance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-01-01,0.79,5,15,33.333,🔴 AVOID,Poor setup,AACG,2,0,4,13,7,26,8.0,0.0,20.0,65.0,46.7,26,0.0,0,13.333,5,6.667,5.0,5,35.0,0.0,66.7,33.3,33.3,35.0,28.7,0.79,0.896,1.102,1.213,False,False,False,-11.83,-28.286,-34.845,0,3,AVOID,-0.101,-0.103,0.001,True,False,True,True,True,1.0,2,3.0,STRONG BUY - Fresh crossover (1 days ago),35.436,True,False,False,Bearish,1,3.0,"CAUTION - Oversold, wait for bounce confirmation",0.79,0.871,False,False,True,27900.0,17405.0,1.603,21900.0,18740.0,1,3.0,"AVOID - Below VWMA, weak support",0.79,1.41,0.74,78.481,6.329,False,False,"[np.float64(2.130000114440918), np.float64(2.299999952316284), np.float64(2.5799999237060547)]","[np.float64(1.2699999809265137), np.float64(1.559999942779541), np.float64(2.0)]",1,3,BUY - Good risk/reward setup,681.92,676.823,,True,False,False,14.95,True,2,4,NEUTRAL,Selective - Take 3-5 positions,-10.227,11.039,-21.266,False,AVOID - Significant underperformance,ATA Creativity Global,-42.022,-34.657,4.181,3.509,-17.27,0.0,100.0,35.114,-95.709,-17.27,3.509,35.114,100.0,0.311,inf,15.063,-151300524.0,-3345170.0,-41041269.0,0.271,-8.041,inf,-143.76,0.0,9.853,inf,3.177,0.79,25109775.928,1.402,0.08970938,74605847.0,45205087.0,20024903.0,-48550257.0,134.497,-23370073.0,64.741,0.0,2.511,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,14.514,25109776.0,-36097777.0,268060162.0,456927265.0,377281073.0,113037868.0,35206485.0,2198052.0,66639674.0,354495409.0,-287855735.0,-3345170.0,20024903.0,0.0,24226472.0,0.0,-6401691.0,31772461.0,74605847.0,0.0,33008433.0,-7.913,-27.652,-37.456,-7.97,Could not process major_holders: index 1 is out of bounds for axis 0 with size 1,0.79,-47042208.0,-39216977.0,16202174.6,5385078.8,-44726056.8,129240042.6,0.272,162248475.6,-23.414,-27.931,,,,,
Missing financial statements for AADR,2026-01-01,86.26,13,15,86.667,🟢 STRONG BUY,Enter position,AADR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,30.0,5,20.0,0,20.0,15.0,5,95.0,100.0,100.0,100.0,100.0,95.0,28.5,86.26,85.75,84.698,80.287,True,True,True,0.595,1.845,7.439,3,3,BUY - Ideal pullback entry,0.603,0.544,0.059,True,True,True,False,True,7.0,3,3.0,HOLD - Bullish but watch for weakening,54.522,True,True,True,Bullish,3,3.0,STRONG BUY - Ideal zone,86.26,85.643,True,True,True,1400.0,1650.0,0.848,1433.333,1100.0,3,3.0,STRONG BUY - Institutional accumulation,86.26,87.532,84.047,1.474,2.566,False,True,"[np.float64(84.13663050402222), np.float64(85.89355428927932), np.float64(87.5315267916196)]","[np.float64(80.86454253151177), np.float64(82.17815840977028), np.float64(84.04684986517321)]",1,3,"WAIT - Near resistance, likely pullback",681.92,676.823,,True,False,False,14.95,True,2,4,NEUTRAL,Selective - Take 3-5 positions,23.136,11.039,12.097,True,STRONG - Significant outperformance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missing financial statements for AAEQ,2026-01-01,49.328,3,15,20.0,🔴 AVOID,Poor setup,AAEQ,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,5,20.0,0,0.0,0.0,0,25.0,0.0,100.0,0.0,0.0,25.0,7.5,49.328,,,,False,False,False,,,,0,3,AVOID,0.068,0.045,0.023,True,True,True,False,True,7.0,3,3.0,HOLD - Bullish but watch for weakening,,,,,,0,,N/A,,,,,,,,,,,0,,N/A,49.328,,,,,False,False,[],[],0,3,NEUTRAL - No clear level nearby,681.92,676.823,,True,False,False,14.95,True,2,4,NEUTRAL,Selective - Take 3-5 positions,-0.338,11.039,-11.377,False,AVOID - Significant underperformance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-01-01,15.33,10,15,66.667,🟡 WAIT,Need more confirmation,AAL,0,7,11,5,5,28,0.0,35.0,55.0,25.0,33.3,28,30.0,5,6.667,0,20.0,10.0,0,71.667,100.0,33.3,100.0,66.7,71.7,41.1,15.33,15.283,13.967,12.139,True,True,True,0.308,9.762,26.286,3,3,BUY - Ideal pullback entry,0.463,0.574,-0.11,False,True,False,False,False,,1,3.0,AVOID - Bearish momentum,56.623,True,True,True,Bullish,3,3.0,STRONG BUY - Ideal zone,15.33,15.308,True,True,False,27700900.0,53087680.0,0.522,44605840.0,50272200.0,2,3.0,HOLD - Above VWMA but watch volume,15.33,16.35,12.48,6.654,18.591,False,False,"[np.float64(16.350000381469727), np.float64(17.399999618530273), np.float64(19.100000381469727)]","[np.float64(12.479999542236328), np.float64(16.219999313354492), np.float64(16.549999237060547)]",1,3,NEUTRAL - No clear level nearby,681.92,676.823,,True,False,False,14.95,True,2,4,NEUTRAL,Selective - Take 3-5 positions,-9.824,11.039,-20.862,False,AVOID - Significant underperformance,American Airlines Group Inc.,8.237,7.058,1.405,1.357,1.126,-1.0,101.0,5.892,-4.349,1.126,1.357,5.892,-1.0,-7.217,1.667,26.69,-198000000.0,3983000000.0,10663000000.0,-53.854,1.342,17.621,8.36,0.0,21.962,inf,66.009,15.33,10119125968.35,3.71,0.18637648,39472000000.0,2254000000.0,2683000000.0,1729000000.0,204.374,1300000000.0,153.664,,1011.912,True,True,False,True,False,True,True,False,False,False,True,True,False,True,False,0.434,10119124992.0,846000000.0,54211000000.0,61783000000.0,65760000000.0,-5202000000.0,37544000000.0,794000000.0,13154000000.0,24295000000.0,-11141000000.0,3983000000.0,2683000000.0,,2245000000.0,1934000000.0,308000000.0,660086495.0,38460000000.0,1012000000.0,36750000000.0,-0.041,-2.04,-18.433,1.355,Could not process major_holders: index 1 is out of bounds for axis 0 with size 1,15.33,2834000000.0,598333333.333,,,,,,,,,20.0,10.0,15.874,16.0,
Missing financial statements for AALG,2026-01-01,17.721,8,15,53.333,🟡 WAIT,Need more confirmation,AALG,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,10.0,5,6.667,0,20.0,10.0,0,51.667,33.3,33.3,100.0,66.7,51.7,15.5,17.721,17.74,15.128,,True,False,False,-0.107,17.143,,1,3,AVOID,0.901,1.139,-0.238,False,True,False,False,False,,1,3.0,AVOID - Bearish momentum,55.08,True,True,True,Bullish,3,3.0,STRONG BUY - Ideal zone,17.721,17.614,True,True,False,700.0,8585.0,0.082,5016.667,6800.0,2,3.0,HOLD - Above VWMA but watch volume,17.721,20.109,13.111,13.476,26.016,False,False,"[np.float64(15.25653063291858), np.float64(16.260509147485127), np.float64(20.109091455063222)]","[np.float64(11.388260822350812), np.float64(12.32333977092844), np.float64(13.110772269414303)]",1,3,NEUTRAL - No clear level nearby,681.92,676.823,,True,False,False,14.95,True,2,4,NEUTRAL,Selective - Take 3-5 positions,34.84,11.039,23.801,True,STRONG - Significant outperformance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-01-01,2.83,13,15,86.667,🟢 STRONG BUY,Enter position,AAME,0,3,10,10,10,33,0.0,15.0,50.0,50.0,66.7,33,30.0,0,20.0,0,20.0,10.0,5,85.0,100.0,100.0,100.0,66.7,85.0,48.6,2.83,2.592,2.703,2.358,True,True,True,9.203,4.714,20.017,3,3,WAIT - Extended above MA,0.031,0.0,0.031,True,True,True,True,False,,3,3.0,BUY - Momentum building,55.32,True,True,True,Bullish,3,3.0,STRONG BUY - Ideal zone,2.83,2.764,True,False,True,10700.0,30130.0,0.355,43450.0,42440.0,2,3.0,BUY - Good volume support,2.83,3.17,2.74,12.014,3.18,False,False,"[np.float64(3.4600000381469727), np.float64(3.6600000858306885), np.float64(3.7100000381469727)]","[np.float64(2.5999999046325684), np.float64(2.740000009536743), np.float64(3.049999952316284)]",2,3,BUY - Good risk/reward setup,681.92,676.823,,True,False,False,14.95,True,2,4,NEUTRAL,Selective - Take 3-5 positions,92.878,11.039,81.839,True,STRONG - Significant outperformance,Atlantic American Corporation,-0.459,0.447,0.0,0.0,-0.516,-145.973,245.973,0.0,-0.0,-0.516,0.0,0.0,245.973,0.352,0.0,18.921,1367000.0,4800000.0,14963000.0,10.946,-1.119,12.304,-7.394,0.0,-1.929,inf,2.04,2.83,57724155.24,0.654,0.2772294,0.0,366000.0,225000.0,4434000.0,-103.889,4575000.0,-107.193,1.398,5.772,False,False,False,False,False,True,True,True,False,False,False,True,False,False,True,0.924,57724152.0,-4268000.0,188227000.0,393428000.0,293815000.0,107275000.0,37761000.0,0.0,0.0,0.0,0.0,4800000.0,225000.0,807000.0,366000.0,3419000.0,-996000.0,20397228.0,0.0,0.0,0.0,0.078,-0.002,-4.126,-1.102,Could not process major_holders: index 1 is out of bounds for axis 0 with size 1,2.83,1635666.667,-971333.333,,,,,,,,,,,,,
,2026-01-01,34.86,12,15,80.0,🟢 STRONG BUY,Enter position,AAOI,0,0,0,11,7,18,0.0,0.0,0.0,55.0,46.7,18,30.0,0,20.0,0,20.0,15.0,5,90.0,100.0,100.0,100.0,100.0,90.0,39.6,34.86,32.608,29.638,23.73,True,True,True,6.905,17.618,46.902,3,3,WAIT - Extended above MA,2.598,2.284,0.314,True,True,True,False,False,,3,3.0,HOLD - Bullish but watch for weakening,55.64,True,True,True,Bullish,3,3.0,STRONG BUY - Ideal zone,34.86,33.697,True,True,True,2744200.0,5100835.0,0.538,6229440.0,3156450.0,3,3.0,STRONG BUY - Institutional accumulation,34.86,35.2,28.85,0.975,17.24,False,True,"[np.float64(37.04999923706055), np.float64(38.9900016784668), np.float64(41.959999084472656)]","[np.float64(26.66200065612793), np.float64(27.0), np.float64(28.850000381469727)]",0,3,"WAIT - Near resistance, likely pullback",681.92,676.823,,True,False,False,14.95,True,2,4,NEUTRAL,Selective - Take 3-5 positions,-2.079,11.039,-13.117,False,AVOID - Significant underperformance,"Applied Optoelectronics, Inc.",-47.725,-28.586,1.149,1.046,-43.478,0.0,100.0,9.988,-55.475,-43.478,1.046,9.988,100.0,0.888,-10.33,-0.001,-363340000.0,-69526000.0,-103121000.0,0.284,-47.98,inf,-7.845,0.0,5.632,inf,6.828,34.86,2380236895.68,0.08,5.644224,237278000.0,22645000.0,43912000.0,-92171000.0,49.36,-113438000.0,60.749,0.0,238.024,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.326,2380237056.0,-186733000.0,249365000.0,547032000.0,317920000.0,214869000.0,190860000.0,17195000.0,301268000.0,170069000.0,131199000.0,-69526000.0,43912000.0,0.0,20649000.0,6826000.0,2000.0,68279888.0,228881000.0,8397000.0,173665000.0,-20.315,-40.921,-84.118,-39.891,Could not process major_holders: index 1 is out of bounds for axis 0 with size 1,34.86,-95531000.0,-103059333.333,121969400.0,33678800.0,-158628800.0,336838400.0,0.567,510503400.0,-31.073,-55.437,50.0,15.0,36.6,43.0,
