,ticker,longName,ROCE,ROCE (3yr avg),NFAT,NFAT (3yr avg),NPM,DPR,Retention Ratio,Dep,SSGR,Av NPM (over 3 years),Av NFA/T (over 3 years),Av Dep%NFA (over 3 years),Av Retention ratio (over 3 years),d/e,Interest coverage,tax %,cPAT,CFO,cCFO,cCFO/cPAT,p/a,p/e,EY,Earnings Growth 5yr cagr,Sales Growth 5yr cagr,PEG,no. shares (cr),Current Price,market cap,d/e_market,p/s,NFA + CWIP,Capex,Capex_from_cashflow_statement,FCF,FCF%_from_balance_sheet,FCF_capex_from_cashflow,FCF%,DV,Mcap (cr),d/e decreasing trend 5 yrs,Sales cagr >15%,npm >8%,Tax payout >25%,Interest coverage >3,d/e <0.5,CFO >0,cCFO > PAT,p/e <10,peg <1,EY >7%,p/b <3,DV >3%,EY >7,sgr > Sales growth (very linear),FCF/CFO,Market Cap,Net Income,Total Revenue,Total Assets,Total Liabilities,Total Stockholders Equity,Total Debt,Cash and Cash Equivalents,Current Assets,Current Liabilities,Working Capital,Operating Cash Flow,Capital Expenditure,Dividends Paid,Depreciation & Amortization,Interest Expense,Income Tax Expense,Shares Outstanding,Net Fixed Assets,Construction in Progress,Net Debt,3-5yr Average ROA (%),3-5yr Average ROE (%),ROE,ROA,insidersPercentHeld,institutionsPercentHeld,institutionsFloatPercentHeld,institutionsCount,current,high,low,mean,median,Normalized EBIT,Normalized Net Income,analysis_date,current_price,total_score,max_score,score_percentage,overall_technical_signal,action,profitability_score,growth_score,valuation_score,financial_health_score,cashflow_quality_score,fundamental_total_score,profitability_pct,growth_pct,valuation_pct,financial_health_pct,cashflow_quality_pct,fundamental_total_pct,ma_score,ma_distance_bonus,macd_score,macd_crossover_bonus,rsi_score,vwma_score,vwma_volume_bonus,technical_total_score,ma_pct,macd_pct,rsi_pct,vwma_pct,technical_total_pct,combined_score,moving_averages.current_price,moving_averages.SMA_20,moving_averages.SMA_50,moving_averages.SMA_200,moving_averages.above_50,moving_averages.above_200,moving_averages.golden_cross,moving_averages.dist_from_20,moving_averages.dist_from_50,moving_averages.dist_from_200,moving_averages.score,moving_averages.max_score,moving_averages.signal,macd.MACD,macd.MACD_signal,macd.MACD_hist,macd.bullish_crossover,macd.above_zero,macd.histogram_positive,macd.histogram_growing,macd.recent_crossover,macd.crossover_days_ago,macd.score,macd.max_score,macd.signal,rsi.RSI,rsi.not_overbought,rsi.above_50,rsi.in_sweet_spot,rsi.zone,rsi.score,rsi.max_score,rsi.signal,vwma.current_price,vwma.VWMA,vwma.above_vwma,vwma.vwma_rising,vwma.volume_pattern_bullish,vwma.current_volume,vwma.avg_volume,vwma.volume_ratio,vwma.avg_volume_up_days,vwma.avg_volume_down_days,vwma.score,vwma.max_score,vwma.signal,support_resistance.current_price,support_resistance.nearest_resistance,support_resistance.nearest_support,support_resistance.dist_to_resistance_%,support_resistance.dist_to_support_%,support_resistance.at_support,support_resistance.near_resistance,support_resistance.resistance_levels,support_resistance.support_levels,support_resistance.score,support_resistance.max_score,support_resistance.signal,market_context.SPY_price,market_context.SPY_50MA,market_context.SPY_200MA,market_context.above_50,market_context.above_200,market_context.golden_cross,market_context.VIX,market_context.low_vix,market_context.score,market_context.total_checks,market_context.market_state,market_context.recommendation,relative_strength.stock_return_%,relative_strength.benchmark_return_%,relative_strength.outperformance_%,relative_strength.outperforming,relative_strength.signal,Research Asset,R&D Amortization,Adjusted EBIT (R&D),Adjusted Book Equity (R&D),Adjusted D/E (R&D),Adjusted Invested Capital (R&D),Adjusted ROC (R&D),Adjusted ROE (R&D),error
0,PGR,The Progressive Corporation,,4.408,90.177,66.897,6.333,17.096,82.904,30.648,320.561,6.333,66.897,30.648,82.904,0.34,0.0,20.844,16455900000.0,15119000000.0,40372700000.0,2.453,9.561,12.564,6.321,36.433,16.479,0.345,58.64,228.79,134161823624.44,0.051,1.575,790000000.0,193000000.0,285000000.0,14926000000.0,176.014,14834000000.0,174.929,0.508,13416.245,False,True,False,False,False,True,True,True,False,True,False,False,False,False,True,0.987,134162448384.0,8480000000.0,75343000000.0,105745000000.0,80154000000.0,20277000000.0,6893000000.0,0.0,0.0,0.0,0.0,15119000000.0,285000000.0,682000000.0,284000000.0,279000000.0,2233000000.0,586397236.0,790000000.0,0.0,0.0,2.87,12.907,21.583,4.755,0.003,0.882,0.885,2438.0,228.79,350.0,189.0,257.441,257.0,5776666666.667,4368333333.333,2025-11-30,228.79,10.0,15.0,66.667,🟡 WAIT,Need more confirmation,3.0,18.0,17.0,13.0,15.0,66.0,12.0,90.0,85.0,65.0,100.0,66.0,10.0,5.0,20.0,0.0,20.0,10.0,0.0,65.0,33.3,100.0,100.0,66.7,65.0,65.7,228.79,219.912,227.58,255.101,True,False,False,4.037,0.532,-10.314,1.0,3.0,AVOID,1.141,-0.537,1.678,True,True,True,False,False,,3.0,3.0,HOLD - Bullish but watch for weakening,59.246,True,True,True,Bullish,3.0,3.0,STRONG BUY - Ideal zone,228.79,218.664,True,True,False,1250200.0,3503845.0,0.357,2922940.0,3669400.0,2.0,3.0,HOLD - Above VWMA but watch volume,228.79,254.827,199.9,11.38,12.627,False,False,"[np.float64(283.27506688510624), np.float64(287.15970221608444), np.float64(292.65339259715154)]","[np.float64(267.0828279180613), np.float64(270.68869460835407), np.float64(274.4920358379553)]",1.0,3.0,NEUTRAL - No clear level nearby,683.39,670.438,,True,False,False,16.35,True,2.0,4.0,NEUTRAL,Selective - Take 3-5 positions,-13.172,16.483,-29.656,False,AVOID - Significant underperformance,,,,,,,,,
1,MRCY,"Mercury Systems, Inc.",-0.796,-3.024,5.614,5.171,-7.848,0.0,100.0,50.67,-91.255,-7.848,5.171,50.67,100.0,0.437,-0.312,24.829,-192604000.0,138851000.0,159110000.0,-0.826,-1.593,inf,-0.902,0.0,-2.639,inf,6.01,69.89,4200398505.04,0.153,4.503,153704000.0,64518000.0,19803000.0,74333000.0,-196.109,119048000.0,-314.078,0.0,420.04,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,0.535,4200398592.0,-37904000.0,912020000.0,2434764000.0,961303000.0,1472775000.0,644238000.0,27639000.0,1058178000.0,300377000.0,757801000.0,138851000.0,19803000.0,0.0,82027000.0,33430000.0,-12520000.0,60100136.0,153704000.0,0.0,616599000.0,-3.489,-5.441,-9.057,-5.771,0.017,1.1,1.119,445.0,69.89,100.0,49.0,86.0,91.5,-64879000.0,-67959666.667,2025-11-30,69.89,6.0,15.0,40.0,🔴 AVOID,Poor setup,3.0,0.0,0.0,12.0,2.0,17.0,12.0,0.0,0.0,60.0,13.3,17.0,20.0,5.0,0.0,0.0,13.333,5.0,5.0,48.333,66.7,0.0,66.7,33.3,48.3,26.4,69.89,71.65,75.496,57.931,False,True,True,-2.456,-7.425,20.643,2.0,3.0,WAIT - Partial trend,-2.121,-2.051,-0.07,False,False,False,True,False,,0.0,3.0,AVOID - Bearish momentum,43.551,True,False,True,Bearish,2.0,3.0,BUY - Acceptable zone,69.89,71.629,False,False,True,229500.0,650360.0,0.353,661025.0,651220.0,1.0,3.0,"AVOID - Below VWMA, weak support",69.89,78.75,66.24,12.677,5.222,False,False,"[np.float64(79.91999816894531), np.float64(80.88999938964844), np.float64(85.33000183105469)]","[np.float64(66.23999786376953), np.float64(72.33999633789062), np.float64(73.44999694824219)]",1.0,3.0,BUY - Good risk/reward setup,683.39,670.438,,True,False,False,16.35,True,2.0,4.0,NEUTRAL,Selective - Take 3-5 positions,69.925,16.483,53.441,True,STRONG - Significant outperformance,256856400.0,76988600.0,-26335600.0,1729631400.0,0.372,2346230400.0,-0.844,-2.191,
2,HCA,"HCA Healthcare, Inc.",23.872,23.426,2.297,2.264,8.532,12.054,87.946,10.834,6.157,8.532,2.264,10.834,87.946,-25.5,5.117,21.894,23601000000.0,10514000000.0,37426000000.0,1.586,10.247,19.648,4.966,0.395,6.316,49.769,22.819,508.29,115988677431.0,0.39,1.599,33403000000.0,4923000000.0,4875000000.0,5591000000.0,97.066,5639000000.0,97.899,0.595,11893.656,False,False,True,False,True,True,True,True,False,False,False,True,False,False,False,0.532,118936559616.0,5760000000.0,70603000000.0,59513000000.0,58958000000.0,-1774000000.0,45237000000.0,1992000000.0,16414000000.0,15177000000.0,1237000000.0,10514000000.0,4875000000.0,690000000.0,3312000000.0,2061000000.0,1866000000.0,228193900.0,31545000000.0,1858000000.0,43245000000.0,10.294,-267.951,-230.874,9.649,0.313,0.62,0.902,1792.0,508.29,525.0,368.0,477.7,492.0,10183000000.0,5548333333.333,2025-11-30,508.29,10.0,15.0,66.667,🟡 WAIT,Need more confirmation,7.0,1.0,8.0,16.0,13.0,45.0,28.0,5.0,40.0,80.0,86.7,45.0,30.0,0.0,20.0,5.0,6.667,15.0,5.0,81.667,100.0,100.0,33.3,100.0,81.7,56.0,508.29,479.938,449.746,382.795,True,True,True,5.907,13.017,32.784,3.0,3.0,WAIT - Extended above MA,16.631,14.075,2.556,True,True,True,False,True,4.0,3.0,3.0,STRONG BUY - Fresh crossover (4 days ago),71.508,False,True,False,Overbought,1.0,3.0,"WAIT - Overbought, pullback likely",508.29,480.254,True,True,True,534700.0,1337430.0,0.4,1647766.667,913533.333,3.0,3.0,STRONG BUY - Institutional accumulation,508.29,520.0,443.87,2.304,12.674,False,False,"[np.float64(420.2282015912977), np.float64(439.010009765625), np.float64(478.19000244140625)]","[np.float64(398.1077749749064), np.float64(407.70001220703125), np.float64(443.8699951171875)]",0.0,3.0,NEUTRAL - No clear level nearby,683.39,670.438,,True,False,False,16.35,True,2.0,4.0,NEUTRAL,Selective - Take 3-5 positions,56.6,16.483,40.116,True,STRONG - Significant outperformance,,,,,,,,,
3,VITL,"Vital Farms, Inc.",24.411,13.961,8.864,8.898,4.856,0.0,100.0,11.685,31.527,4.856,8.898,11.685,100.0,0.097,62.923,20.951,82634000.0,64824000.0,125314000.0,1.516,19.401,24.773,3.646,175.161,32.456,0.141,4.477,32.7,1464126804.0,0.013,2.057,118594000.0,52936000.0,28646000.0,11888000.0,22.267,36178000.0,67.764,0.0,146.413,False,True,False,False,True,True,True,True,False,True,False,False,False,False,False,0.183,1464126848.0,53388000.0,606307000.0,359332000.0,90030000.0,192677000.0,18710000.0,7740000.0,246041000.0,78529000.0,167512000.0,64824000.0,28646000.0,0.0,13093000.0,1010000.0,14150000.0,44774520.0,104138000.0,14456000.0,10970000.0,7.291,10.023,23.113,16.828,0.207,0.993,1.253,371.0,32.7,60.0,48.0,53.7,52.5,34825333.333,26735000.0,2025-11-30,32.7,8.0,15.0,53.333,🟡 WAIT,Need more confirmation,3.0,18.0,12.0,20.0,9.0,62.0,12.0,90.0,60.0,100.0,60.0,62.0,10.0,5.0,13.333,0.0,13.333,0.0,0.0,41.667,33.3,66.7,66.7,0.0,41.7,55.9,32.7,32.856,37.508,37.132,False,False,True,-0.476,-12.819,-11.936,1.0,3.0,AVOID,-1.687,-1.998,0.311,True,False,True,True,True,7.0,2.0,3.0,BUY - Momentum building,43.591,True,False,True,Bearish,2.0,3.0,BUY - Acceptable zone,32.7,33.318,False,False,False,545300.0,1464025.0,0.372,1254750.0,1326266.667,0.0,3.0,"AVOID - Below VWMA, weak support",32.7,40.11,32.1,22.661,1.835,True,False,"[np.float64(45.154998779296875), np.float64(45.619998931884766), np.float64(53.125)]","[np.float64(35.25), np.float64(36.61000061035156), np.float64(37.689998626708984)]",3.0,3.0,STRONG BUY - At support with room to resistance,683.39,670.438,,True,False,False,16.35,True,2.0,4.0,NEUTRAL,Selective - Take 3-5 positions,-1.506,16.483,-17.989,False,AVOID - Significant underperformance,,,,,,,,,
4,APLD,Applied Digital Corporation,-10.937,-22.332,0.176,0.353,-116.704,-0.377,100.377,15.346,-56.737,-116.704,0.353,15.346,100.377,5.631,-2.736,-0.064,-448505000.0,-115402000.0,-43745000.0,0.098,-30.289,inf,-3.049,0.0,156.454,inf,27.969,27.1,7579487212.5,0.093,43.671,2417777000.0,1989479000.0,681603000.0,-2104881000.0,910.948,-797005000.0,344.927,0.035,757.949,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,18.24,7579487744.0,-231065000.0,144193000.0,1870090000.0,1236365000.0,124830000.0,702877000.0,9430000.0,430593000.0,558144000.0,-127551000.0,-115402000.0,681603000.0,2615000.0,97945000.0,14739000.0,102000.0,279685875.0,1294621000.0,1123156000.0,693447000.0,-26.166,-114.855,-161.949,-29.075,0.162,0.63,0.752,465.0,27.1,56.0,39.0,43.7,42.5,-81023666.667,-141661666.667,2025-11-30,27.1,7.0,15.0,46.667,🔴 AVOID,Poor setup,0.0,7.0,0.0,11.0,9.0,27.0,0.0,35.0,0.0,55.0,60.0,27.0,20.0,5.0,0.0,0.0,20.0,5.0,0.0,50.0,66.7,0.0,100.0,33.3,50.0,33.9,27.1,26.888,28.506,14.448,False,True,True,0.788,-4.931,87.564,2.0,3.0,WAIT - Partial trend,-1.576,-1.521,-0.055,False,False,False,True,False,,0.0,3.0,AVOID - Bearish momentum,51.256,True,True,True,Bullish,3.0,3.0,STRONG BUY - Ideal zone,27.1,26.5,True,False,False,19895400.0,27345300.0,0.728,24166350.0,29395500.0,1.0,3.0,HOLD - Above VWMA but watch volume,27.1,37.17,13.53,37.159,50.074,False,False,"[np.float64(25.610000610351562), np.float64(37.16999816894531), np.float64(40.20000076293945)]","[np.float64(13.15999984741211), np.float64(13.529999732971191), np.float64(29.0939998626709)]",1.0,3.0,NEUTRAL - No clear level nearby,683.39,670.438,,True,False,False,16.35,True,2.0,4.0,NEUTRAL,Selective - Take 3-5 positions,168.317,16.483,151.833,True,STRONG - Significant outperformance,,,,,,,,,
5,GOOGL,Alphabet Inc.,33.252,28.102,2.541,2.564,24.605,2.451,97.549,9.491,52.055,24.605,2.564,9.491,97.549,0.09,419.366,16.44,309918000000.0,125299000000.0,410192000000.0,1.324,24.881,31.638,5.375,12.605,10.754,2.51,581.8,320.18,1862807240000.0,0.014,10.06,,,52535000000.0,,,72764000000.0,72.678,0.395,387805.898,False,False,True,False,True,True,True,True,False,False,False,False,False,False,True,,3878058983424.0,100118000000.0,350018000000.0,450256000000.0,125172000000.0,283379000000.0,25461000000.0,15714000000.0,163711000000.0,89122000000.0,74589000000.0,125299000000.0,52535000000.0,7363000000.0,15311000000.0,268000000.0,19697000000.0,5818000000.0,184624000000.0,,9747000000.0,20.107,28.525,32.908,23.484,0.006,0.813,0.818,6599.0,320.18,390.0,185.0,323.698,330.0,92597666666.667,77961666666.667,2025-11-30,320.18,10.0,15.0,66.667,🟡 WAIT,Need more confirmation,22.0,11.0,3.0,20.0,9.0,65.0,88.0,55.0,15.0,100.0,60.0,65.0,30.0,0.0,20.0,5.0,6.667,15.0,5.0,81.667,100.0,100.0,33.3,100.0,81.7,70.0,320.18,292.34,267.941,201.842,True,True,True,9.523,19.496,58.629,3.0,3.0,WAIT - Extended above MA,14.477,11.716,2.761,True,True,True,False,True,5.0,3.0,3.0,STRONG BUY - Fresh crossover (5 days ago),73.514,False,True,False,Overbought,1.0,3.0,"WAIT - Overbought, pullback likely",320.18,296.224,True,True,True,26018600.0,44727310.0,0.582,65803766.667,54185766.667,3.0,3.0,STRONG BUY - Institutional accumulation,320.18,328.83,270.7,2.702,15.454,False,False,"[np.float64(251.32000732421875), np.float64(256.0), np.float64(291.5899963378906)]","[np.float64(235.83999633789062), np.float64(238.61000061035156), np.float64(270.70001220703125)]",0.0,3.0,NEUTRAL - No clear level nearby,683.39,670.438,,True,False,False,16.35,True,2.0,4.0,NEUTRAL,Selective - Take 3-5 positions,90.347,16.483,73.864,True,STRONG - Significant outperformance,121992400000.0,33163000000.0,136246000000.0,405371400000.0,0.063,415118400000.0,27.425,24.698,
6,OILD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'str' object has no attribute 'get'
7,EWBC,"East West Bancorp, Inc.",,0.0,14.896,13.522,46.446,23.452,76.548,89.937,390.815,46.446,13.522,89.937,76.548,0.522,0.0,21.343,4327811000.0,1411667000.0,6071020000.0,1.403,1.674,11.764,7.94,10.848,12.526,1.084,13.759,106.7,14680383946.8,0.247,5.717,164200000.0,182253000.0,,1229414000.0,105.476,,,2.101,1470.558,False,False,True,False,False,False,True,True,False,False,True,True,False,True,True,0.871,14705581056.0,1165586000.0,2566544000.0,75976475000.0,68253421000.0,6950834000.0,3625237000.0,0.0,0.0,0.0,0.0,1411667000.0,,308478000.0,198447000.0,1914480000.0,316275000.0,137585604.0,164200000.0,0.0,0.0,1.771,18.519,17.953,1.737,0.01,0.949,0.958,706.0,106.7,145.0,106.0,125.2,125.0,0.0,1151610000.0,2025-11-30,106.7,13.0,15.0,86.667,🟢 STRONG BUY,Enter position,10.0,11.0,13.0,12.0,10.0,56.0,40.0,55.0,65.0,60.0,66.7,56.0,30.0,5.0,20.0,5.0,20.0,10.0,0.0,90.0,100.0,100.0,100.0,66.7,90.0,66.2,106.7,103.149,102.971,96.34,True,True,True,3.442,3.621,10.753,3.0,3.0,BUY - Ideal pullback entry,0.983,0.426,0.557,True,True,True,True,True,5.0,3.0,3.0,STRONG BUY - Fresh crossover (5 days ago),59.412,True,True,True,Bullish,3.0,3.0,STRONG BUY - Ideal zone,106.7,103.09,True,True,False,189200.0,573645.0,0.33,394260.0,524900.0,2.0,3.0,HOLD - Above VWMA but watch volume,106.7,107.04,104.768,0.319,1.811,True,True,"[np.float64(107.04000091552734), np.float64(108.69620315232122), np.float64(110.1456747844844)]","[np.float64(102.15315018223347), np.float64(103.59458732473853), np.float64(104.76761799287695)]",2.0,3.0,BUY - At support but near resistance,683.39,670.438,,True,False,False,16.35,True,2.0,4.0,NEUTRAL,Selective - Take 3-5 positions,-0.275,16.483,-16.759,False,AVOID - Significant underperformance,,,,,,,,,
8,B,Barrick Mining Corporation,11.184,7.728,0.469,0.445,10.558,117.359,-17.359,7.528,-8.344,10.558,0.445,7.528,-17.359,0.225,9.891,32.986,5870000000.0,4491000000.0,16082000000.0,2.74,4.68,19.875,3.073,2.287,2.541,8.692,168.743,41.34,69758518666.2,0.075,4.84,28641000000.0,4058000000.0,3174000000.0,433000000.0,20.196,1317000000.0,61.427,0.998,7068.406,False,False,True,True,True,True,True,True,False,False,False,True,False,False,False,0.096,70684057600.0,2144000000.0,12922000000.0,47626000000.0,14370000000.0,23341000000.0,5256000000.0,103000000.0,7632000000.0,2642000000.0,4990000000.0,4491000000.0,3174000000.0,696000000.0,1915000000.0,423000000.0,1520000000.0,1687433930.0,28641000000.0,0.0,5153000000.0,1.851,3.685,5.517,2.772,0.009,0.654,0.66,1296.0,41.34,50.0,27.0,41.266,42.0,3405666666.667,1282666666.667,2025-11-30,41.34,10.0,15.0,66.667,🟡 WAIT,Need more confirmation,2.0,0.0,4.0,13.0,9.0,28.0,8.0,0.0,20.0,65.0,60.0,28.0,30.0,0.0,20.0,0.0,6.667,15.0,5.0,76.667,100.0,100.0,33.3,100.0,76.7,42.6,41.34,36.165,34.486,24.374,True,True,True,14.308,19.875,69.607,3.0,3.0,WAIT - Extended above MA,1.906,1.431,0.475,True,True,True,True,False,,3.0,3.0,BUY - Momentum building,71.56,False,True,False,Overbought,1.0,3.0,"WAIT - Overbought, pullback likely",41.34,36.704,True,True,True,10934900.0,18370170.0,0.595,21538120.0,19734300.0,3.0,3.0,STRONG BUY - Institutional accumulation,41.34,41.72,32.47,0.919,21.456,False,True,"[np.float64(21.68000030517578), np.float64(21.950000762939453), np.float64(36.099998474121094)]","[np.float64(28.3799991607666), np.float64(30.350000381469727), np.float64(32.470001220703125)]",0.0,3.0,"WAIT - Near resistance, likely pullback",683.39,670.438,,True,False,False,16.35,True,2.0,4.0,NEUTRAL,Selective - Take 3-5 positions,138.957,16.483,122.474,True,STRONG - Significant outperformance,25200000.0,10000000.0,5031000000.0,23366200000.0,0.225,28519200000.0,11.822,9.176,
9,CVNA,Carvana Co.,14.708,-3.378,4.112,3.954,-1.984,-1.0,101.0,9.357,-17.281,-1.984,3.954,9.357,-1.0,24.881,1.521,-1.0,-1062000000.0,918000000.0,-2197000000.0,2.069,2.97,85.502,0.479,0.0,2.186,inf,11.695,374.5,43796651500.0,0.138,4.445,3272000000.0,68000000.0,91000000.0,850000000.0,404.762,827000000.0,393.81,,8119.289,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,0.926,81192886272.0,210000000.0,13673000000.0,8484000000.0,7109000000.0,243000000.0,6046000000.0,122000000.0,4869000000.0,1338000000.0,3531000000.0,918000000.0,91000000.0,,305000000.0,651000000.0,-4000000.0,116947000.0,3213000000.0,59000000.0,5924000000.0,-7.246,584.949,-327.273,5.707,0.022,0.985,1.008,1071.0,374.5,500.0,330.0,419.455,427.5,-183000000.0,-309000000.0,2025-11-30,374.5,11.0,15.0,73.333,🟢 STRONG BUY,Enter position,9.0,0.0,0.0,8.0,15.0,32.0,36.0,0.0,0.0,40.0,100.0,32.0,30.0,0.0,20.0,0.0,20.0,10.0,5.0,85.0,100.0,100.0,100.0,66.7,85.0,47.9,374.5,323.693,345.681,304.526,True,True,True,15.696,8.337,22.978,3.0,3.0,WAIT - Extended above MA,2.851,-4.314,7.165,True,True,True,True,False,,3.0,3.0,BUY - Momentum building,62.941,True,True,True,Bullish,3.0,3.0,BUY - Acceptable zone,374.5,322.012,True,False,True,2283300.0,3270085.0,0.698,3126816.667,3084566.667,2.0,3.0,BUY - Good volume support,374.5,378.54,355.0,1.079,5.207,False,True,"[np.float64(396.9599914550781), np.float64(401.0), np.float64(413.3349914550781)]","[np.float64(335.1600036621094), np.float64(349.07000732421875), np.float64(355.0)]",0.0,3.0,"WAIT - Near resistance, likely pullback",683.39,670.438,,True,False,False,16.35,True,2.0,4.0,NEUTRAL,Selective - Take 3-5 positions,43.806,16.483,27.323,True,STRONG - Significant outperformance,,,,,,,,,
