ticker,longName,ROCE,ROCE (3yr avg),NFAT,NFAT (3yr avg),NPM,DPR,Retention Ratio,Dep,SSGR,Av NPM (over 3 years),Av NFA/T (over 3 years),Av Dep%NFA (over 3 years),Av Retention ratio (over 3 years),d/e,Interest coverage,tax %,cPAT,CFO,cCFO,cCFO/cPAT,p/a,p/e,EY,Earnings Growth 5yr cagr,Sales Growth 5yr cagr,PEG,no. shares (cr),Current Price,market cap,d/e_market,p/s,NFA + CWIP,Capex,Capex_from_cashflow_statement,FCF,FCF%_from_balance_sheet,FCF_capex_from_cashflow,FCF%,DV,Mcap (cr),d/e decreasing trend 5 yrs,Sales cagr >15%,npm >8%,Tax payout >25%,Interest coverage >3,d/e <0.5,CFO >0,cCFO > PAT,p/e <10,peg <1,EY >7%,p/b <3,DV >3%,EY >7,sgr > Sales growth (very linear),FCF/CFO,Market Cap,Net Income,Total Revenue,Total Assets,Total Liabilities,Total Stockholders Equity,Total Debt,Cash and Cash Equivalents,Current Assets,Current Liabilities,Working Capital,Operating Cash Flow,Capital Expenditure,Dividends Paid,Depreciation & Amortization,Interest Expense,Income Tax Expense,Shares Outstanding,Net Fixed Assets,Construction in Progress,Net Debt,3-5yr Average ROA (%),3-5yr Average ROE (%),ROE,ROA,warning_major_holders,current,high,low,mean,median,Normalized EBIT,Normalized Net Income,Research Asset,R&D Amortization,Adjusted EBIT (R&D),Adjusted Book Equity (R&D),Adjusted D/E (R&D),Adjusted Invested Capital (R&D),Adjusted ROC (R&D),Adjusted ROE (R&D),analysis_date,current_price,total_score,max_score,score_percentage,overall_technical_signal,action,profitability_score,growth_score,valuation_score,financial_health_score,cashflow_quality_score,fundamental_total_score,profitability_pct,growth_pct,valuation_pct,financial_health_pct,cashflow_quality_pct,fundamental_total_pct,ma_score,ma_distance_bonus,macd_score,macd_crossover_bonus,rsi_score,vwma_score,vwma_volume_bonus,technical_total_score,ma_pct,macd_pct,rsi_pct,vwma_pct,technical_total_pct,combined_score,moving_averages.current_price,moving_averages.SMA_20,moving_averages.SMA_50,moving_averages.SMA_200,moving_averages.above_50,moving_averages.above_200,moving_averages.golden_cross,moving_averages.dist_from_20,moving_averages.dist_from_50,moving_averages.dist_from_200,moving_averages.score,moving_averages.max_score,moving_averages.signal,macd.MACD,macd.MACD_signal,macd.MACD_hist,macd.bullish_crossover,macd.above_zero,macd.histogram_positive,macd.histogram_growing,macd.recent_crossover,macd.crossover_days_ago,macd.score,macd.max_score,macd.signal,rsi.RSI,rsi.not_overbought,rsi.above_50,rsi.in_sweet_spot,rsi.zone,rsi.score,rsi.max_score,rsi.signal,vwma.current_price,vwma.VWMA,vwma.above_vwma,vwma.vwma_rising,vwma.volume_pattern_bullish,vwma.current_volume,vwma.avg_volume,vwma.volume_ratio,vwma.avg_volume_up_days,vwma.avg_volume_down_days,vwma.score,vwma.max_score,vwma.signal,support_resistance.current_price,support_resistance.nearest_resistance,support_resistance.nearest_support,support_resistance.dist_to_resistance_%,support_resistance.dist_to_support_%,support_resistance.at_support,support_resistance.near_resistance,support_resistance.resistance_levels,support_resistance.support_levels,support_resistance.score,support_resistance.max_score,support_resistance.signal,market_context.SPY_price,market_context.SPY_50MA,market_context.SPY_200MA,market_context.above_50,market_context.above_200,market_context.golden_cross,market_context.VIX,market_context.low_vix,market_context.score,market_context.total_checks,market_context.market_state,market_context.recommendation,relative_strength.stock_return_%,relative_strength.benchmark_return_%,relative_strength.outperformance_%,relative_strength.outperforming,relative_strength.signal
AMD,"Advanced Micro Devices, Inc.",6.33,3.556,16.84,13.489,7.548,0.0,100.0,100.0,1.819,7.548,13.489,100.0,100.0,0.067,28.198,-2.488,8150000000.0,7709000000.0,15982000000.0,1.961,6.262,78.179,1.298,46.453,13.644,1.683,163.041,204.83,333957052971.69,0.012,9.641,2820000000.0,3698000000.0,974000000.0,4011000000.0,92.526,6735000000.0,155.363,0.0,33395.707,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,0.52,333957070848,4335000000.0,34639000000.0,76926000000.0,13927000000.0,57568000000.0,3847000000.0,2160000000.0,26947000000.0,9455000000.0,17492000000.0,7709000000.0,974000000.0,0.0,3004000000.0,131000000.0,-103000000.0,1630410843,2312000000.0,508000000.0,1687000000.0,1.827,2.218,2.893,2.394,Could not process major_holders: index 1 is out of bounds for axis 0 with size 1,204.83,365.0,220.0,289.717,290.5,2316666666.667,2276666666.667,18781000000.0,5084800000.0,7277200000.0,76349000000.0,0.05,78036000000.0,9.557,5.678,2026-03-11,204.83,9,15,60.0,🟡 WAIT,Need more confirmation,3,14,2,15,13,47,12.0,70.0,10.0,75.0,86.7,47,20.0,5,13.333,5,13.333,5.0,0,61.667,66.7,66.7,66.7,33.3,61.7,51.4,204.83,202.65,216.922,189.987,False,True,True,1.075,-5.574,7.813,2,3,WAIT - Partial trend,-4.856,-5.89,1.034,True,False,True,True,True,3.0,2,3,STRONG BUY - Fresh crossover (3 days ago),48.384,True,False,True,Bearish,2,3,STRONG BUY - Ideal zone,204.83,203.365,True,False,False,22637223.0,35854396.15,0.631,32891555.75,34626560.0,1,3,HOLD - Above VWMA but watch volume,204.83,219.65,199.8,7.235,2.456,False,False,"[np.float64(234.02000427246094), np.float64(263.510009765625), np.float64(266.9599914550781)]","[np.float64(197.52999877929688), np.float64(199.8000030517578), np.float64(224.63999938964844)]",2,3,NEUTRAL - No clear level nearby,676.33,687.313,,False,False,False,24.23,False,0,4,BEAR,"Defensive - Maximum 2 positions, mostly cash",103.225,3.468,99.756,True,STRONG - Significant outperformance
NVDA,NVIDIA Corporation,81.143,77.689,20.251,17.293,53.433,1.094,98.906,28.154,885.766,53.433,17.293,28.154,98.906,0.139,503.425,15.117,227075000000.0,102718000000.0,200538000000.0,0.883,107.586,37.734,2.656,201.433,100.045,0.187,2430.0,186.03,4520529000000.0,0.002,20.939,13933000000.0,8171000000.0,6042000000.0,94547000000.0,78.745,96676000000.0,80.518,0.022,452145.919,False,True,True,False,True,True,True,False,False,True,False,False,False,False,True,0.92,4521459187712,120067000000.0,215938000000.0,206803000000.0,49510000000.0,79327000000.0,11040000000.0,3180000000.0,125605000000.0,32163000000.0,93442000000.0,102718000000.0,6042000000.0,974000000.0,2843000000.0,259000000.0,21383000000.0,24300000000,13250000000.0,683000000.0,7860000000.0,68.935,105.318,119.177,82.197,Could not process major_holders: index 1 is out of bounds for axis 0 with size 1,186.03,380.0,140.0,266.347,265.0,86685666666.667,74235666666.667,36968800000.0,9485000000.0,150721000000.0,116295800000.0,0.095,124155800000.0,103.045,103.243,2026-03-11,186.03,8,15,53.333,🟡 WAIT,Need more confirmation,25,20,6,19,11,81,100.0,100.0,30.0,95.0,73.3,81,30.0,5,0.0,0,20.0,5.0,0,60.0,100.0,0.0,100.0,33.3,60.0,74.7,186.03,185.635,185.708,176.897,True,True,True,0.213,0.173,5.163,3,3,BUY - Ideal pullback entry,-0.754,-0.581,-0.173,False,False,False,True,False,,0,3,AVOID - Bearish momentum,51.37,True,True,True,Bullish,3,3,STRONG BUY - Ideal zone,186.03,185.356,True,False,False,138663908.0,192276470.4,0.721,180100368.0,226252600.0,1,3,HOLD - Above VWMA but watch volume,186.03,190.44,178.9,2.371,3.833,False,False,"[np.float64(195.6091088464203), np.float64(197.6300048828125), np.float64(212.1781954922272)]","[np.float64(174.63999938964844), np.float64(176.7501502622395), np.float64(178.90005019006267)]",1,3,NEUTRAL - No clear level nearby,676.33,687.313,,False,False,False,24.23,False,0,4,BEAR,"Defensive - Maximum 2 positions, mostly cash",60.76,3.468,57.292,True,STRONG - Significant outperformance
GOOG,Alphabet Inc.,32.396,30.827,1.805,2.046,28.473,4.986,95.014,9.112,46.241,28.473,2.046,9.112,95.014,0.182,175.325,16.783,366055000000.0,164713000000.0,483253000000.0,1.32,29.354,28.584,7.88,33.456,12.512,0.854,543.8,308.42,1677187960000.0,0.035,9.262,,,91447000000.0,,,73266000000.0,55.433,0.599,373095.714,False,False,True,False,True,True,True,True,False,True,True,False,False,True,True,,3730957139968,132170000000.0,402836000000.0,595281000000.0,180016000000.0,325084000000.0,59291000000.0,16309000000.0,206038000000.0,102745000000.0,103293000000.0,164713000000.0,91447000000.0,10049000000.0,21136000000.0,736000000.0,26656000000.0,5438000000,261818000000.0,,42982000000.0,21.355,30.132,32.908,23.484,Could not process major_holders: index 1 is out of bounds for axis 0 with size 1,308.42,405.0,185.0,359.529,375.0,121890000000.0,102027666666.667,143604000000.0,39068000000.0,181581000000.0,468688000000.0,0.127,511670000000.0,29.532,28.2,2026-03-11,308.42,9,15,60.0,🟡 WAIT,Need more confirmation,22,16,11,20,9,78,88.0,80.0,55.0,100.0,60.0,78,20.0,5,13.333,5,13.333,5.0,0,61.667,66.7,66.7,66.7,33.3,61.7,73.1,308.42,306.821,319.485,255.477,False,True,True,0.521,-3.463,20.723,2,3,WAIT - Partial trend,-4.231,-4.662,0.431,True,False,True,True,True,2.0,2,3,STRONG BUY - Fresh crossover (2 days ago),46.993,True,False,True,Bearish,2,3,STRONG BUY - Ideal zone,308.42,307.263,True,False,False,13279728.0,20879016.4,0.636,20172007.0,20494600.0,1,3,HOLD - Above VWMA but watch volume,308.42,319.23,306.704,3.505,0.556,True,False,"[np.float64(328.2244741468647), np.float64(340.9598071864901), np.float64(349.9035038834414)]","[np.float64(306.7039514285333), np.float64(310.4312967164081), np.float64(319.3150610092894)]",2,3,BUY - At support but near resistance,676.33,687.313,,False,False,False,24.23,False,0,4,BEAR,"Defensive - Maximum 2 positions, mostly cash",83.128,3.468,79.66,True,STRONG - Significant outperformance
ANET,"Arista Networks, Inc.",27.402,27.173,59.66,63.059,38.445,0.0,100.0,60.601,2363.712,38.445,63.059,60.601,100.0,,inf,17.373,9803246000.0,4371900000.0,10606913000.0,1.082,25.003,50.265,2.022,36.273,27.147,1.386,125.654,138.23,173691234746.38,,19.329,311000000.0,276600000.0,119500000.0,4095300000.0,116.629,4252400000.0,121.103,0.0,17407.097,False,True,True,False,True,False,True,True,False,False,False,False,False,False,True,0.937,174070972416,3511400000.0,9005700000.0,19448600000.0,7078100000.0,9994800000.0,,,16387000000.0,5376500000.0,11010500000.0,4371900000.0,119500000.0,0.0,72600000.0,0.0,738300000.0,1256537906,203100000.0,107900000.0,,24.358,33.812,33.137,23.767,Could not process major_holders: index 1 is out of bounds for axis 0 with size 1,138.23,220.0,140.0,177.741,176.0,3019333333.333,2816933333.333,2838957600.0,763458800.0,4329941200.0,12833757600.0,,,,27.361,2026-03-11,138.23,14,15,93.333,🟢 STRONG BUY,Enter position,25,20,4,12,13,74,100.0,100.0,20.0,60.0,86.7,74,30.0,5,20.0,5,20.0,10.0,5,95.0,100.0,100.0,100.0,66.7,95.0,80.3,138.23,134.919,134.687,128.65,True,True,True,2.454,2.631,7.447,3,3,BUY - Ideal pullback entry,0.275,-0.403,0.679,True,True,True,True,True,3.0,3,3,STRONG BUY - Fresh crossover (3 days ago),52.999,True,True,True,Bullish,3,3,STRONG BUY - Ideal zone,138.23,135.465,True,False,True,4142126.0,8451576.3,0.49,7295320.0,5854706.5,2,3,BUY - Good volume support,138.23,148.77,136.79,7.625,1.042,True,False,"[np.float64(156.32000732421875), np.float64(162.67999267578125), np.float64(164.94000244140625)]","[np.float64(127.58000183105469), np.float64(136.7899932861328), np.float64(138.5)]",3,3,STRONG BUY - At support with room to resistance,676.33,687.313,,False,False,False,24.23,False,0,4,BEAR,"Defensive - Maximum 2 positions, mostly cash",72.249,3.468,68.781,True,STRONG - Significant outperformance
TPR,"Tapestry, Inc.",6.002,11.937,3.717,3.628,9.632,77.676,22.324,12.001,-4.199,9.632,3.628,12.001,22.324,1.346,14.869,15.224,2791500000.0,1216600000.0,4300600000.0,1.541,1.368,56.584,0.622,-36.236,1.601,-1.562,20.246,145.42,29442347308.66,0.132,3.96,1861300000.0,214900000.0,122700000.0,1001700000.0,546.779,1093900000.0,597.107,1.017,2976.017,False,False,True,False,True,False,True,True,False,True,False,False,False,False,False,0.823,29760167936,183200000.0,7010700000.0,6580500000.0,5722700000.0,2896900000.0,3899200000.0,98500000.0,2905600000.0,1556900000.0,1348700000.0,1216600000.0,122700000.0,299300000.0,224900000.0,85400000.0,32900000.0,202464223,1820500000.0,40800000.0,3800700000.0,8.648,29.947,9.758,1.834,Could not process major_holders: index 1 is out of bounds for axis 0 with size 1,145.42,190.0,70.0,160.211,165.0,869700000.0,645066666.667,,,,,,,,,2026-03-11,145.42,7,15,46.667,🔴 AVOID,Poor setup,9,0,2,17,15,43,36.0,0.0,10.0,85.0,100.0,43,30.0,5,6.667,0,13.333,0.0,0,55.0,100.0,33.3,66.7,0.0,55.0,46.6,145.42,152.69,140.601,112.913,True,True,True,-4.761,3.427,28.789,3,3,STRONG BUY - At MA support,1.966,4.034,-2.068,False,True,False,False,False,,1,3,AVOID - Bearish momentum,47.268,True,False,True,Bearish,2,3,STRONG BUY - Ideal zone,145.42,152.853,False,False,False,2541338.0,2313516.9,1.098,2192325.0,2422567.6,0,3,"AVOID - Below VWMA, weak support",145.42,157.857,126.81,8.552,12.797,False,False,"[np.float64(135.67625221943024), np.float64(157.8567839658832), np.float64(161.53692103953628)]","[np.float64(123.97761605122939), np.float64(126.81002721477522), np.float64(149.23989132190772)]",1,3,NEUTRAL - No clear level nearby,676.33,687.313,,False,False,False,24.23,False,0,4,BEAR,"Defensive - Maximum 2 positions, mostly cash",105.783,3.468,102.314,True,STRONG - Significant outperformance
DECK,Deckers Outdoor Corporation,44.524,39.225,9.894,9.793,17.113,0.0,100.0,11.252,156.335,17.113,9.793,11.252,100.0,0.131,335.255,22.296,2694425000.0,1044523000.0,2787482000.0,1.035,30.811,14.952,6.626,32.431,16.534,0.461,14.195,102.72,14581101021.12,0.019,2.785,610031000.0,135908000.0,86171000.0,908615000.0,94.051,958352000.0,99.199,0.0,1497.091,True,True,True,False,True,True,True,True,False,True,False,False,False,False,True,0.87,14970909696,966091000.0,4985612000.0,3570252000.0,1057239000.0,2107468000.0,276975000.0,67282000.0,2860475000.0,769941000.0,2090534000.0,1044523000.0,86171000.0,0.0,68426000.0,3517000.0,277208000.0,141949971,562951000.0,47080000.0,209693000.0,24.007,35.422,41.818,28.813,Could not process major_holders: index 1 is out of bounds for axis 0 with size 1,102.72,184.0,90.0,128.524,129.0,965948333.333,747492000.0,,,,,,,,,2026-03-11,102.72,5,15,33.333,🔴 AVOID,Poor setup,25,18,15,20,13,91,100.0,90.0,75.0,100.0,86.7,91,10.0,0,0.0,0,6.667,5.0,5,26.667,33.3,0.0,33.3,33.3,26.7,71.7,102.72,113.628,108.969,103.682,False,False,True,-9.6,-5.735,-0.928,1,3,AVOID,-1.513,0.536,-2.049,False,False,False,False,False,,0,3,AVOID - Bearish momentum,33.998,True,False,False,Bearish,1,3,"CAUTION - Oversold, wait for bounce confirmation",102.72,113.767,False,False,True,1466748.0,2180292.4,0.673,2196950.0,2158821.143,1,3,"AVOID - Below VWMA, weak support",102.72,119.65,100.26,16.482,2.395,False,False,"[np.float64(125.44999694824219), np.float64(131.5800018310547), np.float64(133.42999267578125)]","[np.float64(99.18000030517578), np.float64(100.26000213623047), np.float64(113.52999877929688)]",2,3,NEUTRAL - No clear level nearby,676.33,687.313,,False,False,False,24.23,False,0,4,BEAR,"Defensive - Maximum 2 positions, mostly cash",-15.512,3.468,-18.98,False,AVOID - Significant underperformance
MU,"Micron Technology, Inc.",14.2,2.779,0.852,0.629,-3.864,21.137,78.863,19.558,-21.475,-3.864,0.629,19.558,78.863,0.339,20.564,11.643,12171000000.0,17525000000.0,42772000000.0,3.514,12.301,38.306,1.812,-0.688,6.713,-55.71,112.551,418.69,471239472488.09,0.032,11.137,52844000000.0,17358000000.0,15857000000.0,167000000.0,1.956,1668000000.0,19.534,0.111,47123.946,False,False,False,False,True,True,True,True,False,True,False,False,False,False,False,0.01,471239458816,8539000000.0,37378000000.0,82798000000.0,28633000000.0,45131000000.0,15278000000.0,914000000.0,28841000000.0,11454000000.0,17387000000.0,17525000000.0,15857000000.0,522000000.0,8352000000.0,477000000.0,1124000000.0,1125509261,47326000000.0,5518000000.0,14364000000.0,-3.886,-5.332,1.743,1.164,Could not process major_holders: index 1 is out of bounds for axis 0 with size 1,418.69,650.0,196.0,413.974,443.0,2221000000.0,1161333333.333,9656800000.0,2691600000.0,11237400000.0,54787800000.0,0.279,69151800000.0,14.358,15.586,2026-03-11,418.69,8,15,53.333,🟡 WAIT,Need more confirmation,0,0,0,18,7,25,0.0,0.0,0.0,90.0,46.7,25,30.0,5,6.667,0,20.0,5.0,0,66.667,100.0,33.3,100.0,33.3,66.7,37.5,418.69,408.486,382.982,219.677,True,True,True,2.498,9.324,90.593,3,3,BUY - Ideal pullback entry,4.232,7.407,-3.175,False,True,False,True,False,,1,3,AVOID - Bearish momentum,55.96,True,True,True,Bullish,3,3,STRONG BUY - Ideal zone,418.69,407.68,True,False,False,29707921.0,32782396.05,0.906,32338924.2,33020925.0,1,3,HOLD - Above VWMA but watch volume,418.69,436.89,363.9,4.347,13.086,False,False,"[np.float64(264.6430736170199), np.float64(436.8900146484375), np.float64(455.5)]","[np.float64(217.31220508736538), np.float64(221.60048453411136), np.float64(363.8999938964844)]",0,3,NEUTRAL - No clear level nearby,676.33,687.313,,False,False,False,24.23,False,0,4,BEAR,"Defensive - Maximum 2 positions, mostly cash",339.212,3.468,335.744,True,STRONG - Significant outperformance
WMT,Walmart Inc.,,17.198,5.044,5.17,2.624,35.504,64.496,9.516,-0.767,2.624,5.17,9.516,64.496,0.717,,,60300000000.0,36443000000.0,125191000000.0,2.076,,45.907,,24.205,,1.897,797.017,123.49,984235918384.36,0.061,1.381,155107000000.0,24352000000.0,23783000000.0,12091000000.0,,12660000000.0,,0.68,98456.738,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,0.332,984567382016,,,260823000000.0,163131000000.0,83861000000.0,60114000000.0,4011000000.0,79458000000.0,96584000000.0,-17126000000.0,36443000000.0,23783000000.0,6688000000.0,12973000000.0,,,7970166964,139704000000.0,15403000000.0,56103000000.0,6.051,18.145,22.229,7.574,Could not process major_holders: index 1 is out of bounds for axis 0 with size 1,123.49,150.0,62.0,135.902,138.0,26784000000.0,17473500000.0,,,,,,,,,2026-03-11,123.49,9,15,60.0,🟡 WAIT,Need more confirmation,9,10,6,10,6,41,36.0,50.0,30.0,50.0,40.0,41,30.0,5,6.667,0,13.333,5.0,5,65.0,100.0,33.3,66.7,33.3,65.0,48.2,123.49,126.66,122.028,106.96,True,True,True,-2.502,1.198,15.455,3,3,STRONG BUY - At MA support,0.403,1.128,-0.725,False,True,False,False,False,,1,3,AVOID - Bearish momentum,46.957,True,False,True,Bearish,2,3,STRONG BUY - Ideal zone,123.49,126.745,False,False,True,18109952.0,24841402.6,0.729,21081680.0,20060113.0,1,3,"AVOID - Below VWMA, weak support",123.49,128.75,121.05,4.259,1.976,True,False,"[np.float64(121.62000274658203), np.float64(128.75), np.float64(134.69000244140625)]","[np.float64(109.80999755859375), np.float64(115.4800033569336), np.float64(121.05000305175781)]",2,3,BUY - At support but near resistance,676.33,687.313,,False,False,False,24.23,False,0,4,BEAR,"Defensive - Maximum 2 positions, mostly cash",46.329,3.468,42.861,True,STRONG - Significant outperformance
TJX,"The TJX Companies, Inc.",,33.749,3.421,3.461,8.441,30.219,69.781,6.357,14.026,8.441,3.461,6.357,69.781,1.75,,,16119000000.0,6116000000.0,19314000000.0,1.198,,32.486,,17.789,,1.826,111.047,157.88,175320544958.6,0.073,2.91,16987000000.0,2124000000.0,1918000000.0,3992000000.0,,4198000000.0,,0.94,17571.078,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,0.653,175710781440,,,31749000000.0,23356000000.0,7302000000.0,12778000000.0,617000000.0,12991000000.0,11008000000.0,1983000000.0,6116000000.0,1918000000.0,1648000000.0,1104000000.0,,,1110467095,16987000000.0,0.0,12161000000.0,13.768,59.679,61.982,15.819,Could not process major_holders: index 1 is out of bounds for axis 0 with size 1,157.88,193.0,100.0,171.778,175.0,6302500000.0,4669000000.0,,,,,,,,,2026-03-11,157.88,10,15,66.667,🟡 WAIT,Need more confirmation,18,10,6,10,6,50,72.0,50.0,30.0,50.0,40.0,50,30.0,5,6.667,0,20.0,10.0,5,76.667,100.0,33.3,100.0,66.7,76.7,58.0,157.88,157.831,155.276,141.369,True,True,True,0.031,1.677,11.68,3,3,BUY - Ideal pullback entry,1.411,1.571,-0.16,False,True,False,False,False,,1,3,AVOID - Bearish momentum,51.656,True,True,True,Bullish,3,3,STRONG BUY - Ideal zone,157.88,157.904,False,True,True,2406857.0,5277877.85,0.456,5881900.0,4911242.833,2,3,"AVOID - Below VWMA, weak support",157.88,159.03,153.715,0.729,2.638,False,True,"[np.float64(157.31522988363125), np.float64(159.0303871288349), np.float64(162.67999267578125)]","[np.float64(149.84635445220584), np.float64(151.62133815456966), np.float64(153.7154079070087)]",1,3,"WAIT - Near resistance, likely pullback",676.33,687.313,,False,False,False,24.23,False,0,4,BEAR,"Defensive - Maximum 2 positions, mostly cash",38.552,3.468,35.084,True,STRONG - Significant outperformance
EWBC,"East West Bancorp, Inc.",,0.0,15.577,14.734,45.494,25.106,74.894,97.776,404.242,45.494,14.734,97.776,74.894,0.411,0.0,23.198,4780018000.0,1501700000.0,6404298000.0,1.34,1.744,11.316,9.111,6.281,7.695,1.802,13.762,105.69,14545340520.75,0.218,5.393,207717000.0,256681000.0,,1245019000.0,93.95,,,2.297,1454.534,False,False,True,False,False,True,True,True,False,False,True,True,False,True,True,0.829,14545340416,1325188000.0,2896638000.0,80434997000.0,71535795000.0,7723054000.0,3173851000.0,0.0,0.0,0.0,0.0,1501700000.0,,334041000.0,213164000.0,1740767000.0,400272000.0,137622675,207717000.0,0.0,0.0,1.669,16.92,15.887,1.601,Could not process major_holders: index 1 is out of bounds for axis 0 with size 1,105.69,150.0,116.0,133.2,135.0,0.0,1217311666.667,,,,,,,,,2026-03-11,105.69,5,15,33.333,🔴 AVOID,Poor setup,10,6,11,12,10,49,40.0,30.0,55.0,60.0,66.7,49,10.0,0,0.0,0,6.667,5.0,5,26.667,33.3,0.0,33.3,33.3,26.7,42.3,105.69,113.927,115.035,106.005,False,False,True,-7.23,-8.123,-0.297,1,3,AVOID,-2.589,-1.506,-1.084,False,False,False,True,False,,0,3,AVOID - Bearish momentum,34.315,True,False,False,Bearish,1,3,"CAUTION - Oversold, wait for bounce confirmation",105.69,113.618,False,False,True,926906.0,1014460.3,0.914,1167625.0,1071841.2,1,3,"AVOID - Below VWMA, weak support",105.69,108.696,104.768,2.844,0.873,True,False,"[np.float64(117.0), np.float64(119.7300033569336), np.float64(123.81999969482422)]","[np.float64(104.76761799287695), np.float64(110.76000213623047), np.float64(114.37999725341797)]",2,3,BUY - At support but near resistance,676.33,687.313,,False,False,False,24.23,False,0,4,BEAR,"Defensive - Maximum 2 positions, mostly cash",26.081,3.468,22.613,True,STRONG - Significant outperformance
