Trade #,Ticker,Entry Date,Entry Price,TIGERs Score,Stop Dist %,Tightness (ATR Ratio),Ignition (Advance %),RS Dist from High,Market Regime,Sales Growth %,EPS Growth %,Execution Type,Position Size % (Static),Hard Stop Price,Exit Date,Exit Price,Exit Reason,PnL %,Holding Days,Actual $ Invested,Actual $ Exit,Dollar PnL,Portfolio Equity,Position Size %,R-Multiple
1,ALGM,2022-01-05 00:00:00-05:00,34.95,3.0,0.06,1.345,54.3%,0.179,Trend Aligned,28.9%,-221.0%,Gap Cap (T+1 Open),16.67,32.853,2022-01-06 00:00:00-05:00,32.853,Hard Stop (ATR/8%),-6.0,1,16666.67,15666.67,-1000.0,99000.0,16.7%,-1.0
2,MP,2022-01-05 00:00:00-05:00,50.73,3.0,0.06,0.895,104.8%,0.186,Trend Aligned,-13.6%,-142.2%,Gap Cap (T+1 Open),16.67,47.6862,2022-01-06 00:00:00-05:00,47.6862,Hard Stop (ATR/8%),-6.0,1,16500.0,15510.0,-990.0,98010.0,16.7%,-1.0
3,EQT,2022-01-12 00:00:00-05:00,22.2465,3.0,0.0545,0.905,47.3%,0.109,Trend Aligned,25.8%,61.8%,Gap Cap (T+1 Open),18.33,21.0331,2022-01-19 00:00:00-05:00,21.0331,Hard Stop (ATR/8%),-5.45,7,17983.49,17003.39,-980.1,97029.9,18.3%,-1.0
4,FCX,2022-01-13 00:00:00-05:00,41.952,3.0,0.0449,0.862,76.2%,0.119,Trend Aligned,-1.5%,48.2%,Gap Cap (T+1 Open),22.28,40.0694,2022-01-21 00:00:00-05:00,40.0694,Hard Stop (ATR/8%),-4.49,8,21610.22,20639.92,-970.3,96059.6,22.3%,-1.0
5,AON,2022-03-21 00:00:00-04:00,309.5782,3.0,0.0381,1.097,43.6%,0.011,Trend Aligned,3.7%,136.5%,Gap Cap (T+1 Open),25.0,297.7821,2022-04-22 00:00:00-04:00,322.6921,21-EMA Trailing Stop (High Vol),4.24,32,24014.9,25033.13,1018.23,97077.83,25.0%,1.11
6,CAH,2022-04-11 00:00:00-04:00,57.3732,3.0,0.0308,0.899,37.4%,0.052,Trend Aligned,18.8%,16.8%,Gap Cap (T+1 Open),25.0,55.6038,2022-04-25 00:00:00-04:00,55.6038,Hard Stop (ATR/8%),-3.08,14,24269.46,23521.96,-747.5,96330.33,25.0%,-1.0
7,GPK,2022-04-20 00:00:00-04:00,20.5653,4.0,0.0325,0.843,28.9%,0.0,Trend Aligned,0.4%,-48.6%,Gap Cap (T+1 Open),25.0,19.8968,2022-04-25 00:00:00-04:00,19.8968,Hard Stop (ATR/8%),-3.25,5,24082.58,23299.9,-782.68,95547.65,25.0%,-1.0
8,ULTA,2022-04-20 00:00:00-04:00,430.97,4.0,0.0412,0.874,41.7%,0.0,Trend Aligned,12.9%,-4.7%,Gap Cap (T+1 Open),24.27,413.2121,2022-04-22 00:00:00-04:00,413.2121,Hard Stop (ATR/8%),-4.12,2,23191.18,22235.7,-955.48,94592.17,24.3%,-1.0
9,REXR,2022-04-21 00:00:00-04:00,74.1541,3.0,0.0396,1.202,61.4%,0.0,Trend Aligned,2.1%,-215.6%,Gap Cap (T+1 Open),25.0,71.218,2022-04-25 00:00:00-04:00,71.218,Hard Stop (ATR/8%),-3.96,4,23648.04,22711.58,-936.46,93655.71,25.0%,-1.0
10,PWR,2022-07-29 00:00:00-04:00,145.2356,4.0,0.0468,0.899,63.5%,0.0,Trend Aligned,19.7%,3.4%,Gap Cap (T+1 Open),21.35,138.4329,2022-08-01 00:00:00-04:00,138.4329,Hard Stop (ATR/8%),-4.68,3,20011.9,19075.35,-936.56,92719.15,21.4%,-1.0
