,ticker,ROCE,ROCE (3yr avg),NFAT,NFAT (3yr avg),NPM,DPR,Retention Ratio,Dep,SSGR,Av NPM (over 3 years),Au NFA/T (over 3 years),Av Dep%NFA (over 3 years),Au Retention ratio (over 3 years),d/e,Interest coverage,tax %,cPAT,CFO,cCFO,cCFO/cPAT,p/a,p/e,EY,Earnings Growth 5yr cagr,Sales Growth 5yr cagr,PEG,no. shares (cr),p/s,NFA + CWIP,Capex,FCF,FCF%,DV,Mcap (cr),d/e decreasing trend 5 yrs,Sales cagr >15%,npm >8%,Tax payout >25%,Interest coverage >3,d/e <0.5,CFO >0,cCFO > PAT,p/e <10,peg <1,EY >7%,p/b <3,DV >3%,EY >7,sgr > Sales growth (very linear),FCF/CFO,Current Price,Market Cap,Net Income,Total Revenue,Total Assets,Total Liabilities,Total Stockholders Equity,Total Debt,Cash and Cash Equivalents,Current Assets,Current Liabilities,Working Capital,Operating Cash Flow,Capital Expenditure,Dividends Paid,Depreciation & Amortization,Interest Expense,Income Tax Expense,Shares Outstanding,Net Fixed Assets,Construction in Progress,Net Debt,3-5yr Average ROA (%),3-5yr Average ROE (%),ROE,ROA,insidersPercentHeld,institutionsPercentHeld,institutionsFloatPercentHeld,institutionsCount,current,high,low,mean,median,5yr Average ROA (%),5yr Average ROE (%),ROE (3yr avg)
0.00,HRMY,25.40,25.53,878.05,913.27,27.98,0.00,100.00,100.00,"25,453.16",27.98,913.27,100.00,100.00,0.38,10.91,24.14,"490,411,000.00","219,821,000.00","682,231,000.00",1.39,17.93,12.21,6.68,62.19,32.76,0.20,5.75,2.82,"1,257,000.00","24,998,000.00","194,823,000.00",133.91,0.00,217.82,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,0.89,37.86,"2,178,184,192.00","145,493,000.00","714,734,000.00","999,200,000.00","340,045,000.00","466,992,000.00","179,266,000.00","8,121,000.00","579,252,000.00","175,082,000.00","404,170,000.00","219,821,000.00","1,153,000.00",0.00,"24,112,000.00","17,496,000.00","46,311,000.00","57,532,600.00","1,257,000.00",0.00,"171,145,000.00",22.07,39.02,25.84,16.07,0.11,0.95,1.07,399.00,37.86,70.00,31.00,50.55,49.00,,,
0.00,DHI,17.42,21.44,546.83,381.56,14.60,6.97,93.03,83.50,"5,099.57",14.60,381.56,83.50,93.03,0.26,inf,23.53,"19,535,400,000.00","2,189,800,000.00","7,590,100,000.00",0.39,14.60,13.72,9.35,7.70,9.84,1.78,29.81,1.47,-1.00,-1.00,-1.00,-1.00,0.78,"5,088.38",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,-1.00,170.68,"50,883,801,088.00","4,756,400,000.00","36,801,400,000.00","36,104,300,000.00","10,279,900,000.00","22,696,200,000.00","8,243,400,000.00",0.00,"34,745,900,000.00","2,036,500,000.00","32,709,400,000.00","2,189,800,000.00","165,300,000.00","395,200,000.00","87,100,000.00",0.00,"1,478,700,000.00","298,124,000.00","70,000,000.00",-1.00,0.00,16.83,25.51,19.81,13.85,0.12,0.86,0.97,"1,526.00",170.68,187.00,110.00,158.93,167.00,,,
0.00,GRBK,23.61,22.95,149.38,192.10,16.93,0.91,99.09,34.45,"3,188.59",16.93,192.10,34.45,99.09,0.27,inf,18.51,"1,148,319,000.00","25,912,000.00","237,549,000.00",0.21,20.05,9.07,12.33,31.41,14.37,0.29,4.36,1.45,"13,793,000.00","4,363,000.00","21,549,000.00",5.65,0.09,309.49,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.83,71.04,"3,094,864,640.00","381,583,000.00","2,098,943,000.00","2,249,994,000.00","551,831,000.00","1,300,704,000.00","336,606,000.00",0.00,"2,111,286,000.00","229,527,000.00","1,881,759,000.00","25,912,000.00","4,365,000.00","2,875,000.00","4,879,000.00",0.00,"94,725,000.00","43,565,100.00","13,793,000.00",0.00,0.00,17.78,26.77,26.08,18.38,0.08,0.79,0.86,410.00,71.04,62.00,62.00,62.00,62.00,,,
0.00,CPRX,26.70,26.92,134.96,100.06,30.02,0.00,100.00,77.55,"2,925.84",30.02,100.06,77.55,100.00,0.01,inf,24.22,"357,860,000.00","239,808,000.00","559,827,000.00",1.56,34.86,12.78,6.35,53.71,51.71,0.24,12.24,4.62,"3,584,000.00","37,655,000.00","202,153,000.00",123.35,0.00,258.00,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.84,21.08,"2,580,002,304.00","163,889,000.00","491,734,000.00","851,411,000.00","123,779,000.00","387,881,000.00","3,101,000.00","1,030,000.00","623,609,000.00","120,678,000.00","502,931,000.00","239,808,000.00","556,000.00",0.00,"37,774,000.00",0.00,"52,374,000.00","122,391,000.00","3,584,000.00",0.00,"2,071,000.00",22.93,27.63,29.38,24.80,0.06,0.85,0.91,501.00,21.08,40.00,31.00,34.29,34.00,,,
0.00,SIGA,31.96,32.77,105.48,82.02,40.65,72.14,27.86,33.12,895.71,40.65,82.02,33.12,27.86,0.00,-1.00,22.16,"230,638,614.00","48,761,807.00","196,666,836.00",0.85,23.28,8.01,9.06,-3.37,1.24,-2.37,7.16,3.64,"1,298,423.00","505,136.00","48,256,671.00",81.50,6.53,65.38,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.99,9.13,"653,762,816.00","59,214,216.00","138,719,350.00","244,337,026.00","28,532,263.00","196,858,907.00","3,200,650.00","4,914,613.00","231,044,884.00","25,331,613.00","205,713,271.00","48,761,807.00","42,450.00","42,665,044.00","538,421.00",-1.00,"16,856,174.00","71,606,000.00","1,298,423.00",0.00,"-1,713,963.00",23.53,28.49,28.70,23.75,0.43,0.50,0.88,247.00,9.13,,,,,,,
0.00,PHM,25.25,25.02,55.57,58.68,16.58,5.47,94.53,28.12,891.50,16.58,58.68,28.12,94.53,0.22,"8,120.87",23.03,"10,249,271,000.00","1,680,794,000.00","5,550,043,000.00",0.54,19.17,9.90,11.81,25.82,9.32,0.38,19.73,1.48,"346,992,000.00","137,266,000.00","1,543,528,000.00",50.06,0.64,"2,610.84",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.92,132.33,"26,108,444,672.00","3,083,262,000.00","17,946,950,000.00","17,363,763,000.00","5,241,799,000.00","10,383,257,000.00",-1.00,0.00,"16,578,401,000.00","1,495,979,000.00","15,082,422,000.00","1,680,794,000.00","118,545,000.00","167,707,000.00","89,162,000.00","479,000.00","922,617,000.00","197,298,000.00","346,992,000.00",0.00,0.00,17.96,28.76,27.40,18.43,0.01,0.96,0.97,"1,357.00",132.33,163.00,98.00,135.85,140.00,,,
0.00,MHO,16.49,17.00,50.14,45.70,11.98,0.00,100.00,16.06,531.25,11.98,45.70,16.06,100.00,0.41,-1.00,23.16,"1,916,620,000.00","179,736,000.00","899,115,000.00",0.47,14.01,8.07,14.54,14.15,6.34,0.57,2.64,0.86,"88,408,000.00","12,578,000.00","167,158,000.00",29.65,0.00,387.73,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.93,146.92,"3,877,321,472.00","563,725,000.00","4,504,670,000.00","4,549,796,000.00","1,610,119,000.00","2,516,939,000.00","1,342,213,000.00",0.00,"4,196,972,000.00","267,906,000.00","3,929,066,000.00","179,736,000.00","8,417,000.00",0.00,"15,452,000.00",-1.00,"169,883,000.00","26,390,700.00","88,408,000.00",0.00,0.00,13.10,22.50,20.66,13.15,0.02,0.98,1.01,431.00,146.92,185.00,150.00,162.00,151.00,,,
0.00,RCMT,28.56,42.38,28.81,43.40,6.17,0.00,100.00,20.95,246.96,6.17,43.40,20.95,100.00,1.64,9.68,33.99,"62,036,000.00","6,170,000.00","47,850,000.00",0.77,11.06,14.66,6.93,17.95,10.94,0.82,0.74,0.64,"12,542,000.00","7,860,000.00","-1,690,000.00",-12.68,0.00,19.22,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,-0.27,25.94,"192,228,640.00","13,327,000.00","278,380,000.00","132,077,000.00","98,593,000.00","25,790,000.00","44,960,000.00","7,034,000.00","97,038,000.00","53,633,000.00","43,405,000.00","6,170,000.00","2,572,000.00",0.00,"2,102,000.00","2,215,000.00","6,863,000.00","7,410,510.00","12,542,000.00",0.00,"37,926,000.00",17.56,58.46,44.97,10.55,0.35,0.41,0.63,108.00,25.94,32.00,30.00,31.00,31.00,,,
0.00,CHCI,17.67,20.27,7.38,6.05,21.49,0.00,100.00,3.23,126.84,21.49,6.05,3.23,100.00,0.17,-1.00,-35.76,"43,300,000.00","10,675,000.00","35,577,000.00",0.82,29.16,9.89,9.83,-3.75,18.16,-2.63,0.99,2.73,"6,550,000.00","-505,000.00","11,180,000.00",76.79,0.00,15.14,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1.05,15.03,"151,373,136.00","14,560,000.00","51,294,000.00","64,867,000.00","12,498,000.00","37,216,000.00",-1.00,"430,000.00","36,727,000.00","6,655,000.00","30,072,000.00","10,675,000.00","368,000.00",0.00,"302,000.00",-1.00,"-3,835,000.00","9,851,160.00","6,550,000.00",0.00,-1.00,19.76,27.73,32.51,25.36,0.66,0.09,0.25,23.00,15.03,,,,,,,
0.00,MLI,28.38,36.44,7.79,8.64,16.74,11.43,88.57,10.49,117.51,16.74,8.64,10.49,88.57,0.01,"1,859.49",25.00,"2,334,612,000.00","645,908,000.00","2,354,318,000.00",1.01,21.92,15.00,5.79,9.11,-0.01,1.65,11.07,2.57,"627,049,000.00","177,295,000.00","468,613,000.00",77.47,0.85,"1,044.46",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.73,94.35,"10,444,639,232.00","604,879,000.00","3,768,766,000.00","3,290,906,000.00","486,498,000.00","2,337,445,000.00",-1.00,"40,734,000.00","2,012,229,000.00","397,987,000.00","1,614,242,000.00","645,908,000.00","80,203,000.00","89,107,000.00","53,133,000.00","410,000.00","205,076,000.00","110,701,000.00","547,833,000.00","79,216,000.00",-1.00,25.75,32.19,23.67,20.00,0.03,0.90,0.92,736.00,94.35,130.00,99.00,114.50,114.50,,,
