,symbol,name,ticker,longName,p/e,3-5yr Average ROA (%),3-5yr Average ROE (%),ROE,ROA,ROCE,ROCE (3yr avg),NFAT,NFAT (3yr avg),NPM,DPR,Retention Ratio,Dep,SSGR,Av NPM (over 3 years),Au NFA/T (over 3 years),Av Dep%NFA (over 3 years),Au Retention ratio (over 3 years),d/e,Interest coverage,tax %,cPAT,CFO,cCFO,cCFO/cPAT,p/a,EY,Earnings Growth 5yr cagr,Sales Growth 5yr cagr,PEG,no. shares (cr),Current Price,market cap,d/e_market,p/s,NFA + CWIP,Capex,Capex_from_cashflow_statement,FCF,FCF%,FCF_capex_from_cashflow,FCF%_capex_from_cashflow,DV,Mcap (cr),d/e decreasing trend 5 yrs,Sales cagr >15%,npm >8%,Tax payout >25%,Interest coverage >3,d/e <0.5,CFO >0,cCFO > PAT,p/e <10,peg <1,EY >7%,p/b <3,DV >3%,EY >7,sgr > Sales growth (very linear),FCF/CFO,Market Cap,Net Income,Total Revenue,Total Assets,Total Liabilities,Total Stockholders Equity,Total Debt,Cash and Cash Equivalents,Current Assets,Current Liabilities,Working Capital,Operating Cash Flow,Capital Expenditure,Dividends Paid,Depreciation & Amortization,Interest Expense,Income Tax Expense,Shares Outstanding,Net Fixed Assets,Construction in Progress,Net Debt,insidersPercentHeld,institutionsPercentHeld,institutionsFloatPercentHeld,institutionsCount,current,high,low,mean,median,Normalized EBIT,Normalized Net Income,Research Asset,R&D Amortization,Adjusted EBIT (R&D),Adjusted Book Equity (R&D),Adjusted D/E (R&D),Adjusted Invested Capital (R&D),Adjusted ROC (R&D),Adjusted ROE (R&D)
66.00,MRK,Merck & Co Inc,MRK,"Merck & Co., Inc.",12.82,6.93,17.69,0.87,0.34,23.91,16.05,2.74,2.79,17.26,711.27,-611.27,18.61,-312.48,17.26,2.79,18.61,-611.27,0.99,15.91,14.06,45050000000.00,21468000000.00,67678000000.00,1.50,16.05,8.24,9.42,9.63,1.36,249.78,83.21,207840271137.28,0.18,3.27,31763000000.00,4949000000.00,3372000000.00,16519000000.00,96.51,18096000000.00,105.72,3.77,20784.03,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0.77,207840264192.00,17117000000.00,64168000000.00,117106000000.00,70734000000.00,37581000000.00,37111000000.00,8706000000.00,38782000000.00,28420000000.00,10362000000.00,21468000000.00,3372000000.00,7840000000.00,4499000000.00,1271000000.00,2803000000.00,2497779968.00,23779000000.00,7984000000.00,28405000000.00,0.00,0.81,0.81,4223.00,83.21,141.00,82.00,100.41,99.00,13882666666.67,10667000000.00,55389600000.00,14852400000.00,24292600000.00,92970600000.00,0.40,121375600000.00,17.20,18.41
5.00,UNH,Unitedhealth Group Inc,UNH,UnitedHealth Group Incorporated,13.09,8.70,26.90,26.88,8.62,12.33,16.34,36.38,34.93,5.28,37.43,62.57,36.56,78.74,5.28,34.93,36.56,62.57,0.87,8.27,24.06,74191000000.00,24204000000.00,101821000000.00,1.37,5.26,5.26,-5.15,11.65,-2.54,90.57,302.29,273776188623.36,0.28,0.65,10553000000.00,3202000000.00,3499000000.00,21002000000.00,145.80,20705000000.00,143.73,2.75,27377.62,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,0.87,273776197632.00,14405000000.00,400278000000.00,298278000000.00,195687000000.00,88756000000.00,76904000000.00,8212000000.00,85779000000.00,103769000000.00,-17990000000.00,24204000000.00,3499000000.00,7533000000.00,4099000000.00,3906000000.00,4829000000.00,905673984.00,10553000000.00,0.00,68692000000.00,0.01,0.87,0.87,4162.00,302.29,626.00,198.00,328.04,325.00,28256666666.67,18968666666.67,,,,,,,,
90.00,ELV,Elevance Health Inc,ELV,"Elevance Health, Inc.",13.16,5.77,16.08,15.85,5.66,-1.00,8.60,39.24,38.93,3.55,23.12,76.88,37.28,68.86,3.55,38.93,37.28,76.88,0.79,0.00,24.46,24019000000.00,5808000000.00,30632000000.00,1.28,5.49,8.56,0.74,8.44,17.84,22.52,310.41,69897502980.00,0.45,0.37,4652000000.00,1686000000.00,1256000000.00,4122000000.00,68.93,4552000000.00,76.12,2.16,6989.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0.71,69897502720.00,5980000000.00,176810000000.00,116889000000.00,75463000000.00,39306000000.00,31232000000.00,0.00,0.00,0.00,0.00,5808000000.00,1256000000.00,1508000000.00,1393000000.00,1185000000.00,1933000000.00,225178000.00,4652000000.00,0.00,0.00,0.00,0.93,0.93,2181.00,310.41,507.00,297.00,368.44,345.00,8761666666.67,5953666666.67,,,,,,,,
58.00,PGR,Progressive Corp,PGR,The Progressive Corporation,13.87,2.87,12.91,21.58,4.76,-1.00,4.41,90.18,66.90,6.33,17.10,82.90,30.65,320.56,6.33,66.90,30.65,82.90,0.34,0.00,20.84,16455900000.00,15119000000.00,40372700000.00,2.45,9.56,5.88,36.43,16.48,0.38,58.64,246.11,144318904000.00,0.05,1.75,790000000.00,193000000.00,285000000.00,14926000000.00,176.01,14834000000.00,174.93,0.47,14431.89,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.99,144318906368.00,8480000000.00,75343000000.00,105745000000.00,80154000000.00,20277000000.00,6893000000.00,0.00,0.00,0.00,0.00,15119000000.00,285000000.00,682000000.00,284000000.00,279000000.00,2233000000.00,586400000.00,790000000.00,0.00,0.00,0.00,0.88,0.88,2539.00,246.11,344.00,189.00,282.63,279.00,5776666666.67,4368333333.33,,,,,,,,
72.00,REGN,Regeneron Pharmaceuticals,REGN,"Regeneron Pharmaceuticals, Inc.",14.61,18.19,24.04,15.95,12.46,14.30,15.86,3.59,3.61,32.28,0.00,100.00,10.25,106.16,32.28,3.61,10.25,100.00,0.10,72.30,7.68,20779900000.00,4420500000.00,21110700000.00,1.02,13.34,7.31,-18.80,-4.04,-0.78,10.42,579.61,60377973700.00,0.04,4.32,6321300000.00,1312800000.00,881600000.00,3107700000.00,70.43,3538900000.00,80.20,0.00,6143.11,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.70,61431123968.00,4412600000.00,14202000000.00,37759400000.00,8405800000.00,25973100000.00,2704400000.00,349200000.00,18660900000.00,3944300000.00,14716600000.00,4420500000.00,881600000.00,0.00,482900000.00,55200000.00,367300000.00,104170000.00,4599700000.00,1721600000.00,2355200000.00,0.02,0.90,0.92,1757.00,579.61,890.00,543.00,718.78,750.00,4675200000.00,4234866666.67,12404880000.00,3322760000.00,6745340000.00,38377980000.00,0.07,40733180000.00,15.29,11.50
54.00,BAC,Bank America Corp,BAC,Bank of America Corporation,14.81,0.87,9.76,9.39,0.85,-1.00,0.00,8.48,8.47,27.51,33.48,66.52,17.85,137.18,27.51,8.47,17.85,66.52,1.12,0.00,7.25,113153000000.00,-8805000000.00,22657000000.00,0.20,0.85,7.25,-3.35,4.57,-4.42,740.69,50.49,373976899845.12,0.87,3.80,12168000000.00,2502000000.00,0.00,-11307000000.00,-41.67,-8805000000.00,-32.45,2.54,37397.69,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1.28,373976924160.00,27132000000.00,101887000000.00,3261519000000.00,2965960000000.00,291646000000.00,326670000000.00,0.00,0.00,0.00,0.00,-8805000000.00,0.00,9503000000.00,2189000000.00,90547000000.00,2122000000.00,7406949888.00,12168000000.00,0.00,0.00,0.08,0.67,0.73,4084.00,50.49,59.00,46.00,53.48,54.00,0.00,27058333333.33,,,,,,,,
88.00,GEHC,Ge Healthcare Technologies I,GEHC,GE HealthCare Technologies Inc.,15.11,6.17,16.87,19.02,5.23,13.11,12.75,7.79,7.99,9.53,1.79,98.21,25.38,49.44,9.53,7.99,25.38,98.21,1.31,5.20,20.57,7724000000.00,1951000000.00,7772000000.00,1.01,6.14,5.92,-4.01,3.81,-3.76,45.66,73.72,33657749460.48,0.28,1.69,3103000000.00,618000000.00,401000000.00,1333000000.00,66.88,1550000000.00,77.77,0.16,3365.77,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.68,33657749504.00,1993000000.00,19672000000.00,33089000000.00,24437000000.00,7133000000.00,9376000000.00,12000000.00,9901000000.00,9553000000.00,348000000.00,1951000000.00,401000000.00,55000000.00,580000000.00,505000000.00,531000000.00,456561984.00,2550000000.00,553000000.00,9364000000.00,0.00,0.87,0.87,1746.00,73.72,106.00,73.00,87.25,88.50,2862333333.33,1825666666.67,3217000000.00,871600000.00,3525400000.00,10350000000.00,0.91,19714000000.00,14.20,19.26
33.00,JPM,Jpmorgan Chase & Co.,JPM,JPMorgan Chase & Co.,15.43,1.17,14.41,15.98,1.31,-1.00,0.00,5.43,5.15,31.99,29.48,70.52,25.71,90.46,31.99,5.15,25.71,70.52,1.39,0.00,22.12,194033000000.00,-42012000000.00,156165000000.00,0.80,1.51,7.06,8.74,11.67,1.76,274.98,301.07,827867237317.12,0.55,5.06,32223000000.00,10004000000.00,0.00,-52016000000.00,-88.96,-42012000000.00,-71.85,1.79,82786.73,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,1.24,827867267072.00,58471000000.00,169439000000.00,4002814000000.00,3658056000000.00,327878000000.00,454311000000.00,0.00,0.00,0.00,0.00,-42012000000.00,0.00,14783000000.00,7938000000.00,101350000000.00,16610000000.00,2749750016.00,32223000000.00,0.00,0.00,0.00,0.74,0.75,5795.00,301.07,350.00,235.00,305.32,307.00,0.00,48566333333.33,,,,,,,,
89.00,XOM,Exxon Mobil Corp,XOM,Exxon Mobil Corporation,16.10,7.54,13.98,15.37,8.68,13.01,18.81,1.31,1.51,11.56,39.30,60.70,0.00,10.59,11.56,1.51,0.00,60.70,0.20,39.81,28.26,148470000000.00,55022000000.00,235317000000.00,1.58,8.95,6.97,13.30,7.03,1.21,426.32,113.35,483239378432.00,0.09,1.47,294318000000.00,79378000000.00,24306000000.00,-24356000000.00,-72.32,30716000000.00,91.20,3.46,48323.94,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,-0.44,483239362560.00,33680000000.00,339247000000.00,453475000000.00,182869000000.00,204802000000.00,41710000000.00,1598000000.00,91990000000.00,70307000000.00,21683000000.00,55022000000.00,24306000000.00,16704000000.00,0.00,996000000.00,13810000000.00,4263249920.00,294318000000.00,0.00,40112000000.00,0.00,0.67,0.67,4998.00,113.35,145.00,95.00,124.79,124.50,60684000000.00,41810000000.00,,,,,,,,
27.00,UBER,Uber Technologies Inc,UBER,"Uber Technologies, Inc.",16.35,-10.23,-31.78,20.30,5.33,11.69,-5.44,13.69,11.33,-0.40,0.00,100.00,24.99,-29.53,-0.40,11.33,24.99,100.00,0.99,5.35,-139.59,2106000000.00,7137000000.00,10919000000.00,5.18,25.47,4.93,-1.00,36.07,-1.00,208.54,95.96,200116906270.72,0.06,4.23,3328000000.00,548000000.00,242000000.00,6589000000.00,66.85,6895000000.00,69.96,0.00,20011.69,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.92,200116912128.00,9856000000.00,43978000000.00,51244000000.00,28768000000.00,11249000000.00,11126000000.00,493000000.00,12245000000.00,11476000000.00,769000000.00,7137000000.00,242000000.00,0.00,737000000.00,523000000.00,-5758000000.00,2085420032.00,3110000000.00,218000000.00,10633000000.00,0.00,0.84,0.85,3073.00,95.96,150.00,82.00,106.14,108.00,-419666666.67,867333333.33,8140600000.00,2225000000.00,5532000000.00,19389600000.00,0.57,30022600000.00,44.15,50.83
60.00,CI,The Cigna Group,CI,The Cigna Group,16.39,3.42,11.31,7.87,2.23,-1.00,5.59,63.93,57.09,2.59,31.45,68.55,76.04,25.38,2.59,57.09,76.04,68.55,0.69,0.00,28.30,20672000000.00,10363000000.00,38023000000.00,1.84,2.25,4.30,-8.63,11.93,-1.90,26.69,299.00,79811472000.00,0.40,0.30,3956000000.00,2860000000.00,1406000000.00,7503000000.00,218.49,8957000000.00,260.83,1.96,7981.15,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,0.72,79811469312.00,3434000000.00,244384000000.00,155881000000.00,114638000000.00,46223000000.00,31972000000.00,0.00,0.00,0.00,0.00,10363000000.00,1406000000.00,1567000000.00,2775000000.00,1435000000.00,1491000000.00,266928000.00,3956000000.00,0.00,0.00,0.02,0.90,0.92,2274.00,299.00,428.00,300.00,367.87,371.00,7762666666.67,5100666666.67,,,,,,,,
49.00,ABT,Abbott Labs,ABT,Abbott Laboratories,16.48,8.51,17.17,15.20,7.75,11.26,12.86,4.03,4.33,20.70,46.16,53.84,33.52,14.78,20.70,4.33,33.52,53.84,0.39,12.21,-91.10,33129000000.00,8558000000.00,35933000000.00,1.08,18.31,5.86,24.52,-0.88,0.67,174.05,131.37,228644234403.84,0.07,5.30,13146000000.00,4146000000.00,2207000000.00,4412000000.00,32.92,6351000000.00,47.39,1.68,22864.42,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.52,228644225024.00,13402000000.00,41950000000.00,81414000000.00,33513000000.00,38603000000.00,15021000000.00,0.00,23656000000.00,14157000000.00,9499000000.00,8558000000.00,2207000000.00,3836000000.00,3218000000.00,559000000.00,-6389000000.00,1740460032.00,10658000000.00,2488000000.00,0.00,0.01,0.81,0.81,3937.00,131.37,159.00,122.00,142.48,143.12,7912333333.33,8686000000.00,7866400000.00,2243000000.00,8173000000.00,46469400000.00,0.32,61490400000.00,25.40,28.84
80.00,T,At&t Inc,T,AT&T Inc.,16.54,0.88,3.94,14.34,3.56,6.74,5.02,0.82,0.82,4.55,5.27,94.73,12.88,-9.34,4.55,0.82,12.88,94.73,1.36,3.57,26.62,36905000000.00,38771000000.00,151066000000.00,4.09,2.69,5.29,-18.67,-3.00,-0.89,715.04,28.94,206932279654.40,0.68,1.67,157232000000.00,22778000000.00,20263000000.00,15993000000.00,146.08,18508000000.00,169.05,3.97,20693.23,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0.41,206932279296.00,10948000000.00,122336000000.00,394795000000.00,274570000000.00,103297000000.00,140923000000.00,15962000000.00,31168000000.00,46872000000.00,-15704000000.00,38771000000.00,20263000000.00,8208000000.00,20580000000.00,6759000000.00,4445000000.00,7150389760.00,149780000000.00,7452000000.00,124961000000.00,0.00,0.67,0.67,3540.00,28.94,34.00,21.87,30.58,31.00,17674333333.33,5608000000.00,,,,,,,,
