stock,name,sector,industry,ticker,p/e,d/e_market,d/e,Sales Growth 5yr cagr,3-5yr Average ROA (%),3-5yr Average ROE (%),ROE,ROA,ROCE (3yr avg),NFAT,NFAT (3yr avg),NPM,DPR,Retention Ratio,Dep,SSGR,Av NPM (over 3 years),Au NFA/T (over 3 years),Av Dep%NFA (over 3 years),Au Retention ratio (over 3 years),Interest coverage,tax %,cPAT,CFO,cCFO,cCFO/cPAT,p/a,EY,Earnings Growth 5yr cagr,,PEG,no. shares (cr),Current Price,market cap,p/s,NFA + CWIP,Capex,Capex_from_cashflow_statement,FCF,FCF%,FCF_capex_from_cashflow,FCF%_capex_from_cashflow,DV,Mcap (cr),d/e decreasing trend 5 yrs,Sales cagr >15%,npm >8%,Tax payout >25%,Interest coverage >3,d/e <0.5,CFO >0,cCFO > PAT,p/e <10,peg <1,EY >7%,p/b <3,DV >3%,EY >7,sgr > Sales growth (very linear),FCF/CFO,Market Cap,Net Income,Total Revenue,Total Assets,Total Liabilities,Total Stockholders Equity,Total Debt,Cash and Cash Equivalents,Current Assets,Current Liabilities,Working Capital,Operating Cash Flow,Capital Expenditure,Dividends Paid,Depreciation & Amortization,Interest Expense,Income Tax Expense,Shares Outstanding,Net Fixed Assets,Construction in Progress,Net Debt,insidersPercentHeld,institutionsPercentHeld,institutionsFloatPercentHeld,institutionsCount,current,Normalized EBIT,Normalized Net Income,high,low,mean,median,Research Asset,R&D Amortization,Adjusted EBIT (R&D),Adjusted Book Equity (R&D),Adjusted D/E (R&D),Adjusted Invested Capital (R&D),Adjusted ROC (R&D),Adjusted ROE (R&D)
5PAISA.NS,5paisa Capital Limited,Financial Services,Capital Markets,5PAISA.NS,18.74,0.19,0.40,1.99,3.10,11.07,11.93,3.67,13.82,12.05,16.76,23.08,0.00,100.00,68.64,318.07,23.08,16.76,68.64,100.00,-0.66,25.20,1799776000.00,979350000.00,-1097825000.00,-0.61,3.33,6.10,66.69,,0.28,3.12,357.90,11180545470.00,3.59,-1.00,-1.00,80320000.00,-1.00,-1.00,899030000.00,131.76,0.00,1118.05,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,-1.00,11180545024.00,682331000.00,2291565000.00,16666280000.00,10629860000.00,5398860000.00,2174160000.00,-1.00,15615450000.00,681170000.00,14934280000.00,979350000.00,80320000.00,0.00,122239000.00,238010000.00,229858000.00,31239300.00,162290000.00,-1.00,-1.00,0.57,0.21,0.49,7.00,357.90,966902000.00,554138666.67,,,,,,,,,,,,
AIIL.NS,Authum Investment & Infrastructure Limited,Financial Services,Capital Markets,AIIL.NS,12.99,0.02,0.10,72.44,51.91,75.94,33.88,30.61,48.33,92.03,53.37,396.20,0.00,100.00,71.29,21073.57,396.20,53.37,71.29,100.00,-1.00,-4.28,134990178000.00,-1863500000.00,36105062000.00,0.27,36.50,7.99,84.32,,0.15,16.98,3125.70,530884491494.40,12.19,926900000.00,3760400000.00,725000000.00,-5623900000.00,-13.26,-2588500000.00,-6.10,0.00,53088.45,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,3.02,530884493312.00,42414100000.00,45783400000.00,160874100000.00,13980700000.00,103451000000.00,10240700000.00,-1.00,25772400000.00,678100000.00,25094300000.00,-1863500000.00,725000000.00,0.00,2901600000.00,-1.00,-1742300000.00,169844992.00,926900000.00,0.00,-1.00,0.84,0.02,0.12,19.00,3125.70,42696666666.67,42767600000.00,,,,,,,,,,,,
BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited,Financial Services,Asset Management,BAJAJHLDNG.NS,17.22,0.00,0.00,16.28,9.56,11.63,11.15,9.29,0.00,77.72,71.36,94.41,22.42,77.58,44.28,5182.40,94.41,71.36,44.28,77.58,0.00,1.81,226940800000.00,-19567600000.00,33216600000.00,0.15,10.01,4.51,17.15,,1.00,11.13,12997.00,1446488118000.00,154.57,357200000.00,-38700000.00,7800000.00,-19528900000.00,-29.95,-19575400000.00,-30.02,0.71,144648.82,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1.00,1446488178688.00,65206700000.00,68753000000.00,752655900000.00,25965300000.00,542475100000.00,309900000.00,0.00,0.00,0.00,0.00,-19567600000.00,7800000.00,10204200000.00,337600000.00,14800000.00,1221300000.00,111294000.00,357200000.00,0.00,0.00,0.62,0.11,0.28,145.00,12997.00,0.00,62128000000.00,14346.00,14346.00,14346.00,14346.00,,,,,,,,
AAVAS.NS,Aavas Financiers Limited,Financial Services,Mortgage Finance,AAVAS.NS,21.41,1.12,3.69,24.14,3.35,14.06,14.12,3.27,3.60,23.95,22.20,28.55,0.00,100.00,41.34,592.56,28.55,22.20,41.34,100.00,-1.00,21.63,18496268000.00,-16601262000.00,-67198639000.00,-3.63,3.48,4.61,17.17,,1.25,7.92,1572.30,124465469220.00,9.08,-1.00,-1.00,300706000.00,-1.00,-1.00,-16901968000.00,-294.40,0.00,12446.55,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,-1.00,124465471488.00,5741082000.00,21252141000.00,186184740000.00,142576417000.00,37733152000.00,139184757000.00,-1.00,178014390000.00,48849000.00,177965541000.00,-16601262000.00,300706000.00,0.00,364515000.00,-1.00,1584809000.00,79161400.00,920981000.00,-1.00,-1.00,0.49,0.33,0.64,63.00,1572.30,5096125000.00,4981487333.33,2350.00,1477.00,1962.05,1970.00,,,,,,,,
APTUS.NS,Aptus Value Housing Finance India Limited,Financial Services,Mortgage Finance,APTUS.NS,21.02,0.41,1.82,25.81,7.60,17.30,18.58,7.42,0.00,46.17,56.17,59.43,27.43,72.57,50.40,2371.96,59.43,56.17,50.40,72.57,0.00,22.94,22362964000.00,-14049121000.00,-45312264000.00,-2.03,8.34,4.47,25.66,,0.82,50.06,336.10,168249638022.40,12.88,339173000.00,252054000.00,69086000.00,-14301175000.00,-190.37,-14118207000.00,-187.93,1.34,16832.43,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.02,168324268032.00,7512461000.00,12578874000.00,112434082000.00,69267564000.00,37679238000.00,68730872000.00,0.00,0.00,0.00,0.00,-14049121000.00,69086000.00,2246796000.00,120625000.00,5405145000.00,2235928000.00,500593984.00,338026000.00,1147000.00,0.00,0.25,0.55,0.74,51.00,336.10,0.00,6220521000.00,501.00,307.00,399.53,400.00,,,,,,,,
ACC.NS,ACC Limited,Basic Materials,Building Materials,ACC.NS,14.01,0.01,0.03,9.34,7.92,11.28,13.77,9.85,13.21,1.77,1.93,9.09,60.39,39.61,8.42,-1.49,9.09,1.93,8.42,39.61,19.04,23.17,72494700000.00,17114800000.00,58699700000.00,0.81,10.28,7.11,8.84,,1.58,18.78,1798.50,337734933888.00,1.49,151424100000.00,41200500000.00,19684400000.00,-24085700000.00,-100.27,-2569600000.00,-10.70,0.42,33773.49,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,-1.41,337734926336.00,24021200000.00,206721500000.00,254126100000.00,68539800000.00,163282200000.00,4297700000.00,191100000.00,91376500000.00,56681500000.00,34695000000.00,17114800000.00,19684400000.00,1426100000.00,10013100000.00,1082200000.00,7245100000.00,187787008.00,126808300000.00,24615800000.00,4106600000.00,0.57,0.26,0.62,68.00,1798.50,23600766666.67,17954933333.33,2550.00,1670.00,2139.26,2101.00,,,,,,,,
ACCELYA.NS,Accelya Solutions India Limited,Technology,Information Technology Services,ACCELYA.NS,16.35,0.03,0.22,12.78,29.67,42.52,46.03,29.98,52.09,8.92,10.58,23.26,95.28,4.72,65.65,-54.03,23.26,10.58,65.65,4.72,48.62,26.11,4257752000.00,1445631000.00,5524191000.00,1.30,31.36,6.12,19.20,,0.85,1.49,1412.30,21080413490.00,3.99,702004000.00,496421000.00,192527000.00,949210000.00,73.57,1253104000.00,97.13,6.37,2109.07,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.66,21090723840.00,1290159000.00,5284914000.00,4493375000.00,1716616000.00,2828585000.00,620263000.00,641766000.00,3127137000.00,1064295000.00,2062842000.00,1445631000.00,192527000.00,1343363000.00,280270000.00,34219000.00,455912000.00,14926300.00,701754000.00,250000.00,-21503000.00,0.79,0.00,0.01,4.00,1412.30,1628508333.33,1165291666.67,,,,,,,,,,,,
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,ADANIPORTS.NS,25.16,0.18,0.97,21.53,6.87,15.94,19.23,8.73,11.37,0.40,0.39,30.74,15.32,84.68,5.95,4.32,30.74,0.39,5.95,84.68,5.25,15.11,293978300000.00,172262800000.00,545635000000.00,1.86,9.33,3.90,31.43,,0.80,216.01,1315.40,2841448198092.80,8.70,952735300000.00,155314600000.00,80489200000.00,16948200000.00,15.28,91773600000.00,82.74,0.47,284144.83,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.10,2841448284160.00,110923100000.00,304753300000.00,1353322300000.00,703588900000.00,529447700000.00,513048200000.00,18003900000.00,189441200000.00,209859900000.00,-20418700000.00,172262800000.00,80489200000.00,13362800000.00,43789300000.00,26866800000.00,19683600000.00,2160140032.00,819227400000.00,133507900000.00,495044300000.00,0.66,0.22,0.65,164.00,1315.40,121884966666.67,81706000000.00,1900.00,1510.00,1717.78,1742.50,,,,,,,,
FIVESTAR.NS,Five-Star Business Finance Limited,Financial Services,Credit Services,FIVESTAR.NS,15.20,0.48,1.52,31.41,8.15,17.06,18.65,8.22,11.23,28.53,36.90,39.49,0.00,100.00,42.17,1415.25,39.49,36.90,42.17,100.00,-1.00,25.03,29654468000.00,-10449509000.00,-45672593000.00,-1.54,9.18,6.47,32.99,,0.46,29.44,562.70,165686447798.40,7.70,2039465000.00,-1.00,827188000.00,-1.00,-1.00,-11276697000.00,-105.15,0.00,16580.12,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,-1.00,165801246720.00,10724899000.00,27984424000.00,144205645000.00,81159578000.00,51961547000.00,79219939000.00,-1.00,138419294000.00,353765000.00,138065529000.00,-10449509000.00,827188000.00,0.00,303791000.00,-1.00,3581044000.00,294448992.00,1415855000.00,623610000.00,-1.00,0.28,0.44,0.61,76.00,562.70,11528351666.67,8373007666.67,834.00,650.00,755.82,765.00,,,,,,,,
ADROITINFO.NS,Adroit Infotech Limited,Technology,Information Technology Services,ADROITINFO.NS,58.11,0.29,0.46,70.74,7.63,13.46,1.25,0.95,9.59,12.98,13.95,10.36,0.00,100.00,61.48,83.08,10.36,13.95,61.48,100.00,-4.26,58.60,80859000.00,-134150000.00,-85497000.00,-1.06,1.44,1.21,-16.05,,-3.62,5.42,10.46,566693512.00,1.72,-1.00,-1.00,84069000.00,-1.00,-1.00,-218219000.00,-3170.41,0.00,60.19,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,-1.00,601866304.00,6883000.00,317122000.00,964756000.00,217992000.00,353459000.00,162217000.00,1034000.00,317546000.00,196737000.00,120809000.00,-134150000.00,84069000.00,0.00,17834000.00,8074000.00,9742000.00,54177200.00,32914000.00,-1.00,161183000.00,0.50,0.00,0.00,0.00,10.46,35757666.67,24890666.67,,,,,,,,,,,,
