,stock,name,sector,industry,ticker,ROCE,ROCE (3yr avg),NFAT,NFAT (3yr avg),NPM,DPR,Retention Ratio,Dep,SSGR,Av NPM (over 3 years),Au NFA/T (over 3 years),Av Dep%NFA (over 3 years),Au Retention ratio (over 3 years),d/e,Interest coverage,tax %,cPAT,CFO,cCFO,cCFO/cPAT,p/a,p/e,EY,Earnings Growth 5yr cagr,Sales Growth 5yr cagr,PEG,no. shares (cr),Current Price,market cap,d/e_market,p/s,NFA + CWIP,Capex,Capex_from_cashflow_statement,FCF,FCF%,FCF_capex_from_cashflow,FCF%_capex_from_cashflow,DV,Mcap (cr),d/e decreasing trend 5 yrs,Sales cagr >15%,npm >8%,Tax payout >25%,Interest coverage >3,d/e <0.5,CFO >0,cCFO > PAT,p/e <10,peg <1,EY >7%,p/b <3,DV >3%,EY >7,sgr > Sales growth (very linear),FCF/CFO,Market Cap,Net Income,Total Revenue,Total Assets,Total Liabilities,Total Stockholders Equity,Total Debt,Cash and Cash Equivalents,Current Assets,Current Liabilities,Working Capital,Operating Cash Flow,Capital Expenditure,Dividends Paid,Depreciation & Amortization,Interest Expense,Income Tax Expense,Shares Outstanding,Net Fixed Assets,Construction in Progress,Net Debt,3-5yr Average ROA (%),3-5yr Average ROE (%),ROE,ROA,insidersPercentHeld,institutionsPercentHeld,institutionsFloatPercentHeld,institutionsCount,current,Normalized EBIT,Normalized Net Income,high,low,mean,median,Research Asset,R&D Amortization,Adjusted EBIT (R&D),Adjusted Book Equity (R&D),Adjusted D/E (R&D),Adjusted Invested Capital (R&D),Adjusted ROC (R&D),Adjusted ROE (R&D)
0,5PAISA.NS,5paisa Capital Limited,Financial Services,Capital Markets,5PAISA.NS,7.1954400063559145,13.822396801584416,12.04691935653454,16.757856713094714,23.076214610211405,0.0,100.0,68.64001844381828,318.06787947472725,23.076214610211405,16.757856713094714,68.64001844381828,100.0,0.40270723819473,-0.6583630939876476,25.198506011363875,1799776000.0,979350000.0,-1097825000.0,-0.6099786862365094,3.331933493273199,18.738218,6.102841778434268,66.68737972326086,1.994692550836774,0.280985968825883,3.12393,357.9,11180545470.0,0.19445920647018308,3.5902038,-1,-1,80320000.0,-1,-1,899030000.0,131.75863327329404,0.0,1118.0545024,False,False,True,True,False,True,True,False,False,True,False,True,False,False,True,-1,11180545024,682331000.0,2291565000.0,16666280000.0,10629860000.0,5398860000.0,2174160000.0,-1,15615450000.0,681170000.0,14934280000.0,979350000.0,80320000.0,0,122239000.0,238010000.0,229858000.0,31239300,162290000.0,-1,-1,3.101985626573812,11.065089908532201,11.933787366815679,3.6738968378085657,0.57354,0.21058,0.49379003,7.0,357.9,966902000.0,554138666.6666666,,,,,,,,,,,,
1,AADHARHFC.NS,AADHAR HOUSING FINANCE L,Financial Services,Mortgage Finance,AADHARHFC.NS,11.29748516179555,11.277582394236513,41.16100464576074,40.6489534353175,30.988227480192148,0.0,100.0,29.275879965854415,1230.3631359195024,30.988227480192148,40.6489534353175,29.275879965854415,100.0,3.6680442721501207,1.8397951782260293,22.28235855650069,26510800000.0,-30266500000.0,-76391900000.0,-2.8815388445463737,4.775714317139316,23.340288,4.191934300486247,27.13022436198125,20.712291350557898,0.860305749358555,43.2059008,503.45,217520107577.6,0.7503618944366874,11.04735,870300000.0,375400000.0,148000000.0,-30641900000.0,-336.0483862123422,-30414500000.0,-333.55450029062433,0.0,21752.0111616,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,1.0124031519997356,217520111616,9118300000.0,28351700000.0,232239600000.0,168516700000.0,44497500000.0,163218800000.0,251900000.0,51887100000.0,25880400000.0,26006700000.0,-30266500000.0,148000000.0,0,252400000.0,11580800000.0,2614300000.0,432059008,870300000.0,0,162966900000.0,3.7794072705959216,16.327220452548517,16.85135150119571,4.309518959510854,0.75814,0.09388,0.38817,38.0,503.45,19139366666.666668,7354100000.0,670.0,525.0,590.55554,580.0,,,,,,,,
2,AARTIPHARM.NS,Aarti Pharmalabs Limited,Healthcare,Drug Manufacturers—Specialty & Generic,AARTIPHARM.NS,17.23097495122603,17.07005747471452,1.681198519579987,1.8172232105091453,11.527198561314494,9.789284390888511,90.21071560911149,6.788925982854548,12.107957154137207,11.527198561314494,1.8172232105091453,6.788925982854548,90.2107156091115,0.23512008155538022,14.034093782067488,24.476648197410793,8050513000.0,3315615000.0,7543277000.0,0.9369933319777262,10.549717747740013,27.864195,3.6710545948840156,30.615989554696064,21.06326732728401,0.9101190392758682,9.06412,818.65,74203418380.0,0.05567333810477749,3.8135722,17172836000.0,6079813000.0,4438784000.0,-2764198000.0,-101.47390941716152,-1123169000.0,-41.23161559561358,0.42746143900762973,7420.342272,False,True,True,False,True,True,True,False,False,True,False,False,False,False,False,-0.833690883893335,74203422720,2724048000.0,21150745000.0,29064051000.0,9164987000.0,17570392000.0,4131152000.0,968230000.0,13221672000.0,6570495000.0,6651177000.0,3315615000.0,4438784000.0,317191000.0,869040000.0,268964000.0,882847000.0,90641200,14107018000.0,3065818000.0,3162922000.0,9.31616202221772,13.58824822442489,14.540099007575662,9.926365810525413,0.45130002,0.11198,0.20409,24.0,818.65,3290396666.6666665,2276000666.6666665,,,,,150723800.0,44661200.0,3875859000.0,17721115800.0,0.23312030950105297,20884037800.0,14.016344233691802,15.371763441667706
3,AAVAS.NS,Aavas Financiers Limited,Financial Services,Mortgage Finance,AAVAS.NS,2.828645766119335,3.59599504262365,23.948516440267994,22.203093440597865,28.550345256301938,0.0,100.0,41.34412559943227,592.5618578875698,28.550345256301938,22.203093440597865,41.34412559943227,100.0,3.68865969638582,-1,21.63298634937375,18496268000.0,-16601262000.0,-67198639000.0,-3.633091767485203,3.4753461821521747,21.409313,4.612590171377011,17.165658161367325,24.14462349311104,1.2472177180006623,7.91614,1572.3,124465469220.0,1.1182600111681,9.08275,-1,-1,300706000.0,-1,-1,-16901968000.0,-294.40387717855276,0.0,12446.5471488,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,-1,124465471488,5741082000.0,21252141000.0,186184740000.0,142576417000.0,37733152000.0,139184757000.0,-1,178014390000.0,48849000.0,177965541000.0,-16601262000.0,300706000.0,0,364515000.0,-1,1584809000.0,79161400,920981000.0,-1,-1,3.3548513247345872,14.064134248290861,14.116001707615949,3.267740810075549,0.4896,0.3275,0.64166,63.0,1572.3,5096125000.0,4981487333.333333,2350.0,1477.0,1962.0526,1970.0,,,,,,,,
4,ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,Financial Services,Asset Management,ABSLAMC.NS,32.419004351230946,31.343834406630197,20.665808034345293,21.04890647208346,53.84135197728333,37.85630003981402,62.143699960185984,46.19311224116677,658.0824225833235,53.84135197728333,21.04890647208346,46.19311224116677,62.14369996018596,0.021477619853071117,167.8992932862191,25.225384479406042,29801118000.0,7084800000.0,23938602000.0,0.803278655518897,26.57452489398461,25.096783,3.8254204236343723,11.360329735331653,9.224279989747464,2.2091597325689176,28.8659008,842.75,243267378992.0,0.002797744616726363,11.774002,932400000.0,318700000.0,312800000.0,6766100000.0,72.70685579196218,6772000000.0,72.77025574897915,1.5988169133552037,24326.7371008,False,False,True,True,True,True,True,False,False,False,False,False,False,False,True,0.9550163730803974,243267371008,9306000000.0,16847800000.0,41144300000.0,3875600000.0,31688800000.0,680600000.0,889800000.0,28339000000.0,2580500000.0,25758500000.0,7084800000.0,312800000.0,3889400000.0,398100000.0,56600000.0,3139400000.0,288659008,926100000.0,6300000.0,-209200000.0,24.929847202600577,27.593749099016314,26.990537650001812,24.437126786305125,0.44912997,0.41996,0.76235,40.0,842.75,10205800000.0,7691133333.333333,1050.0,820.0,914.25,912.5,,,,,,,,
5,ACC.NS,ACC Limited,Basic Materials,Building Materials,ACC.NS,16.38434274728202,13.20761426464818,1.7680827961711774,1.925639945514936,9.092433302943045,60.385135781737254,39.614864218262746,8.421345261486922,-1.4852766253094298,9.092433302943045,1.925639945514936,8.421345261486922,39.61486421826276,0.02632068896670917,19.03576048789503,23.171121729063128,72494700000.0,17114800000.0,58699700000.0,0.8097102270924633,10.279641933708609,14.0124655,7.1124416190733575,8.841453716040304,9.339640780691916,1.5848599053997607,18.7787008,1798.5,337734933888.0,0.01272506800088737,1.4910737,151424100000.0,41200500000.0,19684400000.0,-24085700000.0,-100.26851281368126,-2569600000.0,-10.697217457912178,0.422254216815168,33773.4926336,False,False,True,False,True,True,True,False,False,False,True,True,False,True,False,-1.4073024516792483,337734926336,24021200000.0,206721500000.0,254126100000.0,68539800000.0,163282200000.0,4297700000.0,191100000.0,91376500000.0,56681500000.0,34695000000.0,17114800000.0,19684400000.0,1426100000.0,10013100000.0,1082200000.0,7245100000.0,187787008,126808300000.0,24615800000.0,4106600000.0,7.917514962122137,11.278319825989783,13.772415608034386,9.848719822633498,0.57475,0.26444,0.62184,68.0,1798.5,23600766666.666668,17954933333.333332,2550.0,1670.0,2139.2563,2101.0,,,,,,,,
6,ACCELYA.NS,Accelya Solutions India Limited,Technology,Information Technology Services,ACCELYA.NS,51.917423915452545,52.09449653938341,8.915728545810046,10.577929061185452,23.261377927773363,95.27621202784867,4.723787972151328,65.65066514631621,-54.02744446426087,23.261377927773363,10.577929061185452,65.65066514631621,4.7237879721513245,0.21928384687043168,48.61670417019784,26.11073661953036,4257752000.0,1445631000.0,5524191000.0,1.2974431108246793,31.35748031649166,16.34985,6.120178812488749,19.197742638502447,12.782101058547779,0.8516548173330132,1.49263,1412.3,21080413490.0,0.02942366383345548,3.989033,702004000.0,496421000.0,192527000.0,949210000.0,73.57310223003522,1253104000.0,97.12787338614854,6.372564753709678,2109.072384,False,False,True,True,True,True,True,True,False,True,False,False,True,False,False,0.656606008033862,21090723840,1290159000.0,5284914000.0,4493375000.0,1716616000.0,2828585000.0,620263000.0,641766000.0,3127137000.0,1064295000.0,2062842000.0,1445631000.0,192527000.0,1343363000.0,280270000.0,34219000.0,455912000.0,14926300,701754000.0,250000.0,-21503000.0,29.665167506179234,42.51887998520508,46.03317833838565,29.976743005388297,0.78664,0.00209,0.0098,4.0,1412.3,1628508333.3333333,1165291666.6666667,,,,,,,,,,,,
7,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,ADANIPORTS.NS,13.74448342157993,11.370383460499683,0.40154671881249393,0.39452464589783487,30.740789073617375,15.315122917139341,84.68487708286065,5.952534777064256,4.318046204241745,30.740789073617375,0.39452464589783487,5.952534777064256,84.68487708286067,0.9690252691625632,5.254950347640954,15.10681048257739,293978300000.0,172262800000.0,545635000000.0,1.8560383538512877,9.327706592793833,25.160675,3.903752321596162,31.42640115280213,21.52848599466102,0.8006222181681963,216.0140032,1315.4,2841448198092.8003,0.18055870254624437,8.704044,952735300000.0,155314600000.0,80489200000.0,16948200000.0,15.279233991837588,91773600000.0,82.7362379883,0.47028131672325424,284144.828416,False,True,True,False,True,False,True,True,False,True,False,False,False,False,False,0.09838572228014406,2841448284160,110923100000.0,304753300000.0,1353322300000.0,703588900000.0,529447700000.0,513048200000.0,18003900000.0,189441200000.0,209859900000.0,-20418700000.0,172262800000.0,80489200000.0,13362800000.0,43789300000.0,26866800000.0,19683600000.0,2160140032,819227400000.0,133507900000.0,495044300000.0,6.872767362441578,15.941332779497392,19.22741310117788,8.725510825757787,0.65911,0.22169,0.65033996,164.0,1315.4,121884966666.66667,81706000000.0,1900.0,1510.0,1717.7778,1742.5,,,,,,,,
8,ADANIPOWER.NS,Adani Power Limited,Utilities,Utilities—Independent Power Producers,ADANIPOWER.NS,20.141800217213337,22.356774640443234,0.7749305063253568,0.7206788884394396,30.95888794321327,0.0,100.0,5.7813905173506965,16.530026432885414,30.95888794321327,0.7206788884394396,5.7813905173506965,100.0,0.9121859458667662,5.778383849561123,22.06606432588751,494057800000.0,215011100000.0,543345200000.0,1.099760392407528,14.014408051057153,18.983648,5.665719184275716,49.72064463075172,26.613207370179094,0.38180615197130413,385.6940032,592.1,2283694192947.2,0.17233607775307738,4.125423,932358900000.0,328818200000.0,115590400000.0,-113807100000.0,-87.95820622825818,99420700000.0,76.83937499468652,0.0,228369.4194688,False,True,True,False,True,False,True,True,False,True,False,False,False,False,False,-0.5293080217718992,2283694194688,129387700000.0,561318200000.0,1129175700000.0,552440100000.0,431450300000.0,393562900000.0,5436200000.0,263292300000.0,164409900000.0,98882400000.0,215011100000.0,115590400000.0,0,43088800000.0,30726100000.0,36099000000.0,3856940032,811314700000.0,121044200000.0,388126700000.0,16.259030069531658,42.40672981853313,26.009637748195537,12.608285405438274,0.72907996,0.16613,0.61320996,103.0,592.1,180059733333.33334,148314000000.0,690.0,601.0,653.3333,669.0,,,,,,,,
9,ADROITINFO.NS,Adroit Infotech Limited,Technology,Information Technology Services,ADROITINFO.NS,3.215805858969635,9.589005450708763,12.977921466718504,13.954913423887268,10.358806448689142,0.0,100.0,61.480821654973376,83.07542551128874,10.358806448689142,13.954913423887268,61.480821654973376,100.0,0.45894148967772785,-4.258236314094625,58.602021174205966,80859000.0,-134150000.0,-85497000.0,-1.0573591065929582,1.4362233772845927,58.11111,1.2145895187167768,-16.04965802972167,70.74169517045368,-3.6207070513519066,5.41772,10.46,566693512.0,0.28625173319436203,1.7204438,-1,-1,84069000.0,-1,-1,-218219000.0,-3170.405346505884,0.0,60.1866304,False,True,True,True,False,True,False,False,False,True,False,True,False,False,True,-1,601866304,6883000.0,317122000.0,964756000.0,217992000.0,353459000.0,162217000.0,1034000.0,317546000.0,196737000.0,120809000.0,-134150000.0,84069000.0,0,17834000.0,8074000.0,9742000.0,54177200,32914000.0,-1,161183000.0,7.625946538235104,13.455002408323486,1.251200892909892,0.9533247599201938,0.50477004,0.0,0.0,0.0,10.46,35757666.666666664,24890666.666666668,,,,,,,,,,,,
