,stock,name,sector,industry,ticker,ROCE,ROCE (3yr avg),NFAT,NFAT (3yr avg),NPM,DPR,Retention Ratio,Dep,SSGR,Av NPM (over 3 years),Au NFA/T (over 3 years),Av Dep%NFA (over 3 years),Au Retention ratio (over 3 years),d/e,Interest coverage,tax %,cPAT,CFO,cCFO,cCFO/cPAT,p/a,p/e,EY,Earnings Growth 5yr cagr,Sales Growth 5yr cagr,PEG,no. shares (cr),Current Price,market cap,d/e_market,p/s,NFA + CWIP,Capex,Capex_from_cashflow_statement,FCF,FCF%,FCF_capex_from_cashflow,FCF%_capex_from_cashflow,DV,Mcap (cr),d/e decreasing trend 5 yrs,Sales cagr >15%,npm >8%,Tax payout >25%,Interest coverage >3,d/e <0.5,CFO >0,cCFO > PAT,p/e <10,peg <1,EY >7%,p/b <3,DV >3%,EY >7,sgr > Sales growth (very linear),FCF/CFO,Market Cap,Net Income,Total Revenue,Total Assets,Total Liabilities,Total Stockholders Equity,Total Debt,Cash and Cash Equivalents,Current Assets,Current Liabilities,Working Capital,Operating Cash Flow,Capital Expenditure,Dividends Paid,Depreciation & Amortization,Interest Expense,Income Tax Expense,Shares Outstanding,Net Fixed Assets,Construction in Progress,Net Debt,3-5yr Average ROA (%),3-5yr Average ROE (%),ROE,ROA,insidersPercentHeld,institutionsPercentHeld,institutionsFloatPercentHeld,institutionsCount,current,Normalized EBIT,Normalized Net Income,high,low,mean,median,Research Asset,R&D Amortization,Adjusted EBIT (R&D),Adjusted Book Equity (R&D),Adjusted D/E (R&D),Adjusted Invested Capital (R&D),Adjusted ROC (R&D),Adjusted ROE (R&D)
0,WSI.NS,W.S. Industries (India) Limited,Industrials,Electrical Equipment & Parts,WSI.NS,4.6234422972728915,9.784796327927307,30.408344994275538,12.534723707944678,10.568536081710008,0.0,100.0,9.11927660729262,123.35440317438658,10.568536081710008,12.534723707944678,9.11927660729262,100.0,0.6339273370249365,1.0797546012269938,481.7204301075269,-104140000.0,-825900000.0,-901530000.0,8.656904167466871,-5.033657934596807,inf,-3.63844696390712,-1,-1,-1,6.33836,76.23,4831731828.0,0.1803080201908921,2.4987743,123700000.0,75940000.0,81500000.0,-901840000.0,512.9920364050057,-907400000.0,516.1547212741752,0.0,483.2379904,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,1.0919481777454898,4832379904,-175800000.0,2390400000.0,4087500000.0,2103700000.0,1374290000.0,871200000.0,628700000.0,2018300000.0,1319000000.0,699300000.0,-825900000.0,81500000.0,0,20200000.0,81500000.0,224000000.0,63383600,94900000.0,28800000.0,242500000.0,7.857486443341114,43.29844662753592,-10.467743808222359,-4.6385285468714335,0.67091006,0.0,0.0,0.0,76.23,198096666.66666666,163333333.33333334,,,,,,,,,,,,
1,VIPULLTD.NS,Vipul Limited,Real Estate,Real Estate—Diversified,VIPULLTD.NS,-1.2440345509978235,15.891333313845067,2.0809893950709486,2.7896035074287777,-14.390554260355728,0.0,100.0,6.227760087239545,-46.37170072577202,-14.390554260355728,2.7896035074287777,6.227760087239545,100.0,0.24120938268474587,-0.672742435072671,-0.10907249425421682,706672000.0,429704000.0,3687759000.0,5.218487501981117,-2.251947169669433,inf,-20.034660956651557,-1,-14.279659585505867,-1,14.0959008,10.01,1410999670.08,0.6013871002194416,1.9390149,462756000.0,-55492000.0,14406000.0,485196000.0,-171.6359674412517,415298000.0,-146.90985499966393,0.0,141.3782272,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,1.1291400592035448,1413782272,-282689000.0,870764000.0,11895989000.0,8125513000.0,3517927000.0,848557000.0,1805208000.0,10534142000.0,8089905000.0,2444237000.0,429704000.0,14406000.0,0,28121000.0,235032000.0,308000.0,140959008,411581000.0,51175000.0,-956651000.0,3.2027275865571023,12.919875251504584,-7.757227474935181,-2.3124713767360006,0.34785998,0.0,0.0,0.0,10.01,782295333.3333334,374978000.0,,,,,,,,,,,,
2,VINDHYATEL.NS,Vindhya Telelinks Limited,Industrials,Engineering & Construction,VINDHYATEL.NS,7.169518845771675,7.683182925045827,27.82220326724099,26.887139044610084,6.108828736272906,7.148998709355385,92.85100129064462,15.948004340760605,136.55876957458563,6.108828736272906,26.887139044610084,15.948004340760605,92.85100129064462,0.29401094876319595,2.4154041681358303,24.772418274183966,8641226000.0,-5903134000.0,679119000.0,0.07859058425274376,2.988738876556909,7.5583477,11.565047061085338,1.6229150232730971,45.52755793163519,4.657266456722001,1.18509,1480.0,17539332000.0,0.6660465746357958,0.42580807,1348015000.0,-13700000.0,171849000.0,-5889434000.0,-290.3441673174156,-6074983000.0,-299.4915777309764,1.013510662777807,1757.9587584,False,True,False,False,False,True,False,False,True,False,True,True,False,True,True,0.9976791988797815,17579587584,2028432000.0,40544017000.0,77229937000.0,36369274000.0,39733255000.0,11682012000.0,6023702000.0,37749245000.0,25419668000.0,12329577000.0,-5903134000.0,171849000.0,177763000.0,234274000.0,1018153000.0,667962000.0,11850900,1333267000.0,14748000.0,5658310000.0,3.5106663891387537,6.0881162092194,5.033709863813793,2.7959264088602396,0.58771,0.091350004,0.22156,6.0,1480.0,3804735000.0,2236143000.0,,,,,,,,,,,,
3,UTKARSHBNK.NS,Utkarsh Small Finance Bank Limited,Financial Services,Banks—Regional,UTKARSHBNK.NS,-1,0.0,7.508848771385348,7.047982052227556,14.931630282820622,-1,101.0,21.01334910739028,85.27689175886508,14.931630282820622,7.047982052227556,21.01334910739028,-1,0.7920002241364935,0.0,14.284681035729784,9872926000.0,8755782000.0,47691015000.0,4.830484397431927,0.09915416587020776,inf,1.014831137557616,-30.310110689104274,28.16425035439185,-inf,110.1609984,21.2,23354131660.8,1.0082865996480115,1.9129467,4499251000.0,2046330000.0,1589615000.0,6709452000.0,2830.932680745132,7166167000.0,3023.635366342482,2.356032791078098,2339.8227968,False,True,True,False,False,False,True,True,False,True,False,True,False,False,True,0.7662881510754836,23398227968,237005000.0,26224583000.0,281274370000.0,251529328000.0,29731883000.0,23547658000.0,0,0,0,0,8755782000.0,1589615000.0,550231000.0,765691000.0,17420624000.0,39500000.0,1101609984,3869206000.0,630045000.0,0,1.5904657271465543,14.484227803188586,0.7969645370872821,0.09110301007604941,0.68924004,0.058369998,0.18783002,5.0,21.2,0.0,3086102000.0,32.0,26.0,29.0,29.0,,,,,,,,
4,UNITEDTEA.NS,The United Nilgiri Tea Estates Company Limited,Consumer Defensive,Farm Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,UNIONBANK.NS,Union Bank of India,Financial Services,Banks—Regional,UNIONBANK.NS,0.0,0.0,6.45946651772586,6.244647400638827,24.48115590440823,15.120817341633177,84.87918265836683,10.177899492583814,119.58215815842854,24.48115590440823,6.244647400638827,10.177899492583814,84.87918265836682,0.2816644869012018,0.0,23.3862620284736,456010500000.0,174793800000.0,798038000000.0,1.7500430362897346,1.2858062323753672,5.260446,18.21179616349192,44.861493420254696,12.590306814207652,0.11725971649496938,763.361024,129.67,989850239820.7999,0.2777166948504926,1.8872659,94049465000.0,14262141000.0,16691700000.0,160531659000.0,89.05092202281931,158102100000.0,87.70318494462191,2.7762785615908014,98985.0238976,True,False,True,False,False,True,True,True,True,True,True,True,False,True,True,0.9184059102782822,989850238976,180269508000.0,593396844000.0,15113294233000.0,13974953451000.0,975976560000.0,274897937000.0,0,0,0,0,174793800000.0,16691700000.0,27481000000.0,10838800000.0,707333117000.0,55027100000.0,7633610240,93462184000.0,587281000.0,0,0.8475325871035632,12.874985546914452,17.05226594125907,1.237551507782443,0.74757004,0.13583,0.53809,160.0,129.67,0.0,134452431666.66667,180.0,130.0,156.08333,157.5,,,,,,,,
6,UJJIVANSFB.NS,Ujjivan Small Finance Bank Limited,Financial Services,Banks—Regional,UJJIVANSFB.NS,-1,0.0,15.227391042949723,20.101823457017055,27.21865486261804,19.8701005950559,80.1298994049441,38.92357179914897,399.502841602323,27.21865486261804,20.101823457017055,38.92357179914897,80.12989940494411,0.33051850202122846,0.0,22.883139652574762,26929251000.0,20281998000.0,72352521000.0,2.6867632152115926,1.7962971065401407,15.789668,8.763752389378626,-1,26.961446300261827,-1,193.6269952,42.79,82852991246.08,0.22393434106554147,2.3103895,4569131000.0,1649727000.0,1672079000.0,18632271000.0,256.6064103017877,18609919000.0,256.2985752298813,3.501083010249485,8285.2995072,False,True,True,False,False,True,True,True,False,False,True,True,True,True,True,0.9186605284153958,82852995072,7261031000.0,43702894000.0,476891515000.0,416057446000.0,56134921000.0,18553630000.0,0,0,0,0,20281998000.0,1672079000.0,2900752000.0,1347239000.0,27181225000.0,2154600000.0,1936269952,4437402000.0,131729000.0,0,1.808060633281161,13.772209414270304,12.415309390976189,1.6481485169364813,0.051659998,0.22015,0.23214,46.0,42.79,0.0,10358385000.0,73.0,42.0,54.86667,55.0,,,,,,,,
7,TVTODAY.NS,T.V. Today Network Limited,Communication Services,Broadcasting,TVTODAY.NS,12.482777624689998,12.634738202733582,6.31049822064057,5.547229276463608,7.928587387377416,191.0491338843368,-91.04913388433683,21.538073367397526,-61.58302307050836,7.928587387377416,5.547229276463608,21.538073367397526,-91.0491338843368,0.023807053343939864,27.90909090909091,25.63385364973383,4006600000.0,1215900000.0,4129300000.0,1.0306244696251186,6.614834340691038,24.74958,8.48204313956534,-25.675086994434928,2.7187161408441796,-0.963953111643379,5.96686,147.26,8786798036.0,0.02350116608506967,0.99777716,1455700000.0,45200000.0,162800000.0,1170700000.0,157.07768683751507,1053100000.0,141.29880584999327,5.77229609605198,879.0317056,False,False,False,True,True,True,True,True,False,True,True,True,True,True,False,0.9628258902870301,8790317056,745300000.0,9930200000.0,11331100000.0,2419000000.0,8673900000.0,206500000.0,1086400000.0,8124500000.0,2258600000.0,5865900000.0,1215900000.0,162800000.0,507200000.0,322400000.0,24200000.0,284100000.0,59668600,1451100000.0,4600000.0,-879900000.0,6.275730695355816,8.003510353901673,8.476060502672581,6.59610057438203,0.60713,0.09522,0.24238001,9.0,147.26,1119433333.3333333,730500000.0,,,,,,,,,,,,
8,TMB.NS,Tamilnad Mercantile Bank Limited,Financial Services,Banks—Regional,TMB.NS,-1,0.0,12.1978893904318,12.223231307045985,37.89213934998123,14.1047089321734,85.89529106782659,27.366096278282544,370.4702994755603,37.89213934998123,12.223231307045985,27.366096278282544,85.89529106782659,0.06312173090188594,0.0,24.908411046183108,41058074000.0,18988372000.0,13435102000.0,0.32722192473032224,1.9212996492401773,5.6024017,17.59101266478826,8.997897131355504,6.242483145487077,0.6226345576320248,15.8351008,424.55,67227920446.4,0.07437386084233319,2.1932092,2844838000.0,997371000.0,1052678000.0,17991001000.0,152.129980267328,17935694000.0,151.66231019056877,2.3554424850349447,6729.1172864,False,False,True,False,False,True,True,False,True,True,True,True,False,True,True,0.9474746439557852,67291172864,11826072000.0,31508856000.0,664498704000.0,574411778000.0,79212023000.0,5000000000.0,0,0,0,0,18988372000.0,1052678000.0,1583515000.0,862331000.0,29903401000.0,3922800000.0,158351008,2844838000.0,0,0,1.7640839016251313,15.149533857989116,13.970638411937216,1.8477901072277745,0.27416,0.02736,0.0377,22.0,424.55,0.0,10946329000.0,,,,,,,,,,,,
9,TIL.NS,TIL Limited,Industrials,Farm & Heavy Construction Machinery,TIL.NS,12.637780311668568,72.49590252339225,3.110957620010854,1.3793194281427414,57.55290340091705,0.0,100.0,7.194445221510125,72.18939258539723,57.55290340091705,1.3793194281427414,7.194445221510125,100.0,9.001266223488445,0.18694158075601375,31.08433734939759,-2654300000.0,-1306700000.0,-2349900000.0,0.8853181629808236,0.6914057778315,inf,0.15541653611609707,-1,69.1369320568423,-1,6.66021,276.3,18402160230.0,0.1545199022538888,5.9444137,991300000.0,19800000.0,59400000.0,-1326500000.0,-4638.111888111888,-1366100000.0,-4776.573426573426,0.0,1849.9610624,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,1.0151526746766664,18499610624,28600000.0,3152800000.0,5221700000.0,4398100000.0,315900000.0,2843500000.0,435400000.0,3186100000.0,2590700000.0,595400000.0,-1306700000.0,59400000.0,0,69500000.0,291000000.0,12900000.0,66602100,988600000.0,2700000.0,2408100000.0,14.050393637318315,-50.93724737787655,5.019745502413339,0.6112286550832425,0.78973,0.0,0.0,0.0,276.3,650433333.3333334,552466666.6666666,,,,,,,,,,,,
