,symbol,name,ticker,longName,p/e,3-5yr Average ROA (%),3-5yr Average ROE (%),ROE,ROA,ROCE,ROCE (3yr avg),NFAT,NFAT (3yr avg),NPM,DPR,Retention Ratio,Dep,SSGR,Av NPM (over 3 years),Au NFA/T (over 3 years),Av Dep%NFA (over 3 years),Au Retention ratio (over 3 years),d/e,Interest coverage,tax %,cPAT,CFO,cCFO,cCFO/cPAT,p/a,EY,Earnings Growth 5yr cagr,Sales Growth 5yr cagr,PEG,no. shares (cr),Current Price,market cap,d/e_market,p/s,NFA + CWIP,Capex,Capex_from_cashflow_statement,FCF,FCF%,FCF_capex_from_cashflow,FCF%_capex_from_cashflow,DV,Mcap (cr),d/e decreasing trend 5 yrs,Sales cagr >15%,npm >8%,Tax payout >25%,Interest coverage >3,d/e <0.5,CFO >0,cCFO > PAT,p/e <10,peg <1,EY >7%,p/b <3,DV >3%,EY >7,sgr > Sales growth (very linear),FCF/CFO,Market Cap,Net Income,Total Revenue,Total Assets,Total Liabilities,Total Stockholders Equity,Total Debt,Cash and Cash Equivalents,Current Assets,Current Liabilities,Working Capital,Operating Cash Flow,Capital Expenditure,Dividends Paid,Depreciation & Amortization,Interest Expense,Income Tax Expense,Shares Outstanding,Net Fixed Assets,Construction in Progress,Net Debt,insidersPercentHeld,institutionsPercentHeld,institutionsFloatPercentHeld,institutionsCount,current,high,low,mean,median,Normalized EBIT,Normalized Net Income,Research Asset,R&D Amortization,Adjusted EBIT (R&D),Adjusted Book Equity (R&D),Adjusted D/E (R&D),Adjusted Invested Capital (R&D),Adjusted ROC (R&D),Adjusted ROE (R&D)
17.00,HRMY,Harmony Biosciences Holdings Inc,HRMY,"Harmony Biosciences Holdings, Inc.",11.93,25.06,45.61,29.63,17.35,25.40,25.53,878.05,913.27,27.98,0.00,100.00,100.00,25453.16,27.98,913.27,100.00,100.00,0.38,10.91,24.14,490411000.00,219821000.00,682231000.00,1.39,17.93,6.84,62.19,32.76,0.19,5.75,36.97,2127060767.64,0.08,2.75,1257000.00,24998000.00,1153000.00,194823000.00,133.91,218668000.00,150.29,0.00,212.71,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,0.89,2127060864.00,145493000.00,714734000.00,999200000.00,340045000.00,466992000.00,179266000.00,8121000.00,579252000.00,175082000.00,404170000.00,219821000.00,1153000.00,0.00,24112000.00,17496000.00,46311000.00,57532600.00,1257000.00,0.00,171145000.00,0.11,0.95,1.07,399.00,36.97,70.00,31.00,50.55,49.00,176644666.67,151938000.00,261353800.00,64628200.00,290496800.00,728345800.00,0.25,899490800.00,24.50,19.98
42.00,SIGA,SIGA Technologies Inc,SIGA,"SIGA Technologies, Inc.",7.32,23.42,28.39,37.09,30.29,31.96,32.77,105.48,82.02,40.65,72.14,27.86,33.12,895.71,40.65,82.02,33.12,27.86,0.00,-1.00,22.16,230638614.00,48761807.00,196666836.00,0.85,23.28,9.90,-3.37,1.24,-2.17,7.16,8.35,597910100.00,0.00,3.33,1298423.00,505136.00,42450.00,48256671.00,81.50,48719357.00,82.28,7.14,59.79,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.99,597910144.00,59214216.00,138719350.00,244337026.00,28532263.00,196858907.00,546820.00,4914613.00,231044884.00,25331613.00,205713271.00,48761807.00,42450.00,42665044.00,538421.00,-1.00,16856174.00,71606000.00,1298423.00,0.00,-4367793.00,0.43,0.50,0.88,247.00,8.35,,,,,65434868.33,53729282.67,42945413.40,12241315.00,70052756.00,239804320.40,0.00,235436527.40,23.16,24.69
7.00,CPRX,Catalyst Pharmaceutical Inc,CPRX,"Catalyst Pharmaceuticals, Inc.",12.41,21.99,26.75,20.75,16.89,26.70,26.92,134.96,100.06,30.02,0.00,100.00,77.55,2925.84,30.02,100.06,77.55,100.00,0.01,inf,24.22,357860000.00,239808000.00,559827000.00,1.56,34.86,6.54,53.71,51.71,0.23,12.24,20.48,2506567680.00,0.00,4.49,3584000.00,37655000.00,556000.00,202153000.00,123.35,239252000.00,145.98,0.00,250.66,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,0.84,2506567680.00,163889000.00,491734000.00,851411000.00,123779000.00,387881000.00,3188000.00,1030000.00,623609000.00,120678000.00,502931000.00,239808000.00,556000.00,0.00,37774000.00,0.00,52374000.00,122391000.00,3584000.00,0.00,2158000.00,0.06,0.85,0.91,501.00,20.48,40.00,31.00,34.29,34.00,127924666.67,106126000.00,105815800.00,28504600.00,179267400.00,493696800.00,0.01,495854800.00,27.40,33.20
1.00,MO,Altria Group Inc,MO,"Altria Group, Inc.",12.94,18.30,-211.53,-216.42,21.53,56.00,43.46,12.51,12.73,40.87,86.21,13.79,16.16,55.55,40.87,12.73,16.16,13.79,-7.04,10.35,17.53,27633000000.00,8753000000.00,34701000000.00,1.26,29.20,10.02,69.63,-1.06,0.19,167.99,66.89,112359445860.48,0.22,5.55,1816000000.00,210000000.00,142000000.00,8543000000.00,75.84,8611000000.00,76.45,6.09,11235.94,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.98,112359448576.00,11264000000.00,20444000000.00,35177000000.00,37365000000.00,-3540000000.00,24926000000.00,36000000.00,4513000000.00,8781000000.00,-4268000000.00,8753000000.00,142000000.00,6845000000.00,286000000.00,1124000000.00,2394000000.00,1679890048.00,1617000000.00,199000000.00,24890000000.00,0.00,0.62,0.62,2715.00,66.89,73.00,50.00,62.88,62.75,11792000000.00,8386000000.00,,,,,,,,
16.00,HRB,H&R Block Inc,HRB,"H&R Block, Inc.",11.34,18.19,712.56,970.69,18.93,43.73,39.34,6.02,6.15,16.18,31.64,68.36,20.99,46.99,16.18,6.15,20.99,68.36,22.36,10.60,22.01,2308464000.00,680883000.00,3032121000.00,1.31,18.82,9.02,9.32,2.79,1.22,13.39,50.13,6714093375.00,0.30,1.79,656283000.00,179805000.00,82034000.00,501078000.00,82.72,598849000.00,98.86,2.94,671.41,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0.74,6714093568.00,605773000.00,3760995000.00,3263898000.00,3175002000.00,90594000.00,2025248000.00,95788000.00,1162548000.00,1298610000.00,-136062000.00,680883000.00,82034000.00,197330000.00,116827000.00,78113000.00,171953000.00,133947000.00,656283000.00,0.00,1929460000.00,0.01,0.95,0.96,748.00,50.13,62.00,48.00,55.00,55.00,828369333.33,584930000.00,,,,,,,,
9.00,CROX,Crocs Inc,CROX,"Crocs, Inc.",23.86,17.60,99.81,69.77,17.33,25.05,24.49,7.62,8.76,19.45,-1.00,101.00,11.93,160.16,19.45,8.76,11.93,-1.00,1.17,9.35,-4.34,3008490000.00,992486000.00,3093237000.00,1.03,20.46,19.81,11.25,21.04,2.12,5.46,87.79,4794861546.00,0.35,1.16,562426000.00,93093000.00,69347000.00,899393000.00,94.67,923139000.00,97.17,-1.00,479.49,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0.91,4794861568.00,950071000.00,4102108000.00,4812153000.00,2976421000.00,1453923000.00,1701296000.00,51623000.00,872269000.00,740208000.00,132061000.00,992486000.00,69347000.00,-1.00,69840000.00,109264000.00,-39486000.00,54617400.00,551563000.00,10863000.00,1649673000.00,0.03,1.04,1.08,679.00,87.79,140.00,67.00,91.83,90.00,970712666.67,760932000.00,,,,,,,,
20.00,INVA,Innoviva Inc,INVA,"Innoviva, Inc.",35.63,17.17,36.30,28.97,14.52,5.60,16.97,119.85,134.35,42.99,-1.00,101.00,100.00,5733.47,42.99,134.35,100.00,-1.00,0.67,7.51,37.43,682889000.00,188690000.00,895293000.00,1.31,1.88,1.83,-51.48,-2.90,-0.69,6.30,20.31,1279956510.00,0.35,3.46,2967000.00,25850000.00,4270000.00,162840000.00,696.14,184420000.00,788.39,-1.00,128.00,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,0.86,1279956480.00,23392000.00,358711000.00,1301060000.00,609901000.00,674955000.00,451095000.00,656000.00,554306000.00,236083000.00,318223000.00,188690000.00,4270000.00,-1.00,25902000.00,22209000.00,13996000.00,63021000.00,2967000.00,0.00,450439000.00,0.01,1.28,1.30,376.00,20.31,55.00,29.00,41.00,40.00,191863333.33,139011666.67,65881200.00,17916800.00,55334200.00,740836200.00,0.61,1191275200.00,2.91,3.16
45.00,TZOO,Travelzoo,TZOO,Travelzoo,10.89,14.05,27788.15,292.96,20.16,101.49,71.09,13.24,11.11,13.40,0.00,100.00,22.23,126.63,13.40,11.11,22.23,100.00,1.94,inf,28.31,33475000.00,21100000.00,571000.00,0.02,24.49,12.60,121.04,10.19,0.09,1.10,9.80,107641370.34,0.08,1.23,6078000.00,392000.00,177000.00,20708000.00,152.67,20923000.00,154.25,0.00,10.76,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.98,107641368.00,13564000.00,83902000.00,54722000.00,50369000.00,4186000.00,8118000.00,144000.00,31773000.00,36496000.00,-4723000.00,21100000.00,177000.00,0.00,907000.00,0.00,5404000.00,10980900.00,6078000.00,0.00,7974000.00,0.44,0.42,0.75,108.00,9.80,32.00,17.00,25.25,26.00,13875666.67,10854666.67,6371800.00,1834800.00,19070200.00,10557800.00,0.77,18531800.00,73.77,128.47
25.00,LNTH,Lantheus Holdings Inc,LNTH,"Lantheus Holdings, Inc.",14.75,12.27,28.94,51.73,21.98,25.90,19.50,7.58,7.46,16.19,0.00,100.00,34.63,86.08,16.19,7.46,34.63,100.00,0.76,22.81,27.50,595891000.00,544750000.00,1185707000.00,1.99,18.92,8.29,-1.00,53.37,-1.00,6.80,55.46,3770958332.00,0.16,2.48,240379000.00,72017000.00,79625000.00,472733000.00,151.30,465125000.00,148.87,0.00,377.10,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0.87,3770958336.00,312442000.00,1533910000.00,1980340000.00,892329000.00,815892000.00,619438000.00,9130000.00,1326633000.00,240526000.00,1086107000.00,544750000.00,79625000.00,0.00,64624000.00,19669000.00,118535000.00,67994200.00,212881000.00,27498000.00,610308000.00,0.02,1.17,1.20,658.00,55.46,130.00,63.00,88.00,81.00,305170666.67,222390000.00,435258600.00,120490400.00,498253600.00,1251150600.00,0.50,1861458600.00,19.40,24.97
40.00,SBC,SBC Medical Group Holdings Inc,SBC,SBC Medical Group Holdings Incorporated,12.84,12.27,21.82,27.64,17.76,35.86,33.07,12.25,10.84,15.55,0.00,100.00,37.68,130.98,15.55,10.84,37.68,100.00,0.09,3016.35,36.44,92299313.00,20582933.00,71205886.00,0.77,18.01,11.06,176.72,8.60,0.07,10.26,4.11,421591470.00,0.03,2.24,14038958.00,-2254925.00,3408383.00,22837858.00,48.99,17174550.00,36.84,0.00,42.16,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1.11,421591488.00,46614275.00,205415542.00,266083154.00,71060996.00,142159177.00,12214143.00,25536.00,184451020.00,61191890.00,123259130.00,20582933.00,3408383.00,0.00,3799377.00,28300.00,26765925.00,102577000.00,14038958.00,0.00,12188607.00,0.89,0.01,0.06,42.00,4.11,6.50,6.50,6.50,6.50,56938984.00,30766437.67,,,,,,,,
