,ticker,longName,ROCE,ROCE (3yr avg),NFAT,NFAT (3yr avg),NPM,DPR,Retention Ratio,Dep,SSGR,Av NPM (over 3 years),Au NFA/T (over 3 years),Av Dep%NFA (over 3 years),Au Retention ratio (over 3 years),d/e,Interest coverage,tax %,cPAT,CFO,cCFO,cCFO/cPAT,p/a,p/e,EY,Earnings Growth 5yr cagr,Sales Growth 5yr cagr,PEG,no. shares (cr),Current Price,market cap,d/e_market,p/s,NFA + CWIP,Capex,Capex_from_cashflow_statement,FCF,FCF%,FCF_capex_from_cashflow,FCF%_capex_from_cashflow,DV,Mcap (cr),d/e decreasing trend 5 yrs,Sales cagr >15%,npm >8%,Tax payout >25%,Interest coverage >3,d/e <0.5,CFO >0,cCFO > PAT,p/e <10,peg <1,EY >7%,p/b <3,DV >3%,EY >7,sgr > Sales growth (very linear),FCF/CFO,Market Cap,Net Income,Total Revenue,Total Assets,Total Liabilities,Total Stockholders Equity,Total Debt,Cash and Cash Equivalents,Current Assets,Current Liabilities,Working Capital,Operating Cash Flow,Capital Expenditure,Dividends Paid,Depreciation & Amortization,Interest Expense,Income Tax Expense,Shares Outstanding,Net Fixed Assets,Construction in Progress,Net Debt,3-5yr Average ROA (%),3-5yr Average ROE (%),ROE,ROA,insidersPercentHeld,institutionsPercentHeld,institutionsFloatPercentHeld,institutionsCount,current,high,low,mean,median,Normalized EBIT,Normalized Net Income,Research Asset,R&D Amortization,Adjusted EBIT (R&D),Adjusted Book Equity (R&D),Adjusted D/E (R&D),Adjusted Invested Capital (R&D),Adjusted ROC (R&D),Adjusted ROE (R&D)
0.00,GRBK,"Green Brick Partners, Inc.",23.61,22.95,149.38,192.10,16.93,0.91,99.09,34.45,3188.59,16.93,192.10,34.45,99.09,0.27,inf,18.51,1148319000.00,25912000.00,237549000.00,0.21,20.05,9.28,11.86,31.41,14.37,0.30,4.36,73.86,3217718138.28,0.11,1.51,13793000.00,4363000.00,4365000.00,21549000.00,5.65,21547000.00,5.65,0.09,321.77,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.83,3217718016.00,381583000.00,2098943000.00,2249994000.00,551831000.00,1300704000.00,344949000.00,0.00,2111286000.00,229527000.00,1881759000.00,25912000.00,4365000.00,2875000.00,4879000.00,0.00,94725000.00,43565098.00,13793000.00,0.00,0.00,17.48,27.12,24.09,16.00,0.08,0.78,0.86,409.00,73.86,62.00,62.00,62.00,62.00,397080666.67,319369666.67,,,,,,,,
0.00,ANET,Arista Networks Inc,26.03,27.32,69.88,55.40,35.74,0.00,100.00,62.09,1917.67,35.74,55.40,62.09,100.00,-1.00,-1.00,12.65,7132675000.00,3708235000.00,7250918000.00,1.02,28.64,53.42,1.67,49.09,33.43,1.09,125.69,136.23,171223402279.68,-1.00,21.53,107054000.00,63270000.00,32032000.00,3644965000.00,127.80,3676203000.00,128.90,0.00,17122.34,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.98,171223400448.00,2852054000.00,7003146000.00,14043921000.00,4049114000.00,7219059000.00,-1.00,632292000.00,11910815000.00,2732222000.00,9178593000.00,3708235000.00,32032000.00,0.00,62038000.00,-1.00,412980000.00,1256870016.00,98845000.00,8209000.00,-1.00,23.29,32.50,34.49,24.95,0.18,0.69,0.84,2372.00,136.23,160.00,103.00,139.83,146.50,2242990333.33,2097273666.67,2352388600.00,633356200.00,3307976800.00,9571447600.00,-1.00,-1.00,-1.00,29.80
0.00,ABNB,"Airbnb, Inc.",23.64,20.43,38.95,33.41,31.57,0.00,100.00,20.90,1033.93,31.57,33.41,20.90,100.00,0.28,-1.00,20.50,8981000000.00,4518000000.00,14145000000.00,1.57,12.83,30.05,5.08,-1.00,22.82,-1.00,42.91,121.42,52098839932.36,0.04,6.54,307000000.00,11000000.00,-1.00,4507000000.00,170.20,-1.00,-1.00,0.00,7573.35,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.00,75733549056.00,2648000000.00,11102000000.00,20959000000.00,12547000000.00,8165000000.00,2294000000.00,491000000.00,17180000000.00,10161000000.00,7019000000.00,4518000000.00,-1.00,0.00,65000000.00,-1.00,683000000.00,429079558.00,291000000.00,16000000.00,1803000000.00,19.43,53.23,69.83,26.13,0.02,0.82,0.83,1730.00,121.42,180.00,98.00,138.14,140.00,1987333333.33,3111000000.00,4904800000.00,1341000000.00,3268000000.00,13069800000.00,0.18,14872800000.00,17.47,20.26
0.00,LEU,Centrus Energy Corp.,10.14,21.06,53.90,53.18,20.23,0.00,100.00,100.00,975.79,20.23,53.18,100.00,100.00,4.86,17.89,-0.27,384800000.00,37000000.00,116700000.00,0.30,9.19,49.53,1.35,-23.50,14.00,-2.11,1.75,310.07,5422703224.94,0.03,12.73,9400000.00,13200000.00,4100000.00,23800000.00,32.51,32900000.00,44.95,0.00,555.98,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.64,5559764992.00,73200000.00,442000000.00,1093400000.00,932000000.00,32300000.00,157000000.00,38300000.00,1015200000.00,346800000.00,668400000.00,37000000.00,4100000.00,0.00,10800000.00,2700000.00,-200000.00,17488642.00,9400000.00,0.00,118700000.00,9.71,-226.08,-403.83,11.24,0.05,0.76,0.79,429.00,310.07,310.00,108.00,244.71,252.00,76600000.00,69933333.33,,,,,,,,
0.00,NVDA,NVIDIA Corporation,90.08,54.92,25.83,20.12,40.30,3.86,96.14,29.88,749.67,40.30,20.12,29.88,96.14,0.24,329.77,13.26,116760000000.00,64089000000.00,106928000000.00,0.92,110.88,50.70,1.60,96.57,69.25,0.52,2434.70,186.58,4542663260000.00,0.00,27.49,8605000000.00,5020000000.00,3236000000.00,59069000000.00,81.05,60853000000.00,83.50,0.02,454266.35,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.92,4542663491584.00,72880000000.00,130497000000.00,111601000000.00,32274000000.00,42978000000.00,10270000000.00,3771000000.00,80126000000.00,18047000000.00,62079000000.00,64089000000.00,3236000000.00,834000000.00,1864000000.00,247000000.00,11146000000.00,24347000000.00,8076000000.00,529000000.00,6499000000.00,42.54,66.30,119.18,82.20,0.04,0.69,0.72,6797.00,186.58,270.00,100.00,213.81,211.00,40930333333.33,35669333333.33,26364600000.00,6839200000.00,90347800000.00,69342600000.00,0.15,75841600000.00,103.32,105.10
0.00,KBH,KB Home,13.09,14.82,62.41,60.63,10.16,8.99,91.01,31.71,529.04,10.16,60.63,31.71,91.01,0.45,inf,23.02,2626607000.00,362722000.00,1591543000.00,0.61,9.85,8.90,15.88,11.83,6.58,0.75,6.48,63.64,4123872000.00,0.42,0.63,109063000.00,33301000.00,39311000.00,329421000.00,50.29,323411000.00,49.37,1.74,412.39,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.91,4123872000.00,655018000.00,6930086000.00,6936169000.00,2875553000.00,3810140000.00,1712538000.00,0.00,6527952000.00,936147000.00,5591805000.00,362722000.00,39311000.00,71554000.00,37272000.00,0.00,195900000.00,64800000.00,109063000.00,0.00,0.00,10.98,20.12,15.80,8.87,0.04,1.01,1.05,536.00,63.64,83.00,49.00,65.75,65.50,861060666.67,687287000.00,,,,,,,,
0.00,SMCI,"Super Micro Computer, Inc.",10.89,20.21,62.40,57.21,7.15,0.00,100.00,10.88,398.15,7.15,57.21,10.88,100.00,0.88,21.03,12.94,3126681000.00,1659524000.00,-603669000.00,-0.19,10.67,28.20,3.68,47.28,61.71,0.60,59.43,47.94,28489462385.52,0.17,1.30,799218000.00,428726000.00,127214000.00,1230798000.00,117.35,1532310000.00,146.09,0.00,2848.95,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.74,28489459712.00,1048854000.00,21972042000.00,14018429000.00,7716558000.00,5417206000.00,4778842000.00,233681000.00,12301654000.00,2344792000.00,9956862000.00,1659524000.00,127214000.00,0.00,58344000.00,59573000.00,156851000.00,594273308.00,798180000.00,1038000.00,4545161000.00,13.34,26.69,17.90,8.80,0.17,0.52,0.63,1151.00,47.94,93.00,15.00,49.82,50.00,1089922666.67,947172666.67,1300653600.00,335926200.00,1572112800.00,6717859600.00,0.71,11263020600.00,12.15,15.61
0.00,EWBC,"East West Bancorp, Inc.",-1.00,0.00,14.90,13.52,46.45,23.45,76.55,89.94,390.82,46.45,13.52,89.94,76.55,0.52,0.00,21.34,4327811000.00,1411667000.00,6071020000.00,1.40,1.67,12.66,7.94,10.85,12.53,1.17,13.78,106.45,14671126990.70,0.25,6.08,164200000.00,182253000.00,-1.00,1229414000.00,105.48,-1.00,-1.00,2.10,1493.72,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0.87,14937172992.00,1165586000.00,2566544000.00,75976475000.00,68253421000.00,6950834000.00,3625237000.00,0.00,0.00,0.00,0.00,1411667000.00,-1.00,308478000.00,198447000.00,1914480000.00,316275000.00,137821766.00,164200000.00,0.00,0.00,1.77,18.52,17.95,1.74,0.01,0.96,0.96,701.00,106.45,140.00,104.00,122.67,125.00,0.00,1151610000.00,,,,,,,,
0.00,NFLX,"Netflix, Inc.",24.92,19.01,26.99,25.89,17.53,0.00,100.00,100.00,353.72,17.53,25.89,100.00,100.00,0.76,14.49,12.58,23727773000.00,7361364000.00,17054532000.00,0.72,17.88,51.54,1.71,20.64,9.51,2.50,42.49,1198.92,509452694746.32,0.03,12.34,1822056000.00,15554551000.00,439538000.00,-8193187000.00,-94.05,6921826000.00,79.45,0.00,51442.01,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-1.11,514420113408.00,8711631000.00,39000966000.00,53630374000.00,28886807000.00,20588313000.00,15582804000.00,1096412000.00,13100379000.00,10755400000.00,2344979000.00,7361364000.00,439538000.00,0.00,15630431000.00,718733000.00,1254026000.00,424926346.00,1593756000.00,228300000.00,14486392000.00,12.31,30.35,38.43,17.02,0.01,0.86,0.87,4474.00,1198.92,1600.00,750.00,1355.07,1405.00,7869511333.33,6203848333.33,7602080000.00,2117195800.00,11492489200.00,28190393000.00,0.55,42676785000.00,23.54,30.90
0.00,PGR,The Progressive Corporation,-1.00,4.41,90.18,66.90,6.33,17.10,82.90,30.65,320.56,6.33,66.90,30.65,82.90,0.34,0.00,20.84,16455900000.00,15119000000.00,40372700000.00,2.45,9.56,13.72,5.86,36.43,16.48,0.38,58.64,246.95,144811480000.00,0.05,1.76,790000000.00,193000000.00,285000000.00,14926000000.00,176.01,14834000000.00,174.93,0.47,14481.15,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.99,144811474944.00,8480000000.00,75343000000.00,105745000000.00,80154000000.00,20277000000.00,6893000000.00,0.00,0.00,0.00,0.00,15119000000.00,285000000.00,682000000.00,284000000.00,279000000.00,2233000000.00,586400000.00,790000000.00,0.00,0.00,2.87,12.91,21.58,4.76,0.00,0.88,0.88,2547.00,246.95,350.00,189.00,278.42,275.00,5776666666.67,4368333333.33,,,,,,,,
