ticker,longName,ROCE,ROCE (3yr avg),NFAT,NFAT (3yr avg),NPM,DPR,Retention Ratio,Dep,SSGR,Av NPM (over 3 years),Av NFA/T (over 3 years),Av Dep%NFA (over 3 years),Av Retention ratio (over 3 years),d/e,Interest coverage,tax %,cPAT,CFO,cCFO,cCFO/cPAT,p/a,p/e,EY,Earnings Growth 5yr cagr,Sales Growth 5yr cagr,PEG,no. shares (cr),Current Price,market cap,d/e_market,p/s,NFA + CWIP,Capex,Capex_from_cashflow_statement,FCF,FCF%_from_balance_sheet,FCF_capex_from_cashflow,FCF%,DV,Mcap (cr),d/e decreasing trend 5 yrs,Sales cagr >15%,npm >8%,Tax payout >25%,Interest coverage >3,d/e <0.5,CFO >0,cCFO > PAT,p/e <10,peg <1,EY >7%,p/b <3,DV >3%,EY >7,sgr > Sales growth (very linear),FCF/CFO,Market Cap,Net Income,Total Revenue,Total Assets,Total Liabilities,Total Stockholders Equity,Total Debt,Cash and Cash Equivalents,Current Assets,Current Liabilities,Working Capital,Operating Cash Flow,Capital Expenditure,Dividends Paid,Depreciation & Amortization,Interest Expense,Income Tax Expense,Shares Outstanding,Net Fixed Assets,Construction in Progress,Net Debt,3-5yr Average ROA (%),3-5yr Average ROE (%),ROE,ROA,warning_major_holders,current,high,low,mean,median,Normalized EBIT,Normalized Net Income,Research Asset,R&D Amortization,Adjusted EBIT (R&D),Adjusted Book Equity (R&D),Adjusted D/E (R&D),Adjusted Invested Capital (R&D),Adjusted ROC (R&D),Adjusted ROE (R&D),analysis_date,current_price,total_score,max_score,score_percentage,overall_technical_signal,action,profitability_score,growth_score,valuation_score,financial_health_score,cashflow_quality_score,fundamental_total_score,profitability_pct,growth_pct,valuation_pct,financial_health_pct,cashflow_quality_pct,fundamental_total_pct,ma_score,ma_distance_bonus,macd_score,macd_crossover_bonus,rsi_score,vwma_score,vwma_volume_bonus,technical_total_score,ma_pct,macd_pct,rsi_pct,vwma_pct,technical_total_pct,combined_score,moving_averages.current_price,moving_averages.SMA_20,moving_averages.SMA_50,moving_averages.SMA_200,moving_averages.above_50,moving_averages.above_200,moving_averages.golden_cross,moving_averages.dist_from_20,moving_averages.dist_from_50,moving_averages.dist_from_200,moving_averages.score,moving_averages.max_score,moving_averages.signal,macd.MACD,macd.MACD_signal,macd.MACD_hist,macd.bullish_crossover,macd.above_zero,macd.histogram_positive,macd.histogram_growing,macd.recent_crossover,macd.crossover_days_ago,macd.score,macd.max_score,macd.signal,rsi.RSI,rsi.not_overbought,rsi.above_50,rsi.in_sweet_spot,rsi.zone,rsi.score,rsi.max_score,rsi.signal,vwma.current_price,vwma.VWMA,vwma.above_vwma,vwma.vwma_rising,vwma.volume_pattern_bullish,vwma.current_volume,vwma.avg_volume,vwma.volume_ratio,vwma.avg_volume_up_days,vwma.avg_volume_down_days,vwma.score,vwma.max_score,vwma.signal,support_resistance.current_price,support_resistance.nearest_resistance,support_resistance.nearest_support,support_resistance.dist_to_resistance_%,support_resistance.dist_to_support_%,support_resistance.at_support,support_resistance.near_resistance,support_resistance.resistance_levels,support_resistance.support_levels,support_resistance.score,support_resistance.max_score,support_resistance.signal,market_context.SPY_price,market_context.SPY_50MA,market_context.SPY_200MA,market_context.above_50,market_context.above_200,market_context.golden_cross,market_context.VIX,market_context.low_vix,market_context.score,market_context.total_checks,market_context.market_state,market_context.recommendation,relative_strength.stock_return_%,relative_strength.benchmark_return_%,relative_strength.outperformance_%,relative_strength.outperforming,relative_strength.signal
LRCX,Lam Research Corporation,41.527,36.453,9.192,8.85,26.876,22.733,77.267,17.745,166.026,26.876,8.85,17.745,77.267,0.525,33.114,10.069,18302206000.0,6173264000.0,19104145000.0,1.044,28.585,48.076,1.879,8.2,2.286,5.863,124.877,228.36,285169345560.0,0.016,13.95,2428744000.0,660503000.0,759186000.0,5512761000.0,102.884,5414078000.0,101.043,0.403,28682.699,True,False,True,False,True,False,True,True,False,False,False,False,False,False,True,0.893,286826987520,5358217000.0,18435591000.0,21345260000.0,11483641000.0,8539454000.0,4484505000.0,440274000.0,14516995000.0,6568425000.0,7948570000.0,6173264000.0,759186000.0,1149542000.0,386277000.0,178203000.0,599912000.0,1248771000,2428744000.0,0.0,4044231000.0,24.747,59.891,58.238,26.731,Could not process major_holders: index 1 is out of bounds for axis 0 with size 1,228.36,325.0,200.0,274.903,280.0,5325820666.667,4565640000.0,5296338600.0,1466048200.0,6766670800.0,13835792600.0,0.324,17880023600.0,34.034,38.727,2026-03-20,228.36,10,15,66.667,🟡 WAIT,Need more confirmation,25,6,0,18,13,62,100.0,30.0,0.0,90.0,86.7,62,30.0,5,13.333,5,20.0,5.0,0,78.333,100.0,66.7,100.0,33.3,78.3,66.9,228.36,224.606,225.935,152.015,True,True,True,1.671,1.073,50.222,3,3,BUY - Ideal pullback entry,-0.06,-1.046,0.986,True,False,True,True,True,2.0,2,3,STRONG BUY - Fresh crossover (2 days ago),52.932,True,True,True,Bullish,3,3,STRONG BUY - Ideal zone,228.36,224.344,True,False,False,26127650.0,11284747.5,2.315,9407566.667,16179783.333,1,3,HOLD - Above VWMA but watch volume,228.36,251.569,213.614,10.163,6.457,False,False,"[np.float64(169.48693618535722), np.float64(251.56859137918295), np.float64(256.3728229508209)]","[np.float64(194.0800018310547), np.float64(204.32520203294143), np.float64(213.6140623681226)]",1,3,BUY - Good risk/reward setup,648.57,683.891,,False,False,False,26.78,False,0,4,BEAR,"Defensive - Maximum 2 positions, mostly cash",203.314,-2.452,205.766,True,STRONG - Significant outperformance
RSI,"Rush Street Interactive, Inc.",19.504,0.85,110.925,89.923,0.182,-1.0,101.0,100.0,-83.468,0.182,89.923,100.0,-1.0,0.078,,768.192,-21240000.0,165004000.0,205200000.0,-9.661,8.778,69.0,1.56,0.0,24.194,inf,10.318,20.7,2135723079.6,0.003,4.248,10796000.0,41108000.0,33360000.0,123896000.0,371.971,131644000.0,395.232,,481.864,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,0.751,4818640384,33308000.0,1134428000.0,658512000.0,355021000.0,78678000.0,6132000.0,30481000.0,406791000.0,210274000.0,196517000.0,165004000.0,33360000.0,,39970000.0,,-85108000.0,103175028,10796000.0,0.0,-24349000.0,-2.394,-14.866,3.606,0.684,Could not process major_holders: index 1 is out of bounds for axis 0 with size 1,20.7,30.0,20.0,24.8,25.0,20287000.0,5797000.0,,,,,,,,,2026-03-20,20.7,11,15,73.333,🟢 STRONG BUY,Enter position,3,7,0,7,7,24,12.0,35.0,0.0,35.0,46.7,24,30.0,5,6.667,0,20.0,10.0,0,71.667,100.0,33.3,100.0,66.7,71.7,38.3,20.7,20.231,18.811,18.285,True,True,True,2.318,10.043,13.209,3,3,BUY - Ideal pullback entry,0.622,0.645,-0.024,False,True,False,False,False,,1,3,AVOID - Bearish momentum,59.401,True,True,True,Bullish,3,3,STRONG BUY - Ideal zone,20.7,20.107,True,True,False,960711.0,1700690.55,0.565,1471225.0,1482802.2,2,3,HOLD - Above VWMA but watch volume,20.7,20.815,20.61,0.556,0.435,True,True,"[np.float64(20.549999237060547), np.float64(20.815000534057617), np.float64(22.549999237060547)]","[np.float64(17.719999313354492), np.float64(18.200000762939453), np.float64(20.610000610351562)]",2,3,BUY - At support but near resistance,648.57,683.891,,False,False,False,26.78,False,0,4,BEAR,"Defensive - Maximum 2 positions, mostly cash",88.869,-2.452,91.321,True,STRONG - Significant outperformance
KEYS,"Keysight Technologies, Inc.",12.464,15.399,5.272,5.341,15.83,0.0,100.0,25.206,59.35,15.83,5.341,25.206,100.0,0.544,9.125,19.686,3645000000.0,1409000000.0,5013000000.0,1.375,9.17,51.017,1.786,-7.63,-0.278,-6.686,17.15,277.53,47597087437.35,0.058,8.385,1031000000.0,299000000.0,128000000.0,1110000000.0,130.588,1281000000.0,150.706,0.0,4760.132,False,False,True,False,True,False,True,True,False,True,False,False,False,False,True,0.788,47601324032,850000000.0,5375000000.0,11301000000.0,5420000000.0,5105000000.0,2778000000.0,166000000.0,4348000000.0,1850000000.0,2498000000.0,1409000000.0,128000000.0,0.0,276000000.0,96000000.0,213000000.0,171502495,1031000000.0,0.0,2612000000.0,10.396,19.763,15.474,8.264,Could not process major_holders: index 1 is out of bounds for axis 0 with size 1,277.53,340.0,220.0,298.615,300.0,1187333333.333,840333333.333,2607800000.0,729800000.0,1455200000.0,7712800000.0,0.36,10324800000.0,11.32,11.021,2026-03-20,277.53,10,15,66.667,🟡 WAIT,Need more confirmation,15,3,0,17,13,48,60.0,15.0,0.0,85.0,86.7,48,30.0,5,6.667,0,20.0,5.0,0,66.667,100.0,33.3,100.0,33.3,66.7,53.6,277.53,288.762,248.951,193.736,True,True,True,-3.89,11.48,43.252,3,3,STRONG BUY - At MA support,9.494,12.711,-3.217,False,True,False,False,False,,1,3,AVOID - Bearish momentum,52.716,True,True,True,Bullish,3,3,STRONG BUY - Ideal zone,277.53,290.84,False,True,False,1661669.0,2095993.45,0.793,1358100.0,1436233.8,1,3,"AVOID - Below VWMA, weak support",277.53,317.0,264.7,14.222,4.623,False,False,"[np.float64(187.6699981689453), np.float64(214.39999389648438), np.float64(317.0)]","[np.float64(205.0), np.float64(214.49000549316406), np.float64(264.70001220703125)]",2,3,BUY - Good risk/reward setup,648.57,683.891,,False,False,False,26.78,False,0,4,BEAR,"Defensive - Maximum 2 positions, mostly cash",79.561,-2.452,82.014,True,STRONG - Significant outperformance
EXE,Expand Energy Corporation,9.915,10.568,0.709,0.553,9.707,2.616,97.384,0.0,5.226,9.707,0.553,0.0,97.384,0.288,11.791,20.289,8460000000.0,4575000000.0,12645000000.0,1.495,6.521,14.177,7.051,-41.701,2.128,-0.34,24.04,107.32,25799541263.2,0.196,2.217,24315000000.0,33000000.0,2931000000.0,4542000000.0,249.698,1644000000.0,90.379,2.965,2579.954,False,False,True,False,True,True,True,True,False,True,True,True,False,True,True,0.993,25799540736,1819000000.0,12189000000.0,28287000000.0,9709000000.0,17565000000.0,5060000000.0,357000000.0,2916000000.0,2901000000.0,15000000.0,4575000000.0,2931000000.0,765000000.0,0.0,235000000.0,463000000.0,240398260,24315000000.0,0.0,4703000000.0,12.805,20.872,10.066,6.475,Could not process major_holders: index 1 is out of bounds for axis 0 with size 1,107.32,152.0,86.0,130.821,131.5,1675666666.667,1174666666.667,,,,,,,,,2026-03-20,107.32,14,15,93.333,🟢 STRONG BUY,Enter position,7,3,11,20,15,56,28.0,15.0,55.0,100.0,100.0,56,30.0,5,20.0,0,20.0,15.0,5,95.0,100.0,100.0,100.0,100.0,95.0,67.7,107.32,106.437,105.708,105.642,True,True,True,0.829,1.525,1.589,3,3,BUY - Ideal pullback entry,0.379,0.288,0.091,True,True,True,False,False,,3,3,HOLD - Bullish but watch for weakening,52.035,True,True,True,Bullish,3,3,STRONG BUY - Ideal zone,107.32,106.523,True,True,True,7974005.0,4006965.25,1.99,5553866.667,4142200.833,3,3,STRONG BUY - Institutional accumulation,107.32,110.582,105.419,3.039,1.771,True,False,"[np.float64(117.00895318849503), np.float64(120.23049972657402), np.float64(125.93336395841519)]","[np.float64(105.41937568499772), np.float64(108.48964832002052), np.float64(111.25252084702474)]",2,3,BUY - At support but near resistance,648.57,683.891,,False,False,False,26.78,False,0,4,BEAR,"Defensive - Maximum 2 positions, mostly cash",3.085,-2.452,5.537,True,GOOD - Outperforming market
TER,"Teradyne, Inc.",21.513,20.035,5.238,5.224,17.79,14.33,85.67,21.59,58.02,17.79,5.224,21.59,85.67,0.1,100.585,12.139,2260672000.0,674415000.0,2509745000.0,1.11,14.939,87.075,1.217,-8.347,0.368,-10.432,15.656,290.83,45531166938.5,0.006,14.273,658161000.0,202108000.0,224009000.0,472307000.0,85.247,450406000.0,81.294,0.168,4553.116,False,False,True,False,True,True,True,True,False,True,False,False,False,False,True,0.7,45531164672,554047000.0,3190024000.0,4183599000.0,1387847000.0,2819294000.0,283239000.0,33273000.0,1949300000.0,1115207000.0,834093000.0,674415000.0,224009000.0,76313000.0,127981000.0,6846000.0,79299000.0,156555950,639634000.0,18527000.0,249966000.0,13.959,19.163,20.294,15.075,Could not process major_holders: index 1 is out of bounds for axis 0 with size 1,290.83,400.0,250.0,314.176,315.0,600719000.0,515057000.0,1300386600.0,364830400.0,799871600.0,4119680600.0,0.069,4369646600.0,16.083,13.449,2026-03-20,290.83,7,15,46.667,🔴 AVOID,Poor setup,17,3,0,17,11,48,68.0,15.0,0.0,85.0,73.3,48,30.0,5,6.667,0,13.333,0.0,0,55.0,100.0,33.3,66.7,0.0,55.0,50.1,290.83,306.011,280.301,172.032,True,True,True,-4.961,3.756,69.056,3,3,STRONG BUY - At MA support,2.173,5.351,-3.178,False,True,False,False,False,,1,3,AVOID - Bearish momentum,47.779,True,False,True,Bearish,2,3,STRONG BUY - Ideal zone,290.83,304.845,False,False,False,4409111.0,3426465.55,1.287,2633616.667,3177203.667,0,3,"AVOID - Below VWMA, weak support",290.83,327.853,263.02,12.73,9.562,False,False,"[np.float64(238.8201396107126), np.float64(327.85289638358427), np.float64(344.9200134277344)]","[np.float64(182.0838705626839), np.float64(193.319158673463), np.float64(263.0199890136719)]",1,3,NEUTRAL - No clear level nearby,648.57,683.891,,False,False,False,26.78,False,0,4,BEAR,"Defensive - Maximum 2 positions, mostly cash",233.571,-2.452,236.023,True,STRONG - Significant outperformance
STX,Seagate Technology Holdings plc,34.121,15.727,5.562,4.388,4.699,35.151,64.849,18.884,-5.511,4.699,4.388,18.884,64.849,-3.35,5.966,2.908,2924000000.0,1083000000.0,4600000000.0,1.573,18.982,49.014,1.595,,-7.944,,22.403,411.23,92125955372.48,0.054,9.159,1990000000.0,429000000.0,265000000.0,654000000.0,44.52,818000000.0,55.684,0.651,9212.595,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True,0.604,92125954048,1469000000.0,9097000000.0,8023000000.0,8476000000.0,-1491000000.0,4995000000.0,242000000.0,3653000000.0,2648000000.0,1005000000.0,1083000000.0,265000000.0,600000000.0,251000000.0,321000000.0,44000000.0,224025376,1657000000.0,333000000.0,4753000000.0,-1.016,36.079,-24.907,4.381,Could not process major_holders: index 1 is out of bounds for axis 0 with size 1,411.23,700.0,375.0,475.354,468.0,809333333.333,425000000.0,2101800000.0,623200000.0,1934800000.0,610800000.0,8.178,5363800000.0,35.022,240.504,2026-03-20,411.23,12,15,80.0,🟢 STRONG BUY,Enter position,12,3,0,15,11,41,48.0,15.0,0.0,75.0,73.3,41,30.0,5,20.0,5,20.0,5.0,0,85.0,100.0,100.0,100.0,33.3,85.0,54.2,411.23,392.491,386.075,251.54,True,True,True,4.774,6.516,63.485,3,3,BUY - Ideal pullback entry,6.583,2.987,3.595,True,True,True,False,True,4.0,3,3,STRONG BUY - Fresh crossover (4 days ago),54.204,True,True,True,Bullish,3,3,STRONG BUY - Ideal zone,411.23,393.891,True,False,False,8353671.0,3570073.55,2.34,3186166.667,4747590.333,1,3,HOLD - Above VWMA but watch volume,411.23,459.41,391.0,11.716,4.919,False,False,"[np.float64(308.1216247147202), np.float64(332.0), np.float64(459.4100036621094)]","[np.float64(273.9911699567165), np.float64(342.0), np.float64(391.0)]",2,3,BUY - Good risk/reward setup,648.57,683.891,,False,False,False,26.78,False,0,4,BEAR,"Defensive - Maximum 2 positions, mostly cash",371.06,-2.452,373.513,True,STRONG - Significant outperformance
SLAB,Silicon Laboratories Inc.,-5.059,-6.365,6.019,5.158,-15.123,0.0,100.0,32.817,-110.822,-15.123,5.158,32.817,100.0,0.022,-72.35,-12.079,-199031000.0,95708000.0,123257000.0,-0.619,-5.309,inf,-0.955,0.0,-8.491,inf,3.297,206.25,6799735800.0,0.004,8.665,128643000.0,34592000.0,29922000.0,61116000.0,-94.159,65786000.0,-101.354,0.0,679.974,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,0.639,6799735808,-64907000.0,784764000.0,1269317000.0,174899000.0,1080021000.0,23956000.0,70316000.0,674017000.0,143787000.0,530230000.0,95708000.0,29922000.0,0.0,38085000.0,975000.0,6995000.0,32968416,128643000.0,0.0,-46360000.0,-8.121,-9.666,-16.692,-14.331,Could not process major_holders: index 1 is out of bounds for axis 0 with size 1,206.25,231.0,200.0,222.857,231.0,-71809666.667,-96811000.0,954602800.0,271108200.0,25200800.0,2034623800.0,0.012,1988263800.0,1.421,-3.19,2026-03-20,206.25,9,15,60.0,🟡 WAIT,Need more confirmation,3,0,0,10,2,15,12.0,0.0,0.0,50.0,13.3,15,30.0,5,6.667,0,6.667,10.0,5,63.333,100.0,33.3,33.3,66.7,63.3,29.5,206.25,204.083,183.486,146.914,True,True,True,1.062,12.407,40.389,3,3,BUY - Ideal pullback entry,5.194,6.627,-1.433,False,True,False,True,False,,1,3,AVOID - Bearish momentum,70.877,False,True,False,Overbought,1,3,"WAIT - Overbought, pullback likely",206.25,204.046,True,False,True,651889.0,683194.45,0.954,483014.833,481666.667,2,3,BUY - Good volume support,206.25,208.84,204.0,1.256,1.091,True,True,"[np.float64(152.6699981689453), np.float64(157.2899932861328), np.float64(208.83999633789062)]","[np.float64(138.0399932861328), np.float64(201.02000427246094), np.float64(204.0)]",2,3,BUY - At support but near resistance,648.57,683.891,,False,False,False,26.78,False,0,4,BEAR,"Defensive - Maximum 2 positions, mostly cash",66.909,-2.452,69.362,True,STRONG - Significant outperformance
MRVL,"Marvell Technology, Inc.",17.043,3.448,7.266,6.448,0.097,-12.64,112.64,100.0,-99.295,0.097,6.448,100.0,112.64,0.357,6.606,12.358,688200000.0,1750500000.0,6091000000.0,8.851,13.215,29.109,3.474,0.0,11.45,inf,87.43,87.91,76859713000.0,0.062,9.379,1219100000.0,1473200000.0,358600000.0,277300000.0,10.385,1391900000.0,52.129,0.267,7685.972,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,0.158,76859719680,2670100000.0,8194600000.0,22285300000.0,7976900000.0,13427000000.0,4790300000.0,247200000.0,6460600000.0,3220500000.0,3240100000.0,1750500000.0,358600000.0,205100000.0,1290600000.0,202600000.0,376500000.0,874300000,1219100000.0,0.0,4543100000.0,-4.269,-6.195,-6.264,-4.272,Could not process major_holders: index 1 is out of bounds for axis 0 with size 1,87.91,164.0,85.0,120.502,120.0,665633333.333,283900000.0,5486960000.0,1541220000.0,3783180000.0,18913960000.0,0.253,23457060000.0,14.135,14.117,2026-03-20,87.91,12,15,80.0,🟢 STRONG BUY,Enter position,3,3,2,14,9,31,12.0,15.0,10.0,70.0,60.0,31,30.0,5,20.0,0,20.0,10.0,0,85.0,100.0,100.0,100.0,66.7,85.0,47.2,87.91,84.957,82.203,80.246,True,True,True,3.476,6.943,9.551,3,3,BUY - Ideal pullback entry,2.367,2.087,0.28,True,True,True,False,False,,3,3,HOLD - Bullish but watch for weakening,54.56,True,True,True,Bullish,3,3,STRONG BUY - Ideal zone,87.91,86.055,True,True,False,25110371.0,21921158.55,1.145,17467975.0,17626054.2,2,3,HOLD - Above VWMA but watch volume,87.91,94.132,81.122,7.078,7.722,False,False,"[np.float64(94.13226603674146), np.float64(98.05943770270935), np.float64(102.696101032751)]","[np.float64(76.06999969482422), np.float64(79.00315501692647), np.float64(81.12162787058548)]",1,3,BUY - Good risk/reward setup,648.57,683.891,,False,False,False,26.78,False,0,4,BEAR,"Defensive - Maximum 2 positions, mostly cash",25.307,-2.452,27.759,True,STRONG - Significant outperformance
LB,LandBridge Company LLC,8.434,11.261,0.2,0.251,35.492,1288.696,-1188.696,2.358,-108.452,35.492,0.251,2.358,-1188.696,0.0,3.623,11.129,92049000.0,126273000.0,267451000.0,2.906,2.918,75.479,1.525,0.0,56.665,inf,2.784,70.95,1975120219.05,0.284,28.363,1084557000.0,193271000.0,4236000.0,-66998000.0,-222.378,122037000.0,405.062,3.226,564.685,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,-0.531,5646848000,30128000.0,199093000.0,1366056000.0,572071000.0,0.0,560285000.0,4766000.0,59815000.0,12286000.0,47529000.0,126273000.0,4236000.0,63713000.0,11470000.0,32706000.0,9066000.0,27838199,1084450000.0,107000.0,555519000.0,5.836,-1.0,0.0,2.512,Could not process major_holders: index 1 is out of bounds for axis 0 with size 1,70.95,92.0,65.0,78.429,83.0,56153333.333,32803333.333,,,,,,,,,2026-03-20,70.95,9,15,60.0,🟡 WAIT,Need more confirmation,4,7,0,11,11,33,16.0,35.0,0.0,55.0,73.3,33,30.0,5,6.667,0,20.0,5.0,0,66.667,100.0,33.3,100.0,33.3,66.7,43.1,70.95,72.257,63.811,59.296,True,True,True,-1.809,11.188,19.653,3,3,BUY - Ideal pullback entry,2.754,3.369,-0.615,False,True,False,False,False,,1,3,AVOID - Bearish momentum,52.167,True,True,True,Bullish,3,3,STRONG BUY - Ideal zone,70.95,72.565,False,True,False,605133.0,530211.65,1.141,483075.0,523426.6,1,3,"AVOID - Below VWMA, weak support",70.95,74.117,69.51,4.464,2.03,False,False,"[np.float64(75.95745665233409), np.float64(85.32085899985773), np.float64(87.0265163106705)]","[np.float64(64.90484842391558), np.float64(67.24915678611369), np.float64(69.51000213623047)]",1,3,NEUTRAL - No clear level nearby,648.57,683.891,,False,False,False,26.78,False,0,4,BEAR,"Defensive - Maximum 2 positions, mostly cash",-7.313,-2.452,-4.861,False,WEAK - Slight underperformance
CF,"CF Industries Holdings, Inc.",18.059,16.903,1.003,0.923,21.352,24.228,75.772,12.632,2.299,21.352,0.923,12.632,75.772,0.729,16.379,19.696,7544000000.0,2752000000.0,11635000000.0,1.542,10.805,14.002,7.581,-18.272,-14.125,-0.766,15.367,124.9,19193235742.9,0.189,2.75,7834000000.0,1249000000.0,951000000.0,1503000000.0,103.299,1801000000.0,123.78,1.699,1948.123,False,False,True,False,True,False,True,True,False,True,True,False,False,True,True,0.546,19481233408,1455000000.0,7084000000.0,14088000000.0,6313000000.0,4985000000.0,3636000000.0,27000000.0,2985000000.0,887000000.0,2098000000.0,2752000000.0,951000000.0,326000000.0,898000000.0,145000000.0,441000000.0,153668821,7125000000.0,709000000.0,3609000000.0,9.882,25.543,22.762,8.749,Could not process major_holders: index 1 is out of bounds for axis 0 with size 1,124.9,150.0,85.0,105.632,100.0,2225666666.667,1399333333.333,,,,,,,,,2026-03-20,124.9,12,15,80.0,🟢 STRONG BUY,Enter position,14,3,11,20,13,61,56.0,15.0,55.0,100.0,86.7,61,30.0,0,20.0,0,20.0,10.0,0,80.0,100.0,100.0,100.0,66.7,80.0,66.7,124.9,112.794,99.597,89.085,True,True,True,10.733,25.405,40.203,3,3,WAIT - Extended above MA,8.479,7.815,0.664,True,True,True,False,False,,3,3,HOLD - Bullish but watch for weakening,64.379,True,True,True,Bullish,3,3,BUY - Acceptable zone,124.9,117.988,True,True,False,16402046.0,6604092.3,2.484,8323075.0,9118489.2,2,3,HOLD - Above VWMA but watch volume,124.9,137.44,89.207,10.04,28.577,False,False,"[np.float64(102.67374012476697), np.float64(105.2699966430664), np.float64(137.44000244140625)]","[np.float64(85.37231611826952), np.float64(88.30856905043332), np.float64(89.20672693680204)]",1,3,NEUTRAL - No clear level nearby,648.57,683.891,,False,False,False,26.78,False,0,4,BEAR,"Defensive - Maximum 2 positions, mostly cash",66.455,-2.452,68.907,True,STRONG - Significant outperformance
