,Value
ROE,164.59350307287096
ROCE,65.33607652660827
Au NFA,50028000000.0
NFAT,7.8163228591988485
Retention Ratio,83.74797303063924
Dep as % NFA,22.8771887742864
NPM,23.971255769943866
Av NPM (over 3 years),24.862376913154623
Au NFA/T (over 3 years),7.571286615613051
Av Dep%NFA (over 3 years),22.061897052808774
Au Retention ratio (over 3 years),84.46239645001305
SSGR,145.733781070569
d/e,2.090588235294118
Interest coverage,inf
tax %,24.091185164189984
cPAT,442625000000
CFO,118254000000
cCFO/cPAT,1.210189212086981
p/a,26.58551319831075
EY,2.703420202645901
Earnings Growth 5yr cagr,16.561010585382686
PEG,1.8797162069008277
no. shares (cr),1484.0399872001242
p/s,0
NFA/CWIP,inf
Capex,9447000000
FCF,108807000000
DV,0.4541932680062805
Mcap (cr),335407.87750710006
d/e decreasing trend 5 yrs,False
FCF%,116.07813433472731
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,False
CFO >0,True
net cash flow positive,False
cCFO > PAT,True
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.9201126388959359
