,Value
ticker,5PAISA.NS
ROCE,7.1954400063559145
ROCE (3yr avg),13.822396801584416
NFAT,12.04691935653454
NFAT (3yr avg),16.757856713094714
NPM,23.076214610211405
DPR,0.0
Retention Ratio,100.0
Dep,68.64001844381828
SSGR,318.06787947472725
Av NPM (over 3 years),23.076214610211405
Au NFA/T (over 3 years),16.757856713094714
Av Dep%NFA (over 3 years),68.64001844381828
Au Retention ratio (over 3 years),100.0
d/e,0.40270723819473
Interest coverage,-0.6583630939876476
tax %,25.198506011363875
cPAT,1799776000.0
CFO,979350000.0
cCFO,-1097825000.0
cCFO/cPAT,-0.6099786862365094
p/a,3.331933493273199
p/e,18.738218
EY,6.102841778434268
Earnings Growth 5yr cagr,66.68737972326086
Sales Growth 5yr cagr,1.994692550836774
PEG,0.280985968825883
no. shares (cr),3.12393
Current Price,357.9
market cap,11180545470.0
d/e_market,0.19445920647018308
p/s,3.5902038
NFA + CWIP,
Capex,
Capex_from_cashflow_statement,80320000.0
FCF,
FCF%,
FCF_capex_from_cashflow,899030000.0
FCF%_capex_from_cashflow,131.75863327329404
DV,0.0
Mcap (cr),1118.0545024
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,True
Interest coverage >3,False
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,
Market Cap,11180545024
Net Income,682331000.0
Total Revenue,2291565000.0
Total Assets,16666280000.0
Total Liabilities,10629860000.0
Total Stockholders Equity,5398860000.0
Total Debt,2174160000.0
Cash and Cash Equivalents,
Current Assets,15615450000.0
Current Liabilities,681170000.0
Working Capital,14934280000.0
Operating Cash Flow,979350000.0
Capital Expenditure,80320000.0
Dividends Paid,0
Depreciation & Amortization,122239000.0
Interest Expense,238010000.0
Income Tax Expense,229858000.0
Shares Outstanding,31239300
Net Fixed Assets,162290000.0
Construction in Progress,
Net Debt,
3-5yr Average ROA (%),3.101985626573812
3-5yr Average ROE (%),11.065089908532201
ROE,11.933787366815679
ROA,3.6738968378085657
insidersPercentHeld,0.57354
institutionsPercentHeld,0.21058
institutionsFloatPercentHeld,0.49379003
institutionsCount,7.0
current,357.9
Normalized EBIT,966902000.0
Normalized Net Income,554138666.6666666
