,Value
ticker,AAPL
longName,Apple Inc.
ROCE,65.33607652660827
ROCE (3yr avg),60.18927524652738
NFAT,8.748475865540579
NFAT (3yr avg),8.761725054571576
NPM,24.862376913154623
DPR,15.537603549986954
Retention Ratio,84.46239645001305
Dep,26.2703050219738
SSGR,157.72030797118032
Av NPM (over 3 years),24.862376913154623
Au NFA/T (over 3 years),8.761725054571576
Av Dep%NFA (over 3 years),26.2703050219738
Au Retention ratio (over 3 years),84.46239645001305
d/e,1.7157821903260064
Interest coverage,
tax %,24.091185164189984
cPAT,385214000000.0
CFO,118254000000.0
cCFO,454986000000.0
cCFO/cPAT,1.1811252965883898
p/a,26.58551319831075
p/e,39.821213
EY,2.4032707003804132
Earnings Growth 5yr cagr,2.5225462497963536
Sales Growth 5yr cagr,2.247001899501888
PEG,15.786118095243957
no. shares (cr),1484.039
Current Price,262.82
market cap,3900351299800.0
d/e_market,0.02733830668162318
p/s,9.545063
NFA + CWIP,45680000000.0
Capex,13410000000.0
Capex_from_cashflow_statement,9447000000.0
FCF,104844000000.0
FCF%,111.85030297857814
FCF_capex_from_cashflow,108807000000.0
FCF%_capex_from_cashflow,116.07813433472731
DV,0.3905802023725699
Mcap (cr),390035.1184896
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,False
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.8866000304429449
Market Cap,3900351184896
Net Income,93736000000.0
Total Revenue,391035000000.0
Total Assets,364980000000.0
Total Liabilities,308030000000.0
Total Stockholders Equity,62146000000.0
Total Debt,106629000000.0
Cash and Cash Equivalents,14287000000.0
Current Assets,152987000000.0
Current Liabilities,176392000000.0
Working Capital,-23405000000.0
Operating Cash Flow,118254000000.0
Capital Expenditure,9447000000.0
Dividends Paid,15234000000.0
Depreciation & Amortization,11445000000.0
Interest Expense,
Income Tax Expense,29749000000.0
Shares Outstanding,14840390000
Net Fixed Assets,45680000000.0
Construction in Progress,0
Net Debt,92342000000.0
3-5yr Average ROA (%),27.241613552481912
3-5yr Average ROE (%),163.72315951060017
ROE,157.41250755692886
ROA,26.12620773367635
insidersPercentHeld,0.0197
institutionsPercentHeld,0.63576
institutionsFloatPercentHeld,0.64853996
institutionsCount,6978.0
current,262.82
high,315.0
low,180.0
mean,253.32365
median,260.0
Normalized EBIT,118984666666.66667
Normalized Net Income,96844666666.66667
Research Asset,79818200000.0
R&D Amortization,21890000000.0
Adjusted EBIT (R&D),132696000000.0
Adjusted Book Equity (R&D),141964200000.0
Adjusted D/E (R&D),0.7510978119835846
Adjusted Invested Capital (R&D),234306200000.0
Adjusted ROC (R&D),42.989882868881175
Adjusted ROE (R&D),66.02791407974686
