,Value
ticker,ADROITINFO.NS
ROCE,3.215805858969635
ROCE (3yr avg),9.589005450708763
NFAT,12.977921466718504
NFAT (3yr avg),13.954913423887268
NPM,10.358806448689142
DPR,0.0
Retention Ratio,100.0
Dep,61.480821654973376
SSGR,83.07542551128874
Av NPM (over 3 years),10.358806448689142
Au NFA/T (over 3 years),13.954913423887268
Av Dep%NFA (over 3 years),61.480821654973376
Au Retention ratio (over 3 years),100.0
d/e,0.45894148967772785
Interest coverage,-4.258236314094625
tax %,58.602021174205966
cPAT,80859000.0
CFO,-134150000.0
cCFO,-85497000.0
cCFO/cPAT,-1.0573591065929582
p/a,1.4362233772845927
p/e,58.11111
EY,1.2145895187167768
Earnings Growth 5yr cagr,-16.04965802972167
Sales Growth 5yr cagr,70.74169517045368
PEG,-3.6207070513519066
no. shares (cr),5.41772
Current Price,10.46
market cap,566693512.0
d/e_market,0.28625173319436203
p/s,1.7204438
NFA + CWIP,
Capex,
Capex_from_cashflow_statement,84069000.0
FCF,
FCF%,
FCF_capex_from_cashflow,-218219000.0
FCF%_capex_from_cashflow,-3170.405346505884
DV,0.0
Mcap (cr),60.1866304
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,True
Interest coverage >3,False
d/e <0.5,True
CFO >0,False
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,
Market Cap,601866304
Net Income,6883000.0
Total Revenue,317122000.0
Total Assets,964756000.0
Total Liabilities,217992000.0
Total Stockholders Equity,353459000.0
Total Debt,162217000.0
Cash and Cash Equivalents,1034000.0
Current Assets,317546000.0
Current Liabilities,196737000.0
Working Capital,120809000.0
Operating Cash Flow,-134150000.0
Capital Expenditure,84069000.0
Dividends Paid,0
Depreciation & Amortization,17834000.0
Interest Expense,8074000.0
Income Tax Expense,9742000.0
Shares Outstanding,54177200
Net Fixed Assets,32914000.0
Construction in Progress,
Net Debt,161183000.0
3-5yr Average ROA (%),7.625946538235104
3-5yr Average ROE (%),13.455002408323486
ROE,1.251200892909892
ROA,0.9533247599201938
insidersPercentHeld,0.50477004
institutionsPercentHeld,0.0
institutionsFloatPercentHeld,0.0
institutionsCount,0.0
current,10.46
Normalized EBIT,35757666.666666664
Normalized Net Income,24890666.666666668
