,Value
ticker,AEM
longName,Agnico Eagle Mines Limited
ROCE,10.212560447209704
ROCE (3yr avg),8.099174970366564
NFAT,0.3881968976867816
NFAT (3yr avg),0.387183403641241
NPM,21.28211643372727
DPR,53.02951977697386
Retention Ratio,46.97048022302614
Dep,7.663193879849724
SSGR,-3.7927876633356385
Av NPM (over 3 years),21.28211643372727
Au NFA/T (over 3 years),0.387183403641241
Av Dep%NFA (over 3 years),7.663193879849724
Au Retention ratio (over 3 years),46.97048022302614
d/e,0.06601388102661213
Interest coverage,36.41926755090949
tax %,32.817861073060776
cPAT,5069082000.0
CFO,3960892000.0
cCFO,10004398000.0
cCFO/cPAT,1.9736113955150065
p/a,6.608277393137425
p/e,27.769356
EY,2.238661136869238
Earnings Growth 5yr cagr,19.337824264857506
Sales Growth 5yr cagr,28.89053732146154
PEG,1.4360124293023522
no. shares (cr),50.234197
Current Price,168.56
market cap,84674762463.2
d/e_market,0.015142433975616307
p/s,8.762186
NFA + CWIP,21466499000.0
Capex,1758670000.0
Capex_from_cashflow_statement,1834245000.0
FCF,2202222000.0
FCF%,116.17662342047109
FCF_capex_from_cashflow,2126647000.0
FCF%_capex_from_cashflow,112.18971914151913
DV,0.7932174599154074
Mcap (cr),8467.47648
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,0.5559914281934474
Market Cap,84674764800
Net Income,1895581000.0
Total Revenue,8285753000.0
Total Assets,29987018000.0
Total Liabilities,9154118000.0
Total Stockholders Equity,19422915000.0
Total Debt,1282182000.0
Cash and Cash Equivalents,45288000.0
Current Assets,2805281000.0
Current Liabilities,1511965000.0
Working Capital,1293316000.0
Operating Cash Flow,3960892000.0
Capital Expenditure,1834245000.0
Dividends Paid,671655000.0
Depreciation & Amortization,1514076000.0
Interest Expense,86477000.0
Income Tax Expense,925974000.0
Shares Outstanding,502341970
Net Fixed Assets,21466499000.0
Construction in Progress,0
Net Debt,1236894000.0
3-5yr Average ROA (%),5.708648173310461
3-5yr Average ROE (%),8.45684242937985
ROE,10.886568233856527
ROA,7.440843390665848
insidersPercentHeld,0.00085
institutionsPercentHeld,0.72116
institutionsFloatPercentHeld,0.72178
institutionsCount,1410.0
current,168.56
high,209.0
low,66.0
mean,148.54546
median,154.0
Normalized EBIT,2178371000.0
Normalized Net Income,1502379000.0
