,Value
ticker,AGCO
longName,AGCO Corporation
ROCE,-3.72457431496619
ROCE (3yr avg),11.752826041743162
NFAT,5.710179699358567
NFAT (3yr avg),6.8974042910480575
NPM,3.8389083599853233
DPR,6.7352029033199825
Retention Ratio,93.26479709668001
Dep,15.73489752331699
SSGR,8.960224569304193
Av NPM (over 3 years),3.8389083599853233
Au NFA/T (over 3 years),6.8974042910480575
Av Dep%NFA (over 3 years),15.73489752331699
Au Retention ratio (over 3 years),93.26479709668001
d/e,0.5961303068696716
Interest coverage,5.8217200251098555
tax %,-22.693726937269375
cPAT,2533200000.0
CFO,689900000.0
cCFO,3291400000.0
cCFO/cPAT,1.299305226590873
p/a,-3.7193990123629743
p/e,81.11363
EY,-5.316920167732843
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,1.5430336438208014
PEG,
no. shares (cr),7.4620227
Current Price,107.07
market cap,7989587704.889999
d/e_market,0.34745222188386005
p/s,0.7991265
NFA + CWIP,1987500000.0
Capex,222600000.0
Capex_from_cashflow_statement,393300000.0
FCF,467300000.0
FCF%,-110.00470809792844
FCF_capex_from_cashflow,296600000.0
FCF%_capex_from_cashflow,-69.8210922787194
DV,3.418198911977023
Mcap (cr),812.8794624
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,False
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,True
DV >3%,True
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.677344542687346
Market Cap,8128794624
Net Income,-424800000.0
Total Revenue,11661900000.0
Total Assets,11190600000.0
Total Liabilities,7147700000.0
Total Stockholders Equity,4656700000.0
Total Debt,2776000000.0
Cash and Cash Equivalents,526600000.0
Current Assets,5138000000.0
Current Liabilities,3826000000.0
Working Capital,1312000000.0
Operating Cash Flow,689900000.0
Capital Expenditure,393300000.0
Dividends Paid,273100000.0
Depreciation & Amortization,332200000.0
Interest Expense,159300000.0
Income Tax Expense,98400000.0
Shares Outstanding,74620227
Net Fixed Assets,1987500000.0
Construction in Progress,0
Net Debt,2249400000.0
3-5yr Average ROA (%),10.05478965704142
3-5yr Average ROE (%),25.907213269952848
ROE,27.436146666510524
ROA,10.884138834559046
insidersPercentHeld,0.16875
institutionsPercentHeld,0.94865
institutionsFloatPercentHeld,1.14123
institutionsCount,627.0
current,107.07
high,145.0
low,97.0
mean,123.30769
median,123.0
Normalized EBIT,760400000.0
Normalized Net Income,545400000.0
Research Asset,1360880000.0
R&D Amortization,378360000.0
Adjusted EBIT (R&D),-159660000.0
Adjusted Book Equity (R&D),6017580000.0
Adjusted D/E (R&D),0.4613150136765942
Adjusted Invested Capital (R&D),8266980000.0
Adjusted ROC (R&D),-2.3695812065354493
Adjusted ROE (R&D),-7.059316203523676
