,Value
ticker,AHLEAST.NS
ROCE,16.713813114294823
ROCE (3yr avg),15.027344776290297
NFAT,0.9385171903945241
NFAT (3yr avg),0.6979474940072458
NPM,23.861769178680436
DPR,12.851286404110512
Retention Ratio,87.14871359588949
Dep,2.4107788506625707
SSGR,12.103196241957967
Av NPM (over 3 years),23.861769178680436
Au NFA/T (over 3 years),0.6979474940072458
Av Dep%NFA (over 3 years),2.4107788506625707
Au Retention ratio (over 3 years),87.14871359588949
d/e,1.4312443033066116
Interest coverage,0.761552354743446
tax %,35.5475604507179
cPAT,392562000.0
CFO,3916000.0
cCFO,-3734322000.0
cCFO/cPAT,-9.51269353630764
p/a,2.897958859613169
p/e,23.190258
EY,6.650172062740238
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,30.00975578428595
PEG,
no. shares (cr),1.72917
Current Price,152.36
market cap,2634563412.0
d/e_market,1.2510501683077349
p/s,2.2967083
NFA + CWIP,1234359000.0
Capex,58435000.0
Capex_from_cashflow_statement,108660000.0
FCF,-54519000.0
FCF%,-31.11761784900943
FCF_capex_from_cashflow,-104744000.0
FCF%_capex_from_cashflow,-59.78436442298363
DV,1.6427010184258943
Mcap (cr),265.2998912
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,True
Interest coverage >3,False
d/e <0.5,False
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,-13.92211440245148
Market Cap,2652998912
Net Income,175203000.0
Total Revenue,1119384000.0
Total Assets,6689521000.0
Total Liabilities,4253831000.0
Total Stockholders Equity,2302871000.0
Total Debt,3295971000.0
Cash and Cash Equivalents,84687000.0
Current Assets,879222000.0
Current Liabilities,2684624000.0
Working Capital,-1805402000.0
Operating Cash Flow,3916000.0
Capital Expenditure,108660000.0
Dividends Paid,43278000.0
Depreciation & Amortization,38251000.0
Interest Expense,397538000.0
Income Tax Expense,96630000.0
Shares Outstanding,17291700
Net Fixed Assets,1200466000.0
Construction in Progress,33893000.0
Net Debt,3211284000.0
3-5yr Average ROA (%),4.829458015343505
3-5yr Average ROE (%),9.182473344295635
ROE,7.394776599900266
ROA,2.7514634763219186
insidersPercentHeld,0.80976
institutionsPercentHeld,0.0
institutionsFloatPercentHeld,0.0
institutionsCount,0.0
current,152.36
Normalized EBIT,513404666.6666667
Normalized Net Income,245849333.33333334
