,Value
ticker,AMBIKCO.NS
ROCE,11.44821704599968
ROCE (3yr avg),14.01772682370264
NFAT,2.889264346061496
NFAT (3yr avg),3.4099838564088176
NPM,10.235425394005475
DPR,26.736974092364004
Retention Ratio,73.263025907636
Dep,10.23881690028267
SSGR,15.331909883789995
Av NPM (over 3 years),10.235425394005475
Au NFA/T (over 3 years),3.4099838564088176
Av Dep%NFA (over 3 years),10.23881690028267
Au Retention ratio (over 3 years),73.263025907636
d/e,0.059052695565773604
Interest coverage,5.2518518518518515
tax %,27.908761925649745
cPAT,4205018000.0
CFO,1290500000.0
cCFO,2132239000.0
cCFO/cPAT,0.5070701243133798
p/a,6.146964821576725
p/e,13.21177
EY,8.276014005271646
Earnings Growth 5yr cagr,-28.504541762744083
Sales Growth 5yr cagr,-7.235311061993999
PEG,-0.4634970142641621
no. shares (cr),0.5725
Current Price,1387.5
market cap,7943437500.0
d/e_market,0.06385144970297808
p/s,1.1596936
NFA + CWIP,2570900000.0
Capex,275742000.0
Capex_from_cashflow_statement,266300000.0
FCF,1014758000.0
FCF%,154.3592941892303
FCF_capex_from_cashflow,1024200000.0
FCF%_capex_from_cashflow,155.79555825981137
DV,2.5228372477280776
Mcap (cr),794.3437312
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),True
FCF/CFO,0.7863293297171638
Market Cap,7943437312
Net Income,657400000.0
Total Revenue,7020700000.0
Total Assets,11510000000.0
Total Liabilities,2469500000.0
Total Stockholders Equity,8588939000.0
Total Debt,507200000.0
Cash and Cash Equivalents,362000000.0
Current Assets,8903900000.0
Current Liabilities,2129500000.0
Working Capital,6774400000.0
Operating Cash Flow,1290500000.0
Capital Expenditure,266300000.0
Dividends Paid,200400000.0
Depreciation & Amortization,120700000.0
Interest Expense,162000000.0
Income Tax Expense,254500000.0
Shares Outstanding,5725000
Net Fixed Assets,2490600000.0
Construction in Progress,80300000.0
Net Debt,145200000.0
3-5yr Average ROA (%),8.157609182784965
3-5yr Average ROE (%),9.83113491398115
ROE,7.4579798029874915
ROA,5.921266520538504
insidersPercentHeld,0.51629
institutionsPercentHeld,0.012519999
institutionsFloatPercentHeld,0.025880001
institutionsCount,4.0
current,1387.5
Normalized EBIT,1235151666.6666667
Normalized Net Income,802046666.6666666
