,Value
ticker,AMD
longName,"Advanced Micro Devices, Inc."
ROCE,3.3594317539753007
ROCE (3yr avg),2.1382258902994273
NFAT,11.097482246610717
NFAT (3yr avg),12.475706666609886
NPM,5.2408602197538
DPR,0.0
Retention Ratio,100.0
Dep,100.0
SSGR,-34.616565217646965
Av NPM (over 3 years),5.2408602197538
Au NFA/T (over 3 years),12.475706666609886
Av Dep%NFA (over 3 years),100.0
Au Retention ratio (over 3 years),100.0
d/e,0.03957632577113004
Interest coverage,22.67391304347826
tax %,19.1553544494721
cPAT,6977000000.0
CFO,3041000000.0
cCFO,11794000000.0
cCFO/cPAT,1.6904113515837753
p/a,2.4173234145982176
p/e,100.94611
EY,0.5998281048604145
Earnings Growth 5yr cagr,-27.128067159889703
Sales Growth 5yr cagr,16.20048775845504
PEG,-3.7210948131702586
no. shares (cr),162.2840064
Current Price,168.58
market cap,273578377989.12003
d/e_market,0.008085434295863723
p/s,9.242513
NFA + CWIP,2749000000.0
Capex,3495000000.0
Capex_from_cashflow_statement,636000000.0
FCF,-454000000.0
FCF%,-27.666057282145033
FCF_capex_from_cashflow,2405000000.0
FCF%_capex_from_cashflow,146.55697745277268
DV,0.0
Mcap (cr),27357.8377216
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,False
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,-0.14929299572509044
Market Cap,273578377216
Net Income,1641000000.0
Total Revenue,25785000000.0
Total Assets,69226000000.0
Total Liabilities,11658000000.0
Total Stockholders Equity,55892000000.0
Total Debt,2212000000.0
Cash and Cash Equivalents,1250000000.0
Current Assets,19049000000.0
Current Liabilities,7281000000.0
Working Capital,11768000000.0
Operating Cash Flow,3041000000.0
Capital Expenditure,636000000.0
Dividends Paid,0
Depreciation & Amortization,3177000000.0
Interest Expense,92000000.0
Income Tax Expense,381000000.0
Shares Outstanding,1622840064
Net Fixed Assets,2425000000.0
Construction in Progress,324000000.0
Net Debt,962000000.0
3-5yr Average ROA (%),2.2804417672502124
3-5yr Average ROE (%),2.8924429123382223
ROE,1.543717575604201
ROA,1.2608422839847933
insidersPercentHeld,0.00505
institutionsPercentHeld,0.6918
institutionsFloatPercentHeld,0.69531
institutionsCount,3401.0
current,168.58
high,230.0
low,125.1
mean,185.646
median,190.0
Normalized EBIT,1317000000.0
Normalized Net Income,1271666666.6666667
Research Asset,15294600000.0
R&D Amortization,4035600000.0
Adjusted EBIT (R&D),4501400000.0
Adjusted Book Equity (R&D),71186600000.0
Adjusted D/E (R&D),0.031073263788409616
Adjusted Invested Capital (R&D),72148600000.0
Adjusted ROC (R&D),5.04395216928875
Adjusted ROE (R&D),2.305209126436717
