,Value
ticker,AMJLAND.NS
ROCE,13.927949808070924
ROCE (3yr avg),9.793207450952409
NFAT,4.988214585133481
NFAT (3yr avg),3.464921695359751
NPM,21.76051533428681
DPR,7.8125451520450175
Retention Ratio,92.18745484795498
Dep,11.362282373665678
SSGR,58.145658884796006
Av NPM (over 3 years),21.76051533428681
Au NFA/T (over 3 years),3.464921695359751
Av Dep%NFA (over 3 years),11.362282373665678
Au Retention ratio (over 3 years),92.18745484795498
d/e,0.0
Interest coverage,27.18941924361599
tax %,33.58479572038705
cPAT,472151000.0
CFO,381000000.0
cCFO,659603000.0
cCFO/cPAT,1.3970170559842083
p/a,8.911038517452303
p/e,11.586065
EY,8.829018092091074
Earnings Growth 5yr cagr,32.19517319197445
Sales Growth 5yr cagr,39.34934198023106
PEG,0.35986962800026656
no. shares (cr),4.1
Current Price,56.54
market cap,2318140000.0
d/e_market,0.0
p/s,3.140256
NFA + CWIP,
Capex,
Capex_from_cashflow_statement,6218000.0
FCF,
FCF%,
FCF_capex_from_cashflow,374782000.0
FCF%_capex_from_cashflow,183.1161533989026
DV,0.3537318712415989
Mcap (cr),231.814016
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),True
FCF/CFO,
Market Cap,2318140160
Net Income,204669000.0
Total Revenue,776458000.0
Total Assets,2694430000.0
Total Liabilities,414071000.0
Total Stockholders Equity,1789489000.0
Total Debt,0.0
Cash and Cash Equivalents,34560000.0
Current Assets,1261112000.0
Current Liabilities,311258000.0
Working Capital,949854000.0
Operating Cash Flow,381000000.0
Capital Expenditure,6218000.0
Dividends Paid,8200000.0
Depreciation & Amortization,18852000.0
Interest Expense,9281000.0
Income Tax Expense,108360000.0
Shares Outstanding,41000000
Net Fixed Assets,151076000.0
Construction in Progress,
Net Debt,0
3-5yr Average ROA (%),5.806919786833103
3-5yr Average ROE (%),7.220696772149322
ROE,10.079652147618598
ROA,8.201139878663248
insidersPercentHeld,0.72028
institutionsPercentHeld,0.0
institutionsFloatPercentHeld,0.0
institutionsCount,0.0
current,56.54
Normalized EBIT,201858666.66666666
Normalized Net Income,127909666.66666667
Research Asset,5913800.0
R&D Amortization,1803800.0
Adjusted EBIT (R&D),331927000.0
Adjusted Book Equity (R&D),1795402800.0
Adjusted D/E (R&D),0.0
Adjusted Invested Capital (R&D),1760842800.0
Adjusted ROC (R&D),12.519572735805312
Adjusted ROE (R&D),11.39961461572857
