,Value
ticker,APAM
ROCE,40.19857556843912
ROCE (3yr avg),40.6955595777884
NFAT,8.35247407229332
NFAT (3yr avg),7.440355228583845
NPM,22.324625519130183
DPR,96.0770618785868
Retention Ratio,3.9229381214131998
Dep,6.512715565750707
SSGR,0.0034079992287647243
Av NPM (over 3 years),22.324625519130183
Au NFA/T (over 3 years),7.440355228583845
Av Dep%NFA (over 3 years),6.512715565750707
Au Retention ratio (over 3 years),3.9229381214131998
d/e,0.9276756820123955
Interest coverage,42.58176538908246
tax %,20.63343260273475
cPAT,1025308000.0
CFO,372838000.0
cCFO,1337027000.0
cCFO/cPAT,1.3040247418336735
p/a,18.476119209763716
p/e,12.359789
EY,7.889330981816932
Earnings Growth 5yr cagr,-10.469645707927821
Sales Growth 5yr cagr,-3.2391247409857105
PEG,-1.180535554382793
no. shares (cr),7.04708
p/s,2.8968866
NFA + CWIP,124836000.0
Capex,-6687000.0
FCF,379525000.0
FCF%,146.112770839429
DV,6.741473841570134
Mcap (cr),329.2395776
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,False
CFO >0,True
net cash flow positive,False
cCFO > PAT,True
p/e <10,False
peg <1,True
EY >7%,True
p/b <3,False
DV >3%,True
EY >7,True
sgr > Sales growth (very linear),True
FCF/CFO,1.0179354035801071
Current Price,46.72
Market Cap,3292395776
Net Income,259748000.0
Total Revenue,1111802000.0
Total Assets,1618756000.0
Total Liabilities,868837000.0
Total Stockholders Equity,324151000.0
Total Debt,367439000.0
Cash and Cash Equivalents,0
Current Assets,409408000.0
Current Liabilities,501398000.0
Working Capital,-91990000.0
Operating Cash Flow,372838000.0
Capital Expenditure,4752000.0
Dividends Paid,221956000.0
Depreciation & Amortization,9862000.0
Interest Expense,8610000.0
Income Tax Expense,90901000.0
Shares Outstanding,70470800
Net Fixed Assets,124836000.0
Construction in Progress,0
Net Debt,0
3-5yr Average ROA (%),16.980475891287657
3-5yr Average ROE (%),75.15709128440875
ROE,72.85292570907689
ROA,17.175613152620468
insidersPercentHeld,0.026989998
institutionsPercentHeld,0.91349
institutionsFloatPercentHeld,0.93883
institutionsCount,498.0
current,46.72
high,51.0
low,41.5
mean,45.625
median,45.0
