,Value
ticker,AREN
ROCE,-122.7981029810298
ROCE (3yr avg),122.85672497403738
NFAT,84.16243315508021
NFAT (3yr avg),152.3482381880613
NPM,-50.25250994349252
DPR,0.0
Retention Ratio,100.0
Dep,100.0
SSGR,-7755.881354419117
Av NPM (over 3 years),-50.25250994349252
Au NFA/T (over 3 years),152.3482381880613
Av Dep%NFA (over 3 years),100.0
Au Retention ratio (over 3 years),100.0
d/e,-2.0967031104330878
Interest coverage,0.6181483501499864
tax %,-3.356699919115665
cPAT,-317090000.0
CFO,-16076000.0
cCFO,-66881000.0
cCFO/cPAT,0.21092118956763065
p/a,-53.320132572348285
p/e,7.987952
EY,-32.00215155126497
Earnings Growth 5yr cagr,-28.721811459969505
Sales Growth 5yr cagr,-12.6850056059585
PEG,-0.27811449187782117
no. shares (cr),4.74657
p/s,2.1464949
NFA + CWIP,2488000.0
Capex,14077000.0
FCF,-30153000.0
FCF%,29.940422996723264
DV,0.0
Mcap (cr),31.46976
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,True
CFO >0,False
net cash flow positive,False
cCFO > PAT,False
p/e <10,True
peg <1,True
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,1.8756531475491416
Current Price,6.63
Market Cap,314697600
Net Income,-100710000.0
Total Revenue,125907000.0
Total Assets,116352000.0
Total Liabilities,246680000.0
Total Stockholders Equity,-58995000.0
Total Debt,
Cash and Cash Equivalents,2468000.0
Current Assets,40234000.0
Current Liabilities,122256000.0
Working Capital,-82022000.0
Operating Cash Flow,-16076000.0
Capital Expenditure,5175000.0
Dividends Paid,0
Depreciation & Amortization,12093000.0
Interest Expense,14668000.0
Income Tax Expense,249000.0
Shares Outstanding,47465700
Net Fixed Assets,2488000.0
Construction in Progress,0
Net Debt,
3-5yr Average ROA (%),-43.94173575086686
3-5yr Average ROE (%),114.3026656382081
ROE,106.38960929205643
ROA,-65.98958162696982
insidersPercentHeld,0.78845
institutionsPercentHeld,0.09624
institutionsFloatPercentHeld,0.45490003
institutionsCount,65.0
current,6.63
high,12.0
low,12.0
mean,12.0
median,12.0
