,Value
ticker,ARIHANTCAP.NS
ROCE,18.789446366280334
ROCE (3yr avg),22.44869774808066
NFAT,7.157357223074571
NFAT (3yr avg),8.243193964752576
NPM,45.68035888853089
DPR,6.712454614866041
Retention Ratio,93.28754538513397
Dep,17.850770317138334
SSGR,333.4254023391064
Av NPM (over 3 years),45.68035888853089
Au NFA/T (over 3 years),8.243193964752576
Av Dep%NFA (over 3 years),17.850770317138334
Au Retention ratio (over 3 years),93.28754538513397
d/e,0.29663244083238355
Interest coverage,-0.9047781672810551
tax %,24.045208412853476
cPAT,2086918000.0
CFO,315761000.0
cCFO,-14191000.0
cCFO/cPAT,-0.006799979682958314
p/a,7.521328098123665
p/e,23.728815
EY,5.034262223326029
Earnings Growth 5yr cagr,5.231214027537567
Sales Growth 5yr cagr,12.848405322014544
PEG,4.536005385191554
no. shares (cr),10.4113
Current Price,112.0
market cap,11660656000.0
d/e_market,0.0820461558938022
p/s,5.6408324
NFA + CWIP,265182000.0
Capex,171597000.0
Capex_from_cashflow_statement,168167000.0
FCF,144164000.0
FCF%,24.55828342089304
FCF_capex_from_cashflow,147594000.0
FCF%_capex_from_cashflow,25.14258263660337
DV,0.4464242835051475
Mcap (cr),1166.0655616
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.4565604998717384
Market Cap,11660655616
Net Income,587028000.0
Total Revenue,1392539000.0
Total Assets,7869086000.0
Total Liabilities,4024535000.0
Total Stockholders Equity,3225244000.0
Total Debt,956712000.0
Cash and Cash Equivalents,
Current Assets,7113877000.0
Current Liabilities,2696081000.0
Working Capital,4417796000.0
Operating Cash Flow,315761000.0
Capital Expenditure,168167000.0
Dividends Paid,52056000.0
Depreciation & Amortization,30354000.0
Interest Expense,199114000.0
Income Tax Expense,185837000.0
Shares Outstanding,104113000
Net Fixed Assets,265182000.0
Construction in Progress,0
Net Debt,
3-5yr Average ROA (%),7.869105128264075
3-5yr Average ROE (%),17.651550454998002
ROE,16.60664842474216
ROA,7.490501266083155
insidersPercentHeld,0.73699
institutionsPercentHeld,0.0
institutionsFloatPercentHeld,0.0
institutionsCount,0.0
current,112.0
Normalized EBIT,836305666.6666666
Normalized Net Income,527769333.3333333
