,Value
ticker,ASHOKLEY.NS
ROCE,15.456971484727012
ROCE (3yr avg),15.426172311286704
NFAT,7.658755758908485
NFAT (3yr avg),7.454774393283017
NPM,4.956214223468199
DPR,40.041156452661475
Retention Ratio,59.958843547338525
Dep,16.035927656468292
SSGR,6.117341408549318
Av NPM (over 3 years),4.956214223468199
Au NFA/T (over 3 years),7.454774393283017
Av Dep%NFA (over 3 years),16.035927656468292
Au Retention ratio (over 3 years),59.958843547338525
d/e,5.548497326927732
Interest coverage,2.232208965933118
tax %,26.40236884644923
cPAT,64704200000.0
CFO,1284700000.0
cCFO,-77842100000.0
cCFO/cPAT,-1.2030455519116223
p/a,4.596157146323134
p/e,24.463686
EY,4.026738157203115
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,22.79209822474526
PEG,
no. shares (cr),587.3050112
Current Price,131.37
market cap,771542593213.4401
d/e_market,0.6475612680294172
p/s,1.557197
NFA + CWIP,70103800000.0
Capex,19508600000.0
Capex_from_cashflow_statement,16480800000.0
FCF,-18223900000.0
FCF%,-58.658104802368996
FCF_capex_from_cashflow,-15196100000.0
FCF%_capex_from_cashflow,-48.912385734517834
DV,2.645051638044097
Mcap (cr),77154.254848
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,False
Tax payout >25%,True
Interest coverage >3,False
d/e <0.5,False
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,-14.185335097688176
Market Cap,771542548480
Net Income,31068000000.0
Total Revenue,483417600000.0
Total Assets,817145300000.0
Total Liabilities,658696700000.0
Total Stockholders Equity,90046200000.0
Total Debt,499621100000.0
Cash and Cash Equivalents,76600000.0
Current Assets,342401300000.0
Current Liabilities,265514600000.0
Working Capital,76886700000.0
Operating Cash Flow,1284700000.0
Capital Expenditure,16480800000.0
Dividends Paid,20407700000.0
Depreciation & Amortization,10866500000.0
Interest Expense,39302100000.0
Income Tax Expense,12135400000.0
Shares Outstanding,5873050112
Net Fixed Assets,66497600000.0
Construction in Progress,3606200000.0
Net Debt,499544500000.0
3-5yr Average ROA (%),3.5801936378088812
3-5yr Average ROE (%),24.391848966508377
ROE,29.258769366818115
ROA,4.161539474917074
insidersPercentHeld,0.40135
institutionsPercentHeld,0.28606
institutionsFloatPercentHeld,0.47785
institutionsCount,183.0
current,131.37
high,155.0
low,100.0
mean,137.77779
median,140.0
Normalized EBIT,66577633333.333336
Normalized Net Income,22763433333.333332
Research Asset,4013180000.0
R&D Amortization,1124040000.0
Adjusted EBIT (R&D),85728660000.0
Adjusted Book Equity (R&D),94059380000.0
Adjusted D/E (R&D),5.311762633349273
Adjusted Invested Capital (R&D),593603880000.0
Adjusted ROC (R&D),10.629017953804752
Adjusted ROE (R&D),33.03019858306529
