,Value
ticker,ATRA
longName,"Atara Biotherapeutics, Inc."
ROCE,317.16124980373684
ROCE (3yr avg),-307.6301176339705
NFAT,2.5815881151643776
NFAT (3yr avg),1.1782074811531464
NPM,-1215.4106842414774
DPR,0.0
Retention Ratio,100.0
Dep,8.232516211521233
SSGR,-1440.2384770582944
Av NPM (over 3 years),-1215.4106842414774
Au NFA/T (over 3 years),1.1782074811531464
Av Dep%NFA (over 3 years),8.232516211521233
Au Retention ratio (over 3 years),100.0
d/e,-0.4417067247130433
Interest coverage,-18.079739978331528
tax %,0.01404905461569982
cPAT,-929972000.0
CFO,-68717000.0
cCFO,-752646000.0
cCFO/cPAT,0.8093211408515525
p/a,-51.601773975251355
p/e,16.756943
EY,-100.79088924193296
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,85.07406859629529
PEG,
no. shares (cr),0.702303
Current Price,12.065
market cap,84732856.95
d/e_market,0.5172845762283718
p/s,0.44911328
NFA + CWIP,41101000.0
Capex,-12797000.0
Capex_from_cashflow_statement,246000.0
FCF,-55920000.0
FCF%,65.47779352013396
FCF_capex_from_cashflow,-68963000.0
FCF%_capex_from_cashflow,80.7500907462267
DV,0.0
Mcap (cr),8.4732856
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,False
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,True
CFO >0,False
cCFO > PAT,False
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,0.8137724289477131
Market Cap,84732856
Net Income,-85403000.0
Total Revenue,128940000.0
Total Assets,109098000.0
Total Liabilities,206381000.0
Total Stockholders Equity,-99231000.0
Total Debt,43831000.0
Cash and Cash Equivalents,10115000.0
Current Assets,64894000.0
Current Liabilities,134574000.0
Working Capital,-69680000.0
Operating Cash Flow,-68717000.0
Capital Expenditure,246000.0
Dividends Paid,0
Depreciation & Amortization,5051000.0
Interest Expense,4615000.0
Income Tax Expense,-12000.0
Shares Outstanding,7023030
Net Fixed Assets,41101000.0
Construction in Progress,0.0
Net Debt,33716000.0
3-5yr Average ROA (%),-77.98538127913051
3-5yr Average ROE (%),-1063.6250790706774
ROE,-2014.8564340180233
ROA,-101.90580228961994
insidersPercentHeld,0.21291
institutionsPercentHeld,0.45694
institutionsFloatPercentHeld,0.58054
institutionsCount,42.0
current,12.065
high,17.0
low,16.0
mean,16.33333
median,16.0
Normalized EBIT,-193181000.0
Normalized Net Income,-196610333.33333334
Research Asset,607631200.0
R&D Amortization,186160400.0
Adjusted EBIT (R&D),-115477400.0
Adjusted Book Equity (R&D),508400200.0
Adjusted D/E (R&D),0.0862135774140136
Adjusted Invested Capital (R&D),542116200.0
Adjusted ROC (R&D),-21.298233942650157
Adjusted ROE (R&D),-16.798380488441982
