,Value
ticker,BBW
ROCE,31.477664535861173
ROCE (3yr avg),33.545621693944916
NFAT,3.562716657216883
NFAT (3yr avg),3.729304466371676
NPM,10.51643033138866
DPR,21.225558573217572
Retention Ratio,78.77444142678243
Dep,10.497048599940797
SSGR,20.397476427587733
Av NPM (over 3 years),10.51643033138866
Au NFA/T (over 3 years),3.729304466371676
Av Dep%NFA (over 3 years),10.497048599940797
Au Retention ratio (over 3 years),78.77444142678242
d/e,0.748068053863121
Interest coverage,
tax %,22.871270907493184
cPAT,199840000.0
CFO,47087000.0
cCFO,186750000.0
cCFO/cPAT,0.9344975980784628
p/a,19.01588175892775
p/e,13.636145
EY,6.927993924246321
Earnings Growth 5yr cagr,7.580737305761076
Sales Growth 5yr cagr,6.4504262845988425
PEG,1.798788752333766
no. shares (cr),1.32086
p/s,1.4654384
NFA + CWIP,160324000.0
Capex,38570000.0
FCF,8517000.0
FCF%,16.446847542724726
DV,1.4748325774044886
Mcap (cr),74.7474688
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,False
CFO >0,True
net cash flow positive,False
cCFO > PAT,False
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.18087794932783996
Current Price,56.59
Market Cap,747474688
Net Income,51785000.0
Total Revenue,496404000.0
Total Assets,289956000.0
Total Liabilities,150874000.0
Total Stockholders Equity,129662000.0
Total Debt,71480000.0
Cash and Cash Equivalents,6467000.0
Current Assets,126298000.0
Current Liabilities,79394000.0
Working Capital,46904000.0
Operating Cash Flow,47087000.0
Capital Expenditure,19317000.0
Dividends Paid,11024000.0
Depreciation & Amortization,14772000.0
Interest Expense,
Income Tax Expense,15356000.0
Shares Outstanding,13208600
Net Fixed Assets,149961000.0
Construction in Progress,10363000.0
Net Debt,65013000.0
3-5yr Average ROA (%),18.351387347982506
3-5yr Average ROE (%),42.02951711043804
ROE,38.538534813800496
ROA,18.41961581486837
insidersPercentHeld,0.059970003
institutionsPercentHeld,0.95221
institutionsFloatPercentHeld,1.01297
institutionsCount,242.0
current,56.59
high,65.0
low,60.0
mean,63.0
median,64.0
