,Value
ticker,BIRLAMONEY.NS
ROCE,57.618899318174954
ROCE (3yr avg),50.02403005764913
NFAT,12.424354733581941
NFAT (3yr avg),11.395264632431221
NPM,15.476081582316032
DPR,0.0
Retention Ratio,100.0
Dep,27.722382453797465
SSGR,148.6316626497886
Av NPM (over 3 years),15.476081582316032
Au NFA/T (over 3 years),11.395264632431221
Av Dep%NFA (over 3 years),27.722382453797465
Au Retention ratio (over 3 years),100.0
d/e,9.864640420483061
Interest coverage,1.416993717434518
tax %,27.012041555170786
cPAT,1871938000.0
CFO,-1261997000.0
cCFO,-9305299000.0
cCFO/cPAT,-4.970944016308232
p/a,3.506001203718826
p/e,13.894208
EY,7.296713848989435
Earnings Growth 5yr cagr,41.44325708825196
Sales Growth 5yr cagr,23.770655053745273
PEG,0.3352585915342699
no. shares (cr),5.65092
Current Price,179.93
market cap,10167700356.0
d/e_market,1.5785839902853251
p/s,3.100728
NFA + CWIP,339017000.0
Capex,120759000.0
Capex_from_cashflow_statement,71431000.0
FCF,-1382756000.0
FCF%,-186.37836497247636
FCF_capex_from_cashflow,-1333428000.0
FCF%_capex_from_cashflow,-179.72956215595462
DV,0.0
Mcap (cr),1016.8257536
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,True
Interest coverage >3,False
d/e <0.5,False
CFO >0,False
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,True
p/b <3,False
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),True
FCF/CFO,1.0956888170098662
Market Cap,10168257536
Net Income,741908000.0
Total Revenue,4069703000.0
Total Assets,24710047000.0
Total Liabilities,22348714000.0
Total Stockholders Equity,1627081000.0
Total Debt,16050569000.0
Cash and Cash Equivalents,314000.0
Current Assets,22961210000.0
Current Liabilities,20770180000.0
Working Capital,2191030000.0
Operating Cash Flow,-1261997000.0
Capital Expenditure,71431000.0
Dividends Paid,0
Depreciation & Amortization,97842000.0
Interest Expense,1253628000.0
Income Tax Expense,274572000.0
Shares Outstanding,56509200
Net Fixed Assets,339017000.0
Construction in Progress,0
Net Debt,16050255000.0
3-5yr Average ROA (%),2.952443002094011
3-5yr Average ROE (%),37.69894001536655
ROE,37.20315894989838
ROA,3.234748824069864
insidersPercentHeld,0.7456
institutionsPercentHeld,0.0
institutionsFloatPercentHeld,0.0
institutionsCount,0.0
current,179.93
Normalized EBIT,1607874333.3333333
Normalized Net Income,536870000.0
