,Value
ticker,BLBLIMITED.NS
ROCE,5.759587672068644
ROCE (3yr avg),6.262886119599325
NFAT,79.46221141442149
NFAT (3yr avg),44.009957622781315
NPM,1.4510429460518621
DPR,0.0
Retention Ratio,100.0
Dep,1.8991741406762088
SSGR,61.961164423902005
Av NPM (over 3 years),1.4510429460518621
Au NFA/T (over 3 years),44.009957622781315
Av Dep%NFA (over 3 years),1.8991741406762088
Au Retention ratio (over 3 years),100.0
d/e,0.003115090119557159
Interest coverage,10.72695285010556
tax %,27.477316702045723
cPAT,219364000.0
CFO,-14651000.0
cCFO,-208454000.0
cCFO/cPAT,-0.9502653124487154
p/a,3.9234896150394674
p/e,12.4920635
EY,4.639587580635247
Earnings Growth 5yr cagr,-25.703625908805485
Sales Growth 5yr cagr,14.879125717148156
PEG,-0.48600394140192105
no. shares (cr),5.28653
Current Price,15.74
market cap,832099822.0
d/e_market,0.0036053366683690986
p/s,0.23136732
NFA + CWIP,146182000.0
Capex,106215000.0
Capex_from_cashflow_statement,1213000.0
FCF,-120866000.0
FCF%,-313.0756877169352
FCF_capex_from_cashflow,-15864000.0
FCF%_capex_from_cashflow,-41.092058229290785
DV,0.0
Mcap (cr),83.209984
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,True
CFO >0,False
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,8.24967579004846
Market Cap,832099840
Net Income,38606000.0
Total Revenue,5359011000.0
Total Assets,982936000.0
Total Liabilities,9342000.0
Total Stockholders Equity,963054000.0
Total Debt,3000000.0
Cash and Cash Equivalents,513000.0
Current Assets,682141000.0
Current Liabilities,9342000.0
Working Capital,672799000.0
Operating Cash Flow,-14651000.0
Capital Expenditure,1213000.0
Dividends Paid,0
Depreciation & Amortization,1226000.0
Interest Expense,2842000.0
Income Tax Expense,14627000.0
Shares Outstanding,52865300
Net Fixed Assets,93689000.0
Construction in Progress,52493000.0
Net Debt,2487000.0
3-5yr Average ROA (%),4.301490057710954
3-5yr Average ROE (%),4.469093610918001
ROE,3.986888686018316
ROA,3.9255541822770477
insidersPercentHeld,0.70546997
institutionsPercentHeld,0.0
institutionsFloatPercentHeld,0.0
institutionsCount,0.0
current,15.74
Normalized EBIT,59772000.0
Normalized Net Income,41734333.333333336
