,Value
ticker,BMY
longName,Bristol-Myers Squibb Company
ROCE,-9.344898226038444
ROCE (3yr avg),5.256802470559877
NFAT,5.891680897779946
NFAT (3yr avg),6.028891237425634
NPM,4.337348447928118
DPR,26.003195775034413
Retention Ratio,73.99680422496559
Dep,100.0
SSGR,-80.65027815804453
Av NPM (over 3 years),4.337348447928118
Au NFA/T (over 3 years),6.028891237425634
Av Dep%NFA (over 3 years),100.0
Au Retention ratio (over 3 years),73.99680422496557
d/e,1.7397213727488956
Interest coverage,3.0236260914227016
tax %,-6.611767514023153
cPAT,12398000000.0
CFO,15190000000.0
cCFO,58323000000.0
cCFO/cPAT,4.704226488143249
p/a,-9.403209365377945
p/e,18.827309
EY,-9.377348738711802
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,1.3576477819548405
PEG,
no. shares (cr),203.544
Current Price,46.88
market cap,95421427200.0
d/e_market,0.5365671160282122
p/s,2.0002816
NFA + CWIP,9885000000.0
Capex,10374000000.0
Capex_from_cashflow_statement,1248000000.0
FCF,4816000000.0
FCF%,-53.82208314707198
FCF_capex_from_cashflow,13942000000.0
FCF%_capex_from_cashflow,-155.81135449262405
DV,5.096339619619523
Mcap (cr),9542.1431808
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,False
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,False
DV >3%,True
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,0.3170506912442396
Market Cap,95421431808
Net Income,-8948000000.0
Total Revenue,48300000000.0
Total Assets,92603000000.0
Total Liabilities,76215000000.0
Total Stockholders Equity,29430000000.0
Total Debt,51200000000.0
Cash and Cash Equivalents,1940000000.0
Current Assets,29780000000.0
Current Liabilities,23774000000.0
Working Capital,6006000000.0
Operating Cash Flow,15190000000.0
Capital Expenditure,1248000000.0
Dividends Paid,4863000000.0
Depreciation & Amortization,9600000000.0
Interest Expense,1947000000.0
Income Tax Expense,554000000.0
Shares Outstanding,2035440000
Net Fixed Assets,8360000000.0
Construction in Progress,1525000000.0
Net Debt,49260000000.0
3-5yr Average ROA (%),7.24950735092509
3-5yr Average ROE (%),22.708733402811397
ROE,26.532872658742622
ROA,8.360289406653852
insidersPercentHeld,0.00075
institutionsPercentHeld,0.82878995
institutionsFloatPercentHeld,0.82941
institutionsCount,2976.0
current,46.88
high,68.0
low,34.0
mean,53.0
median,51.0
Normalized EBIT,4039666666.6666665
Normalized Net Income,1801333333.3333333
Research Asset,28381600000.0
R&D Amortization,8032400000.0
Adjusted EBIT (R&D),-3305400000.0
Adjusted Book Equity (R&D),57811600000.0
Adjusted D/E (R&D),0.8856354088106885
Adjusted Invested Capital (R&D),107071600000.0
Adjusted ROC (R&D),-3.291204542949317
Adjusted ROE (R&D),-15.47786257429305
