,Value
ticker,CCCL.NS
ROCE,47.88838133246238
ROCE (3yr avg),263.69624702648616
NFAT,0.881739138894226
NFAT (3yr avg),0.5508406929340091
NPM,161.26998558255676
DPR,0.0
Retention Ratio,100.0
Dep,1.9127872537343524
SSGR,86.92128335401887
Av NPM (over 3 years),161.26998558255676
Au NFA/T (over 3 years),0.5508406929340091
Av Dep%NFA (over 3 years),1.9127872537343524
Au Retention ratio (over 3 years),100.0
d/e,0.010872322690537456
Interest coverage,-9.663796716065374
tax %,16.06192456917812
cPAT,5068068000.0
CFO,1555198000.0
cCFO,2134196000.0
cCFO/cPAT,0.4211064255649293
p/a,16.16265915905227
p/e,5.094183
EY,10.667184320444582
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,11.544750324531927
PEG,
no. shares (cr),44.6759008
Current Price,18.39
market cap,8215898157.12
d/e_market,0.00036514571415422945
p/s,4.006442
NFA + CWIP,2034044000.0
Capex,4778000.0
Capex_from_cashflow_statement,4493000.0
FCF,1550420000.0
FCF%,176.90679537428474
FCF_capex_from_cashflow,1550705000.0
FCF%_capex_from_cashflow,176.93931458629285
DV,0.0
Mcap (cr),821.5898112
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,True
peg <1,False
EY >7%,True
p/b <3,False
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),True
FCF/CFO,0.9969277223864743
Market Cap,8215898112
Net Income,876405000.0
Total Revenue,1812719000.0
Total Assets,4222207000.0
Total Liabilities,2224812000.0
Total Stockholders Equity,275930000.0
Total Debt,3000000.0
Cash and Cash Equivalents,155829000.0
Current Assets,1962334000.0
Current Liabilities,1987097000.0
Working Capital,-24763000.0
Operating Cash Flow,1555198000.0
Capital Expenditure,4493000.0
Dividends Paid,0
Depreciation & Amortization,48380000.0
Interest Expense,26249000.0
Income Tax Expense,167704000.0
Shares Outstanding,446759008
Net Fixed Assets,2034044000.0
Construction in Progress,0.0
Net Debt,-152829000.0
3-5yr Average ROA (%),29.030466065490078
3-5yr Average ROE (%),-40.47861305304372
ROE,77.10336181584243
ROA,18.17397960913517
insidersPercentHeld,0.6645
institutionsPercentHeld,0.105059996
institutionsFloatPercentHeld,0.31315002
institutionsCount,2.0
current,18.39
Normalized EBIT,2446254666.6666665
Normalized Net Income,2158836666.6666665
