,Value
ticker,CCL
longName,Carnival Corporation & plc
ROCE,9.802350427350428
ROCE (3yr avg),1.4159134227818706
NFAT,0.5919048069644209
NFAT (3yr avg),0.47644790416620136
NPM,-14.251661876221235
DPR,-1
Retention Ratio,101.0
Dep,5.868858535341552
SSGR,-12.726934711470623
Av NPM (over 3 years),-14.251661876221235
Au NFA/T (over 3 years),0.47644790416620136
Av Dep%NFA (over 3 years),5.868858535341552
Au Retention ratio (over 3 years),-1
d/e,4.195263693157053
Interest coverage,2.0364672364672365
tax %,-0.05221932114882506
cPAT,-13752000000.0
CFO,5923000000.0
cCFO,4425000000.0
cCFO/cPAT,-0.3217713787085515
p/a,3.9006514657980453
p/e,14.902061
EY,5.67642957891418
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,135.81717416686732
PEG,
no. shares (cr),116.7541049
Current Price,28.91
market cap,33753611726.59
d/e_market,0.8554936352856256
p/s,1.5828103
NFA + CWIP,43698000000.0
Capex,3590000000.0
Capex_from_cashflow_statement,4626000000.0
FCF,2333000000.0
FCF%,121.76409185803759
FCF_capex_from_cashflow,1297000000.0
FCF%_capex_from_cashflow,67.69311064718163
DV,
Mcap (cr),4151.7113344
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,False
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,False
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,0.3938882323147054
Market Cap,41517113344
Net Income,1916000000.0
Total Revenue,25021000000.0
Total Assets,49057000000.0
Total Liabilities,39805000000.0
Total Stockholders Equity,6883000000.0
Total Debt,28876000000.0
Cash and Cash Equivalents,1071000000.0
Current Assets,3378000000.0
Current Liabilities,11617000000.0
Working Capital,-8239000000.0
Operating Cash Flow,5923000000.0
Capital Expenditure,4626000000.0
Dividends Paid,
Depreciation & Amortization,2557000000.0
Interest Expense,1755000000.0
Income Tax Expense,-1000000.0
Shares Outstanding,1167541049
Net Fixed Assets,43163000000.0
Construction in Progress,535000000.0
Net Debt,27805000000.0
3-5yr Average ROA (%),-5.873656786946589
3-5yr Average ROE (%),-32.25173790395346
ROE,-1.0611601061160107
ROA,-0.1467919026412624
insidersPercentHeld,0.07586
institutionsPercentHeld,0.72306997
institutionsFloatPercentHeld,0.78242993
institutionsCount,1377.0
current,28.91
high,43.0
low,26.0
mean,35.61905
median,37.0
Normalized EBIT,401000000.0
Normalized Net Income,-1417000000.0
