,Value
ticker,CCSI
longName,"Consensus Cloud Solutions, Inc."
ROCE,29.87702958557249
ROCE (3yr avg),27.464059969451288
NFAT,3.601918243357851
NFAT (3yr avg),5.009202325869853
NPM,22.302487436723123
DPR,0.0
Retention Ratio,100.0
Dep,24.044655125249175
SSGR,87.67301681546746
Av NPM (over 3 years),22.302487436723123
Au NFA/T (over 3 years),5.009202325869853
Av Dep%NFA (over 3 years),24.044655125249175
Au Retention ratio (over 3 years),100.0
d/e,-3.447326285188676
Interest coverage,4.396833338238324
tax %,26.83954353961307
cPAT,348445000.0
CFO,121747000.0
cCFO,552684000.0
cCFO/cPAT,1.5861441547446513
p/a,13.817583487188204
p/e,6.433735
EY,17.650974696552638
Earnings Growth 5yr cagr,-5.279980391741212
Sales Growth 5yr cagr,-0.21615852043108674
PEG,-1.2185149418477874
no. shares (cr),1.8977
Current Price,26.7
market cap,506685900.0
d/e_market,1.1982768811999702
p/s,1.4493511
NFA + CWIP,153267000.0
Capex,37799000.0
Capex_from_cashflow_statement,33440000.0
FCF,83948000.0
FCF%,93.86481802426343
FCF_capex_from_cashflow,88307000.0
FCF%_capex_from_cashflow,98.73874881198635
DV,0.0
Mcap (cr),50.668592
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,True
p/e <10,True
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),True
FCF/CFO,0.6895282840644944
Market Cap,506685920
Net Income,89435000.0
Total Revenue,350382000.0
Total Assets,602201000.0
Total Liabilities,681664000.0
Total Stockholders Equity,-176122000.0
Total Debt,607150000.0
Cash and Cash Equivalents,292000.0
Current Assets,74525000.0
Current Liabilities,79311000.0
Working Capital,-4786000.0
Operating Cash Flow,121747000.0
Capital Expenditure,33440000.0
Dividends Paid,0
Depreciation & Amortization,20516000.0
Interest Expense,33979000.0
Income Tax Expense,32810000.0
Shares Outstanding,18977000
Net Fixed Assets,106591000.0
Construction in Progress,46676000.0
Net Debt,606858000.0
3-5yr Average ROA (%),12.109386263456273
3-5yr Average ROE (%),-30.285835293418934
ROE,-35.83590452104047
ROA,12.066465077578496
insidersPercentHeld,0.022449998
institutionsPercentHeld,1.00186
institutionsFloatPercentHeld,1.02487
institutionsCount,218.0
current,26.7
high,38.0
low,20.0
mean,30.6
median,32.0
Normalized EBIT,151697000.0
Normalized Net Income,79814666.66666667
Research Asset,22936200.0
R&D Amortization,6616000.0
Adjusted EBIT (R&D),157291000.0
Adjusted Book Equity (R&D),-153185800.0
Adjusted D/E (R&D),-3.9634874772988096
Adjusted Invested Capital (R&D),453672200.0
Adjusted ROC (R&D),25.365189573244116
Adjusted ROE (R&D),-58.3833488482614
