,Value
ticker,CEG
longName,Constellation Energy Corporation
ROCE,10.8984375
ROCE (3yr avg),5.543304616932648
NFAT,1.0873105580032756
NFAT (3yr avg),1.1717252217456868
NPM,7.255287200941782
DPR,-27.077003343836854
Retention Ratio,127.07700334383685
Dep,9.205639698465125
SSGR,1.5974343276418181
Av NPM (over 3 years),7.255287200941782
Au NFA/T (over 3 years),1.1717252217456868
Av Dep%NFA (over 3 years),9.205639698465125
Au Retention ratio (over 3 years),127.07700334383686
d/e,0.7699771167048055
Interest coverage,9.58102766798419
tax %,17.139061116031886
cPAT,5007000000.0
CFO,-2464000000.0
cCFO,-11456000000.0
cCFO/cPAT,-2.2879968044737367
p/a,7.386027818274951
p/e,33.959755
EY,3.646769956265538
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,6.249629819833391
PEG,
no. shares (cr),31.2405579
Current Price,329.07
market cap,102803303881.53
d/e_market,0.08182616396934038
p/s,4.141954
NFA + CWIP,22508000000.0
Capex,1266000000.0
Capex_from_cashflow_statement,2565000000.0
FCF,-3730000000.0
FCF%,-99.49319818618298
FCF_capex_from_cashflow,-5029000000.0
FCF%_capex_from_cashflow,-134.14243798346226
DV,0.4318927342176311
Mcap (cr),10280.3300352
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,False
CFO >0,False
cCFO > PAT,False
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,1.5137987012987013
Market Cap,102803300352
Net Income,3749000000.0
Total Revenue,23568000000.0
Total Assets,52926000000.0
Total Liabilities,39387000000.0
Total Stockholders Equity,10925000000.0
Total Debt,8412000000.0
Cash and Cash Equivalents,1486000000.0
Current Assets,10776000000.0
Current Liabilities,6846000000.0
Working Capital,3930000000.0
Operating Cash Flow,-2464000000.0
Capital Expenditure,2565000000.0
Dividends Paid,444000000.0
Depreciation & Amortization,2007000000.0
Interest Expense,506000000.0
Income Tax Expense,774000000.0
Shares Outstanding,312405579
Net Fixed Assets,21235000000.0
Construction in Progress,1273000000.0
Net Debt,6926000000.0
3-5yr Average ROA (%),1.493339155096432
3-5yr Average ROE (%),6.676914702927948
ROE,14.792872442236703
ROA,3.3235381449210073
insidersPercentHeld,0.00257
institutionsPercentHeld,0.85459
institutionsFloatPercentHeld,0.85679
institutionsCount,2231.0
current,329.07
high,401.0
low,184.05
mean,355.3375
median,374.5
Normalized EBIT,2536333333.3333335
Normalized Net Income,1737333333.3333333
