,Value
ticker,CELH
ROCE,11.1127444613964
ROCE (3yr avg),5.793506712008548
NFAT,25.952273836758526
NFAT (3yr avg),59.184115078729214
NPM,-0.24812165312499937
DPR,8.303299993762964
Retention Ratio,91.69670000623704
Dep,18.35243631155485
SSGR,-31.817968764967485
Av NPM (over 3 years),-0.24812165312499937
Au NFA/T (over 3 years),59.184115078729214
Av Dep%NFA (over 3 years),18.35243631155485
Au Retention ratio (over 3 years),91.69670000623704
d/e,0.01860310437581762
Interest coverage,
tax %,25.622148167136633
cPAT,188530000.0
CFO,262898000.0
cCFO,415712000.0
cCFO/cPAT,2.2050177690553228
p/a,9.44248748369561
p/e,156.76315
EY,0.9441330223334141
Earnings Growth 5yr cagr,184.38669798515656
Sales Growth 5yr cagr,62.78404172576728
PEG,0.8501868720086289
no. shares (cr),25.7946
Current Price,59.57
market cap,15365843220.0
d/e_market,0.0013178580381220367
p/s,9.220538
NFA + CWIP,77438000.0
Capex,57679000.0
Capex_from_cashflow_statement,23390000.0
FCF,205219000.0
FCF%,141.45815239119347
FCF_capex_from_cashflow,239508000.0
FCF%_capex_from_cashflow,165.0936763307002
DV,0.17896837554743708
Mcap (cr),1536.5842944
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,False
Tax payout >25%,True
Interest coverage >3,False
d/e <0.5,True
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,0.7806031236449117
Market Cap,15365842944
Net Income,145074000.0
Total Revenue,1355630000.0
Total Assets,1766881000.0
Total Liabilities,542464000.0
Total Stockholders Equity,1088528000.0
Total Debt,20250000.0
Cash and Cash Equivalents,18759000.0
Current Assets,1324580000.0
Current Liabilities,365535000.0
Working Capital,959045000.0
Operating Cash Flow,262898000.0
Capital Expenditure,23390000.0
Dividends Paid,27500000.0
Depreciation & Amortization,7274000.0
Interest Expense,
Income Tax Expense,49976000.0
Shares Outstanding,257946000
Net Fixed Assets,77438000.0
Construction in Progress,0
Net Debt,1491000.0
3-5yr Average ROA (%),0.28111527705907174
3-5yr Average ROE (%),0.3797946933350496
ROE,12.544526566779583
ROA,8.783641214466725
insidersPercentHeld,0.36191002
institutionsPercentHeld,0.65814
institutionsFloatPercentHeld,1.03142
institutionsCount,715.0
current,59.57
high,68.0
low,33.5
mean,57.925
median,60.0
Normalized EBIT,88097666.66666667
Normalized Net Income,61531000.0
