,Value
ticker,CENTENKA.NS
ROCE,6.167595617912743
ROCE (3yr avg),6.151433060574483
NFAT,2.467643248135589
NFAT (3yr avg),2.6069701568234365
NPM,3.398328109778632
DPR,36.0582820170798
Retention Ratio,63.94171798292021
Dep,6.508004110704593
SSGR,-0.8431899349525783
Av NPM (over 3 years),3.398328109778632
Au NFA/T (over 3 years),2.6069701568234365
Av Dep%NFA (over 3 years),6.508004110704593
Au Retention ratio (over 3 years),63.9417179829202
d/e,0.026986616631730163
Interest coverage,14.318706697459584
tax %,27.702849684576897
cPAT,3837000000.0
CFO,1178700000.0
cCFO,4807600000.0
cCFO/cPAT,1.2529580401355225
p/a,3.946563752412053
p/e,19.05965
EY,6.06403215265709
Earnings Growth 5yr cagr,-28.80028953170407
Sales Growth 5yr cagr,-1.4889828615622713
PEG,-0.6617867497137023
no. shares (cr),2.18506
Current Price,501.65
market cap,10961353490.0
d/e_market,0.03359074226881812
p/s,0.58454317
NFA + CWIP,8161400000.0
Capex,551700000.0
Capex_from_cashflow_statement,514300000.0
FCF,627000000.0
FCF%,94.32826839175567
FCF_capex_from_cashflow,664400000.0
FCF%_capex_from_cashflow,99.95486685722884
DV,1.9933669705966213
Mcap (cr),1096.1353728
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.5319419699669127
Market Cap,10961353728
Net Income,664700000.0
Total Revenue,19902900000.0
Total Assets,17817400000.0
Total Liabilities,3641900000.0
Total Stockholders Equity,13643800000.0
Total Debt,368200000.0
Cash and Cash Equivalents,27100000.0
Current Assets,8969200000.0
Current Liabilities,2208400000.0
Working Capital,6760800000.0
Operating Cash Flow,1178700000.0
Capital Expenditure,514300000.0
Dividends Paid,218500000.0
Depreciation & Amortization,549700000.0
Interest Expense,43300000.0
Income Tax Expense,254700000.0
Shares Outstanding,21850600
Net Fixed Assets,8021500000.0
Construction in Progress,139900000.0
Net Debt,341100000.0
3-5yr Average ROA (%),4.054815210167856
3-5yr Average ROE (%),4.994675164813578
ROE,4.778696804017355
ROA,3.835556363405549
insidersPercentHeld,0.38117
institutionsPercentHeld,0.09611
institutionsFloatPercentHeld,0.15531
institutionsCount,7.0
current,501.65
Normalized EBIT,928933333.3333334
Normalized Net Income,665133333.3333334
