,Value
ticker,CHCI
ROCE,17.67161410018553
ROCE (3yr avg),20.26897301352869
NFAT,7.376716761343208
NFAT (3yr avg),6.051774148240097
NPM,21.4931846100864
DPR,0.0
Retention Ratio,100.0
Dep,3.234433382459306
SSGR,126.83746560421348
Av NPM (over 3 years),21.4931846100864
Au NFA/T (over 3 years),6.051774148240097
Av Dep%NFA (over 3 years),3.234433382459306
Au Retention ratio (over 3 years),100.0
d/e,0.16855653482373173
Interest coverage,
tax %,-35.75757575757576
cPAT,43300000.0
CFO,10675000.0
cCFO,35577000.0
cCFO/cPAT,0.8216397228637413
p/a,29.155569795150083
p/e,9.888158
EY,9.83365622170553
Earnings Growth 5yr cagr,-3.753589292303261
Sales Growth 5yr cagr,18.159319246836027
PEG,-2.6343207074561086
no. shares (cr),0.985116
p/s,2.726756
NFA + CWIP,6550000.0
Capex,-505000.0
FCF,11180000.0
FCF%,76.78571428571429
DV,0.0
Mcap (cr),15.1373136
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,True
CFO >0,True
net cash flow positive,False
cCFO > PAT,False
p/e <10,True
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),True
FCF/CFO,1.0473067915690866
Current Price,15.03
Market Cap,151373136
Net Income,14560000.0
Total Revenue,51294000.0
Total Assets,64867000.0
Total Liabilities,12498000.0
Total Stockholders Equity,37216000.0
Total Debt,
Cash and Cash Equivalents,430000.0
Current Assets,36727000.0
Current Liabilities,6655000.0
Working Capital,30072000.0
Operating Cash Flow,10675000.0
Capital Expenditure,368000.0
Dividends Paid,0
Depreciation & Amortization,302000.0
Interest Expense,
Income Tax Expense,-3835000.0
Shares Outstanding,9851160
Net Fixed Assets,6550000.0
Construction in Progress,0
Net Debt,
3-5yr Average ROA (%),19.760661292373772
3-5yr Average ROE (%),27.73468789248965
ROE,32.50544175922309
ROA,25.36452798634218
insidersPercentHeld,0.66105
institutionsPercentHeld,0.08542
institutionsFloatPercentHeld,0.25202
institutionsCount,23.0
current,15.03
