,Value
ticker,CIGNITITEC.NS
ROCE,27.783423897999683
ROCE (3yr avg),30.945084885678607
NFAT,46.97541204386584
NFAT (3yr avg),39.44643212281184
NPM,9.759046876799019
DPR,8.966447402428749
Retention Ratio,91.03355259757126
Dep,65.60953428082425
SSGR,284.8328476481174
Av NPM (over 3 years),9.759046876799019
Au NFA/T (over 3 years),39.44643212281184
Av Dep%NFA (over 3 years),65.60953428082425
Au Retention ratio (over 3 years),91.03355259757126
d/e,0.037852373872163794
Interest coverage,85.46133467471496
tax %,26.41628313899631
cPAT,6258309000.0
CFO,1599017000.0
cCFO,4847133000.0
cCFO/cPAT,0.77451161328084
p/a,19.90055795352949
p/e,17.672192
EY,4.449441392767343
Earnings Growth 5yr cagr,30.530808087043514
Sales Growth 5yr cagr,17.497088479274204
PEG,0.5788314527940589
no. shares (cr),2.7397
Current Price,1642.1
market cap,44988613700.0
d/e_market,0.006209971302138612
p/s,2.163519
NFA + CWIP,452938000.0
Capex,390078000.0
Capex_from_cashflow_statement,137837000.0
FCF,1208939000.0
FCF%,60.39434652417744
FCF_capex_from_cashflow,1461180000.0
FCF%_capex_from_cashflow,72.99542098831917
DV,
Mcap (cr),4500.2080256
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.7560513740629399
Market Cap,45002080256
Net Income,2001742000.0
Total Revenue,20143409000.0
Total Assets,12391771000.0
Total Liabilities,2759353000.0
Total Stockholders Equity,7380726000.0
Total Debt,279378000.0
Cash and Cash Equivalents,388580000.0
Current Assets,10938256000.0
Current Liabilities,2493135000.0
Working Capital,8445121000.0
Operating Cash Flow,1599017000.0
Capital Expenditure,137837000.0
Dividends Paid,
Depreciation & Amortization,341817000.0
Interest Expense,29820000.0
Income Tax Expense,718618000.0
Shares Outstanding,27397000
Net Fixed Assets,452938000.0
Construction in Progress,0
Net Debt,-109202000.0
3-5yr Average ROA (%),19.174269538637688
3-5yr Average ROE (%),26.85564422068927
ROE,23.531711716541047
ROA,17.832498474198385
insidersPercentHeld,0.74455
institutionsPercentHeld,0.11927
institutionsFloatPercentHeld,0.46688998
institutionsCount,13.0
current,1642.1
Normalized EBIT,2413943666.6666665
Normalized Net Income,1780289333.3333333
