,Value
ticker,CPA
longName,"Copa Holdings, S.A."
ROCE,18.014122609304565
ROCE (3yr avg),17.085435506159765
NFAT,0.9458039633386169
NFAT (3yr avg),1.0034664793558978
NPM,14.751910744634992
DPR,23.45089031131937
Retention Ratio,76.54910968868063
Dep,9.17861997384022
SSGR,2.152981430016572
Av NPM (over 3 years),14.751910744634992
Au NFA/T (over 3 years),1.0034664793558978
Av Dep%NFA (over 3 years),9.17861997384022
Au Retention ratio (over 3 years),76.54910968868062
d/e,0.9426788329560426
Interest coverage,8.911400944456938
tax %,13.838999812975
cPAT,1514109000.0
CFO,996849000.0
cCFO,3307463000.0
cCFO/cPAT,2.1844285979410993
p/a,11.701619985698992
p/e,7.650998
EY,16.948980970835066
Earnings Growth 5yr cagr,149.2744923358872
Sales Growth 5yr cagr,31.662179947946377
PEG,0.051254557160269894
no. shares (cr),3.019617
Current Price,118.82
market cap,3587908919.3999996
d/e_market,0.5575682228674136
p/s,1.3923653
NFA + CWIP,3774935000.0
Capex,574248000.0
Capex_from_cashflow_statement,656340000.0
FCF,422601000.0
FCF%,69.49371334979955
FCF_capex_from_cashflow,340509000.0
FCF%_capex_from_cashflow,55.99427081106503
DV,7.501277374817188
Mcap (cr),483.8626816
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,False
CFO >0,True
cCFO > PAT,True
p/e <10,True
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,True
EY >7,True
sgr > Sales growth (very linear),False
FCF/CFO,0.4239368249353714
Market Cap,4838626816
Net Income,608114000.0
Total Revenue,3446198000.0
Total Assets,5742286000.0
Total Liabilities,3369543000.0
Total Stockholders Equity,2122148000.0
Total Debt,2000504000.0
Cash and Cash Equivalents,1613000.0
Current Assets,1576877000.0
Current Liabilities,1355278000.0
Working Capital,221599000.0
Operating Cash Flow,996849000.0
Capital Expenditure,656340000.0
Dividends Paid,269139000.0
Depreciation & Amortization,330710000.0
Interest Expense,84493000.0
Income Tax Expense,97674000.0
Shares Outstanding,30196170
Net Fixed Assets,3767563000.0
Construction in Progress,7372000.0
Net Debt,1998891000.0
3-5yr Average ROA (%),9.09344401445019
3-5yr Average ROE (%),26.69245582200292
ROE,28.448273476879628
ROA,10.39924556987733
insidersPercentHeld,0.0
institutionsPercentHeld,1.00917
institutionsFloatPercentHeld,1.00917
institutionsCount,312.0
current,118.82
high,190.0
low,118.0
mean,154.2
median,150.0
Normalized EBIT,678486666.6666666
Normalized Net Income,490088333.3333333
