,Value
ticker,CRDO
longName,Credo Technology Group Holding Ltd
ROCE,5.416180834898923
ROCE (3yr avg),-2.078874316594336
NFAT,6.441776604452572
NFAT (3yr avg),4.605707878728053
NPM,-3.9124568927232857
DPR,0.0
Retention Ratio,100.0
Dep,25.75115501264555
SSGR,-43.770788548645065
Av NPM (over 3 years),-3.9124568927232857
Au NFA/T (over 3 years),4.605707878728053
Av Dep%NFA (over 3 years),25.75115501264555
Au Retention ratio (over 3 years),100.0
d/e,0.02968356047227128
Interest coverage,inf
tax %,4.897029342081282
cPAT,-14909000.0
CFO,65083000.0
cCFO,42373000.0
cCFO/cPAT,-2.8421087933463007
p/a,8.669251676269079
p/e,199.46574
EY,0.2071585184579284
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,60.078862161456435
PEG,
no. shares (cr),17.2995595
Current Price,145.61
market cap,25189888587.95
d/e_market,0.0006365649432713492
p/s,41.97371
NFA + CWIP,88552000.0
Capex,50132000.0
Capex_from_cashflow_statement,36061000.0
FCF,14951000.0
FCF%,28.651093267922505
FCF_capex_from_cashflow,29022000.0
FCF%_capex_from_cashflow,55.615813579134965
DV,0.0
Mcap (cr),2518.9890048
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,False
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,0.22972204723199607
Market Cap,25189890048
Net Income,52183000.0
Total Revenue,436775000.0
Total Assets,809257000.0
Total Liabilities,127675000.0
Total Stockholders Equity,540198000.0
Total Debt,16035000.0
Cash and Cash Equivalents,27823000.0
Current Assets,713534000.0
Current Liabilities,107711000.0
Working Capital,605823000.0
Operating Cash Flow,65083000.0
Capital Expenditure,36061000.0
Dividends Paid,0
Depreciation & Amortization,21938000.0
Interest Expense,0
Income Tax Expense,2687000.0
Shares Outstanding,172995595
Net Fixed Assets,78865000.0
Construction in Progress,9687000.0
Net Debt,-11788000.0
3-5yr Average ROA (%),-4.979793550268031
3-5yr Average ROE (%),-5.622273298143343
ROE,-6.390616253281866
ROA,-5.678223335978727
insidersPercentHeld,0.118030004
institutionsPercentHeld,0.7732
institutionsFloatPercentHeld,0.87668
institutionsCount,695.0
current,145.61
high,212.0
low,72.0
mean,157.07143
median,165.0
Normalized EBIT,-5708000.0
Normalized Net Income,2422333.3333333335
Research Asset,287662800.0
R&D Amortization,73249600.0
Adjusted EBIT (R&D),110741400.0
Adjusted Book Equity (R&D),827860800.0
Adjusted D/E (R&D),0.019369198300004057
Adjusted Invested Capital (R&D),816072800.0
Adjusted ROC (R&D),12.90551053143401
Adjusted ROE (R&D),6.3033543803499335
