,Value
ticker,CTMX
longName,"CytomX Therapeutics, Inc."
ROCE,71.90529616524266
ROCE (3yr avg),-11.937003938272118
NFAT,7.425092072367537
NFAT (3yr avg),5.896565197653677
NPM,-54.767313057756944
DPR,0.0
Retention Ratio,100.0
Dep,12.1729882744485
SSGR,-335.1120204198219
Av NPM (over 3 years),-54.767313057756944
Au NFA/T (over 3 years),5.896565197653677
Av Dep%NFA (over 3 years),12.1729882744485
Au Retention ratio (over 3 years),100.0
d/e,-0.19779965013594117
Interest coverage,inf
tax %,0.6979715202692176
cPAT,-183887000.0
CFO,-86231000.0
cCFO,-372085000.0
cCFO/cPAT,2.0234437453436076
p/a,15.792994766888677
p/e,3.98
EY,9.710922511382007
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,54.686184775914825
PEG,
no. shares (cr),16.4912992
Current Price,1.99
market cap,328176854.08
d/e_market,0.028597385474699595
p/s,2.325846
NFA + CWIP,10603000.0
Capex,-4175000.0
Capex_from_cashflow_statement,310000.0
FCF,-82056000.0
FCF%,-257.47905488091874
FCF_capex_from_cashflow,-86541000.0
FCF%_capex_from_cashflow,-271.5522921961781
DV,0.0
Mcap (cr),32.8176864
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,False
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,False
cCFO > PAT,True
p/e <10,True
peg <1,False
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),False
FCF/CFO,0.9515835372429868
Market Cap,328176864
Net Income,31869000.0
Total Revenue,138103000.0
Total Assets,120533000.0
Total Liabilities,120989000.0
Total Stockholders Equity,-47447000.0
Total Debt,9385000.0
Cash and Cash Equivalents,3579000.0
Current Assets,107305000.0
Current Liabilities,85772000.0
Working Capital,21533000.0
Operating Cash Flow,-86231000.0
Capital Expenditure,310000.0
Dividends Paid,0
Depreciation & Amortization,1768000.0
Interest Expense,0
Income Tax Expense,224000.0
Shares Outstanding,164912992
Net Fixed Assets,10603000.0
Construction in Progress,0.0
Net Debt,5806000.0
3-5yr Average ROA (%),-11.924767282916536
3-5yr Average ROE (%),6335.553460586209
ROE,-133.05638477757134
ROA,19.774451252617702
insidersPercentHeld,0.00791
institutionsPercentHeld,0.89287
institutionsFloatPercentHeld,0.89999
institutionsCount,93.0
current,1.99
high,8.0
low,3.5
mean,5.75
median,5.5
Normalized EBIT,-27608000.0
Normalized Net Income,-22672333.333333332
Research Asset,258193000.0
R&D Amortization,77381000.0
Adjusted EBIT (R&D),30996000.0
Adjusted Book Equity (R&D),210746000.0
Adjusted D/E (R&D),0.04453228056523018
Adjusted Invested Capital (R&D),216552000.0
Adjusted ROC (R&D),14.213517652839666
Adjusted ROE (R&D),15.121995198010877
