,Value
ticker,DFH
ROCE,24.025040145160904
ROCE (3yr avg),29.781410078122473
NFAT,11.468452523566253
NFAT (3yr avg),11.974708193928377
NPM,7.75829106287739
DPR,4.572585047219229
Retention Ratio,95.42741495278078
Dep,5.501356768038177
SSGR,83.1538336896815
Av NPM (over 3 years),7.75829106287739
Au NFA/T (over 3 years),11.974708193928377
Av Dep%NFA (over 3 years),5.501356768038177
Au Retention ratio (over 3 years),95.42741495278078
d/e,1.21537549716518
Interest coverage,
tax %,22.215624386210926
cPAT,1015931000.0
CFO,-256648000.0
cCFO,154935000.0
cCFO/cPAT,0.15250543590066648
p/a,13.086789578210448
p/e,9.236246
EY,33.42253657558679
Earnings Growth 5yr cagr,39.39640510156528
Sales Growth 5yr cagr,32.264711518779144
PEG,0.23444387822159513
no. shares (cr),3.51555
Current Price,28.54
market cap,1003337970.0
d/e_market,1.2998611026352367
p/s,0.5629989
NFA + CWIP,960095000.0
Capex,455573000.0
Capex_from_cashflow_statement,25345000.0
FCF,-712221000.0
FCF%,-212.3870925416218
FCF_capex_from_cashflow,-281993000.0
FCF%_capex_from_cashflow,-84.09141739304171
DV,1.3455087322171213
Mcap (cr),265.0843648
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,False
Tax payout >25%,False
Interest coverage >3,False
d/e <0.5,False
CFO >0,False
cCFO > PAT,False
p/e <10,True
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),True
FCF/CFO,2.77508883762975
Market Cap,2650843648
Net Income,335341000.0
Total Revenue,4451606000.0
Total Assets,3328651000.0
Total Liabilities,1908291000.0
Total Stockholders Equity,1073084000.0
Total Debt,1304200000.0
Cash and Cash Equivalents,0
Current Assets,2392701000.0
Current Liabilities,1527064000.0
Working Capital,865637000.0
Operating Cash Flow,-256648000.0
Capital Expenditure,25345000.0
Dividends Paid,13500000.0
Depreciation & Amortization,17215000.0
Interest Expense,
Income Tax Expense,97272000.0
Shares Outstanding,35155500
Net Fixed Assets,501792000.0
Construction in Progress,458303000.0
Net Debt,0
3-5yr Average ROA (%),11.893218932329711
3-5yr Average ROE (%),32.91287629458212
ROE,27.19158193817489
ROA,11.384684328367078
insidersPercentHeld,0.18886
institutionsPercentHeld,0.91625
institutionsFloatPercentHeld,1.12958
institutionsCount,283.0
current,28.54
high,27.0
low,26.0
mean,26.5
median,26.5
Normalized EBIT,403322000.0
Normalized Net Income,297851333.3333333
