,Value
ticker,DHANUKA.NS
ROCE,27.367799277370093
ROCE (3yr avg),26.574960861113798
NFAT,5.846913292187703
NFAT (3yr avg),5.780655965911429
NPM,14.150794710782359
DPR,13.413544750444169
Retention Ratio,86.58645524955583
Dep,11.61431451873655
SSGR,59.214164257823576
Av NPM (over 3 years),14.150794710782359
Au NFA/T (over 3 years),5.780655965911429
Av Dep%NFA (over 3 years),11.61431451873655
Au Retention ratio (over 3 years),86.58645524955584
d/e,0.05910934114138629
Interest coverage,70.84153379634158
tax %,24.272002370577702
cPAT,9784499000.0
CFO,2626601000.0
cCFO,6376198000.0
cCFO/cPAT,0.6516632072832753
p/a,18.805324809477224
p/e,23.846498
EY,4.117027221817075
Earnings Growth 5yr cagr,13.48455252486973
Sales Growth 5yr cagr,11.199402912817579
PEG,1.768430799317931
no. shares (cr),4.50783
Current Price,1600.1
market cap,72129787830.0
d/e_market,0.010291642639370841
p/s,3.4847636
NFA + CWIP,3459158000.0
Capex,213117000.0
Capex_from_cashflow_statement,1939995000.0
FCF,2413484000.0
FCF%,81.2729513002243
FCF_capex_from_cashflow,686606000.0
FCF%_capex_from_cashflow,23.121137741307507
DV,0.37913601055437907
Mcap (cr),7212.9789952
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.9188620578458624
Market Cap,72129789952
Net Income,2969603000.0
Total Revenue,20097139000.0
Total Assets,18001136000.0
Total Liabilities,3973925000.0
Total Stockholders Equity,12558658000.0
Total Debt,742334000.0
Cash and Cash Equivalents,862044000.0
Current Assets,11485604000.0
Current Liabilities,3485822000.0
Working Capital,7999782000.0
Operating Cash Flow,2626601000.0
Capital Expenditure,1939995000.0
Dividends Paid,273470000.0
Depreciation & Amortization,554609000.0
Interest Expense,51115000.0
Income Tax Expense,951804000.0
Shares Outstanding,45078300
Net Fixed Assets,3367948000.0
Construction in Progress,91210000.0
Net Debt,-119710000.0
3-5yr Average ROA (%),16.92783044128633
3-5yr Average ROE (%),22.02528067665226
ROE,22.339709866169883
ROA,17.575554804828446
insidersPercentHeld,0.70322996
institutionsPercentHeld,0.18368
institutionsFloatPercentHeld,0.61893004
institutionsCount,28.0
current,1600.1
high,2006.0
low,1630.0
mean,1847.7778
median,1888.0
Normalized EBIT,3416440666.6666665
Normalized Net Income,2565183666.6666665
Research Asset,77972600.0
R&D Amortization,23013600.0
Adjusted EBIT (R&D),3980556400.0
Adjusted Book Equity (R&D),12636630600.0
Adjusted D/E (R&D),0.05874461504002499
Adjusted Invested Capital (R&D),12516920600.0
Adjusted ROC (R&D),24.08256593262897
Adjusted ROE (R&D),23.499958921011746
