,Value
ticker,DHI
ROCE,17.423784335941857
ROCE (3yr avg),21.438331002796318
NFAT,546.8261515601783
NFAT (3yr avg),381.56431379495433
NPM,14.601041928468495
DPR,6.967266826244665
Retention Ratio,93.03273317375533
Dep,83.50421508316245
SSGR,5099.569413493664
Av NPM (over 3 years),14.601041928468495
Au NFA/T (over 3 years),381.56431379495433
Av Dep%NFA (over 3 years),83.50421508316245
Au Retention ratio (over 3 years),93.03273317375533
d/e,0.26308368801825854
Interest coverage,inf
tax %,23.528569382786767
cPAT,19535400000.0
CFO,2189800000.0
cCFO,7590100000.0
cCFO/cPAT,0.3885305650255434
p/a,14.598065213121195
p/e,13.720257
EY,9.347571518213872
Earnings Growth 5yr cagr,7.696879462755857
Sales Growth 5yr cagr,9.835043738676074
PEG,1.7825739725287943
no. shares (cr),29.8124
p/s,1.4716849
NFA + CWIP,
Capex,
FCF,
FCF%,
DV,0.776671487679363
Mcap (cr),5088.3801088
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
net cash flow positive,False
cCFO > PAT,False
p/e <10,False
peg <1,False
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),True
FCF/CFO,
Current Price,170.68
Market Cap,50883801088
Net Income,4756400000.0
Total Revenue,36801400000.0
Total Assets,36104300000.0
Total Liabilities,10279900000.0
Total Stockholders Equity,22696200000.0
Total Debt,8243400000.0
Cash and Cash Equivalents,0
Current Assets,34745900000.0
Current Liabilities,2036500000.0
Working Capital,32709400000.0
Operating Cash Flow,2189800000.0
Capital Expenditure,165300000.0
Dividends Paid,395200000.0
Depreciation & Amortization,87100000.0
Interest Expense,0
Income Tax Expense,1478700000.0
Shares Outstanding,298124000
Net Fixed Assets,70000000.0
Construction in Progress,
Net Debt,0
3-5yr Average ROA (%),16.826394438109066
3-5yr Average ROE (%),25.51172760715563
ROE,19.814618092441
ROA,13.849551659928341
insidersPercentHeld,0.116560005
institutionsPercentHeld,0.85700995
institutionsFloatPercentHeld,0.97009003
institutionsCount,1526.0
current,170.68
high,187.0
low,110.0
mean,158.92857
median,167.0
