,Value
ticker,DLINKINDIA.NS
ROCE,29.430717652830758
ROCE (3yr avg),29.483303395078064
NFAT,58.26248515926946
NFAT (3yr avg),57.26253731022083
NPM,7.449232228608477
DPR,37.32022274758463
Retention Ratio,62.67977725241537
Dep,26.774833594333188
SSGR,240.593239252909
Av NPM (over 3 years),7.449232228608477
Au NFA/T (over 3 years),57.26253731022083
Av Dep%NFA (over 3 years),26.774833594333188
Au Retention ratio (over 3 years),62.679777252415384
d/e,0.009629002040329073
Interest coverage,165.4745150501672
tax %,25.359026711873728
cPAT,3255389000.0
CFO,899625000.0
cCFO,2498836000.0
cCFO/cPAT,0.767599816796088
p/a,14.998542018005324
p/e,15.727088
EY,6.314426568364572
Earnings Growth 5yr cagr,35.10271035426167
Sales Growth 5yr cagr,14.660172362846623
PEG,0.4480305891277322
no. shares (cr),3.55048
Current Price,465.05
market cap,16511507240.0
d/e_market,0.0025378058702289616
p/s,1.1894011
NFA + CWIP,185470000.0
Capex,30167000.0
Capex_from_cashflow_statement,2484000.0
FCF,869458000.0
FCF%,83.39268775291168
FCF_capex_from_cashflow,897141000.0
FCF%_capex_from_cashflow,86.04785887683471
DV,3.87055518742576
Mcap (cr),1651.1506432
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,False
DV >3%,True
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.9664671390857301
Market Cap,16511506432
Net Income,1042607000.0
Total Revenue,13838622000.0
Total Assets,7480479000.0
Total Liabilities,2725591000.0
Total Stockholders Equity,4351749000.0
Total Debt,41903000.0
Cash and Cash Equivalents,76925000.0
Current Assets,7002656000.0
Current Liabilities,2708910000.0
Working Capital,4293746000.0
Operating Cash Flow,899625000.0
Capital Expenditure,2484000.0
Dividends Paid,639087000.0
Depreciation & Amortization,69348000.0
Interest Expense,7475000.0
Income Tax Expense,354223000.0
Shares Outstanding,35504800
Net Fixed Assets,185470000.0
Construction in Progress,0
Net Debt,-35022000.0
3-5yr Average ROA (%),12.953246989941174
3-5yr Average ROE (%),21.25130944901085
ROE,22.89780216835855
ROA,14.448677052755748
insidersPercentHeld,0.61459
institutionsPercentHeld,0.00409
institutionsFloatPercentHeld,0.01061
institutionsCount,4.0
current,465.05
Normalized EBIT,1275884000.0
Normalized Net Income,944171333.3333334
