,Value
ticker,DOCN
ROCE,7.5322623866409035
ROCE (3yr avg),3.136666298402453
NFAT,1.4441578960026493
NFAT (3yr avg),1.5697858871606556
NPM,2.933525860885245
DPR,0.0
Retention Ratio,100.0
Dep,26.948000803104886
SSGR,-22.342993307066415
Av NPM (over 3 years),2.933525860885245
Au NFA/T (over 3 years),1.5697858871606556
Av Dep%NFA (over 3 years),26.948000803104886
Au Retention ratio (over 3 years),100.0
d/e,-5.403706749803952
Interest coverage,9.986502798200373
tax %,13.518050338283913
cPAT,56594000.0
CFO,282725000.0
cCFO,845928000.0
cCFO/cPAT,14.947308902003746
p/a,5.783292846450331
p/e,23.496185
EY,3.0152729580174804
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,22.125985652849067
PEG,
no. shares (cr),9.1037504
Current Price,30.78
market cap,2802134373.12
d/e_market,0.6049431519990162
p/s,3.3646662
NFA + CWIP,620421000.0
Capex,289828000.0
Capex_from_cashflow_statement,186523000.0
FCF,-7103000.0
FCF%,-8.40671306159163
FCF_capex_from_cashflow,96202000.0
FCF%_capex_from_cashflow,113.85930028878472
DV,0.0
Mcap (cr),280.2134528
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,False
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,-0.025123353081616413
Market Cap,2802134528
Net Income,84492000.0
Total Revenue,780615000.0
Total Assets,1639015000.0
Total Liabilities,1841970000.0
Total Stockholders Equity,-313698000.0
Total Debt,1695132000.0
Cash and Cash Equivalents,4621000.0
Current Assets,541718000.0
Current Liabilities,220955000.0
Working Capital,320763000.0
Operating Cash Flow,282725000.0
Capital Expenditure,186523000.0
Dividends Paid,0
Depreciation & Amortization,130052000.0
Interest Expense,9113000.0
Income Tax Expense,13207000.0
Shares Outstanding,91037504
Net Fixed Assets,620421000.0
Construction in Progress,0
Net Debt,1690511000.0
3-5yr Average ROA (%),1.7386797800589058
3-5yr Average ROE (%),-18.726664665156413
ROE,-32.70744580985691
ROA,5.451128425906989
insidersPercentHeld,0.25877002
institutionsPercentHeld,0.68978995
institutionsFloatPercentHeld,0.93060994
institutionsCount,423.0
current,30.78
high,55.0
low,32.0
mean,41.6
median,42.0
Normalized EBIT,42348000.0
Normalized Net Income,25365666.666666668
Research Asset,384637200.0
R&D Amortization,107797000.0
Adjusted EBIT (R&D),141514000.0
Adjusted Book Equity (R&D),70939200.0
Adjusted D/E (R&D),23.8955612693687
Adjusted Invested Capital (R&D),1761450200.0
Adjusted ROC (R&D),6.947915203295609
Adjusted ROE (R&D),119.10481088030313
