,Value
ticker,DVN
ROCE,15.132450331125828
ROCE (3yr avg),25.93833697626964
NFAT,0.7098799795141286
NFAT (3yr avg),0.885483414838803
NPM,24.691053551005396
DPR,46.057830770184154
Retention Ratio,53.94216922981585
Dep,0.0
SSGR,11.793656102640137
Av NPM (over 3 years),24.691053551005396
Au NFA/T (over 3 years),0.885483414838803
Av Dep%NFA (over 3 years),0.0
Au Retention ratio (over 3 years),53.942169229815846
d/e,0.7630378907221623
Interest coverage,10.331670822942643
tax %,20.743534482758623
cPAT,15466000000.0
CFO,6600000000.0
cCFO,26573000000.0
cCFO/cPAT,1.7181559549980603
p/a,11.80481829318089
p/e,7.9189186
EY,12.952759659147528
Earnings Growth 5yr cagr,2.9292312593800496
Sales Growth 5yr cagr,9.30456926019312
PEG,2.7034118848219517
no. shares (cr),63.48
p/s,1.3858782
NFA + CWIP,25314000000.0
Capex,5719000000.0
FCF,881000000.0
FCF%,30.473884469041856
DV,4.1981099275756595
Mcap (cr),2231.9568896
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,False
CFO >0,True
net cash flow positive,False
cCFO > PAT,True
p/e <10,True
peg <1,False
EY >7%,True
p/b <3,True
DV >3%,True
EY >7,True
sgr > Sales growth (very linear),True
FCF/CFO,0.13348484848484848
Current Price,35.16
Market Cap,22319568896
Net Income,2891000000.0
Total Revenue,15940000000.0
Total Assets,30489000000.0
Total Liabilities,15785000000.0
Total Stockholders Equity,12061000000.0
Total Debt,8883000000.0
Cash and Cash Equivalents,315000000.0
Current Assets,3427000000.0
Current Liabilities,3309000000.0
Working Capital,118000000.0
Operating Cash Flow,6600000000.0
Capital Expenditure,7453000000.0
Dividends Paid,937000000.0
Depreciation & Amortization,0
Interest Expense,401000000.0
Income Tax Expense,770000000.0
Shares Outstanding,634800000
Net Fixed Assets,25314000000.0
Construction in Progress,0
Net Debt,8568000000.0
3-5yr Average ROA (%),17.648665958057705
3-5yr Average ROE (%),37.64056676524543
ROE,21.77203750423617
ROA,10.516742756325142
insidersPercentHeld,0.007850001
institutionsPercentHeld,0.78035
institutionsFloatPercentHeld,0.78653
institutionsCount,1474.0
current,35.16
high,66.0
low,33.0
mean,45.10714
median,43.5
