,Value
ticker,EAT
longName,"Brinker International, Inc."
ROCE,25.616575137294056
ROCE (3yr avg),14.91649036831925
NFAT,2.641450192557706
NFAT (3yr avg),2.3345683120775447
NPM,4.37169181342718
DPR,0.2378594407604473
Retention Ratio,99.76214055923955
Dep,9.15007402718038
SSGR,1.031663184746888
Av NPM (over 3 years),4.37169181342718
Au NFA/T (over 3 years),2.3345683120775447
Av Dep%NFA (over 3 years),9.15007402718038
Au Retention ratio (over 3 years),99.76214055923954
d/e,42.98223350253807
Interest coverage,10.429378531073446
tax %,16.717391304347824
cPAT,758600000.0
CFO,679000000.0
cCFO,1609400000.0
cCFO/cPAT,2.121539678354864
p/a,14.773822837530371
p/e,15.1531105
EY,6.7961432162102415
Earnings Growth 5yr cagr,48.61605197515688
Sales Growth 5yr cagr,12.276729323110814
PEG,0.31168944997309406
no. shares (cr),4.4498111
Current Price,126.68
market cap,5637020701.4800005
d/e_market,0.30042465509402355
p/s,1.046956
NFA + CWIP,2173600000.0
Capex,364300000.0
Capex_from_cashflow_statement,265300000.0
FCF,314700000.0
FCF%,82.14565387627252
FCF_capex_from_cashflow,413700000.0
FCF%_capex_from_cashflow,107.98747063429914
DV,0.0
Mcap (cr),563.7020672
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,False
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,False
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,0.4634756995581738
Market Cap,5637020672
Net Income,383100000.0
Total Revenue,5384200000.0
Total Assets,2678600000.0
Total Liabilities,2307700000.0
Total Stockholders Equity,39400000.0
Total Debt,1693500000.0
Cash and Cash Equivalents,0
Current Assets,207000000.0
Current Liabilities,675600000.0
Working Capital,-468600000.0
Operating Cash Flow,679000000.0
Capital Expenditure,265300000.0
Dividends Paid,0.0
Depreciation & Amortization,206600000.0
Interest Expense,53100000.0
Income Tax Expense,76900000.0
Shares Outstanding,44498111
Net Fixed Assets,2101800000.0
Construction in Progress,71800000.0
Net Debt,0
3-5yr Average ROA (%),5.120831400883818
3-5yr Average ROE (%),-172.9245163515389
ROE,-296.09151572926595
ROA,6.114052872974941
insidersPercentHeld,0.0141900005
institutionsPercentHeld,1.09902
institutionsFloatPercentHeld,1.11483
institutionsCount,643.0
current,126.68
high,215.0
low,160.0
mean,178.5625
median,175.0
Normalized EBIT,296233333.3333333
Normalized Net Income,213666666.66666666
