,Value
ticker,EIMCOELECO.NS
ROCE,14.932379271119578
ROCE (3yr avg),11.600873498959674
NFAT,4.051001083704832
NFAT (3yr avg),3.794048160544686
NPM,16.44208366095027
DPR,6.862986387791715
Retention Ratio,93.13701361220829
Dep,13.032591532212031
SSGR,45.06819363831824
Av NPM (over 3 years),16.44208366095027
Au NFA/T (over 3 years),3.794048160544686
Av Dep%NFA (over 3 years),13.032591532212031
Au Retention ratio (over 3 years),93.13701361220826
d/e,0.00033456715762411745
Interest coverage,1018.2084210526316
tax %,25.44763310091676
cPAT,1175212000.0
CFO,332777000.0
cCFO,416572000.0
cCFO/cPAT,0.35446540709250757
p/a,10.859347921323529
p/e,26.117828
EY,3.848059253085297
Earnings Growth 5yr cagr,77.9707068437486
Sales Growth 5yr cagr,43.29667732852924
PEG,0.33496974770716764
no. shares (cr),0.576838
Current Price,2203.3
market cap,12709471654.000002
d/e_market,0.00010165646811867069
p/s,5.2019286
NFA + CWIP,595961000.0
Capex,88539000.0
Capex_from_cashflow_statement,61078000.0
FCF,244238000.0
FCF%,49.93947671898386
FCF_capex_from_cashflow,271699000.0
FCF%_capex_from_cashflow,55.554442327038366
DV,0.22743667704630766
Mcap (cr),1270.9472256
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,True
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,0.7339389440976991
Market Cap,12709472256
Net Income,489068000.0
Total Revenue,2450327000.0
Total Assets,4879776000.0
Total Liabilities,560361000.0
Total Stockholders Equity,3861706000.0
Total Debt,1292000.0
Cash and Cash Equivalents,60681000.0
Current Assets,2236845000.0
Current Liabilities,483417000.0
Working Capital,1753428000.0
Operating Cash Flow,332777000.0
Capital Expenditure,61078000.0
Dividends Paid,28906000.0
Depreciation & Amortization,83201000.0
Interest Expense,475000.0
Income Tax Expense,166938000.0
Shares Outstanding,5768380
Net Fixed Assets,582784000.0
Construction in Progress,13177000.0
Net Debt,-59389000.0
3-5yr Average ROA (%),6.901640519381299
3-5yr Average ROE (%),7.810956620724043
ROE,11.956014340821998
ROA,10.424071781815508
insidersPercentHeld,0.74285007
institutionsPercentHeld,0.0016699999
institutionsFloatPercentHeld,0.0064999997
institutionsCount,3.0
current,2203.3
Normalized EBIT,469839000.0
Normalized Net Income,362811000.0
