,Value
ticker,ELDEHSG.NS
ROCE,7.138781367065013
ROCE (3yr avg),11.684363975855826
NFAT,28.041158983377297
NFAT (3yr avg),23.714607537495073
NPM,27.05560031676856
DPR,25.845866631191445
Retention Ratio,74.15413336880856
Dep,15.027079525213372
SSGR,460.7554380894434
Av NPM (over 3 years),27.05560031676856
Au NFA/T (over 3 years),23.714607537495073
Av Dep%NFA (over 3 years),15.027079525213372
Au Retention ratio (over 3 years),74.15413336880856
d/e,0.3124035109922922
Interest coverage,5.855837112534481
tax %,29.543719883514104
cPAT,1505325000.0
CFO,-69410000.0
cCFO,-976865000.0
cCFO/cPAT,-0.6489395977612807
p/a,3.106906628416082
p/e,42.838158
EY,3.016020769883599
Earnings Growth 5yr cagr,-24.91299296142474
Sales Growth 5yr cagr,3.061514711641755
PEG,-1.7195107013569413
no. shares (cr),0.9833
Current Price,725.25
market cap,7131383250.0
d/e_market,0.16233652847082647
p/s,5.3439217
NFA + CWIP,43885000.0
Capex,747000.0
Capex_from_cashflow_statement,733000.0
FCF,-70157000.0
FCF%,-32.618418850309645
FCF_capex_from_cashflow,-70143000.0
FCF%_capex_from_cashflow,-32.61190976548697
DV,1.1030679076180627
Mcap (cr),713.1383296
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,True
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,True
CFO >0,False
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),True
FCF/CFO,1.0107621380204581
Market Cap,7131383296
Net Income,215084000.0
Total Revenue,1339414000.0
Total Assets,8216792000.0
Total Liabilities,4374992000.0
Total Stockholders Equity,3705733000.0
Total Debt,1157684000.0
Cash and Cash Equivalents,566228000.0
Current Assets,7300671000.0
Current Liabilities,3341296000.0
Working Capital,3959375000.0
Operating Cash Flow,-69410000.0
Capital Expenditure,733000.0
Dividends Paid,78664000.0
Depreciation & Amortization,8509000.0
Interest Expense,42778000.0
Income Tax Expense,90189000.0
Shares Outstanding,9833000
Net Fixed Assets,43885000.0
Construction in Progress,0
Net Debt,591456000.0
3-5yr Average ROA (%),5.513837929927521
3-5yr Average ROE (%),9.589203895925321
ROE,5.699451728134213
ROA,2.8413503640329885
insidersPercentHeld,0.71225
institutionsPercentHeld,0.07399
institutionsFloatPercentHeld,0.25715
institutionsCount,1.0
current,725.25
Normalized EBIT,478354000.0
Normalized Net Income,332442666.6666667
