,Value
ticker,ERJ
longName,Embraer S.A.
ROCE,10.387419006479481
ROCE (3yr avg),5.2193339472727525
NFAT,3.275386073193843
NFAT (3yr avg),2.9491217375248056
NPM,1.5139590765537143
DPR,2.723577235772358
Retention Ratio,97.27642276422765
Dep,12.718404663537251
SSGR,-8.375158669076528
Av NPM (over 3 years),1.5139590765537143
Au NFA/T (over 3 years),2.9491217375248056
Av Dep%NFA (over 3 years),12.718404663537251
Au Retention ratio (over 3 years),97.27642276422763
d/e,0.9341108917997488
Interest coverage,3.139764705882353
tax %,36.33752244165171
cPAT,286400000.0
CFO,871200000.0
cCFO,2754800000.0
cCFO/cPAT,9.618715083798882
p/a,3.2691861813123113
p/e,29.2029
EY,3.1796808444211253
Earnings Growth 5yr cagr,
Sales Growth 5yr cagr,15.067718853345703
PEG,
no. shares (cr),18.3391535
Current Price,60.45
market cap,11086018290.75
d/e_market,0.23479124170053184
p/s,0.2785114
NFA + CWIP,2170200000.0
Capex,434000000.0
Capex_from_cashflow_statement,466200000.0
FCF,437200000.0
FCF%,124.02836879432624
FCF_capex_from_cashflow,405000000.0
FCF%_capex_from_cashflow,114.89361702127661
DV,0.0
Mcap (cr),1108.601856
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,False
Tax payout >25%,True
Interest coverage >3,True
d/e <0.5,False
CFO >0,True
cCFO > PAT,True
p/e <10,False
peg <1,False
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,0.5018365472910927
Market Cap,11086018560
Net Income,352500000.0
Total Revenue,6394700000.0
Total Assets,11824300000.0
Total Liabilities,8479700000.0
Total Stockholders Equity,2786500000.0
Total Debt,2602900000.0
Cash and Cash Equivalents,262700000.0
Current Assets,6512400000.0
Current Liabilities,4416300000.0
Working Capital,2096100000.0
Operating Cash Flow,871200000.0
Capital Expenditure,466200000.0
Dividends Paid,0.0
Depreciation & Amortization,243600000.0
Interest Expense,212500000.0
Income Tax Expense,202400000.0
Shares Outstanding,183391535
Net Fixed Assets,2046000000.0
Construction in Progress,124200000.0
Net Debt,2340200000.0
3-5yr Average ROA (%),-0.1296645069285146
3-5yr Average ROE (%),-0.47814632346340114
ROE,6.126260739633919
ROA,1.567532951645432
insidersPercentHeld,0.0
institutionsPercentHeld,0.46777
institutionsFloatPercentHeld,0.46777
institutionsCount,427.0
current,60.45
high,79.0
low,44.0
mean,64.71429
median,66.5
Normalized EBIT,381366666.6666667
Normalized Net Income,110366666.66666667
Research Asset,210440000.0
R&D Amortization,59660000.0
Adjusted EBIT (R&D),764840000.0
Adjusted Book Equity (R&D),2996940000.0
Adjusted D/E (R&D),0.8685192229407329
Adjusted Invested Capital (R&D),5337140000.0
Adjusted ROC (R&D),9.12316509136487
Adjusted ROE (R&D),11.761997237181927
