,Value
ticker,ESSENTIA.NS
ROCE,4.429369011392501
ROCE (3yr avg),9.060197400980433
NFAT,12.205937617437053
NFAT (3yr avg),10.463002804490287
NPM,3.0657767062629477
DPR,0.0
Retention Ratio,100.0
Dep,6.775884290162925
SSGR,25.30134598540729
Av NPM (over 3 years),3.0657767062629477
Au NFA/T (over 3 years),10.463002804490287
Av Dep%NFA (over 3 years),6.775884290162925
Au Retention ratio (over 3 years),100.0
d/e,0.2255121530964845
Interest coverage,0.8725271845932137
tax %,38.30689871281878
cPAT,270287000.0
CFO,-914365000.0
cCFO,-546131000.0
cCFO/cPAT,-2.0205596273590665
p/a,1.9037517163816071
p/e,191.0
EY,1.8825689386630045
Earnings Growth 5yr cagr,-6.598746633212849
Sales Growth 5yr cagr,86.10917468305598
PEG,-28.944890691613725
no. shares (cr),106.7689984
Current Price,1.91
market cap,2039287869.4399998
d/e_market,0.12951383860902765
p/s,0.4718915
NFA + CWIP,
Capex,
Capex_from_cashflow_statement,188116000.0
FCF,
FCF%,
FCF_capex_from_cashflow,-1102481000.0
FCF%_capex_from_cashflow,-2871.717329582454
DV,0.0
Mcap (cr),204.9907456
d/e decreasing trend 5 yrs,False
Sales cagr >15%,True
npm >8%,False
Tax payout >25%,True
Interest coverage >3,False
d/e <0.5,True
CFO >0,False
cCFO > PAT,False
p/e <10,False
peg <1,True
EY >7%,False
p/b <3,True
DV >3%,False
EY >7,False
sgr > Sales growth (very linear),False
FCF/CFO,
Market Cap,2049907456
Net Income,38391000.0
Total Revenue,4417280000.0
Total Assets,2209574000.0
Total Liabilities,513006000.0
Total Stockholders Equity,1171183000.0
Total Debt,264116000.0
Cash and Cash Equivalents,317548000.0
Current Assets,1041957000.0
Current Liabilities,460002000.0
Working Capital,581955000.0
Operating Cash Flow,-914365000.0
Capital Expenditure,188116000.0
Dividends Paid,0
Depreciation & Amortization,38535000.0
Interest Expense,15266000.0
Income Tax Expense,23838000.0
Shares Outstanding,1067689984
Net Fixed Assets,345876000.0
Construction in Progress,
Net Debt,-53432000.0
3-5yr Average ROA (%),5.942179620846893
3-5yr Average ROE (%),15.836154181098799
ROE,2.677429107338817
ROA,1.8168218938608969
insidersPercentHeld,0.15976
institutionsPercentHeld,0.0
institutionsFloatPercentHeld,0.0
institutionsCount,0.0
current,1.91
Normalized EBIT,115538000.0
Normalized Net Income,86468000.0
