,Value
ticker,FIBERWEB.NS
ROCE,10.009624082389221
ROCE (3yr avg),4.975615052513465
NFAT,0.8243666298610971
NFAT (3yr avg),0.7241711157408757
NPM,7.6036769903792205
DPR,-1
Retention Ratio,101.0
Dep,3.1740673696861523
SSGR,2.3873595126685534
Av NPM (over 3 years),7.6036769903792205
Au NFA/T (over 3 years),0.7241711157408757
Av Dep%NFA (over 3 years),3.1740673696861523
Au Retention ratio (over 3 years),-1
d/e,0.05226920995855457
Interest coverage,22.33156053184045
tax %,11.41202309681533
cPAT,333098000.0
CFO,120686000.0
cCFO,391167000.0
cCFO/cPAT,1.1743300770343863
p/a,8.76220208688096
p/e,8.06208
EY,10.845780914061772
Earnings Growth 5yr cagr,9.76077558471724
Sales Growth 5yr cagr,2.0861231945884517
PEG,0.8259671508709878
no. shares (cr),2.87917
Current Price,48.05
market cap,1383441185.0
d/e_market,0.06095929549762537
p/s,1.3067
NFA + CWIP,1295962800.0
Capex,174240800.0
Capex_from_cashflow_statement,165965000.0
FCF,-53554800.0
FCF%,-35.69249225232431
FCF_capex_from_cashflow,-45279000.0
FCF%_capex_from_cashflow,-30.176946915925225
DV,
Mcap (cr),138.3441152
d/e decreasing trend 5 yrs,False
Sales cagr >15%,False
npm >8%,False
Tax payout >25%,False
Interest coverage >3,True
d/e <0.5,True
CFO >0,True
cCFO > PAT,True
p/e <10,True
peg <1,True
EY >7%,True
p/b <3,True
DV >3%,False
EY >7,True
sgr > Sales growth (very linear),True
FCF/CFO,-0.4437532108115274
Market Cap,1383441152
Net Income,150045000.0
Total Revenue,1012944000.0
Total Assets,1922519800.0
Total Liabilities,159027000.0
Total Stockholders Equity,1613447000.0
Total Debt,84333600.0
Cash and Cash Equivalents,186031500.0
Current Assets,611015900.0
Current Liabilities,159027000.0
Working Capital,451988900.0
Operating Cash Flow,120686000.0
Capital Expenditure,165965000.0
Dividends Paid,
Depreciation & Amortization,48099000.0
Interest Expense,7145000.0
Income Tax Expense,19329000.0
Shares Outstanding,28791700
Net Fixed Assets,1287687500.0
Construction in Progress,8275300.0
Net Debt,-101697900.0
3-5yr Average ROA (%),4.116590863713895
3-5yr Average ROE (%),4.433951755526058
ROE,8.886448020186798
ROA,8.25572573328611
insidersPercentHeld,0.51203
institutionsPercentHeld,0.0
institutionsFloatPercentHeld,0.0
institutionsCount,0.0
current,48.05
Normalized EBIT,86427000.0
Normalized Net Income,73249333.33333333
